start	end	text
0	3200	Natürlich reden wir so, dass wir uns verstehen wollen.
3200	7200	Wir reden aber gleichzeitig auch so, dass wir verstanden werden von denen, von denen
7200	9200	wir glauben, dass sie zuhören.
9200	14440	Das heißt, wir sind sogar in der Situation, dass wir den Dritten, der eine Funktion der
14440	20200	Regelung unseres Gesprächs erfüllt, erfinden und dann uns fragen, okay, reizen wir den
20200	26320	Dritten, unterwerfen wir uns dem Dritten, spielen wir mit dem Dritten oder tun wir so,
26320	29520	als würden wir gar nicht merken, dass es diesen Dritten gibt und wir halten uns lustig
29520	30520	zum Zweiten.
30520	39040	So, eine neue Folge, Jungen, wir sitzen in der BBK, aber nur am Rand und mit wem sitze
39040	40040	ich hier?
40040	45040	Dirk Becker ist mein Name, ich bin Soziologe, ich habe ein Lehrstuhl für Kulturtheorie und
45040	48720	Management, eine etwas ungewöhnliche Kombination an der Universität Witten-Herdecke.
48720	55080	Die Kombination erklärt sich daraus, dass ich den Eindruck habe über das Managen von
55080	59280	kulturellen Einrichtungen, Behörden, Unternehmen, kann man nur reden, wenn man einen kulturellen
59280	61400	Wandel versteht, in dem wir gerade mittendrin stecken.
61400	62960	Und du bist Soziologe?
62960	69640	Ich bin Soziologe und bin aufgewachsen mit dem Wunsch, mit der Absicht, alle Arten von
69640	75400	sozialen Phänomenen, also alle Arten von Gesprächen, Handlungen zwischen Leuten und
75400	78840	zunehmend auch zwischen Leuten, Maschinen und Tieren, das gehört mittlerweile auch zur
78840	84160	Soziologie dazu, unter dem Gesichtspunkt zu beobachten, wie etwas Drittes, das nennen
84280	85920	wir Gesellschaft, immer wieder interveniert.
87120	94280	Wenn sich zwei Leute eingreift, wenn zwei Leute sich an einen Tisch setzen und sich
94280	100320	anschauen, egal welchen Geschlechts, dann, sage ich immer in Seminaren, dann setzt sich
100320	107400	quasi, setzt sich sozusagen eine dritte Figur mit an den Tisch und versucht zu regeln,
107400	108840	wie man sich jetzt anspricht.
109240	113800	Die Vorstellung, dass wir irgendwie spontan etwas anfangen und dann schauen, wie der
113800	117840	andere reagiert und dann wieder die nächste Entscheidung treffen, ist aus soziologischer
117840	118680	Sicht naiv.
118680	124680	Also wir sagen, nein, wenn das ein Candlelight-Dinner, also ein Kerzenlicht-Dinner ist, in dem
124680	131760	man eine Intimität anbahnt oder wenn das ein Arbeitsgespräch ist, dann sind das Gesprächsrahmen,
131760	136160	die bereits codiert sind und dieser Code ist, wenn man so wählt, eine dritte Figur, die
136400	141120	sich mit an den Tisch sitzt, unsichtbar, und die immer regelt, welche Sätze wohl jetzt
141120	146720	wie zu interpretieren sind, wie man wohl den nächsten Versuch lancieren kann, wie man
146720	151840	überhaupt auswählt, was man sagt und wie man auswählt, was man versteht.
151840	156080	Das ist das, was Soziologen tagtäglich in kleinen und in größeren Zusammenhängen treiben.
156080	159120	Sind das diese ungeschriebenen, zwischenmenschlichen Gesetze?
159120	160800	Das kann man genau so sagen.
160800	164400	Zum größten Teil sind sie ungeschrieben, zum Teil sind sie natürlich auch geschrieben
164400	171040	in dem Gesetzesformen an, damit man sie brechen kann, größtenteils sind sie aber
171040	174800	tatsächlich auch in den Situationen selbst erst geschrieben.
174800	180320	Wir sind als menschliche Lebewesen ja zu Spontanität in der Lage, wir denken, wir wüssten, worauf
180320	184160	wir uns einlassen, wenn wir zu zweit an einen Tisch sitzen, merken aber, nein, die Absicht
184160	189480	des anderen ist eine ganz andere, dann stelle ich meine eigene Absicht auch um und wir landen
189480	192160	in einem anderen Regelzusammenhang, wenn man so will.
192160	197640	Es gibt ein ganz schönes, vielleicht nicht ganz jugendfreies Beispiel bei einem meiner
197640	203760	Lieblingssoziologen, Talke Parsons, der sich sehr intensiv mit Medizinsozialogie beschäftigt hat.
203760	210000	Also mit der Frage, wie passiert denn die Interaktion, wie passiert denn das Gespräch
210000	212680	zwischen Patient und Arzt?
