start	end	text
0	16000	Was mir in der Analyse immer wichtig ist, zu betonen ist, dass es aber nicht damit, dass die Verteilungsfrage eine Achse der Frage ist und die Frage, was man überhaupt machen darf mit Eigentum, dabei auch offen bleibt.
16000	40000	Und ich glaube, dass die Verabsolutierung, dass die ganze Zeit in den letzten Jahrzehnten die Schere zwischen Arm und Bereich weiter auseinandergeht und trotzdem und sozusagen in der Bankenkrise wieder die Großanleger rausgeboxt werden und die Steuerzahler das zahlen müssen.
40000	67000	Ich finde, das erklärt sich schon gar nicht mehr. Das kann man gar nicht mehr erklären mit dem eigentlich materiellen Schutz des Eigentums, denn das ist ja eine Umverteilung nach oben, sondern das kann man nur noch erklären mit einer verrückten, losgekoppelten Eigentumsideologie, die auch sagt, bestimmten Leuten steht es zu oder im Zweifelsfall die Ordnung herrscht, wenn diese Typen haben und die Leute hier nix.
70000	80000	So eine neue Folge Jungnaiv an einem neuen Ort, über dem wir euch demnächst ein bisschen mehr verraten. Jetzt noch nicht, lasst euch überraschen. Aber ich habe einen neuen Gast. Wer bist du denn?
81000	89000	Eva von Redeka. Was machst du, Eva? Philosophie. Bücher schreiben. Neuerdings auch Bücher für breiteres Publikum und nicht nur für Mitphilosophen.
89000	92000	Hast du dir das jetzt neu ausgedacht oder was?
93000	107000	Das hat sich so ein bisschen ergeben. Das habe ich mir eigentlich schon ausgedacht, bevor ich wusste, dass es Philosophie gibt. Ich will irgendwann Bücher schreiben. Und dann hat mich erstmal das akademische Leben in Atem gehalten und fasziniert.
107000	125000	Und dann war es eben so, dass das vorige Buch schon ein gewisses Interesse geweckt hat, was ich irgendwie in einer anderen Sprache beantworten wollte. Und dann hat das so einen Spaß gemacht, manchmal am Radio zu sein, zu wissen, so meine Mutter oder die Kunden im Laden meiner Mutter, die kriegen das auch mit und können das irgendwie verstehen.
125000	138000	Und dann habe ich nach zehn Jahren sehr interessantem Assistenten-Dasein an der Humboldt-Uni gedacht, vielleicht gibt es ein Leben, in dem man einfach mal ein Jahr lang nur schreibt. Und dann habe ich das jetzt einfach mal gemacht.
139000	140000	Und wie war es?
141000	153000	Es war so schön. Ehrlich gesagt habe ich mich auch noch nicht ganz dran gewöhnt, dass es jetzt vorbei ist und ich jetzt so von außen drüber quatschen muss und nicht mehr einfach so wieder jeden Morgen sitzen und weiter schreiben kann. Aber ja, war super. Und ich bin auch froh, dass es jetzt da ist, das Buch.
153000	158000	Was hat das ja mit dir gemacht? Also neben dem Produkt an sich fertigstellen?
159000	170000	Ich glaube, das kann man selber vielleicht gar nicht am besten beschreiben, aber ich glaube, eine gewisse Konsolidierung und ja, ich habe mich so gefreut, dass mich plötzlich lauter Sachen wieder überraschen können.
170000	190000	Also das ist ja nicht immer gut. Viele meisten überraschungen sind ja schlecht, 2020 besonders. Aber für mich war das war das ein ganz tolles, besonderes Jahr. Und unter anderem, weil so viel unglaublicher Scheiß in der Welt passiert ist und man so außer Atem war, fand ich es ein verrücktes Glück, da zu sitzen und nichts anderes zu tun zu haben, als da drüber nachzudenken.
190000	209000	Also das passiert und man nicht einfach nur so morgens kurz die Zeitung aufmachen und denkt so Gott, ich muss irgendwie klarkommen, sondern denkt so krass, nichts funktioniert mehr, aber immerhin kann ich jetzt gucken, welche Worte dazu passen oder mit welchen Texten ich was anfangen kann, wie man irgendwie was besser verstehen kann, anstatt immer nur überrascht zu sein.
209000	221000	Auch mal so zu denken, okay, ist vielleicht alles nicht so überraschend, wenn man sich klarmacht, wie das so alles läuft. Genau, das war alles ziemlich schön. Also ja, war super, in der Hinsicht ein super Jahr, obwohl mir das ein bisschen unangenehm ist.
221000	231000	Der Buch heißt Revolution für das Leben. Ist es normal, dass deutsche Philosophinnen über Revolution schreiben? Das höre ich gar nicht so oft. Ich meine, es waren ja schon jetzt ein paar Philosophinnen bei uns zu Gast.
231000	251000	Also ich kann dir gleich noch ein paar coole andere empfehlen, die das auch machen. Also Bini Adamczak, Daniel Leuk so halbwegs. Also alle, also auch Raleighi, meine vorige Chefin, die so in der Tradition der kritischen Theorie arbeiten, interessieren sich natürlich generell für gesellschaftlichen Wandel und wenn man schon dabei ist, dann auch mal für den Maximalbegriff.
251000	254000	Was fasziniert dich an Revolution?
254000	282000	Also ich glaube tatsächlich einerseits das Weitreichende, also das zumindest im Denken offen zu halten, dass alles ganz anders sein könnte. Ein Stück weit bin ich auch ein bisschen darüber, also erst durch Reaktionen anderer Leute darauf aufmerksam geworden, dass das irgendwie ein krass mutiges, weitreichendes Thema sein soll, denn auf eine Art sind ja Veränderungen im Sozialen was ganz normales. Also es gibt ja keine Welt ohne Revolution.
282000	300000	Man könnte sogar sagen, die Moderne insgesamt ist ein Produkt von Revolution. Alle Institutionen, die wir jetzt haben, demokratisches, politisches System, sind alles revolutionäre Geburten. Insofern schien es mir irgendwie komisch zu denken, das ist jetzt vorbei, der Begriff kommt auf den Müll, ab jetzt ändert sich nichts mehr.
300000	302000	Ende der Geschichte, wir brauchen keine Revolution mehr.
302000	329000	Genau, genau. Und das war ja irgendwie ein ziemlicher Flop, so, das ist ja jetzt inzwischen schon sehr oft begraben worden, das Ende der Geschichte. Andererseits glaube ich, kann man beobachten, dass die Geschichte, die seitdem passiert, also als möglicher Finanzkrise fortschreitende Klimakatastrophe, Erderwärmung, jetzt auch so was wie Corona, dass das nicht in dem Modus passiert, in dem sich klassische Theorien der Revolution Geschichte vorstellen, nämlich so, dass Menschen die machen und dass es gezielt ist und man sich irgendwie der ...
329000	349000	Kräfte, die die Menschheit bewegen, bewusst wird, gewahr wird, die annimmt, die steuert, ja, also na dann jente irgendwie, da passiert zwar was, aber das passiert nicht in dem Modus der Geschichte. Und insofern ist das glaube ich schon auch noch ein fernliegender Begriff und Begriffe wie Katastrophe oder sowas haben vielleicht mehr Konjunktur oder Kollaps oder sowas.
350000	376000	Aber mich hat unter anderem, als ich in dem vorigen Buch mehr über den Modus und das Wie des Wandels nachgedacht habe, jetzt an dem neuen geht es ja mehr um wen, also wer trägt da was voran und wie könnte das aussehen und was ist jetzt falsch, aber als ich eher so abstrakt über die Form nachgedacht hat, hat mich auch motiviert, dass ich fand, es sind so viele absurde Konzeptionen von Revolution im Umlauf.
376000	404000	Und sozusagen so Vorstellungen, gerade weil Ende der Geschichte nichts passiert mehr, wir können unser Leben nicht gut selbst gestalten, haben dann diejenigen, die den Begriff noch propagieren, eher so Vorstellungen von riesiges Ereignis, ja, Bruch, großer Klatterradatt von außerhalb und das, das scheint mir irgendwie Ausdruck der Hilflosigkeit zu sein, sich vorzustellen, wie aus dem ganz Alltäglichen und dem Zehen und dem, wo sich immer nichts bewegt, trotzdem was Neues werden konnte.
405000	420000	Und das war dann so das Theoretische, was mich interessiert hat, hatte ich im vorigen Buch diese Thesen, das kommt zum Teil aus den Zwischenräumen, das kommt aber auch darauf an, dass es bestimmte Strukturen, bestimmte Konstellationen gibt, wo Sachen so zusammenkommen, dass man irgendwas umfunktionieren kann.
420000	443000	Also da muss was da sein, was sich dann anders aneignen lässt und dann haben die Leute natürlich immer gefragt, ja, aber was denn, wo denn, wer sind denn die Zwischenräume so und daraus ist dann jetzt das neue Buch geworden, das ganz klassisch eigentlich für die kritische Theorie eine Bewegungsdiagnose hat und sich anguckt, was es für soziale Bewegungen gibt und was die vielleicht auszeichnet und besonders macht im Vergleich zu früheren.
451000	458000	Aber wie ihr uns unterstützen könnt oder sogar Produzenten werdet, erfahrt ihr in der Podcast Beschreibung, zum Beispiel per PayPal oder Überweisung und jetzt geht's weiter.
458000	463000	Jetzt hast du schon zweimal kritische Theorie gesagt, kannst du kurz erklären, was das sein soll?
463000	470000	Das ist gewissermaßen meine akademische Kinderstube, also die Tradition, in der ich erzogen bin und gearbeitet habe.
470000	478000	Also Frankfurt der Schule, so Namen, die seit Marx her und Hegel darüber nachdenken.
478000	489000	Einerseits, also eine Sache, die ganz wichtig ist, zu der ich aber sogar immer auch eher ein gespaltenes Verhältnis habe, ist die Vorstellung, Sachen als Gesamtheit zu verstehen.
489000	498000	Also nicht hier ein Phänomen und da eine Sache, sondern zu denken, irgendwie hängt das ganze Zeug zusammen und es kommt darauf an, diese Art von Zusammenhänge zu verstehen.
498000	502000	Das ist eine Grundprämisse, Grundannahme der kritischen Theorie.
502000	517000	Und das andere ist die Vorstellung, dass es schon sowas gibt wie ein Denken, dass die Emanzipation oder die geschichtlichen Kräfte, die versuchen, das Leben besser zu machen, begleitet oder kritisch reflektiert.
517000	521000	Also es heißt nicht, dass man einfach immer sagt, hier, ich gucke drauf und die Leute machen das richtig und die falsch.
521000	523000	Also das kann man ja auch gar nicht sagen, das ist auch absurd.
523000	529000	Aber dass man in so einer Art Wechselspiel mit den Bewegungen über Bewegungen nachdenkt.
529000	536000	Also insofern ist man dann immer schon ganz nah an der Revolution, weil es um die Gesellschaft in ihrem Wandel geht.
536000	546000	Aber wie dann der Wandel stattfindet, darüber gibt es dann große Debatten und da gab es sozusagen eine frühere oder es gibt eine klassische Auffassung.
546000	550000	Die davon ausgeht, es gibt sowas wie geschichtliche Widersprüche, die das Ganze vorantreiben.
550000	559000	Das ist dann schon mit dem ersten Faschismus viel, also so Leuten wie Adorno und Walter Benjamin, unplausibel geworden.
559000	567000	Ein Stück weit oder jedenfalls sehr viel schwieriger zu denken, weil die Welt erstmal gar nicht nach Fortschritt aussah oder gar nicht so aussah, als ob die Widersprüche sich lösen,
