start	end	text
0	3000	So, eine neue Folge Junge Naiv. Ich habe einen neuen Gast. Wer bist du?
3000	7000	Mein Name ist Helga Baumgarten und ich komme aus Jerusalem.
7000	10000	Gestern aus Jerusalem in Berlin angekommen.
10000	11000	Was machst du hier?
11000	17000	Ich werde einen Vortrag halten bei der Konferenz von Marx ist Muss.
17000	18000	Morgen früh.
18000	20000	Okay. Und du kommst aus Jerusalem?
20000	28000	Ja, ich wohne seit 35 Jahren. Nee, 37 Jahre sind es inzwischen. In Jerusalem.
28000	29000	Warum?
29000	36000	Nun, ich bin Spezialistin speziell für palästinensische Geschichte,
36000	41000	palästinensische Nationalbewegungen, palästinensische Organisationen.
41000	44000	Und da ist ein Aufenthalt unten natürlich immer sehr gut.
44000	50000	Und ich habe eine Stelle an der Universität Birzeit bekommen und habe dort jahrelang unterrichtet.
50000	51000	Machst du das immer noch?
51000	55000	Jetzt bin ich immer irritiert, wie man das so schön nennt.
56000	65000	Aber ich habe noch Studentinnen, die ich bei der Doktorarbeit betreue und bin natürlich ständig in Kontakt mit der Universität.
65000	72000	Wie ist die Stimmung an der Uni? Birzeit ist in der Westbank.
73000	80000	Birzeit ist in Normalzeiten eine halbe Stunde nördlich von Jerusalem.
80000	95000	Seit spätestens der zweiten Intifada, also 2000, 2001, weiß man nie, wie lange man braucht von Jerusalem nach Birzeit.
95000	99000	Das kann man in einer Stunde schaffen. Es kann aber auch drei oder vier Stunden dauern.
99000	104000	Oder man kann überhaupt nicht ankommen wegen der Straßensperren durch die Armee.
104000	112000	Die Stimmung betrügt einerseits wütend und entsetzt andererseits.
112000	123000	Die Studentinnen und Studenten, der ganze Lehrkörper, sind entsetzt über das, was im Gaza-Streifen passiert.
123000	127000	Die Zerstörung sämtlicher Universitäten im Gaza-Streifen.
127000	132000	Und die Haltung der westlichen Regierungen.
132000	143000	Also an erster Stelle der USA und an zweiter Stelle wird immer Deutschland genannt, Europa, wegen der Waffenlieferungen für einen Völkermord im Gaza-Streifen.
143000	146000	Völkermord ist da schon entschieden?
146000	165000	Nun, der internationale Gerichtshof hat jetzt rein rechtlich argumentiert, dass genügend Gründe da sind, um die Bezeichnung Völkermord plausibel zu halten.
165000	171000	Die Entscheidung des internationalen Gerichtshofes dauert manchmal Jahre.
171000	181000	Aber ich stütze mich hier auf die Einschätzung von der ganzen Serie von bekannten Holocaust-Forschern.
181000	186000	Zuletzt zum Beispiel Amos Goldberg von der Hebräischen Universität in Jerusalem.
186000	193000	Der hat gesagt, wenn etwas Völkermord ist, dann ist es das, was Israel im Gaza-Streifen macht.
193000	196000	Ganz neu letzte Woche erschienen.
196000	199000	Aber das ist eine einzelne Meinung und auch deine Meinung.
199000	206000	Aber es ist ja noch nicht gerichtlich festgestellt worden, der IGH hat die Anklage angenommen.
206000	208000	Also die prüfen das jetzt.
208000	214000	Aber ist es jetzt als Wissenschaftlerin schlau, davon zu reden, dass das ein Völkermord ist?
214000	218000	Ich würde sagen, wir sind Politologen. Ich bin Politologin.
218000	231000	Ich muss nicht warten, bis ein Beschluss des internationalen Gerichtshofes rauskommt, um das Ganze hundertprozentig rechtlich abzudecken.
231000	235000	Also ich sehe einfach, was sagen verschiedene Spezialisten.
235000	244000	Was sagt zum Beispiel Francesca Albanese, die für die Menschenrechte der Palästinenser in den besetzten Gebieten zuständig sind?
244000	250000	Was sagen zum Beispiel Holocaustforscher wie zuletzt Amos Goldberg?
250000	265000	Und ich würde mich da anschließen und wir als Politologen fällen Urteile ohne notwendigerweise auf die letzte rechtliche Abdeckung zu warten.
265000	277000	Als Politologe habe ich ja auch die Aufgabe, Dinge beim Namen zu nennen, zu provozieren, um etwas zu verändern.
277000	294000	Ich meine, wenn man anschaut, was beim internationalen Gerichtshof gelaufen ist, war das Ziel ja ganz klar, Israel zu stoppen in dem, was es macht gegen die Menschen im Gaza-Streifen.
294000	310000	Ich gehe da einen Schritt weiter und kritisiere die Politik überall durch meine Schriften, durch meine Vorträge, um auf der Ebene der Politik eine Änderung bewirken zu können.
310000	312000	Bist du ein Aktivistin?
312000	327000	Nein, ich bin eine Wissenschaftlerin, die ihre wissenschaftliche Aufgabe insofern wahrnimmt, dass ich mit vielen anderen Wissenschaftlern der Meinung bin,
327000	347000	Wissenschaft hat auch den Auftrag zu kritisieren auf der Basis von möglichst umfassenden Informationen, historisch, politisch, und auf dieser Basis hinzuwirken auf Veränderungen.
347000	355000	Ich meine, es gibt einige Stimmen aus dem politikwissenschaftlichen Raum, die deine Meinung unterstützen.
355000	360000	Da könnte ich ja sagen, Herr Geier, da gibt es genauso viele, die sagen, das ist Quatsch.
360000	367000	Also klar, da finden Töten statt, das ist Krieg, aber jetzt schon überhaupt von Vollkommener zu sprechen, das ist übertrieben.
367000	369000	Also die lehnen das alles ab.
369000	375000	Und dann gibt es Leute, die im Graubereich sind und sagen, das könnte passieren, wir müssen aufpassen, dass das nicht passiert.
375000	377000	Die haben dann keine Ahnung?
377000	388000	Nein, mit denen muss man diskutieren. Das heißt, das läuft ja ab in der Wissenschaft, dass wir Dinge schreiben, andere Kollegen schreiben dagegen,
388000	398000	und dann tauscht man sich aus, diskutiert, analysiert, was nun die Politik betrifft oder die politische Ebene.
398000	407000	Da würde ich sagen, da stimme ich überein mit sehr vielen Kolleginnen und Kollegen, Politikwissenschaftlern.
407000	413000	Ich nenne jetzt zum Beispiel aus den USA John Merschheimer, Noam Chomsky, Stephen Walt.
413000	417000	Da muss man einfach klar reden und was.
417000	420000	Aber da suchst du dir die Leute aus, die deine Meinung unterstützen?
420000	429000	Nein, da suche ich mir die Leute aus, die wirklich aktiv sind auf der Basis von ausgezeichneten Analysen
429000	436000	und die gegen mich argumentieren, die gegen die argumentieren. Mit denen muss man diskutieren.
437000	439000	Das macht man in der Wissenschaft.
439000	443000	Was sind denn die Gründe aus deiner Sicht, warum das Völkermord ist?
443000	456000	Nun, wenn wir die Definition von Völkermord nehmen, dann brauchen wir Nummer eins, wie das Südafrika vorgebracht hat,
456000	461000	eine klar erkennbare Absicht auf der Ebene der Regierung.
461000	471000	Und Südafrika hat reihenweise Zitate angeführt, das ist von allen aufgenommen worden, inklusive von mir,
471000	483000	Amos Goldberg zuletzt, wo klar gesagt wird, wir müssen Gaza in Grund und Boden bomben.
483000	490000	Die sind alle mitschuldig, von denen darf keiner überleben, die müssen vertrieben werden.
490000	499000	Das zweite Moment ist, es richtet sich ganz klar gegen eine definierte Gruppe.
499000	504000	Das sind die Palästinenserinnen und Palästinenser im Gaza-Streifen.
504000	514000	Und die versucht man durch die Zerstörung ihrer Häuser, ihre Universitäten, ihre Schulen,
514000	521000	ihre ganzen Lebensgrundlage, ihre Kultur zu zerstören.
521000	531000	Wenn man das alles zusammennimmt, das entspricht eindeutig der Völkermord-Definition.
531000	539000	Das hast du gerade am Anfang gesagt, es muss nachgewiesen werden, dass es Absicht ist von israelischer Seite.
539000	545000	Wo siehst du da den Nachweis der Absicht?
545000	554000	Wenn der Premierminister wie Benetanyahu, wenn der Präsident Herzog, wenn der Verteidigungsminister,
554000	565000	wenn Minister wie Ben-Kmir und Smotrich, wenn die alle genau in diese Richtung argumentieren,
565000	573000	und die Zitate sind absolut schockierend, da bekommt man Angst, wenn man so etwas liest.
573000	578000	Ich meine, in israelischen Zeitungen selber, wie Haaretz wird argumentiert,
578000	585000	jeder Minister in einem anderen Land, der so etwas sagen würde, müsste entlassen werden.
585000	595000	Und hier haben wir die gesamte Regierung von Benetanyahu und dem Präsidenten angefangen, bis zu verschiedenen Ministern.
595000	604000	Ich glaube, ich weiß nicht, ob es die ganze Regierung ist, die sich so äußert, es gibt ja diese Bibelstelle von Benetanyahu,
604000	614000	dann Herzogs, natürlich gibt es viele Aussagen aus der Regierung, aber wir wissen das ja selber hier aus Deutschland,
614000	618000	das eine sind die Worte von Regierungsmitgliedern, das andere sind die Taten.
618000	627000	Beides passt zusammen, wir haben die Worte und die werden seit Oktober im Gasserstreifen umgesetzt.
628000	636000	35.000 Tote, fast 15.000 Tote Kinder, keine einzige Universität im Gasserstreifen, die noch steht.
636000	641000	Das kulturelle Erbe in Gaza ist zerstört, da ist nichts mehr übrig.
642000	647000	Hey Leute, der heutige Supporter dieser Sendung ist ihr alle.
647000	654000	Und ihr alle seid die beste Unterstützung für unabhängigen, kommerzfreien Politikjournalismus auf dem Publikumsmarkt.
654000	660000	Und darum bin ich ein Fan davon, also ein Fan von euch. Macht weiter so, per PayPal oder Überweisung.
660000	662000	Danke dafür und jetzt geht es weiter.
663000	670000	Ja, damit du Völkermord das nennen kannst, muss es aber die nachgewiesene Absicht geben.
670000	676000	Da reichen doch eigentlich nicht nur die Zitate von den Ministern, die das ja auch an die Öffentlichkeit geben.
676000	684000	Wir wissen ja nicht, ob das tatsächlich dann die Handlungsbasis der IDF, der israelischen Armee ist.
684000	687000	Das vermutest du, oder?
687000	698000	Wir haben relativ klare Aussagen auch von Soldaten, die unten waren, was die Befehle waren, was sie machen sollten.
698000	710000	Und wir haben Bilder von Soldaten, die feiern über die Untaten, die sie in Gaza verbracht haben.
710000	716000	Ich denke, es ist das einfachste der Welt, das nachzuweisen.
716000	722000	Das ist der schwerste Vorwurf, den man quasi in der Politik oder in der Geopolitik machen kann.
722000	724000	Und du sagst, das ist das einfachste, was es gibt.
724000	727000	Nein, ich sage, es ist sehr einfach.
727000	734000	Ich sage, es ist sehr einfach, das nachzuweisen und das zu zeigen.
734000	743000	Der legale Nachweis seitens des Internationalen Gerichtshofes wird dauern.
743000	754000	Der Beweis dafür, dass es stattfindet vor Ort und dass es eine Absicht war, das ist, so denke ich,
755000	768000	überzeugend nachzuweisen und wir sollten nicht vergessen, der internationale Strafgerichtshof debattiert momentan darüber,
768000	780000	Netanyahu und andere Regierungsmitglieder also einen Haftbefehl gegen die auszustellen, wegen ihrer Beteiligung.
780000	786000	Da wissen wir natürlich, das ist ein Unterschied, was vom Internationalen Gerichtshof kommt.
786000	793000	Da geht es um Völgemord, was vom Internationalen Strafgerichtshof kommt.
793000	801000	Da geht es um klare Verbrechen, die begangen worden sind.
801000	802000	Genau.
802000	803000	Also beides.
803000	809000	Von beiden Seiten kann man ja davon sprechen, wir erleben da auch Kriegsverbrechen, vielleicht sogar Verbrechen gegen die Menschlichkeit.
809000	816000	Aber wenn es um Völgemord geht, da muss man auch gerade aus deutscher Sicht vielleicht ein bisschen sensibel mit umgehen.
816000	821000	Geht es da nicht auch eine Stufe tiefer? Muss man von Völgemord sprechen?
821000	834000	Nun, ich würde sagen, ich als deutsche Wissenschaftlerin hätte sicher nicht als Erste so argumentiert.
834000	852000	Aber ich argumentiere inzwischen so zusammen mit israelischen und internationalen Wissenschaftlerinnen auf der Basis des Punktes, den der Internationalen Gerichtshof erreicht hat.
852000	862000	Und ich denke, es ist auch einfach wichtig, mit diesem schwersten aller Vorwürfe zu arbeiten.
862000	872000	Wir wollen das Gemetzel in Gaza stoppen. Und das ist auch ein Ziel von Politikwissenschaftlern.
872000	877000	Kann man das nicht stoppen wollen, ohne gleich den Genozid auszupacken?
877000	885000	Dass das ein völlig überproportionaler Krieg ist, das steht ja glaube ich außer Frage.
885000	892000	Das sagen ja selbst die Amerikaner und die Deutschen. Und dass dort auch Vertreibungsziele verfolgt werden.
892000	897000	Der Palästinenser, das ist ja auch offen. Aber die Absicht eines Genozids.
898000	908000	Wie gesagt, für mich steht sie klar fest. Und ich denke, wir müssen so argumentieren.
908000	917000	Und es reicht nicht zu sagen, überproportional und eventuell wollen die die Leute vertreiben.
917000	926000	Wir haben in Israel eine Struktur, die nennt sich Siedlerkolonialismus.
926000	940000	Und dieser Siedlerkolonialismus hat zum Ziel, dass in diesem ganzen Israel, das Israel seit 1967 vollständig beherrscht,
940000	950000	Souveränität ausübt, also berühmtes Schlagwort, from the river to the sea, das ist unter israelischer Souveränität.
950000	959000	Dort soll speziell unter der jetzigen Regierung Netanyahu und den Ministern entweder kein Palästinenser mehr leben.
959000	973000	Die sollen am besten gehen. Oder sie sollen ohne jegliche Rechte unter israelischer Herrschaft leben und vor allem arbeiten.
973000	980000	Und wenn sie zu beidem nicht bereit sind, dann müssen sie eben umgebracht werden.
980000	988000	Das können Sie nachlesen bei Herrn Smotrich, Finanzminister in Israel.
988000	993000	Das ist ein Programm, was er 2017 schon verfasst hat.
993000	998000	Und er weist immer darauf hin, dass muss im Gaserstreifen stattfindet.
998000	1003000	Und man beginnt inzwischen damit, das auch in der Westbank durchzuführen.
1003000	1010000	Was spricht denn aus deiner Sicht, nichts ist schwarz-weiß, was spricht aus deiner Sicht dann dagegen, dass es Völkermord ist?
1010000	1018000	Was dagegen spricht? Gar nichts. Tut mir leid. Ich meine, ich habe viele...
1018000	1022000	Bei dir gibt es nur Pro-Argumente, aber keine Kontra-Argumente.
1022000	1029000	Also ich kenne zum Beispiel nicht, dass es konkrete militärische Akte gibt mit genozidaler Absicht.
1029000	1033000	Die kenne ich nicht. Die unterstellen wir denen, aber die kennen wir nicht.
1033000	1038000	Und das ist doch eine Grundvoraussetzung für den Genozidvorwurf.
1038000	1047000	Und gerade als Wissenschaftlerin würde ich von dir erwarten, dass du sagst, okay, das muss man abwägen und ich komme in der Abwägung zu deinem Urteil.
1047000	1050000	Aber du hast da nichts abzuwägen, oder?
1050000	1061000	Natürlich, ich bin nicht vom 7. Oktober an aufgetreten, habe gesagt, Völkermord, Völkermord, Völkermord, Völkermord,
1061000	1070000	sondern das hat einen ganzen Prozess gebraucht, bis es Tag für Tag schlimmer wurde,
1070000	1083000	bis wir sahen, dass hier nicht wie zunächst von Israel proklamiert wurde, gegen Hamas-Mitglieder vorgegangen wurde,
1083000	1095000	sondern man hat gesehen vor Ort, für die israelische Armee ist im Grunde genommen jeder Mensch in Gaza ein Hamas-Mitglied.
1095000	1105000	Wenn man mit künstlicher Intelligenz, da gibt es jetzt zum Beispiel das Lavender-Programm, was israelische Wissenschaftler,
1105000	1120000	die Journalisten waren das, aufgedeckt haben, wo man eine Person, von der man vermutet, dass sie ein Hamas-Aktivist ist,
1120000	1132000	das müsste ja dann immer ein Militär sein, wo der angegriffen wird und es völlig akzeptabel ist, in Anführungszeichen,
1132000	1139000	dass er 100 oder mehr Leute gleichzeitig mit sich in den Tod reißt.
1139000	1149000	Oder es gibt den zweiten Befehl, auch künstliche Intelligenz, was auch jetzt ganz neu nachgewiesen wurde, das heißt Daddy is home.
1149000	1164000	Das heißt, wenn durch die Überwachung ein Kind sagt auf Arabisch, du bist zu Hause, dann wird bombardiert und dann geht eben die gesamte Familie mit drauf.
1164000	1180000	Wenn Sie den Stadtteil Rimal sehen, wenn du den Stadtteil Rimal siehst, da bin ich sehr, sehr viel hingekommen, da in Gaza steht kein einziges Haus mehr.
1180000	1192000	Ich kannte zum Beispiel Haydar Abdel Shafi, einen wichtigen palästinensischen Politiker, der mit Hamas nicht das geringste zu tun hat.
1192000	1206000	Er ist von Haus aus Kommunist, hat den palästinensischen Ruden Halbmond geleidet, sein Sohn ist jetzt palästinensischer Botschafter in Wien.
1206000	1217000	Das Haus, es steht nichts mehr. Das heißt, die Zerstörungen sind nicht einfach nur Bombardierungen, wo da eine Ruine steht.
1217000	1226000	Da ist nichts mehr übrig, gar nichts mehr. Wie wollen Sie sowas nennen?
1226000	1233000	Was erleben wir da auch in der Ukraine, wenn die Russen zivile Gebiete angreifen und so weiter?
1233000	1239000	Da hüten wir uns ja glaube ich auch, dass Russland dann Völkermord begeht in der Ukraine.
1240000	1247000	Die Bilder in der Ukraine, wenn man sie vergleicht mit den Bildern in Gaza.
1247000	1255000	Da gibt es genug Zitate auch von Putin und der russischen Regierung, wie sie das ukrainische Volk, die Existenzberechtigung, absprechen und so weiter.
1255000	1263000	Also muss man dann den Konsequenzen nicht auch von russischen Völkermord an der Ukraine sprechen, nach deinen Kriterien?
1263000	1269000	Nun, ich bin keine Ukraine-Spezialistin und müsste das alles verfolgen.
1269000	1284000	Soweit ich das sehe, seitens von wissenschaftlicher Sicht, ist das nicht so definiert worden, wie man das im Gazastreifen gemacht hat.
1285000	1293000	Was mit Hamas? Wollen die dann nach deinen Kriterien nicht auch einen Völkermord an den Juden und Israel begehen?
1293000	1298000	Ich kann dir die Zitate alles vorlesen, die Taten sind bekannt.
1298000	1311000	Nun, jetzt kommen wir auf die andere Seite. Die Palästinenser Nummer 1, die Hamas im Besonderen, den 7. Oktober.
1311000	1318000	Und was die Hamas damit machen wollte.
1318000	1322000	Oder gemacht hat oder machen wollte.
1322000	1327000	Wir können ja nur, genauso wie auf der israelischen Seite, nur das bewerten, was passiert.
1327000	1335000	Richtig, wir können beides sehen. Wir können sehen, was gesagt wurde, was im Programm steht und was gemacht worden ist.
1335000	1352000	Wir haben, um jetzt von Programmen zu reden, das Programm der Hamas aus dem Jahre 2017, wo es ganz klar formuliert ist und von allen Gremien der Hamas abgesegnet.
1352000	1361000	Unser Kampf geht gegen die israelische Besatzung. Unser Kampf richtet sich nicht gegen Juden.
1361000	1370000	Nummer 2, am 7. Oktober. Was Hamas am 7. Oktober gemacht hat, sind drei Dinge.
1370000	1376000	Nummer 1, sie sind ausgebrochen aus dem Gefängnis Gaza.
1376000	1393000	Und Gaza ist seit 2006, wenn wir nicht zurückgehen zu 1991, 1992, ein riesen Freiluftgefängnis, wo die Leute kaum raus und kaum reinkommen.
1393000	1402000	Und nur mit minimaler Versorgung leben können.
1402000	1418000	Nummer 2, sie haben die ganzen Militärpositionen an der Grenze zum Gaza-Streifen überrollt und dort gegen israelische Soldaten gekämpft.
1418000	1439000	Nummer 3, und hier beginnt das Problem. Sie sind wahrscheinlich überrascht von dem mangelnden Widerstand der Armee in die um die den Gaza-Streifen umschließenden Kibbutzim und Ortschaften eingedrungen.
1439000	1455000	Und dort sind rein weiße Kriegsverbrechen passiert. Nun in den Kibbutzim gibt es Sicherheitskräfte, die bewaffnet sind und es gab sehr viele Auseinandersetzungen.
1455000	1475000	Und viele Zivilisten sind umgebracht worden. Nach den letzten Statistiken, die ich habe, sind es etwa 780 Zivilisten und etwa 350 bis 380 Armeeangehörige und Sicherheitsleute.
1475000	1488000	Am selben Tag, und das wird oft vergessen, sind 1600 Hamas-Militante umgebracht worden in diesen Auseinandersetzungen und 200 wurden gefangen genommen.
1488000	1500000	Was die Hamas gemacht hat, wenn sie oder als sie die Kibbutzim angegriffen hat, sind ohne Zweifel Kriegsverbrechen mit die Schlimmsten passiert.
1500000	1514000	Als die Leute aus dem Festival, dem Nova Rave, geflüchtet sind und an den Bushaltestellen, an der Hauptstraße, die Richtung Norden führt, gibt es Shelters.
1514000	1525000	Da sind Leute rein und da haben Hamas-Militante Bomben reingeworfen. Das sind etwa 100 Opfer. Das ist natürlich absolut nicht akzeptabel.
1525000	1538000	Man kann das jetzt alles, denke ich, bestens nachverfolgen auf dem Dokumentarfilm, den Al Jazeera gemacht hat.
1538000	1552000	Das ist inzwischen auch mit deutschen Untertiteln zu bekommen. Der Dokumentarfilmer ist Richard Sanders, einer der wichtigsten Dokumentarfilmer, den es weltweit gibt.
1552000	1570000	Aber das sind ganz eindeutig Kriegsverbrechen. Das Hamas-Vorhabe, alle Juden zu vernichten, denke ich, kann man an keiner Stelle zeigen.
1570000	1592000	Die Menschen, die umgebracht wurden und die auch entführt wurden, da sind viele Ausländer dabei. Arbeiter aus den Philippinen, selbst einige palästinensische Beduinen, die auf Kipuzim gearbeitet haben, sind erschossen worden und sind gefangen genommen von Hamas.
1592000	1596000	Allein schon, wenn man die Opfer nimmt...
1596000	1606000	Die Allermeisten waren natürlich jüdische Israelis, die getötet wurden. Auch die 5500 Verletzten waren die allermeisten Juden, jüdische Israelis, die im Allermeisten geiseln.
1606000	1625000	Nur, was viel vergessen wird in der Argumentation, Hamas und generell alle Kämpfer kämpfen nicht gegen Juden, sie kämpfen gegen eine koloniale Unterdrückung.
1625000	1639000	Das heißt, wenn die Unterdrückung durch Polen stattfinden würde, dann würden sie gegen Polen kämpfen. Wenn die Unterdrückung durch, was weiß ich, Türken stattfinden würde, würden sie gegen Türken kämpfen.
1639000	1664000	Die Unterdrückung wird durch Israel verübt, deshalb geht es gegen Israel und nicht gegen Juden, wo immer sie sein sollten und die Angriffe richten sich nicht, weil Israel Juden sind, sondern weil der Staat Israel die Palästinense unterdrückt.
1664000	1691000	Schlicht und einfach. Und das kann man, denke ich, sehr klar nachweisen. Es gibt innerhalb der Hamas auch in ihren Programmen eine Entwicklung, diese berühmt-berüchtige Carta 1988, da wird Wild mit antisemitischen Vorurteilen und Texten aus Europa argumentiert.
1691000	1707000	Das ist durch das Wahlprogramm 2005 schon Parlamentswahlen, die die Hamas gewonnen hat, eigentlich überholt und man hat das dann schließlich im Programm 2017 ganz klar niedergelegt.
