start	end	text
0	2500	So eine neue Folge, Junge Naif. Ich habe einen neuen Gast. Wer bist du?
2500	3500	Oliver.
3500	4500	Hast du einen ganzen Namen?
4500	5500	Nachtweil.
5500	7500	Oliver Nachtweil, was machst du so?
7500	10500	Ich bin Soziologe in Basel.
13500	18500	Ich forsche viel zu sozialen Konflikten, Protesten, Arbeit.
19500	24500	Früher auch noch mehr zu Mitbestimmung und industriellen Beziehungen.
24500	28500	Jetzt habe ich das Privileg, mich dahin treiben zu lassen,
29000	32000	wohin es mich gerade interessiert.
32000	35000	Warum interessiert dich das, was du machst?
36000	40000	Um es mit Sigmar Gabriel zu sagen, mich interessiert meistens das,
40000	43000	wo es etwas, also ich muss es anders sagen.
43000	45000	Also Sigmar Gabriel hat mal auf dem Parteitag gesagt,
45000	48000	die SPD soll dahin gehen, wo es stinkt und dreckig ist.
48000	52000	Und das hier wäre jetzt schon die ganz falsche Stufe.
52000	54000	Aber mich interessiert es da.
54000	55000	Der Geschlank.
55500	59500	Ja genau, mich interessiert es, wo es unordentlich ist
59500	63500	und wo gesellschaftliche Normalität außer Kraft gesetzt ist,
63500	67500	wo Menschen sich wehren und wo gearbeitet wird.
67500	71500	Und dann ist man doch ein bisschen beim Gestank und wo es dreckig ist.
71500	75500	Mich interessieren die Fabrikhallen, die Fleischfabriken,
75500	80500	die verschiedenen Dienstleister von Fahrradkurieren,
80500	83500	also da auch, wo geschwitzt wird.
84000	86000	Warum interessiert dich das?
87000	94000	Ja ich glaube, weil da Gesellschaft ganz wesentlich immer wieder hergestellt wird
94000	101000	und das eigentlich aus dem Blick gerät bzw. gar nicht so richtig im Blick ist.
101000	104500	Und als Soziologe habe ich jetzt die Möglichkeit,
104500	108000	das auch ein bisschen in den Blick zu nehmen, was so im Alltag passiert.
108000	111000	Also wir haben ja während der Pandemie,
111500	117500	da wurde den Pflegekräften zu Recht von den Balkonen zugeklatscht,
117500	123500	weil man dann auch gesehen hat, dass die, wie Angela Merkel gesagt hat,
123500	125500	den Laden im Laufen halten.
125500	128500	Aber ich finde eben, es sind nicht nur die Pflegekräfte,
128500	130500	wo ich auch viel zugemacht habe,
130500	136500	sondern es ist diese ganze Sphäre der Reproduktion der Gesellschaft.
136500	138500	Das interessiert mich.
138500	142000	Warum ist das so? Warum ist da dein Interesse und nicht woanders?
142000	146500	Über Soziologen gibt es ja allen möglichen Bereichen,
146500	150000	warum jetzt da, wo es stinkt und dreckig ist?
152000	154000	Ja, ich bin halt ein alter Linker.
154000	159000	Und ich finde, es gibt nach wie vor Ausbeutung in unserer Gesellschaft
159000	162000	und große Ungerechtigkeiten.
162000	166000	Und man kann diese Ungerechtigkeiten beklagen.
166000	169500	Aber als Soziologe würde ich sie auch gerne mal erstmal verstehen.
169500	171500	Und wie funktioniert es denn genau?
171500	173500	Und was denken die Menschen darüber?
173500	176000	Die haben ja in der Regel gar keine Stimme.
176000	180500	Wenn du dir eine Talkshow anschaust oder zu Tilo Jung gehst,
180500	183500	da sind es sehr häufig eloquente Menschen.
183500	187500	In den Talkshows sind meistens die gleichen Menschen.
187500	191500	Aber die Fahrradkurier oder die Leute,
191500	193500	die dann in der Fleischfabrik arbeiten,
193500	197000	die können sich gar nicht eine richtige Stimme verschaffen.
197000	200000	Die sprechen ja häufig nicht mal die gleiche Sprache wie wir,
200000	203000	sondern da braucht man dann Übersetzerinnen dafür.
203000	207500	Und das sind alles Elemente, die ganz wesentlich sind.
207500	211500	Und ich würde gerne eben darin verstehen,
211500	216000	wie Ausbeutung funktioniert, wie Ungerechtigkeit funktioniert.
217500	220000	Und das ist ja auch die Mehrheit der Gesellschaft.
220000	222500	Das ist ja der ganze Witz.
223500	226500	Unsere Gesellschaft wird immer gesagt, das ist eine Gesellschaft...
226500	228500	Die Mehrheit der Gesellschaft wird ausgebeutet?
228500	229500	Ja.
229500	231500	Ja. In Deutschland?
231500	232500	Ja.
232500	235500	Da glauben jetzt die meisten, die jetzt gucken und vielleicht sogar betroffen sind?
235500	238500	Oder werden ja sagen, ich werde ausgebeutet?
238500	240500	Was labert der denn?
240500	244500	Also man kann Ausbeutung natürlich erstmal als moralischen Begriff sehen.
244500	247500	Aber man kann es auch als analytischen Begriff sehen.
247500	252500	Und das war von Karl Marx erstmal seine Herangehensweise,
252500	254500	die Arbeitswelt zu verstehen.
254500	258500	Und das heißt, er sagt, woher kommt der Wohlstand?
258500	260500	Der Wohlstand kommt nicht aus den Maschinen,
260500	262500	sondern der kommt aus menschlicher Arbeitskraft,
262500	267500	aus ihrer Vorausgabung und der Aneignung von dem Menschen,
267500	269500	denen die Produktionsmittel gehören.
269500	275500	Und das heißt, selbst der Werber in einer Agentur,
275500	277500	der einigermaßen gut verdient,
277500	280500	oder auch der Vorarbeiter in einer Fabrik,
280500	283500	der bei VW dann doch auch ein paar mehr Tausend Euro mit nach Hause nimmt,
283500	287500	auch die werden analytisch gesehen ausgebeutet.
287500	289500	Es gibt natürlich soziale Aufstiege.
289500	293500	Und für viele Menschen ist dann diese Form von Ausbeutung
293500	299500	nicht im Alltag als Leiden vorhanden,
299500	304500	weil sie ein Mittelklassewagen fahren, ein kleines Haus haben
304500	307500	und in den Urlaub fahren können.
307500	311500	Trotzdem tragen sie dazu bei, dass der Wohlstand jeweils wächst
311500	317500	und der Wohlstand dann am Ende doch bei einer relativ kleinen Gruppe landet.
317500	320500	Und wenn wir jetzt über Mehrheiten sprechen,
320500	325500	allein in Deutschland arbeiten knapp über 20 Prozent in den Niedriglohnsektoren.
325500	326500	Das heißt...
326500	328500	Eine kleine Minderheit, Oliver.
328500	330500	Das ist eine kleine Minderheit.
330500	335500	Aber das wäre für mich dann schon wirklich eine Form von Klassenbildung in diesen 20 Prozent.
335500	342500	Und wenn du dir anschaust, was man hier so in der Mittelschicht mit nach Hause nimmt,
342500	345500	da bist du jetzt auch nicht...
345500	348500	Ich glaube, das Medialankommen liegt so ungefähr bei...
348500	352500	Du bist schon ein bisschen länger in der Schweiz, aber roundabout 2000 Euro.
352500	357500	Da bist du jetzt nicht auf der Sonnenseite des Lebens.
357500	360500	Da muss man auch jetzt gerade ganz schön gucken.
360500	363500	Musste auch sogar vorher schon gucken, wie es mit dem Konsum ist
363500	368500	und den Investitionen in die Zukunft, der Sorge um die Kinder.
368500	371500	Und das ist für mich alles Ausbeutung.
371500	373500	Ja, vielleicht guckt ja Ulrike Herrmann zu.
373500	375500	Die war ja in der letzten Folge da.
375500	377500	Die hat ja gesagt, klar, wir leben im Kapitalismus Deutschland,
377500	379500	aber Ausbeutung ist da jetzt nicht.
379500	381500	Kein Systemzwang, Oliver.
381500	383500	Sie hat auch Marx zitiert.
383500	388500	Ja, aber ich habe den Eindruck, dass Ulrike Herrmann ganz andere Marx gelesen hat als ich.
388500	391500	Das ist ja das Peter Marx. Du hast Karl Marx gelesen.
391500	394500	Ich weiß es nicht, aber das...
394500	396500	Der Kardinal Marx hat sie gelesen.
396500	401500	Also für Marx ist Ausbeutung das Zentrum, also in diesem analytischen Sinne,
401500	406500	der Aneignung von Mehrwert, von Mehrarbeit.
406500	409500	Das ist auch in modernisierten Gesellschaften,
409500	415500	in Gesellschaften mit einer großen Industrie und einem relativem Wohlstand für uns der Fall.
415500	420500	Man kann analytisch nicht sagen, es gibt keine Ausbeutung und sich auf Marx beziehen.
420500	423500	Also wenn jetzt Rainer Hank sagen würde, es gibt keine Ausbeutung,
423500	429500	würde ich sagen, okay, aus der liberalen Perspektive kann ich das Argument auch gut nachvollziehen und verstehen.
429500	431500	Bei Ulrike Herrmann, das funktioniert nicht.
431500	432500	Gut.
432500	438500	Das ist das Begründet, warum du dich mit all den dreckigen, stinkigen Aspekten unserer Gesellschaft beschäftigst.
438500	440500	Wie lange machst du das schon?
440500	442500	Bin ich jetzt 47?
442500	444500	Ja, 25 Jahre.
