start	end	text
0	2960	So, eine neue Folge Jung-Naiv. Ich habe einen neuen Gast. Wer bist du?
2960	5240	Andrea Maurer. Ich bin Soziologin.
5240	6920	Warum bist du Soziologin, Andrea?
6920	9920	Ah, weil ich wissen wollte, wie Gesellschaft funktioniert.
9920	10920	Hast du das rausgefunden?
10920	12680	Ja.
12680	13440	Machst du einfach?
13440	13840	Ja.
13840	17120	Wie lange hast du dafür gebraucht?
17120	18560	Kannst du das jetzt in zwei Stunden erklären?
18560	23760	35 Jahre. Und ich würde mal sagen, zumindest eine Sache habe ich erkannt.
23760	27000	Ganz einfache Erklärungen reichen nicht hin.
27000	27360	Schade.
27360	35440	Wir müssen schon komplexe Zusammenhänge entdecken. Und aus meiner Sicht ganz wichtig ist auch immer das Verhältnis von Gesellschaft und Wirtschaft.
35440	37000	Warum?
37000	51440	Weil wir Gesellschaft allein nicht verstehen können. Wir müssen immer schauen, wie gesellschaftliche Institutionen sich im Wechselverhältnis mit politischen und auch mit wirtschaftlichen Institutionen aufstellen und auch funktionieren.
51440	54680	Aber ist die Wirtschaft nicht Teil einer Gesellschaft?
54680	64840	Es hängt davon ab, wie wir es beschreiben wollen. Wir können natürlich hergehen und sagen, wir schauen uns an, wie soziale Beziehungen funktionieren, wie soziale Institutionen entstanden sind.
64840	72080	Und analytisch ist es dann, glaube ich, ein ganz guter Weg, sich parallel anzuschauen, wie sind politische Institutionen entstanden.
72080	80640	Also zum Beispiel Freiheitsrechte, Wahlrechte. Und was beobachten wir in parallel in der Entwicklung von wirtschaftlichen Institutionen?
80640	85960	Und da sehen wir dann, dass es durchaus sehr spezifische Konstellationen ergibt.
85960	92960	Deshalb würde ich es schade finden, einfach Wirtschaft als Subsystem von Gesellschaft zu beschreiben. Das wäre zu wenig.
92960	104720	Und das, was du rausgefunden hast, dafür hast du 35 Jahre gebraucht. Warum nicht 34? Oder 20 Jahre? Warum hat das so lange gedauert?
104720	114560	Na, Wissenschaft ist schon, sag ich mal, so um einen alten Klassiker zu zitieren, das langsame, starke Bohrendicker Bretter.
114560	115920	Das hat Max Weber mal gesagt.
115920	121640	Das hat Max Weber mal gesagt und damit wollte er etwas ausdrücken, was ich ganz wichtig finde.
121640	125120	Es ist wie in der Kunst, es ist wahrscheinlich auch wie im Journalismus.
125120	130840	Da steckt ganz viel Fleiß hinter. Wir arbeiten sehr lange, um Dinge zu verstehen, zu beschreiben.
130840	139000	Wir arbeiten uns Werkzeuge, die uns helfen, beschreibende Begriffe zu finden, Thesen zu formulieren, diese Thesen zu prüfen.
139000	150040	Und dann kommt etwas dazu, was jeder wahrscheinlich nachvollziehen kann, der schreibt, der Musik macht, der Gedichte verfasst oder auch einen Schrank baut.
150040	152800	Es gibt dann so den einen Moment, da kommt der Einfall.
152800	158560	Das wollte ich gerade sagen. Also hattest du jetzt nach 35 Jahren so ein Aha-Erlebnis, wo du sagst, ah, jetzt habe ich es verstanden?
158600	165640	Na, ich hatte mehrere Erlebnisse, weil sonst wären die 35 Jahre ja sehr lang. Es waren mehrere.
165640	179960	Aber ich würde schon sagen, so im Vergleich zu dem, was ich als Studentin gedacht habe und wusste und zu dem, wie ich heute denken kann, da ist schon positive Entwicklung zwischen.
179960	181400	Warum?
181400	188200	Na, weil ich jetzt zum Beispiel weiß, dass sich Institutionen nur sehr langsam verändern lassen.
188200	192880	Ich hatte als Studentin immer gedacht, im Sommersemester machen wir dann die Weltrevolution.
192880	196440	Da weiß ich jetzt, so entwickeln sich Institutionen nicht.
196440	204880	Also die Einrichtungen, die wir in der Politik haben, die wir in der Wirtschaft haben oder auch in der Gesellschaft, die haben eine Eigendynamik.
204880	213880	Und die zu erkennen, das Zusammenspiel, das würde ich sagen, auf sowas den Scheinwerfer zu richten, das war ein Aha-Erlebnis.
213880	221200	Ja, aber gut, ist ja irgendwie auch logisch, dass wenn es keinen Umsturz oder eine Revolution gibt, dann sind diese Institutionen halt langsam sich zu verändern, oder?
221200	222040	Ja.
222040	227480	Also muss man vielleicht im Sommersemester tatsächlich einen Umsturzteil beiwirken, damit sich da was tut, oder?
227480	229880	Ja, jetzt kann ich mal sagen...
229880	235040	Also Andrea Maurer sagt jetzt Fridays for Future hier bitte mal Umsturzwagen, damit sich hier was ändert.
235040	240440	Ja, was die Fridays for Future inzwischen sagen, ich war selber in der Studentenbewegung aktiv.
240440	251480	Also ich weiß heute, das sieht man, wenn man so ein bisschen in die Geschichte guckt oder wenn man 35 Jahre hinter sich hat, dass soziale Bewegungen ja ein Auf und Ab kennen.
251480	265920	Das hat man in der Studentenbewegung in den 68ern gesehen, das hat man, sieht man jetzt bei Fridays for Future wahrscheinlich, das hat man auch vorher gesehen in verschiedenen Phasen der Studierendenbewegung, auch in politischen Bewegungen, auch in der Arbeiterbewegung.
265920	270920	Es ist schwierig, soziale Bewegungen aufzusetzen, das kann ich als Soziologin jetzt beschreiben.
270920	282600	Sie müssen dafür Strukturen schaffen, sie müssen die Motivation der Menschen auf Dauer stellen, sie müssen auch Erträge vorzeigen können, von daher würde ich heute sagen, Revolutionen sind ganz selten.
