start	end	text
0	3080	So, an der neuen Folge Jung und Naiv. Ich habe einen neuen Gast. Wer bist du?
3080	4680	Ich heiße Armin Nassehi.
4680	5880	Amir, was machst du?
5880	8200	Ich bin Soziologe an der Universität in München.
8200	9200	Warum bist du das?
9200	11240	Warum ich das bin?
11240	17840	Weil ich Soziologe werden wollte und jetzt bin ich seit fast 25 Jahren dort in München auf einem Lehrstuhl.
17840	19960	Kommst du nicht weg oder nicht weiter?
19960	26520	Da geht man nicht weg. Hätte die Chance gegeben, aber das ist ein spannender Lehrstuhl und da kann man einiges machen.
26520	28320	Warum gerade München?
28320	32720	Also das kann man sich in dieser Karriere ja nicht so richtig aussuchen.
32720	40920	Die Stellen sind rar. Man bewirbt sich und ich würde sagen, ich habe sehr viel Glück gehabt in vielerlei Hinsicht und habe mich in München beworben.
40920	44760	Gar ging nie davon aus, dass ich diese Stelle bekomme und dann ist es doch passiert.
44760	46040	Warum hast du sie bekommen?
46040	55760	Warum? Ich glaube, weil ich im Vortrag, also ich war noch relativ jung da, im Gegensatz zu jetzt und habe schon ein paar Sachen gemacht
55800	58400	und ich dachte, dass die mich wahrscheinlich einfach nochmal so hören wollten.
58400	62400	Und ich glaube, dass ich im Vortrag sehr überzeugend war, weil ich ganz gut reden kann.
62400	66560	Lange Sätze mit vielen Nebensätzen, das Objekt passte zum Prädikat.
66560	70400	Womit hast du denn überzeugt? Außer mit langen Sätzen so grasmäßig?
70400	76320	Ja, ich glaube, dass die Kombination, es ist schwer über sich, über die eigenen Stärken zu reden, aber vielleicht die Kombination,
76320	82320	also einerseits ein theoretischer Soziologe zu sein, andererseits damit auch empirische Forschung zu machen.
82320	84960	Ich glaube, dass das ganz gut funktioniert hat.
84960	86600	Hast du dich jemals geärgert, in München gegangen zu sein?
86600	87600	Nee.
88240	93560	Ja, doch damit, dass mein Sohn Bayern-Fan geworden ist, aber ansonsten ist München okay.
93560	95280	Wie hast du denn das zulassen können?
95280	98160	Ja, das ist eines der großen Trauma da.
98160	100280	Du kommst ja unter anderem aus Gelsenkirchen, also bist du Schalke-Fan?
100280	102200	Ich bin alter Schalke-Fan, klar.
102200	103440	Das sieht ja nicht so gut aus gerade.
103440	104440	Nee.
105440	107640	Womit befasst du dich so als Soziologe?
107640	109440	Ich befasse mich mit unterschiedlichsten Dingen.
109440	114160	Also was mich am meisten interessiert, das ist tatsächlich dieses Großthema-Theorie in der modernen Gesellschaft.
114240	117960	Die beschreibt man eigentlich moderne Gesellschaften, aber ich mache viel empirische Forschung.
117960	121360	Zurzeit machen wir ein DFG-Projekt über Geflüchtete.
121360	125960	Da interessieren wir uns für die Andockstellen, auf die Geflüchtete in der Gesellschaft treffen.
125960	132000	Ich habe sehr lange und sehr viel über Palliativmedizin gearbeitet, viel Medizinsoziologie.
132000	138160	Ich habe ein größeres EU-Projekt gemacht über die Frage, wie aus wissenschaftlichen Ergebnissen und Erkenntnissen
