start	end	text
0	3600	So, eine neue Folge Jung und Naiv. Ich habe einen neuen Gast. Wer bist du?
3600	5100	Ich bin Christine Hannemann.
5100	6300	Was machst du, Christine?
6300	8800	Ich bin Wohnforscherin.
8800	9900	Wohnforscherin?
9900	13100	Genau. Ich beschäftige mich aus der soziologischen Perspektive.
13100	15300	Ich bin Soziologin von der Ausbildung her.
15300	20700	Ich beschäftige mich mit dem Zusammenhang von gesellschaftlichen Verhältnissen und Wohnverhältnissen.
20700	23700	Und zwar das an der Uni.
23700	28000	Ich habe eine Professur für Architektur und Wohnsoziologie.
28000	35600	Und das hat die Besonderung, dass es, die ist in Stuttgart an der berühmten Fakultät für Architektur und Stadtplanung.
35600	41300	Meine ich nicht nur, sondern wer im Fach ist, weiß, ist eine gute, wichtige Fakultät.
41300	46200	Die haben die Besonderheit, dass sie sogar eine Soziologieprofessur haben.
46200	50400	Und 2011 konnte ich die übernehmen.
50400	57800	Und insofern bin ich Soziologin, Wohnforscherin und beschäftige mich aber vor allen Dingen auch mit der Architektur in diesem Zusammenhang.
58000	61400	Ich meine, ich hatte jetzt schon einige oder viele Soziologinnen hier zu Gast.
61400	64800	Aber ich hatte noch nie eine Architektur der Wohnsoziologie.
64800	68500	Ich wusste gar nicht, dass es dieses Fach, dieses Gebiet gibt.
68500	70100	Was müssen wir uns darunter vorstellen?
70100	73900	Das ist auch der einzige Lehrstuhl, der so heißt in Deutschland.
73900	75100	Bist du die einzige Wohnsoziologie in Deutschland?
75100	77000	Nein. Nein, um Gottes Willen.
77000	81800	Es gibt natürlich noch weitere Kolleginnen, die sich mit dem Thema beschäftigen.
81800	93800	Aber in deren Denomination, also so wie der Lehrstuhl heißt, dann heißt das oft Stadt- und Regionalsozialologie oder Planungs- und Architektursozialologie oder was Verbandes.
93800	98000	Oder sozialwissenschaftliche Grundlagen von Architektur und Stadtplanung.
98000	103100	Aber eben diese spezifische Bezeichnung, die gibt es nur an der Uni Stuttgart.
103100	104600	Woher kommt so was?
104600	108400	Also ist das was Neumodisches in der Soziologie?
108400	117800	Die Kollegen, Architekten und Ingenieure, die in der Fakultät vorwiegend tätig sind, die haben sich überlegt, was für eine Art von Soziologie sie haben möchten.
117800	129800	Und zuerst hieß das Fach, als es 1997 eingeführt worden ist, sozialwissenschaftliche Grundlagen der Stadtplanung oder so ähnlich.
129800	131100	Weiß ich gar nicht mehr.
131100	132600	Das ist aber zu unspezifisch.
132600	135200	Und was sind denn sozialwissenschaftliche Grundlagen?
135300	139100	Und es geht ja hier um die Ausbildung von Architektinnen und Stadtplanerinnen.
139100	145600	Und die brauchen nicht keine Theorien, sondern sie müssen wissen, natürlich müssen sie auch theoretische Kenntnisse haben.
145600	153200	Aber die sollten wissen, dass sie für Menschen arbeiten und dass ihr Handeln Auswirkungen auf das Zusammenleben von Menschen hat.
153200	163000	Und dass sie, wenn sie Räume kreieren, dass darin Menschen leben und vor allen Dingen auch, dass Räume und Architektur und Stadt von Menschen gemacht wird.
163000	169600	Also diese Zusammenhänge, die sollten in der Soziologie durch die soziologische Perspektive eben in die Lehre.
169600	173300	Das ist also ein Pflichtfach, man höre und staune.
173300	178100	Pflichtfach an der Uni heißt, du musst das machen, wenn du Architekt werden willst.
178100	180300	Und das ist im dritten Semester.
180300	187000	Da sind es dann so circa 200 Studierende vor mir, die da fröhlich nach Stuttgart kommen, Architektur studieren wollen.
187000	191900	Und dann irgendwie in ihrem Plan da sehen, oh, ich muss ja Soziologie machen.
191900	192900	Das wusste ich gar nicht.
192900	197900	Also du hast also keine Soziologie-Studentinnen, sondern Architektur studieren.
197900	202500	Ich habe Architektur- und Stadtplanungsstudierende, aber meine Vorlesung ist geöffnet.
202500	210700	Da kommen, wir haben ein Institut für Sozialwissenschaften an der Uni Stuttgart, da kommen Studierende der Sozialwissenschaften.
210700	217400	Es kommen Studierende aus anderen Unis, die Geografie zum Beispiel studieren, aus Heidelberg oder aus Tübingen.
217500	223200	Und es kommen schon auch aus der Romanistik oder aus der Philosophie.
223200	229600	Also das gehört auch mit zum Kanon dessen, was ich als Studium-Generale machen kann.
229600	235200	Aber 186, kommt drauf an, wie viele Studis immer trikuliert worden sind.
235200	238200	Die Mehrheit sind Studierende der Architektur und Stadtplanung.
238200	242700	Wissen die, wenn sie dann im dritten Semester bei dir ankommen, was die da erwartet?
242700	245500	Nein, natürlich nicht, gar nicht, also kaum.
245500	251800	Es gibt manchmal ganz große Ausnahmen, sind die, die zum Beispiel schon, habe ich einen,
251800	257700	der hat schon einen Bachelor in Soziologie und Sozialwissenschaften gemacht und ist dann in die Architektur gewechselt.
257700	261700	Der weiß das natürlich, aber ist es wirklich ein der und eine, also eine.
261700	264300	Ansonsten wissen die das nicht, was sie da erwartet.
264300	270300	Jetzt kann es ja sein, wir haben hier ein großes Publikum an jungen Menschen, die vielleicht gerade davor,
270300	275000	vor dem Beginn ihres Architekturstudiums stehen, vielleicht bald bei dir auftauchen werden.
275000	280700	Gib uns mal einen kleinen Überblick, was erwartet mich als Student bei der Christine.
280700	284700	Ich habe halt schon überlegt, dass ich jetzt meinen gesamten Vorlesungsplan erläutere,
284700	287700	aber ich denke, ich denke, dann ist die Zeit vorbei.
287700	291500	Nein, ich erkläre natürlich, was Soziologie bedeutet und was es da geht.
291500	298100	Und ich erkläre Grundbegriffe der Soziologie, aber immer an Beispielen der Architektur und Stadtplanung.
298100	302100	Und meine Vorlesung heißt eben auch nicht mehr sozialwissenschaftliche Grundlagen,
302200	307600	sondern ich habe sie ganz explizit benannt Soziologie in Architektur und Wohnen.
307600	313100	Also ich erkläre zum Beispiel, eines der Grundthemen ist ja soziale Ungerechtigkeit.
313100	317200	Was ist das überhaupt und welche Auswirkungen hat es zum Beispiel in der Stadtplanung?
317200	321500	Oder wie erkenne ich in der Stadtplanung, dass es soziale Ungerechtigkeit gibt?
321500	324300	Und vor allen Dingen dann, ab wann ist es denn problematisch?
324300	329900	Und dann fallen natürlich auch solche Begriffe wie Segregation, Gentrifizierung und so weiter,
329900	336200	sozial-räumliche Ungleichheiten und das erkläre ich zum Beispiel in der Vorlesung.
336200	340800	Oder ich spreche darüber, was sind Wohnbedürfnisse, wie man sie erforschen kann
340800	346700	und was der soziologische Anteil da ist, weil es ja zum Beispiel sehr beliebt ist zu denken,
346700	349800	ich frage mal die Leute, wie sie wohnen wollen und dann baue ich das einfach
349800	352500	und dann habe ich tolle Wohnverhältnisse hergestellt.
352500	359500	Oder ich thematisiere auch sehr gerne den Beruf des Architektin, also was das bedeutet,
359500	362300	als Mann oder als Frau in diesem Beruf zu arbeiten.
362300	367000	Wie der sich entwickelt hat, wie das Verhältnis von Männer und Frauen zum Beispiel ist
367000	369600	oder überhaupt die Geschlechterperspektive,
369600	373900	überhaupt welche Rolle die Geschlechterperspektive beim Bauen und beim Wohnen einnimmt.
373900	380400	Oder eben das große Hauptthema, ich habe so einen roten Faden in der Vorlesung, der geht so,
380400	382800	ich frage die Studierenden in der ersten Sitzung,
382800	386500	wie wohnt ein typischer Vier-Personen-Haushalt in Deutschland?
386500	389300	Und sage, sie dürfen mir das gerne aufzeichnen.
389300	393400	Und dann ein Vier-Personen-Haushalt ist natürlich Vater, Mutter, zwei Kinder, völlig klar,
393400	395500	was anderes kann man sich nicht vorstellen.
395500	399000	Und da wir ja im Schwäbischen sind, wird dann auch sehr gerne ein kleines Eigenheim
399000	405600	mit einem kleinen Auto davor gemalt oder gezeichnet, Architektinnen zeichnen ja.
405600	410000	Und dann erkläre ich ihnen, dass das eine historisch sehr kurze Wohnform ist,
410000	413000	die sich erst nach dem Zweiten Weltkrieg durchgesetzt hat.
413000	413900	Da habe ich gleich Fragen zu mir.
413900	417800	Genau, und dass das jetzt aber schon wieder überholt ist,
417800	423000	weil wir ja schon wieder in einer Zeitphase sind, wo diese Lebensform nicht mehr die Dominierende ist.
423000	426300	Und das ist der rote Faden meiner Vorlesung.
426300	427300	Das ist meine erste Frage.
427300	432100	Bist du nur Soziologin oder bist du auch Architektin?
432100	434500	Also viele denken, dass ich Architektin bin,
434500	439100	aber ich habe einen Schein, da drauf steht Diplom-Soziologin.
439100	444100	Ja, was bildest du denn ein, Architektur-Studenten zu unterrichten dann?
444200	445600	Warum kannst du das?
445600	447900	Hättest du nicht auch Architektur studieren müssen, Christian?
447900	451400	Das wäre die Ideal-Möglichkeit, also wäre die Idealform.
451400	455500	Aber ich arbeite schon so lange mit Architektinnen und Stadtplanerinnen zusammen,
455500	459600	dass ich mir sehr viel von dem Wissen auch angeeignet habe.
459600	464000	Ich meine, ich mache das ja schon seit 1990.
464000	469700	Und ich habe mir das nicht eingebildet, sondern die haben mich ausgesucht.
469700	471400	Also ich habe mich beworben.
472400	474700	Weißt du, wie es bei einer Professur läuft?
474700	476100	Da gibt es eine Ausschreibung.
476100	477600	Die wird ausgeschrieben, da bewirbst du dich.
477600	479200	Dann werden ein paar Leute eingeladen.
479200	481400	Die dürfen dann, wir sagen dazu, vorsingen.
481400	482500	Also die dürfen vortragen.
482500	484500	Die sagt wirklich, vorsingen das, ne?
484500	486300	Und die dürfen vortragen.
486300	492700	Und dann gibt es eine Riesenkommission, also bestimmt 15 Leute.
492700	498600	Und dann wird eine sogenannte Liste gemacht, Platz 1, 2 und 3.
498600	500800	Und mich haben sie auf Platz 1 gesetzt.
500800	502000	Das war 2011, ne?
502000	507200	Ja, ich glaube, ich habe 2011 angefangen, dann war es 2010.
507200	508900	Warum? Hast du dich durchgesetzt?
508900	510500	Hat jetzt jemand verraten?
511900	513000	Davon erfährt man nichts.
513000	516900	Also man ist zur Verschwiegenheit verpflichtet.
516900	520400	Und bis jetzt haben sich auch alle Kolleginnen dran gehalten.
520400	522500	Aber ich denke einfach, ich war die Beste, oder?
522500	523400	Also keine Ahnung.
523400	524900	Davon gehe ich aus, darüber bist du ja.
524900	527600	Die haben mich, die haben mich ausgesucht worden.
527600	530700	Und man muss ja einen Bewerbungsvortrag halten.
531200	535700	Es gibt ein Gespräch mit den Studierenden und eine Lehrprobe.
536700	538600	Du musst ein Gespräch mit den Studierenden führen?
538600	541800	Ja, ich habe mit der Fachschaft gesprochen und die haben mich auch gefragt,
541800	543700	was mich denn qualifizieren würde.
543700	546900	Dann habe ich ihnen vor allen Dingen erläutert,
546900	550100	wie ich mir meine Arbeiter vorstelle, wo ich meine Schwerpunkte sehe.
551300	554100	Und keine Ahnung.
554100	556400	Also ich kenne auch die Protokolle nicht nach.
556400	558600	Also das ist, das gehört sich auch nicht.
558600	561100	Aber erinnerst du dich, was dein Vortrag war?
561100	564500	Mein Vortrag kann ich dir heute noch erzählen, natürlich, genau.
564500	565500	Was hast du erzählt?
565500	567200	Ich habe meine Forschung vorgestellt.
567200	570800	Ich habe meine Bodenforschung vorgestellt und meine Architekturforschung.
570800	574100	Ich habe ja ein Buch publiziert, ich habe verschiedene, ganz viele.
574100	578500	Aber ein Buch, das heißt die Platte über den industrialisierten Wohnungsbau in der DDR,
578500	582300	wo ich eine soziologische Erklärung angeboten habe,
582300	585000	die habe ich gerade heute auch wieder eine Presseanfrage bekommen,
585000	587100	ob ich da nicht ein Interview zu geben möchte.
587100	588400	Kann ich gerade nicht.
588400	589600	Ich sitze gerade hier.
589600	591600	Wir reden auch darüber, von der Zukunft.
591600	595400	Und genau, und weil es jetzt, es geht ja wieder um serielle Bauen.
595400	600300	Aufgrund der, ja, des Wohnraummangels, von dem viele sprechen,
600300	602400	wo ich ja sagen würde, haben wir eigentlich gar nicht.
602400	607000	Es geht ja eigentlich um die gerechtere Verteilung von Wohnraum.
608100	611200	Können wir aber gerne im späteren Punkt nochmal verhandeln.
611200	618200	Ja, und ich habe einfach, ich habe auch sehr viel empirische Wohnforschung realisiert.
618200	622300	Also ich bin auch eine der Soziologinnen, die selber vor Ort forschen.
622300	624800	Ich habe Grundrissnutzungen untersucht.
624800	627400	Ich habe in Moskau Befragungen durchgeführt.
627400	632400	Also ich habe in St. Etienne, also überschrumpfende Städte geforscht.
632400	634500	Also das habe ich da vorgestellt, was ich,
634500	639400	und das habe ich natürlich alles Architektur- und stadtplanungsbezogen gemacht.
641600	647700	Also man stellt sich ja dann davor, welches Profil ich mitbringe.
647700	649600	Und das muss ja ein Profil sein.
649600	654500	Und ich finde, da ich ja selber inzwischen in Berufskommissionen bin an dieser Fakultät,
654500	659800	dass es immer darum geht, wenn es keine ausgebildeten Architektinnen oder Stadtplanerinnen sind,
659800	662900	dass sie mit dieser Berufsgruppe reden können.
662900	667000	Und es gibt ja, die haben eine eigene kulturelle Welt,
667000	670800	ihre eigenen Codes und eben auch ihre eigenen Maßstäbe.
670800	673800	Es ist ja immer diese Gestaltungsaufgabe.
674400	679200	Hey Leute, der heutige Supporter dieser Sendung ist ihr alle.
679200	682500	Und ihr alle seid die beste Unterstützung für unabhängigen,
682500	686500	kommerzfreien Politikjournalismus auf dem Publikumsmarkt.
686500	688100	Und darum bin ich ein Fan davon.
688100	689800	Also Fan von euch.
689800	690900	Macht weiter so.
690900	692900	Per PayPal oder Überweisung.
692900	694700	Danke dafür und jetzt geht's weiter.
694700	696400	Bist du jetzt Professorin auf Lebenszeit?
696400	697700	Ja.
697700	701900	Also bist du, was ist das, Verrentung?
701900	702700	Gibt's bei uns nicht.
702700	703800	Wir werden pensioniert.
703800	704300	Entschuldigung.
704300	705500	Genau.
705500	706000	Ist egal.
706000	711000	Auf jeden Fall bin ich auf Lebenszeitberuf mir.
711000	714900	Aber ich werde es also offiziell man also ist ganz normal.
714900	717000	Also auch wie bei allen anderen.
717000	721600	Ruhestand weiß ich mit 66 und dann kann man bis 70 machen.
721600	723600	Ganz kurz noch mal zu deinen Studierenden.
723600	726000	Du bist ja schon 10, 12 Jahre dabei.
726000	727700	Hast einen kleinen Überblick.
727700	728200	Was sind das?
728200	732400	Was sind das für junge Leute, die Architekten werden?
732400	733600	Es sind ganz, ganz viele.
733600	736400	Also sind sie werden ja immer 200.
736400	740600	Also 186 208 oder so werden immer trikuliert im Wintersemester.
740600	744500	Aber ich meine jetzt so vom Habitus und die ja würde ich gerade erklären,
744500	749200	weil es kommen ja sehr viele aus dem regionalen lokalen Umfeld.
749200	753200	Und ich habe leider keine genaue statistische Auswertung.
