start	end	text
0	2720	The following is a conversation with Josje Bach,
2720	4960	his second time on the podcast.
4960	8560	Josje is one of the most fascinating minds in the world
8560	10640	exploring the nature of intelligence,
10640	14520	cognition, computation, and consciousness.
14520	17720	To support this podcast, please check out our sponsors,
17720	22720	Coinbase, Codecademy, Linode, NetSuite, and ExpressVPN.
23960	26760	Their links are in the description.
26760	29160	As usual, I'll do a few minutes of ads now,
29200	30720	no ads in the middle.
30720	32120	I try to make these interesting,
32120	35300	so hopefully you don't skip, but if you do,
35300	38880	please still check out the sponsors in the description.
38880	41400	It's the best way to support this podcast.
41400	45600	I use their stuff and enjoy it, so maybe you will too.
45600	48000	This show is brought to you by Coinbase,
48000	51120	which is a trusted and easy to use platform
51120	54220	to buy, sell, and spend cryptocurrency.
54220	56460	I use it and love it.
56500	60980	You can buy Bitcoin, Ethereum, Cardano, Dogecoin,
60980	62100	the list goes on.
62100	64620	All the most popular digital currencies.
64620	66940	It's the place I recommend to people all the time
66940	68820	if they're kind of curious about cryptocurrency,
68820	71660	so Coinbase just makes it super easy
71660	73940	to buy whatever cryptocurrency you want.
73940	78140	I think cryptocurrency space is very exciting,
78140	79820	so if you're missing out on it,
79820	81620	I think some percent of your portfolio
81620	84200	should be in cryptocurrency.
84560	86840	Investing in a little bit of cryptocurrency,
86840	91840	I think puts your money where your mind is,
92160	95960	so it forces you to kind of explore the space more and more.
95960	98200	If you find it interesting, you can always, of course,
98200	101440	invest more, but I do recommend people at least try it out.
101440	105680	Anyway, go to Coinbase.com slash Lex for a limited time.
105680	108860	New users can get $5 and free Bitcoin
108860	113860	when you, they sign up at Coinbase.com slash Lex.
114060	117580	That's Coinbase.com slash Lex.
117580	120700	This show is brought to you by Codecademy,
120700	123460	the website I highly recommend you go to
123460	125720	if you want to learn how to code.
125720	128180	It doesn't matter if you're totally new
128180	131580	or somewhat experienced, there's courses there for you.
131580	134660	For the beginner, for the intermediate, for the advanced,
134660	136380	I recommend you sign up
136380	139180	and take their Learn Python 3 course.
139180	142100	They say it takes 25 hours to complete,
142100	145420	but it is so clear, accessible, even fun,
145420	148260	that I think it actually will take less time,
148260	151580	but even if it takes that long, it'll just fly by.
151580	154300	It gives you the most important basics
154300	157820	and it delivers them in this very clear, concise way
157820	159540	that I really enjoy.
159540	162540	I think that's what a course on Python should be,
162540	164600	on the fundamentals of Python should be,
164600	167780	so if you're curious to learn how to program,
167780	170360	I think Python is the right language to start with.
170360	172480	If you're curious to learn Python,
172480	175240	learn Python 3 at Codecademy.
175240	178340	That's definitely the go-to course I would recommend.
179360	182600	You can get 15% off your Codecademy Pro membership
182600	187120	when you go to codecademy.com and use promo code lex.
187120	191280	That's promo code lex at codecademy.com
191280	194060	to get 15% off Codecademy Pro,
194060	196940	the best way to learn to code.
196940	199560	This episode is sponsored by Linode,
199560	201480	Linux Virtual Machines.
201480	204160	It's an awesome compute infrastructure
204160	206560	that lets you develop, deploy, and scale
206560	209720	what applications you build faster and easier.
209720	214120	This is both for small personal projects and huge systems.
214120	216780	Lower cost than AWS,
216780	220360	but more important to me is the simplicity
220360	223380	and the quality of the customer service
223380	228380	with real human beings 24-7 every single day,
228460	230720	365 days a year.
230720	233140	I could, of course, talk a little bit about
234180	236740	the things I don't like about some of the big players
236740	238500	that Linode is competing with,
238500	241400	but it's probably better to focus on the good things
241400	244100	that Linode is doing in contrast to them.
244100	245740	Again, like I said, customer service
245740	249600	and just the simplicity of the interface
249600	252700	and how to set everything up and how to use it.
252700	254820	Their motto, of course, I love Linux.
254820	258260	Their motto is if it runs on Linux, it runs on Linode.
259220	261600	Visit linode.com slash Lex
261600	265420	and click on the Create Free Account button to get started.
265420	269340	And if you do, you get $100 in free credit.
269340	272140	That's linode.com slash Lex.
273100	275920	This show is sponsored by NetSuite.
275920	277780	Running a business is hard.
277780	280740	If you own a business, don't let QuickBooks and spreadsheets
280740	283160	make it even harder than it needs to.
283160	285460	You should consider upgrading to NetSuite.
285460	289060	It allows you to manage financials, HR, inventory,
289060	292640	e-commerce, and many more business-related details
292640	294000	all in one place.
295480	297040	I've probably talked about this before,
297040	299080	but I dislike bureaucracy
299080	301760	that companies sometimes build up around this.
301760	303440	NetSuite can probably help.
304320	305280	It's always really important
305280	307120	to have the right tool for the job.
307120	308960	Anyway, whether you're doing a million
308960	311280	or hundreds of millions in revenue,
311280	314440	save time and money with NetSuite.
314440	316940	24,000 companies use it.
316940	320280	Let NetSuite show you how they'll benefit your business
320280	323700	with a free product tour at netsuite.com slash Lex.
323700	326320	If you own a business, try them out.
326320	328440	Schedule your free product tour right now
328440	333440	at netsuite.com slash Lex, netsuite.com slash Lex.
333880	337200	This show is sponsored by ExpressVPN.
337200	339360	I use them, have used them for many years
339360	342160	to protect my privacy on the internet.
342160	345000	Obviously, as I've mentioned many times before,
345000	348200	ISPs don't necessarily have your best interest in mind
348200	349760	when it comes to your data.
349760	353320	So VPN can really help protect your data.
353320	355200	Another aspect that's very useful
355200	357760	is basically with a VPN,
357760	361300	you can specify your location to be anywhere.
361300	364960	So from the perspective of services online,
364960	367480	it can appear as if you're anywhere in the world.
367480	368720	And this is useful
368720	372040	like if you go to Netflix to watch shows
372040	375360	that are only available in certain parts of the world.
375360	378320	It's a way to travel without actually having to get up
378320	379960	from your computer desk.
379960	381040	It's brilliant.
381040	384000	Speaking of computer desk, it's not just about computers.
384000	388920	It's all devices, all operating systems, including Linux.
388920	392480	Plus the ExpressVPN design itself is really nice.
392480	395200	There's a one power on button that says not connected
395200	396840	when you're not connected and connected
396840	398360	when you're connected.
398360	400160	Super easy to use, super fast.
400160	404320	Like I said, go to expressvpn.com slash lexpod
404320	406680	to get an extra three months free.
406680	410540	That's expressvpn.com slash lexpod.
410540	412760	This is the Lex Friedman podcast.
412760	416160	And here is my conversation with Josje Bach.
417040	441120	Thank you for once again coming on to this particular Russian program and sticking to
441120	443120	the theme of a Russian program.
443120	445320	Let's start with the darkest of topics.
445400	447400	Privet.
447400	450600	So this is inspired by one of your tweets.
450600	455920	You wrote that, quote, when life feels unbearable,
455920	458760	I remind myself that I'm not a person.
458760	462240	I am a piece of software running on the brain of a random ape
462240	463640	for a few decades.
463640	466720	It's not the worst brain to run on.
466720	469840	Have you experienced low points in your life?
469840	471920	Have you experienced depression?
471920	474280	Of course, we all experience low points in our life.
474280	479200	And we get appalled by the things, by the ugliness of stuff around us.
479200	483400	We might get desperate about our lack of self-regulation.
483400	486680	And sometimes life is hard.
486680	490040	And I suspect you don't get to your life.
490040	495000	Nobody does to get through their life without low points and without moments where they
495000	495840	are despairing.
495840	502280	And I thought that let's capture this state and how to deal with that state.
502280	507040	And I found that very often you realise that when you stop taking things personally,
507040	512840	when you realise that this notion of a person is a fiction, similar as it is in Westworld,
512840	517080	where the robots realise that their memories and desires are just stuff that keeps them
517080	521280	in the loop and they don't have to act on those memories and desires.
521280	524680	That our memories and expectations is what make us unhappy.
524680	526360	And the present rarely does.
526360	530600	The day in which we are, for the most part, it's OK, right?
530760	535400	When we are sitting here, right here, right now, we can choose how we feel.
535400	541080	And the thing that affects us is the expectation that something is going to be different from
541080	546520	what we wanted to be or the memory that something was different from what you wanted it to be.
546520	551320	And once we basically zoom out from all this, what's left is not a person.
551320	555920	What's left is this state of being conscious, which is the software state.
555920	558000	And software doesn't have an identity.
558000	560080	It's a physical law.
560080	564560	And it's a law that acts in all of us and it's embedded in a suitable substrate.
564560	566040	And we didn't pick that substrate, right?
566040	569200	We are mostly randomly instantiated on it.
569200	574040	And they're all these individuals and everybody has to be one of them.
574040	578680	And eventually you're stuck on one of them and have to deal with that.
578680	581480	So you're like a leaf floating down the river.
581480	586160	You just have to accept that there's a river and you just float wherever it takes you.
586160	587280	You don't have to do this.
587280	591920	The thing is that the illusion that you are an agent is a construct.
591920	595640	What part of that is actually under your control?
595640	600860	And I think that our consciousness is largely a control model for our own attention.
600860	605320	So we notice where we are looking and we can influence what we are looking, how we are
605320	609120	disambiguating things, how we put things together in our mind.
609120	613280	And the whole system that runs us is this big cybernetic motivational system.
613280	617320	So we're basically like a little monkey sitting on top of an elephant.
617320	621820	And we can prod this elephant here and there to go this way or that way.
621820	625280	And we might have the illusion that we are the elephant or that we are telling it what
625280	626280	to do.
626280	629820	And sometimes we notice that it walks into a completely different direction.
629820	634840	And we didn't set this thing up, it just is the situation that we find ourselves in.
634840	638680	How much prodding can we actually do of the elephant?
638680	639760	A lot.
639760	645320	But I think that our consciousness cannot create the motive force.
645320	647640	Is the elephant consciousness in this metaphor?
647640	650200	No, the monkey is the consciousness.
650200	652600	The monkey is the attentional system that is observing things.
652600	657640	There is a large perceptual system combined with the motivational system that is actually
657640	659640	providing the interface to everything.
