start	end	text
0	5520	The following is a conversation with Yosha Bach, VP of Research at the AI Foundation
5520	12160	with a history of research positions at MIT and Harvard. Yosha is one of the most unique
12160	18080	and brilliant people in the artificial intelligence community, exploring the workings of human mind,
18080	24560	intelligence, consciousness, life on Earth, and the possibly simulated fabric of our universe.
25840	28640	I could see myself talking to Yosha many times in the future.
29600	36480	Quick summary of the ads. Two sponsors, ExpressVPN and CashApp. Please consider supporting the
36480	43840	podcast by signing up at expressvpn.com slash LexPod and downloading CashApp and using code
43840	51120	lexpodcast. This is the artificial intelligence podcast. If you enjoy it, subscribe on YouTube,
51120	56080	review it with 5 stars on Apple Podcast, support it on Patreon, or simply connect with me on
56160	63360	Twitter at Lex Friedman. Since this comes up more often than I ever would have imagined,
63360	68400	I challenge you to try to figure out how to spell my last name without using the letter E.
69520	74640	And it will probably be the correct way. As usual, I'll do a few minutes of ads now
74640	77760	and never any ads in the middle that can break the flow of the conversation.
78880	85760	This show is sponsored by ExpressVPN. Get it at expressvpn.com slash LexPod to support this
85760	92240	podcast and to get an extra three months free on a one-year package. I've been using ExpressVPN
92240	99520	for many years. I love it. I think ExpressVPN is the best VPN out there. They told me to say it,
100160	105840	but I think it actually happens to be true. It doesn't log your data, it's crazy fast,
105840	112080	and it's easy to use. Literally, just one big power on button. Again, for obvious reasons,
112080	116720	it's really important that they don't log your data. It works on Linux and everywhere else,
116720	123840	too. Shout out to my favorite flavor of Linux, Ubuntu Mate 2004. Once again,
123840	131200	get it at expressvpn.com slash LexPod to support this podcast and to get an extra three months
131200	138000	free on a one-year package. This show is presented by Cash App, the number one finance app in the
138000	144240	App Store. When you get it, use code LexPodcast. Cash App lets you send money to friends,
144240	149760	buy bitcoin, and invest in the stock market with as little as one dollar. Since Cash App does
149760	154800	fractional share trading, let me mention that the order execution algorithm that works behind the
154800	161120	scenes to create the abstraction of the fractional orders is an algorithmic marvel. Big props to the
161120	166240	Cash App engineers for taking a step up to the next layer of abstraction over the stock market,
166240	171120	making trading more accessible for new investors and diversification much easier.
171760	176320	So again, if you get Cash App from the App Store or Google Play and use the code LexPodcast,
177760	182320	you get ten dollars. Cash App will also donate ten dollars to FIRST,
182320	187600	an organization that is helping advance robotics and STEM education for young people around the
187600	192960	world. And now, here's my conversation with Joscha Bach.
210960	215920	As you've said, you grew up in a forest in East Germany, just as we were talking about off mic,
216720	222560	to parents who were artists. And now I think, at least to me, you've become one of the most unique
222560	227120	thinkers in the AI world. So can we try to reverse engineer your mind a little bit?
228080	234880	What were the key philosophers, scientists, ideas, maybe even movies, or just realizations
234880	240800	that had an impact on you when you were growing up that kind of led to the trajectory, or were the
240800	244560	key sort of crossroads in the trajectory of your intellectual development?
246240	253200	My father came from a long tradition of architects, a distant branch of the Bach family,
253760	260960	and so basically he was technically a nerd. And nerds need to interface in society with
260960	266480	non-standard ways. Sometimes I define a nerd as somebody who thinks that the purpose of
266480	273120	communication is to submit your ideas to peer review. And normal people understand that the
273120	278720	primary purpose of communication is to negotiate alignment. And these purposes tend to conflict,
279280	282560	which means that nerds have to learn how to interact with society at large.
283680	288720	Who is the reviewer in the nerd's view of communication?
288720	294320	Everybody who you consider to be a peer. So whatever hapless individual is around,
294640	297920	you would try to make him or her the gift of information.
301440	307680	Now, by the way, my research mal-informed me. So you're an architect or artist?
309200	314240	He did study architecture, but basically my grandfather made the wrong decision.
314240	323120	He married an aristocrat and was drawn into the war. And he came back after 15 years. So basically
323120	330320	my father was not parented by a nerd, but by somebody who tried to tell him what to do
330320	337040	and expected him to do what he was told. And he was unable to. He's unable to do things if he's
337040	342640	not intrinsically motivated. So in some sense, my grandmother broke her son and her son responded
343440	349120	when he became an architect to become an artist. So he built 100-wasser architecture. He built
349120	353920	houses without right angles. He built lots of things that didn't work in the more brutalist
353920	360000	traditions of Eastern Germany. And so he bought an old watermill, moved out of the countryside,
360000	365360	and did only what he wanted to do, which was art. Eastern Germany was perfect for Bohemia because
365920	370400	you had complete material safety, was heavily subsidized, healthcare was free,
370400	373120	you didn't have to worry about rent or pensions or anything.
373120	375520	So it's a socialized communist side of Germany.
375520	379760	And the other thing is it was almost impossible not to be in political disagreement with your
379760	383840	government, which is very productive for artists. So everything that you do is intrinsically
383840	388880	meaningful because it will always touch on the deeper currents of society, of culture,
388880	393440	and be in conflict with it and tension with it. And you will always have to define yourself
393440	396560	with respect to this. So what impact did your father, this
398480	403040	outside-of-the-box thinker against the government, against the world artists,
403280	408000	he was actually not a thinker. He was somebody who only got self-aware to the degree that he
408000	415920	needed to make himself functional. So in some sense, he was also late 1960s, and he was in
