start	end	text
0	7680	Ja, herzlich willkommen zu unserem Lektürekreis, unserem Nerdformat hier auf Patreon, wo wir uns
7680	15640	verschiedenen psychoanalytischen Texten widmen. Die denken wir eine gewisse auch
15640	19120	psychoanalytische, vielleicht manchmal auch gesellschaftliche Relevanz haben,
19120	27360	wie zum Beispiel das heutige Thema. Wir haben uns heute oder wir widmen uns heute dem Analytiker
27360	35240	Werner Balser und wollen uns mit dem Thema ja ganz allgemein der Digitalisierung auseinandersetzen,
35240	41040	also was die Digitalisierung für psychische Folgen hat. Also es heißt, die Frage ist gar
41040	47600	nicht sozusagen, ist das Digitale jetzt gut oder schlecht, sondern wenn wir uns sozusagen
47600	52880	vor den Bildschirm setzen, welche Folgen hat das eigentlich vielleicht für unsere psychische
52880	57960	Struktur? Und damit beschäftigt sich eben Werner Balser sehr viel und hat dazu auch ein Buch
57960	65320	publiziert, das sehr lesenswert ist und das wir euch wirklich ans Herz legen wollen, das sensorische
65320	71320	und die Gewalt zum Seelenleben im digitalen Zeitalter. Das verlinken wir natürlich wie
71320	76880	immer auch in den Shownotes, das ist im Psychosozialverlag erschienen und freundlicherweise
77080	84040	hat uns sowohl der Autor als auch der Psychosozialverlag genehmigt, diesen sehr aktuellen
84040	91400	Text hier zu lesen, gemeinsam mit euch und dann auch zu diskutieren. Wir wollen jetzt natürlich
91400	97520	nicht das ganze Buch mit euch lesen, das wäre ein sehr ehrgeiziges Vorhaben, obwohl es sich
97520	102920	bestimmt lohnen würde, sondern wir wollen uns dem letzten Text in diesem Buch widmen,
102920	108760	der heißt Schrankenlos, die elektronischen Präsenzmedien und der beschädigte Primärprozess.
108760	115320	Wir werden das wie in den anderen Lesekreis folgen, Satz für Satz oder Absatz für Absatz
115320	120480	durchgehen und vor allem Begriffe erklären. Natürlich gilt das wie für alles, dass das unsere
120480	126920	Perspektive ist. Das sind sehr dichte und komplexe Texte auch. Wir versuchen das euch zu vermitteln,
126920	132800	wie wir die Texte lesen oder wie wir das hören. Ja, vielleicht zuvor noch ein paar kurze Worte
132800	139280	zu Werner Balser. Werner Balser ist Arzt und Psychoanalytiker und auch Lehranalytiker und
139280	146200	in eigener Praxis tätig und er hat eben über sehr viele Jahre zu diesem Thema Digitalisierung
146200	153640	und den psychischen Folgen gearbeitet und das Buch ist eine Zusammenführung seiner Arbeiten
153640	165640	eigentlich. Werner Balser ist auch in der Psychoanalytischen Vereinigung und am Heidelberger
165640	173320	Institut. Das heißt, wir haben das Glück ihn zu kennen und das ist das Besondere jetzt auch für
173320	180400	Patreon, also für euch das Interessante, weil wir ein Interview mit ihm führen werden über den Text,
180400	187200	den wir heute lesen bzw. überhaupt über seine Arbeiten und da seid auch ihr gefragt, nämlich
187200	192240	wenn ihr Fragen zu dem Text habt oder allgemein noch Fragen zu dem Thema, dann könnt ihr uns die
192240	198240	gerne hier stellen, dann werden wir die nämlich auch an ihn weitergeben, also an den Autor des
198240	204640	Textes. Ja, das wird dann im Nachklang zu unserem Lesekreis erscheinen. Gut, dann würde ich sagen,
204640	210200	dass wir jetzt in den Text einsteigen oder möchtest du noch was hinzufügen? Ich glaube, wir können
210200	216320	einsteigen. Vielleicht kann man sagen, der Text für die, die mitlesen wollen, wir steigen nicht
216320	223760	direkt am Anfang in den Text ein, sondern an einer bestimmten Stelle und zwar auf der Seite 144 mit
223760	232280	dem Kapitel Mentalisierung, digitale Mentalisierung, einige Thesen. Vorher im Text sind einige, ich sage
232280	239160	mal empirische Beobachtungen auch aus der eigenen Erfahrung, die der Autor schildert. Das liest sich
239160	244680	auch sehr gut, aber wir dachten jetzt, um gleich zum theoretischen Fundament zu kommen des Textes,
244680	251960	lohnt sich das hier einzusteigen. Und der Titel, also Mentalisierung und Mentalisierung,
251960	257080	der gibt vielleicht schon auch so ein bisschen vor, was jetzt kommen wird. Also Mentalisierung
257080	265080	meint den Aufbau psychischer Strukturen und Mentalisierung, also die Lyse ist das Auflösen
265080	273320	psychischer Strukturen. Ja, gut, dann steigen wir in den Text direkt ein. In einer Reihe von
273320	279360	Arbeiten aus den letzten 15 Jahren habe ich bezüglich der elektronischen Medien und besonders
279360	284880	der adhensiven Beziehung zu Bildmaschinen einige Thesen vertreten, die ich hier kurz
284880	290360	andeuten möchte. Adhensive Beziehung zu Bildmaschinen, kann man vielleicht einfach sagen,
290360	293920	das dran hängen. Also adhensiv ist ein psychanalytischer Begriff, der sagt immer,
293920	298280	also da gibt es keinen Abstand zwischen mir und dem anderen. Also ich klebe an der Maschine,
298280	305720	sozusagen. Unsere seelischen Erfahrungsweisen werden kulturell in hohem Maße auf das sensorische
305720	311480	umkodiert. Unmittelbarkeit tritt an die Stelle des mittelbaren und vielleicht symbolisch
311480	318240	mitteilbaren. An die Stelle des noch in Randgruppen vorkommenden autoritären Charakters tritt
318240	324600	weitaus flächendeckender ein sensoritärer Charakter. Also autoritärer Charakter, das ist ja ein Begriff
324600	328640	von Adorno, auf den er hier auch verweist. Das würde ich jetzt so verstehen, dass unsere
328640	339360	psychische Struktur sich anhand von Erfahrungen mit autoritären Figuren herausbildet. Also,
339360	343120	dass wir auch das, also von außen natürlich erstmal diese Erfahrungen machen, dass es da
343120	348360	eine autoritäre Figur gibt, die wir dann verinnerlichen und so unsere psychische
348360	353640	Struktur auch aufgebaut ist. Also sozusagen auch in Hierarchien, in bestimmten Ordnungen,
353640	362640	die ja um dieses Denken des Autoritären herum sich erschließen. Das übere ich als verinnerlichter
362640	370320	patriarch, das ist unsere psychische Struktur. Ja, und mit der digitalen Revolution wandelt sich
370520	377400	das eben hin zu einem sensoritären Charakter. Also, dass sich etwas auch mit der digitalen
377400	384040	Revolution, die ja außen stattfindet, aber auch in uns etwas verändert. Und ja, davon werden wir
384040	390040	gleich hören. Ja, genau, das wird ja deutlicher, was damit gemeint ist. Die artificielle Präsenz
390040	397800	medialer Objekte verringert den Objektabstand und bringt einen Verlust von Absenzerfahrung mit sich,
397800	404960	Getrentheit und damit die Capacity to be alone sind schwieriger zu erlangen. Da wo man eigentlich
404960	412200	Kultur als Gestaltung von Abwesenheit im potential space definieren möchte. Ich glaube,
412200	417160	da müssen wir auch wieder eine halten. Die artificielle Präsenz mediale Objekte verringert
417160	423840	den Objektabstand. Also ich glaube, dafür ist es wichtig, sich nochmal vorzustellen. Es wird ja
423840	430800	oft auch der Begriff Präsenzmedien verwendet für unsere digitalen Medien, dass es unterschiedliche
430800	438640	Arten von Medien gibt. Und Präsenzmedien heißt, sind Medien gemeint, die das, was sie transportieren,
438640	444880	uns als Anwesen zumindest als Illusion vorgeben. Also ich glaube, ein gutes Beispiel wäre ja
444880	448920	vielleicht auch, also neben sozialen Medien sowieso, das ist wahrscheinlich das beste Beispiel. Ich
448920	455520	dachte aber auch an sowas wie Google-Suchen oder Wikipedia, also wo man früher zum Beispiel,
455520	462800	wenn man eine Frage hatte, erstmal keine Antwort finden konnte, vielleicht in der Enzyklopädie
462800	469160	oder sowas, sondern einen Abstand überwinden musste hin zur Bibliothek, um dort in Büchern
469160	476800	erstmal eine ganze Weile zu suchen nach einer Antwort. Ist der Abstand viel geringer
476800	481300	geworden? Ist es einfach in Google eingeben und dann schon viele Antworten sozusagen vor
481300	486560	Augen haben oder Wikipedia oder sowas. Da ist dieser Abstand einfach viel, viel kleiner geworden.
486560	490960	Und auch in der Kommunikation. Das ist ja das beste Beispiel, glaube ich.
490960	497400	Wenn ich jetzt verreise, kann ich über die Medien, über digitale Medien, über Smartphone den
497400	503600	anderen ununterbrochen herholen, als wäre dieser Abstand gar nicht da. Mit Bild, mit Ton, noch nicht
503600	510320	mit Gerüchen und haptisch, aber sonst bis dahin. Das heißt, der andere wird als Präsent medial
510320	516360	vermittelt. Versus der Brief hieß ja, da ist nur Schrift und es braucht Wochen, bis das irgendwie
516360	521520	ankommt, der Brief, da wird der andere im Medium schon als abwesend gedacht. Das ist sozusagen
521520	526640	ferner, das ist nur ein Zeichen, ein Symbol, eine Schrift, die er mir schickt. Also ich glaube,
526640	532280	das ist der wesentliche Unterschied und er sagt hier, das verringert den Objektabstand und bringt
532280	536960	einen Verlust von Absenzerfahrungen mit sich. Das heißt, man macht die Erfahrung von Abwesenheit
536960	542280	viel weniger, als man sie vor der digitalen Revolution gemacht hat. Also im Urlaub zu sein,
542280	547560	kann ich aus meiner eigenen Erfahrung noch sagen, als Jugendlicher oder in der Kindheit war das
547560	551920	irgendwie viel weiter weg sein, so vom Gefühl. Weil man kann den anderen nicht erreichen oder
551920	557440	nur am Münztelefon, nur ganz kurz und sofort ist das Geld weg. Während jetzt ist es egal, wo man
557440	562720	ist eigentlich in der Welt, solange irgendwie ein Handynetz da ist, hat man trotzdem das Gefühl,
562720	567520	man ist weiter mit den anderen direkt verbunden. Ja und ich glaube, das beginnt schon ganz früh,
567520	576600	man kann ja auch das Babyphone schon als die erste Kontaktstelle vielleicht beschreiben. Also das
576600	582880	hat natürlich viele praktische Vorteile, aber auch eben diesen Aspekt, dass es sozusagen keine
582880	589360	Getrenntheit in dem Sinne mehr schafft, sondern man ist permanent verbunden eben über das Babyphone.
589360	595040	Und ohne Babyphone, das heißt ja, dass man Getrenntheit oder ohne Videoanlage oder so gibt
595040	600840	es ja auch, heißt es, dass man Getrenntheit erst mal länger aushalten muss. Also man hört
600840	606640	es ja vielleicht später, wenn das Baby weint oder sieht es ja auch gar nicht mehr. Und das ist hier
606640	611400	gesagt, die Capacity to be alone, das ist ein Begriff von Winnicott in der Entwicklungspsychologie
611840	615880	von Winnicott, also die Fähigkeit, allein zu sein. Ganz wichtiger Entwicklungsschritt,
615880	621280	also man verinnerlicht den anderen und dann kann man auch für sich alleine sein und die entwickelt
621280	625640	man aber genau über solche Erfahrungen, also dass der andere nicht da ist. Und je mehr ich den
625640	629000	anderen aber die ganze Zeit anwesend halten kann, desto schwieriger wird es erst mal,
629000	634600	diese Erfahrung zu machen. Die wurde sozusagen früher einem zugemutet, weil es einfach keine
634600	638880	andere Möglichkeit gab. Und jetzt gibt es eben die Möglichkeit, diese Getrenntheit zu überbrücken.
638880	642600	Was ist mit dem Potential Space gemeint?
642600	649200	Auch ein Begriff von Winnicott, der darauf verweist, dass diese Erfahrung von Getrenntheit,
649200	654160	also wo das, was ich will, wonach ich mich sehne, nicht direkt verfügbar ist,
654160	658160	schafft Abstand erst mal in den Raum. Das, was ich haben will, ist nicht da,
658160	663520	aber in diesem Raum, in diesem Abstand entsteht Denken und entsteht Fantasieren. Also ich
663520	667880	fantasiere mir den anderen herbei, ich denke mir den anderen herbei, ich wünsche mir den anderen
667880	673160	herbei. Und das nennt Winnicott den Möglichkeitsraum oder Potential Space. Das heißt,
673160	678200	es ist ein Raum, in dem menschliche Kreativität, könnte man sagen, entstehen kann. Aber als
678200	682680	Bedingung davon, dass der andere erst mal weg ist, dass ich das, was ich will, nicht
682680	687440	sofort bekomme. Und das ist für die Bildung von Kultur unglaublich wichtig. Ich glaube,
687440	692000	das wird auch noch weiter ausgeführt. Aber das ist, glaube ich, hier erst mal so der zentrale
692000	693000	Gedanke.
693000	702120	Gut, dann gehen wir weiter. Denken bedeutet ja schlechthin Beschäftigung mit abwesenden
702120	703120	Sachverhalten.
703120	708920	Also im Paradies wird nicht gedacht, im Schlagaffenland, wenn da immer das Angeflogen kommt gleich.
708920	712840	Dann muss ich nicht denken, ich muss nur denken, wenn etwas gerade nicht da ist.
712840	721360	Eine Lust am Nichtdenken strebt nach direkter, erregender Wahrnehmungsidentität anstelle
721360	727880	von Denkidentität, die in Freud's Worten einen Umweg zur Triebbefriedigung darstellt.
727880	733480	Ja, jetzt verweist er auf Freud, vielleicht die beiden Begriffe Wahrnehmungsidentität
733480	739400	und Denkidentität. Also bei Freud geht es ja immer darum, dass der Ausgang von psychischen
739400	745280	Prozessen sind Triebwünsche. Das muss man jetzt nicht so präzise sagen, aber es ist
