start	end	text
0	11000	Herzlich willkommen zu Teil 2 unseres Lektürekreises zu dem Text von Werner Balser über die elektronischen Präsenzmedien und den beschädigten Primärprozess.
11000	20000	In dem Text geht es darum, wie digitale Medien unsere psychischen Strukturen verändern und beeinflussen.
20000	36000	Im ersten Teil haben wir vor allem gehört, dass diese Bildschirmmedien oder anders genannt Präsenzmedien uns und unserer psychischen Struktur vor allem keine Abwesenheit zumuten und welche Auswirkungen das hat.
36000	45000	Und jetzt kommen wir zu dem Kapitel, in dem eigentlich auch der Titel dieses Textes überhaupt erst aufgegriffen wird.
45000	55000	Also das war sozusagen das Präludium und jetzt würden wir genau an der Stelle eben ansetzen, um der es um das eigentliche des Textes geht.
55000	60000	Ja, also der Primärprozess als Transformator und Reizschwelle.
60000	76000	Ich möchte nun in Erweiterung früherer Überlegungen die Frage aufwerfen, inwieweit die genannten medialen Reizströme und die zunehmende Gerätesozialisation den Primärprozess selber affizieren, beschädigen und enteignen.
76000	96000	Wie sollte das zugehen? Ist denn nicht der Primärprozess ein irgendwie unterirdisches Tovaboo, gesättigt mit chaotischer Triebhaftigkeit, ungebundener, frei fließender, stets entladungsbereiter Energie, leichter Verschiebbarkeit der Objektbesetzung, reines Lustprinzip?
96000	105000	Ja, vielleicht halten wir hier mal kurz inne, weil ja hier dieser entscheidende Begriff fällt, der für die Gedanken und den Text hier so wesentlich ist.
105000	116000	Und nach dem Autor ja überhaupt, um zu verstehen, was digitale Medien, wie digitale Medien in unsere psychische Struktur eingreifen, nämlich der Primärprozess, ist ja ursprünglich ein Begriff von Freud.
116000	126000	Und Freud hat den Begriff benutzt, um zu beschreiben, nach welcher Logik das Unbewusste funktioniert. Also man kann auch sagen, zum Beispiel Traumlogik.
126000	138000	Und das war sozusagen auch so gemeint, dass das entwicklungsgeschichtlich früher ist. Also der Menschheitsgeschichte war lange ein Denken in Affekten und in Bildern. Und das ist der Primärprozess.
138000	149000	Und da können auch mitunter widersprüchliche Sachen nebeneinander stehen. Das ist ein Modus des Sowohl-als-auch. Man kennt es aus Träumen, da sind Dinge, die gleichzeitig gelten, das kann eigentlich gar nicht sein.
149000	159000	Und wenn man aufwacht, dann versteht man das auch gar nicht, warum das eben noch Sinn gemacht hat. Das ist Primärprozess. Und der Sekundärprozess, das ist eigentlich unser rationales Denken.
159000	172000	Und in der Geschichte der Menschheit, aber dann auch in der Geschichte jedes einzelnen Menschen, fangen die Menschen an, ihre inneren Prozesse mehr und mehr, man könnte fast sagen, mit einem Stück Selbstzwang zu ordnen.
172000	185000	Also nach die Logik, als sozusagen die Gedankenoperation hat als Wesentliches das Ausschlussprinzip. Also wenn A, dann kann nicht B sein. Also Logik. Es kann nicht beides gleichzeitig sein.
185000	197000	Ich kann nicht gleichzeitig X und Y sein. Im Traum kann ich gleichzeitig in Schweden sein und zu Hause in Heidelberg. Das kann irgendwie beides gleichzeitig sein. Die Logik sagt, es geht nicht beides gleichzeitig.
197000	207000	Und dieses nicht und Logik und wenn, dann und warst du nicht zuerst in Schweden und bist dann nach Heidelberg, das sind alles Sekundärprozesse. Das heißt die logische Ordnung der inneren Welt.
207000	214000	Und Primärprozess ist dem zugrunde liegend und ist historisch und archaisch früher.
214000	228000	Deshalb spricht Balsa auch von Verschiebbarkeit der Objektbesetzung und reines Lustprinzip. Also damit ist gemeint, dass im Primärprozess gibt es, wie du es gesagt hast, eben diese Ordnung nach Logik nicht.
228000	241000	Das heißt, also wenn ich jetzt, wenn mein Affekt mir sagt, ich möchte jetzt aber in der Sekunde in Schweden sein und nicht in Heidelberg, dann bin ich das in dem Moment aber auch.
241000	255000	Also dahin, wo mich meine Lust hinspült, dem folge ich quasi auch. Deswegen hat es auch so was Assoziatives, weil es einfach der Lust oder diesen inneren Trieb sozusagen auch direkt folgt.
255000	264000	Und das funktioniert im Tierreich, funktioniert das, weil man nach den Instinkten sich reinzurichten, nach dem Lust- und Unlustvermeidungsprinzip kann ein Tier überleben, ein Mensch aber nicht.
264000	274000	Das ist ja das Besondere an einem Menschen. Ich glaube wichtig für den Text hier ist zu verstehen, dass der Primärprozess ist so ein ganz gängiger Begriff in der Analyse.
274000	280000	Also wenn der hier fällt in so einem Fachtext, dann ist vorausgesetzt der Leser weiß, darauf bezieht sich das.
280000	286000	Weil seine These wird sein, dass die Digitalisierung in diesen Primärprozess eingreift.
286000	293000	Obwohl der eigentlich sowas wie so eine Naturkonstante erstmal gedacht hat, das ist doch dieses Chaos und Toho wa Boho, was in uns drin ist.
293000	299000	Er sagt wird es gleich sagen, aber ganz so ist es nicht, sondern der Primärprozess leistet schon etwas ganz Entscheidendes.
299000	306000	Als nächstes kommt ein Zitat, also zitiert Balser, Freud.
306000	316000	Der Primärvorgang strebt nach Abfuhr der Erregung, um mit der so gesammelten Erregungsgröße eine Wahrnehmungsidentität herzustellen.
317000	331000	Dabei zeigen aber die Traumfunktionen und nachgerade Freuds Ausführungen zur Traumarbeit, dass der Primärprozess bereits über eine ziemlich differenzierte Strukturbildung eine Bildgrammatik verfügt,
331000	337000	die allerdings in ihrer Darstellungsarbeit ohne sprachliche Konjunktionen auskommen muss.
338000	349000	Also so viel Toho wa Boho ist es gar nicht, sondern das Traumleben, das ist nicht chaotisch, sondern es hat nur eine nicht sprachliche Logik, also eine bildsprachliche Logik.
349000	355000	Das haben wir ja schon öfter, wenn wir über Traum gesprochen haben, dass die Logik des Traums ist eigentlich die Logik des Films.
355000	362000	Wie kann ich etwas zeigen, darstellen, innerlich ordnen, ohne dass ich sprachliche Konjunktionen habe?
