start	end	text
0	9920	When a child is killed in Gaza, it's because somebody made a decision that this killing
9920	15320	was worth it to hit another target, and this is according to five sources that I've spoken
15320	17160	with in Israeli intelligence.
17160	22960	In all of the target fires that Israel is bombing right now, the amount of civilians
22960	27520	that are likely to be killed is written down.
27520	32160	After October 7th, there is a total disregard for Palestinian civilian life, even when hitting
32160	37240	targets that are either not distinctly military in nature.
37240	43360	And I think that to look at the civilian devastation that is happening right now in Gaza, you have
43360	47640	to understand that it's a consequence of a particular Israeli war policy.
47640	55840	It is a war policy that has a very loose interpretation of what a military target is, also attacking
55840	58520	people in civilian spaces.
58520	64440	It is a war policy that centers on deterrents and hitting these power targets that are intended
64440	73320	to place civilian pressure on Hamas, and it is a war policy that is increasingly being
73320	78840	helped by the use of big data, automation software, and AI.
78840	86040	My evidence suggests that many, many of the of the civilians who are being killed in Gaza
86040	93080	are being killed as a result of these policies that I do not think are justifiable policies.
93080	96000	International law experts would call them war crimes.
106880	107880	Hello comrades.
108240	111200	It's episode 303 of This Machine Kills.
111200	116320	I'm Jaythin, joined by Ed and producer Jeremy in the future.
116320	120880	It's your premium episode for this week, but I'm just going to say right up off the top
120880	128880	because we are going to get into a topic, into a very long investigative report that
128880	136040	is fucking stunning and shocking to me, stunning in its content, but also as Ed and I were
136200	141760	yelling about before recording, stunning in the fact that nobody else is fucking talking
141760	146800	about it and everyone needs to be talking about it.
146800	151880	While this is a premium episode, largely just because that's how the schedule of our recordings
151880	158080	worked out, we are going to pretty quickly unlock this one for the free feed because
158080	165560	this is something that deserves much wider discussion than it's receiving, especially
165560	173720	among people who like us are constantly crowing about the real material and imminent consequences
173720	182120	of AI and its use by people in power, whether that's corporations or governments, militaries,
182120	184120	whatever it might be.
184120	191760	And yet a lot of people ain't talking about this topic that we got for you all today.
191760	199000	And so we need to, yeah, we need to do our part to at least try to bring some more attention
199000	200000	to it.
200000	203680	So let's set the scene here, Ed.
203680	214780	So about a week ago as a recording for us, 972 Magazine in partnership with Local Call,
214780	225260	So 972 Magazine is a left-wing politics magazine, politics and news magazine based in Tel Aviv
225260	229860	and Local Call is a Hebrew language publication.
229860	237680	So 972 publishes a lot of investigative reporting from a left-wing perspective about Israel
237680	239520	and Palestine.
239520	242900	They're based in Tel Aviv, although they publish a lot of their stuff in English because they
243020	246700	want a big international audience to read it.
246700	248700	They want to draw attention to it.
248700	254020	And they've published in partnership with Local Call, which is a Hebrew language based
254020	268060	outlet in Israel, this just long and stunning report titled A Mass Assassination Factory
268260	272440	Inside Israel's Calculated Bombing of Gaza.
272440	277700	And then the deck here is permissive airstrikes on non-military targets and the use of an
277700	283280	artificial intelligence system have enabled the Israeli army to carry out its deadliest
283280	285660	war on Gaza.
285660	295420	So this is a really long piece on the systems, the technological systems and the military
295420	305220	strategies that are underlying Gaza's current and previous military campaigns, the genocide
305220	312780	that they're waging, the mass destruction that they are committing on Gaza, this AI
312780	318100	system that is really being revealed in this report that we're going to talk about and
318700	326860	strategy underlying that this is what is a really kind of massive foundational pillar
326860	333220	behind everything that we see happening in Gaza right now.
333220	337900	And of course, when there's an AI angle, TMK is going to be on the case.
337900	347180	But this is striking me as not just a little bit of AI sauce on something else.
347180	355500	This is really striking me as a case where Israel and the IDF is really, you know, and
355500	368980	proudly putting AI at the front and center of their strategies, their target making.
368980	374860	They've got this, we'll get into it, but there's like a target administrative system or whatever
374940	385180	it is that is really focused on creating in a really mass produced way targets for these
385180	392700	like one ton bombs that Israel is dropping on high rise buildings, on universities, on
392700	400420	hospitals, on mosque, on open air, you know, flea markets, on schools, wherever they can.
400460	407940	They are claiming at least that this AI system that we'll get into is what's spitting out
407940	414380	all of these targets, right, is giving them, as they claim, 100 targets a day, more targets
414380	420820	than they can keep up with with their bombing campaign, giving out of a total database of
420820	428380	something like 30 to 40,000 individual targets for Israel to airstrike.
428420	432060	There's obviously a lot here, but we'll get into the details.
432500	436580	There's a lot to discuss around the kind of the politics of this.
436580	443220	There's a lot to discuss around the technology of this as well and what what we should or
443220	448740	should not believe in terms of what IDF spokespeople or the IDF chief of staff is saying
448740	451580	and claiming versus what might be the actual fact.
451700	460180	But there is also a lot to be said about how, at the end of the day, there is a really clear,
460660	469980	you know, AI, whether it's an AI powered or an AI alibi, right, justified by AI, there
469980	473980	is a really clear kill chain happening here.
474060	477380	There's a really clear kill matrix happening here.
477540	485540	You know, as we get into this, I think astute listeners might recall some of the reporting
485820	492900	from 10 years ago, you know, in 2013 around the Obama administration's secret kill
492900	499100	matrix, right, or the disposition matrix, the kill list that they had created.
499500	502220	So crazy. They call it the dispossession matrix.
502220	506940	It's like it's some fucking spin off of the dispossessed from Ursula Le Guin, you know.
507500	508500	Oh, my God.
508940	514260	But, you know, this kill list that the Obama administration created to guide their drone
514260	521460	strikes, right, that and so astute listeners might find some really obvious connections
521460	527420	here from the from 10 years ago with the Obama administration's kill list or or I should
527540	532620	say it's the disposition matrix, but it did dispossess a lot of people of their lives.
532620	535300	That's for sure. And then upgrade.
535300	543020	And then what we're talking about now with this AI system that Israel has is very much
543020	552100	a in the direct lineage of the disposition matrix, but is one that, you know, is powered
552100	558380	by machine learning, is taking it to another level, is handing over a lot more decision
558380	564540	making to an automated system, whereas if the kill list, the disposition matrix was
564540	573020	a database, this AI system that Israel has is very much at least in the way that the
573020	579420	IDF is talking about it quite explicitly from both current and former soldiers who spoke
579420	582100	to 972 and intelligence officials.
582420	589980	They are talking about it as a automated system that that that that title mass assassination
589980	597300	factory is not a bit of a stylistic verve that the magazine came up with.
597460	605580	That is a direct quote from an IDF source who called it a mass assassination factory.
605700	611620	Right. And so I think let's get into what this system is, what the underlying strategy,
611620	614060	the military strategy is for this.
