start	end	text
0	12040	Überall der gleiche Schlag, hellblaue trotzige Augen, rot-blondes Haar, gewaltige Leiber, nur
12040	14760	zu Tat und ungestümend drängend taugend.
14760	19360	Wenn man die Ideengeschichte des Nationalismus anguckt, wie er historisch gewirkt hat, dann
19360	24880	war das ein einziges Zerstören, ein einziges Vereinheitlichen von deutscher regionaler
24880	29920	Kultur zu diesem wirklich auf ein paar Symbole begrenzten Brei, den wir heute haben.
29920	34880	Wir leben in dem besten Deutschland, das es jemals gegeben hat.
34880	40560	Das hat Bundespräsident Steinmeier 2020 bei den 30-jährigen Einheitsfeiligkeiten gesagt
40560	46000	und ich denke, das fasst die Idee des bundesdeutschen Nationalismus, wie wir ihn jetzt erleben, gut
46000	47000	zusammen.
47000	51480	Eigenes revolutionäres Projekt auf die Beine stellen, welches einen entschlossenen Kampf
51480	58160	gegen diesen Staat führt, den wir heutzutage gegenüber stehen haben und nicht Abwehrkämpfe
58160	65240	für diesen Staat gegen seine einzige wirklich aktuelle große Opposition in Form der AfD
65240	66240	und der Neurechten.
66240	69240	Tag auch!
69240	72880	Willkommen bei Über Tage, dem anarchistischen Podcast.
72880	81120	Wer sind wir?
81120	86800	Eine Frage, die sich eine Nation stellen muss, und die deutsche Nation war in ihrer Geschichte
86800	88640	mehr als einmal überfragt.
88640	92880	Doch trotz aller Widrigkeiten konnte sich keine andere dieser weiten Welt so oft neu
92880	93880	erfinden.
93880	99720	Denn auch wenn Automobil, Buchdruck und Computer als die großen deutschen Erfindungen hochgehalten
99720	105080	werden, ist wohl die wirkmächtigste und wichtigste die Erfindung, die diese drei überhaupt zum
105080	110640	deutschen Kanon machte, der deutsche Nationalismus selbst, gezeugt in den Wirren der napoleonischen
111160	116680	Kriege, geboren unter einem Kaiser, genährt durch die Arbeit und den Tod von Millionen
116680	122000	seiner Subjekte, genau wie denen auf der anderen Seite der Grenze, geschlagen und geschädigt
122000	128400	in zwei Weltkriegen, geteilt in zwei Erzfeinde und schließlich geeint als die eine untrennbare
128400	130960	Nation, die sie immer sein sollte.
130960	136760	Somit wurden aus Arbeitern, Beamten und Bossen, denen auf der einen und der anderen Barrikadenseite,
136760	140080	Schwaben, Westfalen, Berlinern und Bayern, Deutsche.
140160	141160	Doch woher kommen wir?
141160	145360	Die Dänengeschichte eines Nationalismus ist nur ein Teil seiner eigenen Erzählung.
145360	149360	Es ist nur der Moment, in dem erkannt wurde, was immer schon da war.
149360	152240	Und so begibt man sich auf die Suche nach dem Ursprung.
152240	157920	Denn für einen Nationalisten müssen die Wurzeln tief sein, um eine kräftige Eiche hervorzubringen.
157920	162800	Und so wird klar, dass ein Arminius schon damals Deutschland von Rom befreien wollte,
162800	168680	ein Kaiser Karl es als neues Rom einwollte und ein Helmut Kohl diesen Traum verwirklicht
168680	169680	hat.
169680	171320	Und trotzdem ist der Traum noch getrübt.
171320	176760	Denn auch wenn, so wie die Jahreszeiten vergehen, ein Wintermärchen einem Sommermärchen wich,
176760	181640	der Schnee schmolz, der kurz zuvor Wachtürme und Bahngleise bedeckte und aus den Mangelwintern
181640	187120	in Ruinen ein Wunder in blühenden Landschaften wurde, würde jeder Sieg den bitteren Beigeschmack
187120	189400	des Rauches der Schornsteine behalten.
189400	194080	In die Nation wählte er einen anderen Weg als so viele andere geplagte Täter und nutzte
