start	end	text
0	10840	Dieser paramilitärische Straßenkampf wird dann eben kombiniert mit parlamentarischer
10840	17160	Arbeit als Bühne für Legitimität und auch reale Macht und einem Aufbau einer Massenbewegung,
17160	22040	die alle Lebensbereiche organisiert. Dieser Dreiklang ist im Endeffekt auch die Formel
22040	25960	faschistischer Politik und auch was, was man in der Form so bis heute sieht.
25960	31920	Also im Prinzip ist der Faschismus eigentlich, was die Rolle der Frau angeht, die ultimative
31920	37240	Durchsetzung des Patriarchats bei gleichzeitiger moralischer Anerkennung der Rolle, die dann die
37240	44840	Frau in Patriarchat zu spielen hat. Dass wir nach dem Ende von Frankos Diktatur keinen explizit
44840	48840	faschistischen Staat eigentlich mehr gesehen haben, sondern nur noch Militärdiktatoren mit
48840	53800	faschistischen Zügen. Da müssen wir eben entgegenhalten und verstehen, dass jeder
53800	58400	kapitalistische Nationalstaat immer die Grundlage bietet für die Entwicklung
58400	64200	einer faschistischen Bewegung, die sich eben als Löser seiner Probleme anbietet.
64200	71480	Tag auch! Willkommen bei Über Tage, dem anarchistischen Podcast.
71480	84760	Die Moderne rollte als riesiges mit rauchenden Rohren umschlungenes Ungetüm in dem Bahnhof der
84760	89320	Geschichte ein und bahnte sich von da ihren verwüstenden Weg durch alle bisher gekannten
89320	95120	Formen von Familie, Vaterland und Vernunft. Dörfer entvölkerten sich, historische Städte
95120	100240	wurden zu gefräßigen, rußgetränkten Molochen, Natur zu niedergerungener Ressource,
100240	105680	Menschen zu Rassen und lokale Kulturen zu Nationen. Doch genauso brachte sie Frauenbefreiung,
105680	109920	Feminismus ein Sprudeln von Kultur und kommunistische Hoffnung auf ein Paradies,
109920	115000	das von den unerreichbaren Höhen des Himmels auf den greifbaren Boden der Erde so nah und doch
115000	119720	so fern verlegt wurde. Dieser Strudel aus Widersprüchen, aus Konflikten, aus Niedergang
119720	124920	und Aufstieg der Nationen entlud sich mit aller Brutalität auf der ganzen Welt und zeigte die neue
124920	129440	Macht menschlichen Untergangsstrems in den Schützengräben von Verdun und Gallipoli,
129440	135560	schaffte danach aber auch ein kleines Fenster für ein Ende des ewigen Kreislaufes, des ritualisierten
135560	140360	Opfers ganzer Generation von Untertanen für die Macht derer, die über ihn standen. Doch die
140360	145120	fanatischsten Verteidiger dieser alten Ordnung wurden als blutige Schutzengel zu ihrem Totengräber
