start	end	text
0	10440	Dass ich wirklich auch einfach über die Geschmacklosigkeit der jeweiligen Subkulturen
10440	11440	eschufiert wurde.
11440	15240	Etwas, was uns völlig fremd ist, sowas zu tun.
15240	19640	Das heißt, die ganzen Leute, die sich früher vielleicht dann einfach nur bei der konservativen
19640	24160	Radioshow oder beim Lesen von einem Artikel über diese oder jene Kulturform aufgeregt
24160	28520	haben, haben jetzt sehr einfach die Möglichkeit, ihre Meinung dann ins Internet zu tragen und
28520	31760	wirklich Teil von diesen Kulturkämpfen zu werden.
31760	37040	Jeder halbwegs funktionsfähige Staat bindet immense Ressourcen auf, um seine kulturelle
37040	40920	Landschaft so zu formen, wie es ihm zuträglich ist.
40920	45240	Am Ende des Tages ist der aktuelle Fokus der Rechten auf den Kulturkampf auch einfach
45240	49680	nur ein sehr billiges Binden und Aufreiben unserer eigenen Kräfte in einem frontalen
49680	50680	Abnutzungskrieg.
50680	59240	Willkommen bei Über Tage, dem anarchistischen Podcast.
59240	69200	Heute ist ein schwarzer Tag, meine Geschwister.
69200	74280	Unsere banale und schlechtgeschriebene Neuauflage eines geliebten Franchises mit einem diverseren
74280	79480	Cast, weiblichem asiatischen Hauptcharakter und schwarzem männlichen asexuellen Sidekick
79480	83640	wurde auf IMDB Review gebombt und auf X zu Meme gemacht.
83640	87960	Doch lasst euch dadurch nicht niederhalten, sondern motivieren für den Rückschlag, den
87960	89280	wir folgen lassen werden.
89280	95600	Unsere und ihre Kommentarspalten werden geflutet werden, Gefühle verletzt und neue Releases
95600	97800	in drei Stunden Videoassays zerrissen.
97800	100760	Es wird ein Tag sein, vergeudet in Social Media.
100760	103480	Ein Kampftag, ehe die Sonne wieder steigt.
103480	104480	Tippt nun.
104480	105960	Teilt unsere Creator.
105960	109800	Kämpft bis zum Ende und der Vernichtung der falschen reaktionären Kultur.
109800	112280	Für richtige Repräsentation.
112280	118640	So oder so ähnlich lassen Tag für Tag Tausende und Abertausende im Kulturkampf ihr politisches
118640	123240	Feuer im Herzen entfachen, sich für den Kampf um die Rezeption von den Kulturprodukten
123240	127280	von Großkonzernen verheizen und aufgrund der ewigen Wiederkehr der gleichen elenden
127280	131640	Diskussionen in X-beliebigen Threats langsam sich und ihr Feuer ausbrennen.
131640	136160	Doch nicht nur Linksliberale und ihre rechten Widersacher, sondern auch wir Revolutionäre
136160	139920	lassen uns immer wieder auf den Kulturkampf ein und werden von ihm eingenommen.
139920	142640	Genauso geht es auch dem gesellschaftlichen Diskurs.
142640	147560	Kulturkampf ist universaler Begriff für die heutigen Konflikte und Repräsentation von
147560	149080	marginalisierten Medien.
149080	153640	Welche Sprache, von wem, wann, wie und wo verwendet werden darf, für wen in welchem
153640	158960	Influencerkonflikt wie Partei ergriffen werden sollte und wen der Staat mit was fördern
158960	159960	sollte.
159960	164680	Wie wert sollten wir, die sich immer wieder in solchen Konflikten verlieren, den Kulturkampf
164680	165680	zu messen?
165680	170440	Wie wichtig ist der Kampf um Kultur für jede politische Gruppe, die die Gesellschaft verändern
170440	173440	oder wie wir Revolutionäre radikal transformieren will?
173440	178560	Ist dieser Kampf zentral für unsere angestrebte Transformation oder wird hier nur im Sinne
178560	182280	von Brot und Spiele jede Woche eine neue Sau durchs Dorf gejagt?
182280	187080	Die unpatriotische Wahl des Trikotsponsors skandalisiert, während gleichzeitig Tag für
187080	191280	Tag von denselben schwer besorgten Patrioten der deutsche Arbeiter für billigsten Lohn
191280	195120	ausgeplündert und schon fürs Verheizen an der Ostfront eingeplant wird.
195120	200760	Was ist es, dass jetzt, neben den klassischen Skandalblättern, auch so viele Einzelpersonen,
200760	203720	aber auch politische Gruppen sich in diesem Kampf verlieren lässt?
203720	209080	Was ist das Interesse des Staates, dort als eigenständiger Akteur aufzutreten und was
209080	213640	hat der heutige Kulturkampf mit dem Historischen zwischen Kaiserreich und Katholizismus zu
213640	214640	tun?
214720	219880	Schließlich, warum scheinen Linke und auch wir Revolutionäre so oft in diesen Kämpfen
219880	224720	zu unterliegen und was hat das mit sozialer Basis und Identifikation der Massen zu tun?
224720	230200	Das und vieles mehr erfahrt ihr heute über den Kulturkampf in unserer 121.
230200	231200	Folge.
231200	234880	Ja und das ist ja auch ein Thema, welches wir immer wieder in unterschiedlicher Form
234880	238960	behandelt haben, weil man kann sich von dem Kulturkampf am Ende des Tages ja auch nicht
