start	end	text
0	26760	Tach auch! Willkommen zu dem anarchistischen Podcast auf Spotify und iTunes. Heute in der
26760	32200	17. Folge von Übertage beschäftigen wir uns mit einem Thema, das wohl wie kein zweites die
32200	36120	radikale Linke in Deutschland gespalten hat. Nämlich, wie ihr euch schon denken könnt,
36120	40400	es geht heute um die Antideutschen. Das ist, glaube ich, ein recht spannendes Thema, weil ich,
40400	44920	also nicht nur ich, wir können, glaube ich, alle drei hier was dazu sagen. Besonders unser
44920	52760	Spezialgast Alfred. Hallo. Aber auch ich, da ich ja eine Zeit selber Antideutscher war und bestimmt
52760	56480	die ein oder andere Anekdote da gleich noch anbringen kann. Ja, wir wollen uns dem ganzen
56480	61960	zuerst so ein bisschen geschichtlich widmen. Wir werden da ein bisschen mit Alfred dann durchgehen,
61960	66080	wie sind eigentlich die Antideutschen entstanden? Wie haben sie sich über die Zeit entwickelt? Und
66080	70160	dann werden wir uns auch noch mal meine Nachfolgegeneration angucken. Wie hat sich das
70160	73760	Ganze dann noch mal, ich wollte gerade sagen, teilweise zum Guten, teilweise zum Schlechten,
73760	76840	aber wahrscheinlich nur zum Schlechten hin entwickelt. Und dann natürlich auch noch
76840	81640	mal ein paar Punkte besonders auseinandernehmen und uns das genauer angucken. Wir wissen natürlich
82040	88240	auch, es ist gerade nicht die beste Zeit, um eine Folge zu den Antideutschen zu machen. Aber es sei
88240	93360	dazu gesagt, dass wir das nicht geplant haben. Genau. Das versprechen wir euch. Es war wirklich nicht
93360	97720	so geplant, dass wir hier das kapitalisieren können. Genau, wir haben das länger geplant,
97720	101920	dass wir eigentlich diese Folge machen wollten. Und jetzt ist es tatsächlich so gekommen, dass
101920	105800	es wieder eine Eskalation im Nordost gibt. Und jetzt ist es halt auch irgendwie thematisch dann
105800	109520	passend geworden. Und die Folge wurde sich ja auch von euch gewünscht. Das muss man auch noch
109520	114680	dazu sagen, dass wir das zwei, drei Mal hatten, dass Leute sich das gewünscht haben, das Thema.
114680	119040	Und in dem Sinne würde ich sagen, starten wir einfach schon direkt durch. Stell dich doch einfach
119040	124960	mal vor, Alfred, und erzähl uns deine Geschichte. Ja, hallo zusammen. Also ich war für eine gewisse
124960	131240	Zeit tatsächlich relativ zentral im Geschehen der Antideutschen teiligt. Also jetzt nicht als ich
131240	136520	als Person zentral, aber ich habe da eben relativ viel mitbekommen, was da passiert ist und mitgewirkt.
136520	142600	Das war allerdings nur eine recht kurze Zeit von etwa 2000 bis 2004 oder so. Das heißt, da kann ich
142600	148600	sehr detailliert darüber erzählen, was ich da erlebt habe und was wir da so gemacht haben. Und
148600	153800	das, was halt davor und danach kam, das kann ich dann eher nur so aus zweiter Hand erzählen. Wie
153800	159200	kam es denn eigentlich dazu, dass du zu den Antideutschen gefunden hast? Also das interessiert
