start	end	text
0	20760	Herzlich willkommen zur Folge 68 von Zwischen zwei Deckeln, eurem Sachbuch-Podcast und herzlich
20760	22600	willkommen im Jahr 2024.
22600	26000	Mein Name ist Christoph und ich habe heute Amanda mit dabei.
26000	27000	Heutzamer.
27000	32280	Schön, dass ihr wieder eingeschaltet habt, bei uns gibt es keine Pause, es geht einfach
32280	39360	im normalen Rhythmus weiter und bevor wir gleich in die Buchvorstellungen starten von
39360	44960	heute, möchte ich einmal von dir wissen Amanda, womit du dich gerade beschäftigst, was hat
44960	47080	dich die letzten Wochen umgetrieben?
47080	56280	Ich beschäftige mich eigentlich nicht mit so fröhlichen Themen, auch ein bisschen des
56280	58400	aktuellen Weltgeschehens geschuldet.
58400	64640	Ich habe ein Buch gelesen über das Böse, das fand ich zwar gar nicht so gut, ich werde
64640	72080	Hannah Arendt mal wieder lesen, auch mit über das Böse und habe so ein bisschen thematische
72080	77080	Bücher, hier bei mir liegen eins, auf das ich mich sehr freue, hier liegt Bitterkeit
77080	84640	begraben von Cynthia Fleury, einfach als sehr gute Rezensionen hatte, das ist eine Psychoanalytikerin
84640	90920	und sie analysiert darin Ressentiment und was das eigentlich für unsere Gesellschaft
90920	92520	bedeutet und auch für die Demokratie.
92520	102240	Okay, das ist intensiver Themenkomplex für die dunkle Jahreszeit, der vielleicht aber
102240	103240	da auch hingehört.
103240	108240	Ich habe noch ein schönes Buch geschenkt bekommen von einer Freundin, das heißt der
108240	114760	letzte Sommer in der Stadt von Gianfranco Caligari, einfach so als Ausgleich hat sie
114760	120520	gesagt, damit ich da nicht so in ein dunkles Loch falle, wenn ich mich mit solchen Themen
120520	121760	den ganzen Zeit beschäftige.
121800	123360	Sehr gut, wie schön.
123360	130280	Ja, dann vielen Dank an deine Freundin, schön, dass Leute in deinem Umfeld sich um Ausgleich bemühen.
133280	140520	Bei mir sind es tatsächlich jetzt auch Bücher gewesen, ich lag jetzt die letzte Woche eigentlich
140520	146360	flach mit einer vermutlich richtigen Influenza, wünsche ich keinem, kann ich nicht empfehlen,
146360	150800	macht echt keinen Spaß, also Leute, es ist nicht zu spaßen und es ist auch wirklich
150800	156280	nicht lustig, naja, und auf jeden Fall, ich weiß nicht, bist du in der ganzen Tintenwelt
156280	157680	von Cornelia Funke drin?
157680	160960	Ne, vor 20 Jahren, ja.
160960	165480	Ja, genau, ich weiß nicht, ob du mitbekommen hast, dass sie ein viertes Buch ausgebracht
165480	166480	hat.
166480	167480	Ah, ne.
167480	171880	Ja, genau, also das ist passiert im Oktober, das wurde x-mal verschoben und ich habe immer
171880	175240	nur mitbekommen, dass es verschoben wurde und wieder verschoben und wieder verschoben
175240	179400	und jetzt ist es tatsächlich da und das habe ich nicht mitbekommen, aber es ist eben erschienen
179400	186600	letztes Jahr und ich habe gedacht, ja, dann kann ich mich da ja bald reinstürzen, aber
