start	end	text
0	21840	Hallo und herzlich willkommen zu Episode 15 von Zwischen zwei Deckeln, dem Sachbuchpodcast.
21840	27000	Ich bin wie immer der Nils und mit mir ist heute wieder der Christoph dabei.
27000	28000	Hallo zusammen.
28000	37000	Ja, schön, dass ihr da seid, dass ihr wieder eingeschaltet habt, wenn ihr jetzt zuhause sitzt oder irgendwie auf dem Abenteuer einkaufen seid oder zu denen gehört, die arbeiten müssen da draußen.
37000	40000	Danke an euch, dass ihr irgendwie den Laden am Laufen haltet.
40000	45000	Genau, ja. Wie sieht es aus bei dir? Irgendetwas Relevantes, Neues?
45000	53000	Nichts Spektakuläres auch. Ich bin überwiegend zuhause, kaufe einige Menschen mit ein und habe Zeit zum Lesen gefunden.
53000	55000	Was liest du denn gerade?
55000	63000	Also jetzt gerade tatsächlich wirklich für die Episode, die wir heute aufnehmen, habe ich das Buch von heute in den letzten anderthalb, zwei Wochen eben gelesen.
63000	75000	Also ihr habt es ja schon im Titel gesehen, es geht um Roboterethik von Janina Lo und ansonsten habe ich nochmal was bei der BBB bestellt und habe ein, zwei Krimis mir jetzt bei Twitter empfehlen lassen, die ich angehen möchte.
75000	82000	So ist mein Ziel. Aber sonst muss ich sagen, habe ich nicht viel mehr Zeit als vorher. Ich weiß nicht, wie es bei dir ist.
82000	87000	Ja, bei mir auch nicht so wirklich, weil meine Arbeit sich dann doch irgendwie eins zu eins ins Homeoffice übertragen lässt.
87000	92000	Und dadurch, dass die Pendelzeit wegfällt, sogar die klassische Lesezeit irgendwie ein bisschen kürzer wird.
92000	99000	Aber ich komme so ein bisschen zum Lesen. Ich habe jetzt gerade fertig gelesen das Zettelkastenprinzip von Sönke Ahrens.
99000	111000	Tatsächlich mal so ein bisschen der Versuch, diesen mysteriösen, ominösen, lumenschen Zettelkasten für so privates Notizenmanagement, Wissensmanagement aufzubereiten.
111000	118000	Und das fand ich echt total spannend. Da wird es zunächst wahrscheinlich auch den ein oder anderen Blogbeitrag zu geben bei mir.
118000	123000	Hast du Kommunikation mit Zettelkästen von Luman dazu gelesen?
123000	125000	Das ist ein Buch, ein Essay?
125000	128000	Nee, das ist ein Essay. Ich glaube, das sind nur so zehn Seiten oder so.
128000	130000	Ja, ich glaube, habe ich zumindest mal angefangen zu lesen.
130000	140000	Vielleicht, wenn wir dran denken, können wir es ja verlinken. Ich muss sagen, das ist relativ amüsant, weil Luman da eben klarmacht, wie egal es ihm ist, mit wem er eigentlich da irgendwie zu tun hat
140000	146000	und mit wem er zusammenarbeitet, also seinen Zettelkasten quasi als Assistenten begreift.
146000	148000	Und das ist ganz, ganz gut.
148000	152000	Aber das kann tatsächlich funktionieren. Das ist das Krasse dabei.
154000	157000	Genau, da können wir vielleicht auch eine Episode hier mal zumachen. Mal gucken.
157000	158000	Vielleicht auch das.
158000	164000	Ja, von euch da draußen ist irgendwie nichts an Fragen oder Kommentaren oder so zu der letzten Episode gekommen.
164000	167000	Fühlt euch da nochmal eingeladen, wenn ihr irgendwas diskutieren wollt.
167000	175000	Oder so uns einfach ein Audiophile zu schicken, einfach am Handy aufgenommen, vielleicht in der ruhigen Ecke oder irgendwie unter Blogbeitrag zu kommentieren.
175000	178000	Dann können wir das hier im Zweifel aufgreifen.
178000	181000	Also fühlt euch da nochmal herzlichst so eingeladen.
181000	185000	Apropos letzte Episode. Christoph, erinnerst du dich noch, worum ging es?
185000	190000	Ja, also du hast uns vorgestellt, Die Economist's Hour von Benjamin Applebaum.
191000	204000	Und da ging es, wenn ich mich jetzt recht im Sinne darum, wie im Prinzip so liberale, marktliberale Ökonomen Einfluss auf die Politik in den USA genommen haben.
204000	215000	Und ja, es zeigt sich, dass viel von dem, was so prognostiziert wurde, in dem Bereich gar nicht so eingetreten ist, wie es gesagt wurde.
215000	218000	So würde ich es in zwei, drei Sätzen zusammenfassen.
218000	220000	Genau, also wie es von den Ökonomen selbst vorher gesagt wurde.
220000	221000	Ja, genau, das meine ich.
221000	226000	Andere haben dann durchaus zumindest mal geahnt, was passieren könnte.
226000	230000	Ok, ja, genau, darum ging es letzte Woche, letzten Monat.
230000	232000	Diese Episode hast du ja schon gesagt, worum es geht.
232000	241000	Wir werden ein bisschen technikphilosophisch, wenn ich das richtig sehe, mit dem Buch Roboterethik eine Einführung von Janina Loh.
241000	249000	Die Autorin ist Philosophin und arbeitet an der Uni Wien im Bereich Technik und Medienphilosophie, sagst du.
249000	255000	Und sie habilitiert zu posthumanistischen Elementen in Hannah Arendts Werk und Denken.
255000	264000	Also ja, da merkt man schon ein bisschen, dass sowohl das klassischphilosophische als auch das technikphilosophische taucht ja schon in dem Titel auf.
264000	269000	Möchtest du anfangen, uns das Buch in der Kurzfassung kurz vorzustellen?
272000	274000	Ja, das mache ich gerne.
274000	285000	Also Janina Loh untersucht in ihrer Studie Roboterethik verschiedene Ansätze der Einordnung der Fähigkeiten und Zugeständnisse von und an Roboter durch EthikerInnen und PhilosophInnen.
285000	292000	Es zeigt sich, dass Begriffe wie Moral und Verantwortung traditionell dem Menschen vorbehalten sind und einzelnen Individuen zugeschrieben werden.
292000	299000	Loh stellt Gegenpositionen dar und macht Vorschläge, wie und warum wir unsere tradierten Denkmuster durchbrechen können und vielleicht auch sollten.
302000	306000	Okay, das klingt ja doch potentiell kontrovers.
306000	309000	Möglich, ja, mal gucken, wie kontrovers es wirklich wird.
309000	314000	Und wie danach so was wie haben Tiere auch Menschenrechte sozusagen.
