start	end	text
0	21040	Hallo und herzlich willkommen zu Zwischen zwei Deckeln, dem Sachbuch-Podcast zu Episode
21040	22040	28.
22040	26880	Mein Name ist wie immer Nils und ich habe heute dabei Christoph, hallo zusammen.
27360	32360	Genau und heute wird der Christoph uns ein spannendes Buch vorstellen, wie immer, wenn
32360	35360	ich euch hier am Anfang der Episode begrüße.
35360	42760	Ja, bevor wir loslegen und über Bücher sprechen, die wir gelesen haben, was liest du denn aktuell,
42760	43760	Christoph?
43760	49280	Ich lese gerade einerseits auf der Sachbuchseite, habe ich glaube ich vier oder fünf Bücher
49280	53080	offen, aber das, was ich jetzt gerade als letztes angefangen habe, ist Demokratie eine
53080	60720	deutsche Affäre von Hedwig Richter, wo es ja eben darum geht, wie die Demokratie auf
60720	67160	dem Gebiet entstanden ist, auf dem wir jetzt gerade leben und beschäftigt sich ganz viel
67160	71560	auch mit dem Kaiserreich und demokratischen Entwicklungen da, also so ein bisschen ja,
71560	73720	es ist unterschrieben mit vom 18.
73720	80000	Jahrhundert bis zur Gegenwart und das andere Buch, was ich lese, ist Gier von Arne Dahl,
80000	86320	also das ist ein Thriller bzw. bislang ist es irgendwie, finde ich, ein Bürokratie-Krimi,
86320	90000	den habe ich irgendwann schon mal angefangen oder schon mal gelesen, ich weiß es nicht
90000	95640	mehr genau, ist im Zuge, glaube ich, der Finanzkrise irgendwie da im Nachklapp quasi entstanden
95640	99720	und den lese ich gerade, um mich irgendwie ein bisschen seichter zu beschallen.
99720	100960	Ja, was liest du denn?
100960	107720	Ich habe auch zwei Seiten, die Sachbuchseite und die Fiction-Seite, Romanenseite, wie auch
107760	108760	immer.
108760	115400	Auf der Sachbuchseite lese ich gerade von Julian Baggini, How the World Thinks, A Global History
115400	122640	of Philosophy, also es gibt vor, irgendwie so einen Überblick über die großen globalen
122640	128120	Philosophietraditionen zu sein, also explizit natürlich auch die nichtwestlichen, vom Schwerpunkt
128120	135480	auf Indien und China, ich habe gerade allerdings eher so ein bisschen das Gefühl, das ist eher
135480	142320	ein Blick auf die westliche Philosophietradition vor dem Hintergrund der anderen, also was
142320	148400	verraten uns die anderen über unsere, weniger ich lerne die anderen kennen, aber nichts
148400	152920	destotrotz sehr, sehr spannend oder vielleicht sogar noch spannender als so eine rein enzyklopädische
152920	158040	Wiedergabe irgendwie von Philosophiegeschichten aus anderen geografischen Regionen.
158040	163080	Ja, liest dich tatsächlich erstaunlich fluffig, ich hatte es mir verkopfter und abstrakter
163080	166920	erwartet, aber englischsprachige Autoren können sowas ja meistens ganz gut schreiben.
166920	173920	Und dann lese ich auf der, ja nicht Romanenseite, weil es kein Roman ist, sondern eine Sammlung
173920	179080	von Kurzgeschichten tatsächlich und zwar von Ted Chiang, Exhalation, das ist glaube
179080	182280	ich auch schon auf Deutsch erschienen, ich weiß aber nicht unter welchem Titel, das ist
182280	190280	eine Sammlung von Kurzgeschichten und Ted Chiang ist so, ja einer der großen Kurzgeschichtenautoren,
190280	193240	aber er ist nicht sonderlich bekannt, weil er relativ wenig schreibt, also er schreibt
193240	200120	so eine Kurzgeschichte alle paar Jahre, aber die sind dann halt exorbitant gut und begegnet
200120	204240	ist man dem vielleicht schon, weil von ihm die Kurzgeschichte stammt, auf der der Film
204240	205240	Arrival basiert.
205240	210920	Die anderen Geschichten sind halt ähnlich, was die Prämissen angeht und extrem gut.
210920	211920	Genau.
211920	215960	Bist du ein Kurzgeschichten Typ?
216960	217960	Okay.
217960	222000	Also ich denke mir eigentlich müsste ich das, weil ich es gerne mag, so von Dingen zu Dingen
222000	225240	zu springen und mal was Neues und mal was Neues, aber in Kurzgeschichten komme ich irgendwie
225240	226240	nie rein.
226240	229800	Wahrscheinlich weil ich irgendwie immer das Gefühl habe, die sind zu lang, um sie in einer
229800	233760	Sitzung zu lesen dann doch oft, aber wenn ich eh schon mehrere Sitzungen brauche, dann
233760	238280	kann ich auch was Richtiges in Anführungszeichen lesen und deswegen so Kurzgeschichten bleibe
238280	239280	ich selten dran hängen.
239280	243440	Deswegen lese ich jetzt auch den kompletten Sammelband eines Autor, weil ich dann so ein
243440	247000	bisschen das Gefühl habe, das ist vielleicht doch wieder ein Buch quasi.
247000	250040	Ja okay, man hat zumindest eine gefasste Struktur.
250040	252360	Auch wenn die inhaltlich nicht zusammenhängen oder so.
252360	253360	Ja.
253360	256120	Ich glaube die einzigen Kurzgeschichten, die für mich in den letzten Jahren irgendwie
256120	259760	funktioniert haben, waren die Bände von Ferdinand von Schirach.
259760	265680	Also ja, genau, bevor er mit seinen Romanen und so angefangen hat, die ersten beiden Bände
265680	269560	waren echt, echt sehr, sehr gut und damals ja auch noch sehr neu irgendwie in der Art
269560	270560	und Weise.
271080	272080	Ja.
272080	274840	Nee, tatsächlich, da bin ich irgendwie, sonst komme ich da nicht rein, außer jetzt
274840	275840	bei Chang.
275840	276840	Da klappt das dann doch ganz gut.
276840	277840	Schön.
277840	278840	Ja, genau.
278840	284960	Und jetzt nähern wir uns unserem heutigen Buch, die Spannung steigt, ne die Spannung
284960	285960	steigt gar nicht.
285960	289320	Ihr habt ja schon im Portcatcher gesehen, was es heute für ein Buch gibt, vermutlich
289320	290320	und dem Titel.
290320	294600	Aber bevor wir über das Buch heute sprechen, worüber haben wir denn letzte Woche gesprochen,
294600	295600	Christoph?
295600	301360	Ja, du hast uns letzten Monat sogar The Knowledge Machine von Michael Stevens vorgestellt.
301360	307440	Ein Buch, das sich damit beschäftigt, wie ja Wissenschaft, ich würde sagen, zu sich
307440	313840	selbst gekommen ist auf eine Art, also inwiefern, das ist der spannende Twist in dem Buch,
313840	320200	Wissenschaft dazu neigt, Informationen auszuschließen, was erstmal irrational wirkt, um selbst überhaupt
320200	322000	produktiv werden zu können.
322000	326280	Ja, also wenn euch das interessiert, müsst ihr einmal noch ein bisschen nach unten scrollen
326280	331160	und die Folge nach dieser hören, die ihr schon gehört habt.
331160	332160	Genau, ja.
332160	336640	Das sind doch so wahrscheinlich die meisten von euch, die da zumindest schon mal reingehört
336640	337640	haben.
337640	341480	Wenn nicht tut, das war eine sehr, sehr spannende Folge, fand ich, ein sehr spannendes Buch.
341480	349640	Ja, heute blicken wir auch in gewisser Weise wieder zurück, allerdings nicht ganz so weit
349720	354480	wie Michael Stevens, der irgendwie ins 17. und 18. Jahrhundert zurückblickte.
354480	362280	Wir blicken zurück in das Jahr 1996 und auf das Buch Die Realität der Massenmedien von
362280	363280	Niklas Luhmann.
363280	369360	Ich glaube, damit hat Luhmann den verdienstvollen Titel als erster Autor eine zweite Episode
369360	370440	in diesem Podcast zu bekommen.
370440	379040	Genau, wir hatten, ich glaube, Ökologie der Massenmedien, Ökologie der, nein, wie heißt
379040	380040	das Buch?
380040	381040	Ökologische Kommunikation.
381040	385080	Genau, Ökologie der Massenmedien, das wäre auch, könnte auch ein Luhmann Buch sein.
385080	386080	Ja, das stimmt.
386080	390920	Das war in Episode 4, glaube ich, haben wir das, hat auch Christoph das vorgestellt.
390920	396240	Genau, das ist aktuell erschienen beim VS-Verlag für Sozialwissenschaften, also alle von euch,
396240	400080	die einen Hochschulzugang haben, können sich das vermutlich einfach darüber runterladen.
400080	408280	Wem Niklas Luhmann noch nichts sagt, Frage 1, was tut ihr hier und Frage, nein, natürlich
408280	409280	nicht.
409280	414080	Niklas Luhmann ist einer der ganz großen deutschen Soziologen, vielleicht der deutsche Soziologe
414080	420560	der zweiten Hälfte des letzten Jahrhunderts, Begründer der Systemtheorie, ja, fast schon
421560	427640	Figur der deutschen Soziologie und großer Theoretiker, genau.
427640	432600	Gut, du hast uns Realität der Massenmedien mitgebracht, möchtest du uns einmal kurz
432600	435880	zusammenfassen, worum es da geht?
435880	436880	Sehr gerne.
436880	445520	In Die Realität der Massenmedien entwirft Niklas Luhmann ein Bild der modernen Medien,
445520	449240	das quasi noch in Gänze ohne die Entwicklung des Internets auskommen muss.
449240	453800	Im Kern seines Buches ist es zu zeigen, dass alles, was wir wissen, wir durch die Massenmedien
453800	454800	wissen.
454800	458600	Sie gestalten einen gesellschaftlichen Informationsverrat, auf den wir alle zurückgreifen und dessen
458600	460440	Kenntnis wir anderen unterstellen.
460440	467480	Ach, das klang noch kurz und knackig.
