start	end	text
0	24560	Herzlich Willkommen zur 42. Folge von Zwischen zwei Deckeln, eurem dreiwöchentlich erscheinenden
24560	31080	Sachbuchpodcast, in dem wir euch in jeder Folge ein Sachbuch in Detail vorstellen. Mein Name ist
31080	36520	Christoph und ich habe heute in der klassischen Besetzung Nils wieder mit dabei. Hallo zusammen.
36520	42400	Ja, wir haben, weiß ich gar nicht mehr, wann wir das letzte Mal zusammen aufgenommen haben,
42400	46520	ein, zwei, drei Folgen ist es glaube ich schon her, aber ich glaube diese und nächste Folge
46520	50760	machen wir jetzt wieder gemeinsam, wenn ich es richtig auf dem Schirm habe. Und wir beginnen mit
51240	58040	der Frage an dich, lieber Nils, was du gerade liest. Ich lese gerade einmal ein Roman, das ist der
58040	64840	kühnste Plan seit Menschengedenken von Matthias Lore, der lustigerweise tatsächlich genau eines
64840	69280	der Themen behandelt, das auch in dem Buch vorkommt, was ich euch gleich vorstellen werde,
69280	73840	was das genau ist, werde ich euch dann gleich sagen. Und ein Sachbuch lese ich gerade von
73840	86080	Karl Siegmund. Ein Sachbuch, ein Geschichtsbuch im Grunde über die Geschichte des Wiener Kreises.
86080	91680	Das war eine philosophische Gruppierung Anfang, erst der Hälfte des zwanzigsten Jahrhunderts,
91680	99120	so 20er Jahre bis 50er Jahre ungefähr, die im Grunde eine knallharte Formalisierung der
99120	104240	Philosophie vorhatten. Und das hat nicht so geklappt, wie sich das vorgestellt hatten,
104240	109200	aber trotzdem massiven Einfluss eben auf das Verständnis von Wissenschaft und die
109200	115520	Wissenschaftstheorie und Philosophie seit dem 20. und 21. Jahrhundert gehabt haben. Sehr spannend
115520	122800	bisher. So diese Anfänge von verschiedensten Professionalisierungsprozessen in den
122800	126760	verschiedenen Wissenschaftsdisziplinen finde ich schon mega spannend. Gibt es ja verschiedenste
126760	135520	Zirkelkreise, Schulen und so. Ja, okay, Wiener Kreis, sehr gut. Ja, bei mir sind es gerade drei
135520	142920	Bücher. Zum einen ist es Jane Eyre von Charlotte Brontë. Genau da arbeite ich mich gerade so durch,
142920	150120	in Kombination aus Hörbuch und Textbuch, also beides. Es gibt eine ganz wunderbar eingelesene
150120	157200	Variante vom WDR 5 als Podcast zur Verfügung, falls euch das interessiert. Und dann lese ich das
157200	164440	Buch, was ich irgendwann Ende August eigentlich hier vorstellen möchte. The Entrepreneurial State
164440	168400	von Marianne Mazzucato. Ich weiß nicht, ich glaube, ich hatte das auch schon mal erwähnt in
168400	180680	irgendeiner Folge. Genau da geht es um ein Verständnis von Staatsinvestition versus privater
180680	188200	Sektor, wie das so ineinander greifen sollte im Verständnis von Frau Mazzucato. Und eine Kritik
188200	194440	daran, dass sie meint, dass der Staat sich zunehmend aus Investitionsvorhaben für die Zukunft
194440	200600	in der Gesellschaft zurückzieht und das schlecht ist, weil gerade risikoreiche Technologien, also im
200600	204920	Sinne von ist es nicht klar, ob sie Profit bringen oder nicht vom Staat finanziert werden müssen,
204920	211480	weil sich da private tendenziell eher schwer tun. Und dann lese ich gerade noch einen Interviewband
211480	216440	mit Sigmund Baumann, von dem habe ich ja auch schon mal was vorgestellt, der heißt Das Vertraute
216440	221800	unvertraut machen. Das ist 2017 erschienen, das heißt, ich glaube, in dem Jahr, in dem er auch
221800	226360	verstorben ist, kurz vor seinem Tod, wurden da noch mal Interviews geführt, lässt sich auch
226360	233760	ganz locker und leicht runterlesen. Ja, das ist so das. Und in der letzten Folge hatten wir die
233760	241560	etwas besondere Situation, dass Holger und Amanda zusammen die Folge gemacht haben und du im
241560	247840	Hintergrund, glaube ich, mitgelauscht hast. Deswegen erst mal die Frage an dich, was weißt du noch aus
247840	252720	der letzten Episode, aus der Folge 41? Ja, genau, ich habe ein bisschen Technik-Support noch im
252720	258160	Hintergrund gemacht. Ja, warum weiß ich noch, Holger hat vorgestellt Fake Facts von Katharina
258160	264400	Nocun und Pia Lamberti und das ist ja so eines der Bücher, die in dem Kontext Verschwörungsmythen
264400	271080	und Verschwörungserzählungen ja das Ganze mal so ein bisschen aufarbeitet, verschiedene Erzählungen
271080	274880	vorstellt und eben auch zeigt, wie das irgendwie mit unserer Psychologie zusammenhängt und warum
274880	279200	wir so ein bisschen predisponiert sind, auf die Verschwörungstheorien vielleicht auch reinzufallen.
279200	284840	Genau, das Ganze allerdings mag man jetzt für ein Vor- oder ein Nachteil halten, noch vor Corona,
284840	291080	wo das ganze Thema natürlich noch mal eine ganz andere Bedeutung gewonnen hat. Ja, ich finde,
291080	295400	das hast du gut zusammengefasst. Also wenn ihr es noch nicht gehört habt, könnt ihr das gerne im
295400	302520	Anschluss an diese Folge machen, findet ihr eine Episode tiefer in eurem Podcast-Feed und damit
302520	307600	kommen wir dann zu dem Buch oder der Zeitschrift, die du uns heute mitgebracht hast. Du hast uns die
307600	314640	Ausgabe Europa, Infrastrukturen der Externalisierung von ARCH oder ARK Plus, weiß ich jetzt nicht,
314640	321320	wie man es ausspricht, mitgebracht. Das ist eine Zeitschrift für Architektur und Urbanismus. Das
321320	327520	ist die Ausgabe 239, das heißt, die scheint ja dann auch ziemlich etabliert zu sein und die
327520	334360	Ausgabe ist 2020 erschienen. Zu den AutorInnen kann ich jetzt natürlich nur begrenzt viel sagen,
334360	338640	weil verschiedenste Beiträge natürlich in der Zeitschrift versammelt sind. Das heißt,
338640	345400	heute mein etwas anderes Format als wir das sonst hier haben. Aber ein Name, der sowohl Nils was
345400	350720	sagt und auch mir, da hat unter anderem in der Ausgabe Stefan Lässe nicht mitgeschrieben. Das
350720	357880	ist ein deutscher Soziologe, der viel zu Ungleichheitsforschung macht und an der LMU in
357880	365440	München unterwegs ist. Und ja, damit würde ich an dich übergeben. Ja, danke dir vielleicht auch
365440	369000	von mir noch ganz ganz kurz. Also ich würde es tatsächlich eher arch aussprechen, weil es ist
369000	373760	eine deutschsprachige Zeitschrift. Und ja, die Ausgabennummer lässt mich auch dazu führen,
373760	378640	dass sie sehr etabliert ist. Und es ist tatsächlich eine sehr aufwendig produzierte Zeitschrift. Also
378680	385600	sie ist durchweg farbig gedruckt mit Fotos, mit sehr sehr aufwendigen akademischen Texten im Grunde.
385600	390880	Und ich will sie deswegen heute vorstellen, weil sie halt, obwohl es eine Zeitschrift ist mit 30
390880	395840	verschiedenen Artikeln, doch irgendwie thematisch sehr sehr klare, strenge und sehr sehr gut
395840	400200	ineinander greifende Artikel hat. Sodass sich die tatsächlich fast so vorstellen lässt wie ein
400200	406160	Buch, das irgendwie von einem Autor oder einer AutorInnengruppe irgendwie fast wurde. Das ist schon
406160	412000	wirklich beeindruckend, wenn das, wenn sowas so gut funktioniert. Also ja, vielleicht magst du
412000	423080	mit der Kurzzusammenfassung anfangen. Herzlich gerne. Die Ausgabe 239 der Zeitschrift ARCH plus
423080	427280	mit dem Titel Europa Infrastrukturen der Externalisierung fokussiert darauf,
427280	433600	wie die Infrastruktur unser Europa prägt und auch dessen kolonialistisches Erbe in Afrika. Sie zeigt
433600	438520	auf, dass Europa in erster Linie als Infrastruktur für einen Markt konstruiert ist, der Afrika als
438520	442920	ressourcenreiches Hinterland begreift, das ausgebeutet werden kann und auch immer noch wird.
442920	453040	Sehr spannende Einführung. Als allererstes muss ich dran denken, wie gerade entschieden wurde,
453040	459160	dass wir im Senegal doch noch mal zwei die Erschließung zweier Gasfelder fördern,
459160	464920	obwohl wir eigentlich gerade gesagt haben, wir wollen keine forcierten Projekte im Ausland mehr
464920	472440	finanziell unterstützen. Okay, vielleicht passt das ja dazu. Das passt definitiv dazu. Also diese
472440	478560	Zeitschrift bewegt sich immer so im geschichtlichen Bogen zwischen 19. Jahrhundert und heute. Ohne
478560	483160	das immer explizit zu machen, aber das sind so die beiden Zeitebenen oder Anfang des 20. Jahrhunderts,
483160	490600	auf denen wir uns bewegen und macht im Grunde so vier Stränge auf, die aber wie gesagt alle
490600	495200	so ineinander greifen. Ich werde jetzt darauf verzichten, die einzelnen Argumente den einzelnen
495200	502720	AutorInnen der Artikel zuzuordnen. Das könnte ich mit meinen Notizen, aber das würde glaube ich,
502720	508240	dass die Vorstellung hier irgendwie sprengen. Wenn ihr da konkrete Fragen oder so habt, schaut in
508240	513520	das Inhaltsverzeichnis auf der Webseite von ARCH+, da wird euch geholfen, wer sich da zu welchem Thema
513520	520280	geäußert hat. Aber das würde ich jetzt hier in schlechter wissenschaftlicher Manier, der
520280	527600	Verständlichkeit halber. Wie war das? Namen der AutorInnen werden nicht genannt, sie sind der
527600	533440	Verständlichkeit willen mit gemeint oder so. Sehr schön. Genau. Ich schicke auch noch vorweg,
533560	539760	dass das Thema Infrastruktur und Europa ganz eng an meinen damaligen soziologischen Forschungsthemen.
539760	544240	Ich habe ja zu Grenzen geforscht und zur europäischen Integration. Also auch da könnte es sein,
544240	549760	dass ich irgendwie mal ein bisschen tiefer einsteige als sonst, aber ich versuche so zu
549760	555440	bleiben, dass es allgemein verständlich ist. Das Gute ist, dass es wirklich nicht so ganz
555440	560240	nah an meinen Forschungsthemen zumindest dran ist. Also ich glaube, wir verlieren uns nicht im
560240	565800	Nördtalk, sondern du musst mich im Zweifel nämlich abholen. Sehr gut, mache ich das doch gerne.
565800	570480	Genau, der ganzen Zeitschrift, ich sage vielleicht noch manchmal Buch einfach,
570480	576080	weil es irgendwie so sprachlich drin ist, liegt im Grunde erstmal in einer Annahme zugrunde. Und
576080	581000	zwar irgendwie auch eine soziologisch theoretische Annahme, nämlich dass Infrastruktur irgendwie
581000	586480	den Raum strukturiert und dass Infrastruktur irgendwie was damit zu tun hat, was wir im Raum
586480	591880	tun können, dürfen, nicht dürfen und so weiter. Das ist glaube ich erstmal eine relativ intuitive
591880	597640	Verständnis, weil wenn irgendwo keine Straße ist, kann ich da nicht langfahren. Wenn irgendwo eine
597640	601720	Mauer ist, kann ich da nicht lang gehen. Es sei denn, es ist eine Tür drin oder ich kann drüber
601720	606240	klettern, aber dafür brauche ich eine Tür oder eine Leiter. Also das ist so ein bisschen eine
606240	611120	Sache, die man vorweg stellen muss und die Zeitschrift betont dabei eben nochmal besonders,
611120	617000	dass Infrastruktur eben auch im Raum nicht gleich verteilt ist, sondern auch verschieden
617000	622040	unterschiedlich versorgte Zonen erzeugt. Das kennen wir vielleicht auch. Allein schon aus der
622040	625600	Diskussion in Deutschland über, wie heißt das so schön, gleichwertige Lebensbedingungen im ganzen
625600	631320	Land oder ÖPNV in der Stadt und auf dem Land. Das ist irgendwie alles unterschiedlich und diese
631320	635880	Unterschiedlichkeit der Versorgung ermöglicht eben auch Inklusion und Exklusion, weil in gut
635880	640440	versorgten Regionen ist die Inklusion natürlich leichter und in schlecht versorgten Regionen ist
640440	648960	man eher exkludiert. Und das kann eben auch strategisch eingesetzt werden. Das ganze Konstrukt
648960	655680	im Grunde, dass Infrastruktur auch Machtstrukturen umfasst und irgendwie manifestiert und für
655680	663760	Inklusion sorgt, für Exklusion sorgt. Das steht so hinter dem ganzen Strang. Das erste Argument,
663760	669440	der erste Strang, den ich bringen möchte, ist das Thema, was ist eigentlich Europa oder was ist
669440	673400	eigentlich die EU? Eine sehr angenehm kleine Frage. Ja, eine sehr angenehm kleine Frage, aber jetzt
673400	678480	eben schon mit einer These mitgeliefert. Also ja, darüber gibt es komplette Studiengänge. Ich
678480	684440	war auch eines meiner Studienfächer. Und die Zeitung kommt eben von der Perspektive und sagt,
684440	690280	Europa ist erstmal eine Infrastruktur und zwar primär eine Infrastruktur für einen Markt. Es ist
690280	696800	keine Infrastruktur für Alltagsleben, es ist keine Infrastruktur für demokratische politische
696800	701560	Entscheidungen, es ist keine Infrastruktur für soziales Engagement, es ist eine Infrastruktur
701560	707840	für einen Markt. Erstmal primär. Wie begründen Sie das? Ja, das kannst du eigentlich aus der
707840	711720	Geschichte der Europäischen Union relativ gut raus begründen. Ich meine, wenn du das... Genau, das wäre jetzt auch
711720	716640	mein Ansatz gewesen, zu sagen, okay, wurde halt als Wirtschaftsunion gegründet und alles andere
716640	722040	wurde quasi danach draufgepfropft, aber genau. Genau, also da sind jetzt unterschiedliche
722040	727320	Artikel, die das thematisieren und das quasi verbeispielen. Ein Beispiel ist zum Beispiel,
727320	732480	dass, wenn du sagst, was ist eine Sache, die Europa ganz viel fördert, also wirklich fördert im
732480	738320	Sinne von Geld für Ergebnis- und Infrastrukturprojekte, wo so die Idee hintersteckt, wenn ich eine
738320	743280	technische Konnektivität herstelle, also wenn ich einen Ort technisch oder physisch erreichen kann,
743280	749400	dann entsteht daraus eine soziale Kollektivität. Das heißt, ich stelle eine Verbindung her und dann
749400	756200	integrieren sich die Räume. Das ist tatsächlich eine der Kerntesen, wo ich in meiner Diss gesagt
756200	764480	habe, nö, muss nicht. Oder nicht ganz so einfach. Ich habe geforscht zum Alltagsleben in Grenzregionen,
764480	769320	es ging um die Frage, Öffnung der Grenze, aber die Leute machen immer noch so wenig zusammen und
769320	772200	alle fragen immer, warum machen die denn so wenig zusammen, warum machen die denn so wenig zusammen?
772200	777560	Meine Frage war einfach, ja, warum sollten sie was zusammen machen? Also das war so ein bisschen der
778240	783400	Kernfrage-Twist meiner Diss. Insofern bringe ich dieser Perspektive oder der Beton und dieses
783400	789920	Aspekts natürlich sehr viel Sympathie entgegen. Und was, die Zeitschrift zieht das dann in eine
789920	795760	andere Richtung und geht zum Beispiel in die Richtung, okay, wenn ich aber so ein bisschen im
795760	800240	Sinne von Marshall McLuhan, the medium is the message, die Logik der Konnektivität bestimmt den
800240	804440	Charakter der Kollektivität. Und das fand ich sehr, sehr spannend, denn wenn du sagst,
804440	808360	du hast eine technische Konnektivität, also es ist irgendwie der physische Transport von Personen und
808360	812960	Waren, der aber eher marktlich-wirtschaftlich ausgerichtet ist, ist so diese technische
812960	819120	Konnektivität, dann ist das auch die Kollektivität, die entsteht. Es entsteht eine physische
819120	824040	Kollektivität, eine marktliche Kollektivität, die gerade auf den Austausch von Waren und
824040	829480	Personen bezogen ist. Es entsteht eben nicht eine symbolische Kollektivität oder eine, die irgendwie
829480	833320	die Identität stiftet oder eine solidarische Kollektivität, sondern es ist erstmal eine
833320	839280	marktliche und damit auch implizit immer irgendwie eine wettbewerbliche und vor allem ökonomische.
