start	end	text
0	22840	Hallo, herzlich willkommen zu Folge 46 von Zwischen zwei Deckeln.
22840	28120	Heute höre ich Holger zu, wie Nils mir ein Buch vorstellt.
28120	29120	Hallo zusammen.
29120	30120	Hallo.
30120	33920	Genau, fangen wir erstmal mit so dem üblichen an.
33920	36120	Nils, was liest du denn gerade?
36120	43200	Ich lese gerade an Roman, den schönen Roman, Locklands von Robert Jackson Bennet.
43200	48200	Das ist der dritte Band von einer Fantasy-Reihe, die hier im Podcast, glaube ich, auch schon
48200	54800	irgendwie ein- oder zweimal eventuell aufgetaucht sein könnte, die so ein bisschen ein Magiesystem
54800	58560	hat, das an Computer- und Computerprogrammierung erinnert.
58560	66560	Und da in so einer klassischen Fantasy-An-der-Grenze-zu-Industrialisierung-Welt halt ne spannende Geschichte
66560	67560	erzählt.
67560	70040	Auf jeden Fall sehr empfehlenswert für alle, die sich die Fantasy mögen.
70040	73720	Also Robert Jackson Bennet hat da echt was drauf.
73720	79720	Und Sachbuch, das letzte, was ich gelesen habe schon, ist Escape into Meaning Essays on Superman
79720	83640	Public Benches and Other Obsessions von Ivan Pushak.
83640	86760	Ivan Pushak kennt man vielleicht als Nerdwriter auf YouTube.
86760	91280	Wenn ihr den nicht kennt, schaut euch mal seine Videos an, die sind sehr, sehr großartig.
91280	96600	So Film-Analyse, Kunst-Analyse, sehr unterhaltsam und sehr nerdig und genauso sind auch seine
96600	97600	Essays.
97600	103680	Also wenn er dann argumentiert, dass Cyberpunk im Grunde strukturell sinnlos ist und Herr
103680	108720	der Ringe von Sinnen nur so überquillt, sind das schon spannende Ideen und Gedanken.
108720	110680	Und er schreibt auch über öffentliche Bänke in Barcelona.
110680	116280	Genau, das sind meine beiden Bücher, die mich gerade beschäftigen oder beschäftigt
116280	117280	haben.
117280	118280	Wie sieht es bei dir aus, Holger?
118280	126040	Ja, ich bin in den letzten Wochen leider wenig zum Lesen gekommen, wegen jede Menge andere
126040	128040	Dinge in meinem Leben.
128040	134200	Ich lese also immer noch Crown of Swords aus dem Wheel of Time von Robert Jordan, hoffe,
134200	140760	dass ich das bis zu meiner nächsten Folge dann auch durchhabe und das nächste Buch
140760	150240	aus der Reihe anfange, habe jetzt immerhin schon etwa die Hälfte von dieser gigantischen
150240	151240	Reihe.
151240	159880	Ansonsten Sachbücher habe ich in letzter Zeit eher als Hörbuch gehört, da höre ich
159880	167080	im Moment The Life-Changing Science of Detecting Bullshit von John Petrocelli.
167080	177440	Das ist also, ich glaube der Name spricht für sich selber, ein Buch darüber, wie Leute
177440	183400	halt Bullshit verbreiten, auch ein bisschen was dahinter steckt, warum man das tut, warum
183400	190720	wir das alle tun und wie man so diese Erkenntnis dann nutzen kann, um nicht Opfer von Bullshits
190720	194280	zu werden, sondern dann auch einschätzen zu können, wie ernst man diese Dinge nehmen
194280	195280	soll.
195280	200280	Und davor habe ich auch als Hörbuch gehört Heart Heavy und Happy von Nico Rose, das ist
200280	211000	dann so ein bisschen eine Analyse von Fans der Heavy Metal Musik, da ich mich selber
211000	221680	auch dazu zähle, war das dann auch ganz spannend, diesen Blick mal zu haben und ansonsten, genau,
221680	227600	wie immer überlege ich, was ich an Sachbuch als nächstes lese, also bei der Prose ist
227600	231160	das im Moment relativ einfach, weil ich die Wheel of Time-Reihe durchlese, da muss ich
231160	236280	immer einfach nur weiterlesen und dann das nächste Buch nehmen, genau, und bei Sachbüchern
236280	239800	überlege ich im Moment mal wieder, was denn als nächstes kommt.
240800	246160	Kommt jetzt die Frage nach der vorherigen Episode, ob du dich da noch dran erinnerst,
246160	251360	wo wir jetzt die lustige Kombination haben, dass ich das Buch in der letzten Episode vorgestellt
251360	254440	habe, aber dich danach frage, ob du dich daran erinnern kannst.
254440	258120	Ja, das war ja mal die ursprüngliche Konstellation, als wir noch nur zu zweit unterwegs waren.
258120	262520	Ich hatte die Episode auf dem Schneidetisch, insofern habe ich sie natürlich auch intensiv
262520	263520	gehört.
263520	270880	Du hast vorgestellt Bullshit-Jobs von David Graeber, in dem er im Grunde ganz viel des
270880	275920	Arbeitskapitalismus, den wir so haben, auseinandernimmt und irgendwie aufzeigt oder argumentiert, dass
275920	280560	doch viele Jobs eigentlich, naja, die sind halt da, damit jemand Jobs hat, aber nicht
280560	284840	wirklich irgendwie was bringen oder produktiv in irgendeiner Form ernsthaft sind und auch
284840	288400	von den Leuten so wahrgenommen werden, was dann natürlich nicht unbedingt zu Lebens-
288400	289640	und Jobzufriedenheit beiträgt.
289640	294600	Ja, genau, das ist eine schöne Zusammenfassung.
294600	301160	Dann kommen wir auch schon zum heutigen Buch, das stellst du jetzt vor, das heißt, ich
301160	304960	darf heute einfach nur zuhören und vielleicht ein bisschen Zwischenfragen stellen.
304960	313760	Und zwar ist das Erzählende Affen von Samira El-Oasil und Friedemann Karik, ich hoffe,
313760	323280	ich habe das richtig ausgesprochen, erschienen bei Ulstein letztes Jahr, also 2021 und die
323280	333160	beiden Autoren sind, sagen wir mal im weitesten Sinne Journalisten, also der Friedemann Karik
333160	342120	ist Primärjournalist und die Samira El-Oasil ist wohl auch als Schauspielerin und Musikerin
342120	343400	und Politikerin aktiv.
343400	354720	Genau, die beiden machen auch so einen Wochenrückblick-Podcast namens Piraten seiner Power Play, was ich zufälligerweise
354720	359320	auch höre, insofern sind sie mir also nicht ganz unbekannt.
359320	365600	Genau, möchtest du uns ein TLDL geben?
365600	368040	Ja, herzlich gerne natürlich.
368040	377680	Samira El-Oasil und Friedemann Karik bieten einen Überblick über die Theorie von Narrativen
377680	381680	und den klassisch westlichen Narrativ der Heldenreise.
381680	386800	Sie zeigen dann, wie diese und andere narrative Strukturen unsere heutige Gesellschaft prägen,
386800	390280	uns gerade im Umgang mit der Klimakatastrophe jedoch massiv hemmen.
390280	400000	Genau, das war die ganz grobe Kurzfassung.
400000	403840	Ja, dann bin ich neugierig auf die Langfassung.
403840	408960	Genau, also das Buch ist, ich hab gerade gar nicht mehr Überblick, wie lang es ist, ich
408960	412400	hab's also relativ lang in Erinnerung, so von außen, aber gelesen hat es sich tatsächlich
412400	416400	überraschend schnell, das nehme ich mal als gutes Zeichen für das Buch.
416520	421440	Und wir steigen mal ein vielleicht, gerade weil der Begriff des Narrativs ja doch irgendwie
421440	427280	sehr universell mittlerweile irgendwie vorhanden ist, gerade wenn man aus einer bestimmten
427280	430640	Perspektive auf die Gesellschaft guckt, taucht das ja doch relativ häufig auf.
430640	436240	Und vielleicht erstmal uns kurz überlegen, was ist ein Narrativ eigentlich, also jetzt
436240	437760	das, was die AutorInnen dazu sagen.
437760	441400	Narrative sind für sie grundlegende Erzählstrukturen.
442400	447480	Das heißt, es sind so grundlegende Überlegungen zu kausalen Zusammenhängen, das sind grundlegende
447480	452440	Menschenbilder oder all das, was wir so ein bisschen als, das ist halt so, akzeptieren
452440	455640	und worauf wir dann unser Denken und unser Handeln aufbauen.
455640	459200	Wir kommen gleich noch in ein paar Details von so Narrativen, aber das kann sowas sein
459200	465000	wie jeder ist seines Glückes Schmied oder der Mensch ist der Natur überlegen und was
465000	468760	da eben deutlich wird, ist, dass solche Narrative nicht wahr sein müssen, also sie müssen nicht
468760	472520	faktisch stimmen, um akzeptiert zu werden und damit wirkmächtig zu werden.
472520	478640	Also das ist ein ganz wichtiger Punkt, den man bei dieser ganzen Diskussion immer im
478640	483800	Hinterkopf halten muss, ob etwas faktisch wahr ist, ist erstmal sekundär relevant dafür,
483800	487160	ob es ein relevanter, ob es irgendwie einen Effekt hat, ob es eine Wirkung hat.
487160	490720	Und da merkt man ja gerade auch schon, dass das nicht unbedingt ein positiver Effekt sein
490720	491720	muss.
491720	497000	Ja, ich glaube in der Politik und im Zeitgeschehen hat man im Moment auch genug Beispiele dafür.
497000	498000	Genau, ja.
498880	501400	Was sie ganz schön machen, das machen sie erst ein bisschen später im Text, aber ich
501400	507760	ziehe das jetzt mal nach vorne, weil das glaube ich ganz hilfreich ist, wenn man unterscheidet
507760	509800	zwischen Narrativen, Erzählungen und Geschichten.
509800	516840	Das finde ich ganz schön und das ist im Grunde für die beiden so ein Aufbau, also Narrative
516840	521720	sind im Grunde das Fundament und Narrative können sich in verschiedenen kulturellen
521720	527240	Erzählungen irgendwie verfestigen, also sowas wie das jeder ist seines Glückes Schmied
527240	530440	kann sich verfestigen in der amerikanischen Geschichte vom Tellerwäscher zum Millionär.
530440	537840	Und dann gibt es wieder hunderte, tausende konkrete Geschichten, also Bücher, Filme,
537840	544480	was auch immer, die diese Erzählung dann umsetzen oder irgendwie unterhaltsam machen
544480	546600	und die dann tatsächlich eigentlich wahrgenommen werden.
546600	551560	Das ist vielleicht nochmal um sich das auch nochmal vor Augen zu führen, wie fundamental
551560	554600	solche Narrative eigentlich sind, also die sind auch oft eher abstrakt.
555000	560320	Sie halten diese Trennung dieser drei Ebene nicht im ganzen Buch komplett durch, aber
560320	565800	ich glaube es ist ganz hilfreich sich das im Hinterkopf zu haben, um diese Struktur
565800	566800	sich anzuschauen.
566800	575680	Genau, so jetzt das wichtige Vorweg, was ich jetzt gleich zusammenfasse, ist sehr eurozentrisch
575680	580560	und westlichzentrisch, das ist den Autorinnen aber bewusst und wird später relevant, so
580560	584720	bevor ihr gleich mit den Augen rollt, weil ich jetzt wieder die Heldenreise auspacke.
584720	594040	Also es ist tatsächlich so, oder die beiden Autoren halten fest, dass für die westliche
594040	599360	Erzählstruktur ein ganz zentrales Element oder eine klassische Form, das zu analysieren,
599360	604600	die Idee einer Heldenreise jetzt noch nicht in der strengen, formalen, Campbellschen Version,
604600	608120	sondern generell der Idee ist, dass ein Individuum ein Abenteuer bestreitet.
609000	613480	Dass dieses Individuum als Protagonist, als Hauptfigur im Mittelpunkt einer Erzählung
613480	618040	oder einer Geschichte steht, dass die Geschichte die Kämpfe und Rückschläge, die dieses
618040	623080	Individuum erlebt, schildert und dass dieses Individuum damit natürlich auch so ein bisschen
623080	628160	zu einer Projektionsfläche des Lesers, der Leserin wird, unsere eigenen Hoffnungen zum
628160	632240	Beispiel auch so was wie Erlösungen da irgendwie reinzusetzen und dann eben, wenn diese Erlösung
632240	638800	am Ende erfolgt oder auch verwehrt wird, die entsprechende emotionale Achterbahn, die Reise mitzumachen.
638800	647600	Das ist dieser sehr individualistische Fokus von Geschichten, den wir im Westen haben und diese
647600	653320	doch auch teilweise Formelhaftigkeit, die gerade jetzt auch mit der Verbreitung dieser Idee der
653320	659640	Heldenreise zu, der komme ich gleich, in der westlichen Welt hat, führt dazu, dass diese
659640	668320	westlichen Geschichten sich auf wissenschaftlich vernünftige und fundierbare Weise auswerten lassen,
668320	672880	auch automatisiert auswerten lassen, das ist gemacht worden, und zum Beispiel über
672880	678480	Worterkennung der Glückslevel der Hauptfigur typisiert werden kann. Dass man sagt, wie geht
678480	681960	es der Hauptfigur in ihrer jetzigen Situation eigentlich gerade und da gibt es zum Beispiel
681960	686280	eine Studie, die sechs Formen dieses Verlaufes über eine Geschichte hinweg unterscheidet.
686280	691000	Da gibt es einmal die klassische Rags to Riches, also von Armut in den Reichtum oder von der
691000	697880	Machtlosigkeit zur Macht. Riches to Rags, das ist dann also der entgegengestellte Abstieg. Der Mann
697880	701640	im Loch, der fällt halt am Anfang der Geschichte in ein tiefes Loch und krabbelt sich da wieder
701640	706560	raus. Dann haben wir den Gegenspieler davon, das ist der Icarus, der fliegt am Anfang sehr hoch und
706560	710520	stürzt dann aber ab. Und dann haben wir auch noch Aschenputtel und Ödipus, die etwas komplexere
710520	716480	Strukturen in sich aufweisen. Also man kann solche Geschichten tatsächlich ein bisschen in ihrer
716480	720280	Struktur voneinander unterscheiden und das lässt sich sogar bei einer automatisierten
720280	727080	Datenanalyse abbilden. Das ist ja spannend, dass man das dann schon so mit solchen
727080	731360	Datenanalysen machen kann inzwischen. Da steckt natürlich eine ganze Menge Annahmen drin.
731360	735480	Also da steckt natürlich die Annahme drin, dass tatsächlich ein Individuum ein Abenteuer
735480	740360	bestreitet und es um dieses Individuum geht. Da steckt auch die Annahme drin, dass man über
740360	746240	bestimmte Wörter das Glückslevel der Figur identifizieren kann und so. Also das ist unglaublich
746240	751040	annahmereich. Aber wenn man diese Annahme jetzt erstmal zumindest als analytisches Hilfsmittel
751040	757120	sieht, dann finde ich es sehr spannend, was da am Ende bei rauskommt. Okay, das ist natürlich
757120	761480	dann vielleicht auch immer ein bisschen, ich finde, wonach ich suche. Genau, die Gefahr besteht bei
761480	766560	sowas sehr, sehr stark. Deswegen ist bei solchen Dingen eben auch immer wichtig, dass das
766560	770480	unterschiedliche Blickwinkel sozusagen da drauf sind, dass das aus verschiedenen Richtungen immer
770480	775120	zu ähnlichen oder zumindest zu konsistenten Ergebnissen führt. Und wie gesagt, es ist nicht
775120	778840	die eine Analyse und die eine Klassifikation, aber es ist eine, die vielleicht irgendwie manchmal
778840	784440	hilfreich ist, Dinge nachzuvollziehen. Man kann das auch ein bisschen anders wenden, dass es sowas
784440	789600	gibt wie sogenannte Masterplots, die eben auch ganz vielen Geschichten oder auch Geschichten
789600	794360	zugrunde liegen. Sowas wie eine Rivalität, eine Rettung oder eine Rache, also irgendwie solche
794360	800520	grundlegenden Prozesse, die oft in Geschichten dann verarbeitet werden. Genau, wir haben also
800520	806080	dieses westliche Bild eines Helden, der eine Reise unternimmt. Es gibt da diese, jetzt komme ich
806080	813080	endlich dazu, diese formalistische Betrachtung von von Joseph Campbell, ich weiß das gerade gar nicht,
813080	820120	wie der gut mit Vornamen heißt. Ja, Joseph Campbell. Der Heldenreise, die im Grunde ja ganz maßgeblich
820120	828160	gerade für die westliche Popkultur geworden ist. Also klassischste Ausprägung ist zum Beispiel Star
828160	833320	Wars. George Lucas ist massiv, also auch nach eigener Aussage, massiv von dieser Struktur
833320	837720	beeinflusst worden. Und da geht es im Grunde darum, dass wir einen Helden haben, der am Anfang der
837720	843520	Geschichte aus irgendeinem Grund aus seiner Komfortzone, seinem Zuhause rausgeworfen wird,
843520	850200	dann mithilfe von Ventoren ein Abenteuer erlebt, am Ende eine große Überwindungsaktion,
850200	854840	eine große Transformation erfolgt und diese Person dann wieder in ihre ursprüngliche Welt zurückkehrt.
854840	860520	Also es ist im Grunde eine Geschichte von einer Veränderung, Veränderung unter Stress überspitzt
860520	866120	sich jetzt mal oder verkürzt sich jetzt mal massiv. Also eine Art Initiationsgeschichte dann. Genau,
866120	871600	das kommt jetzt auf die Ebene an, auf der man das quasi analysieren will, aber da spielen auch
871640	876320	Initiationssachen eine Rolle, aber es geht auch um Transformation, dann gleich schon nicht nur um
876320	881800	Initiation. Man merkt schon, das ist eine sehr individualistische Perspektive, da geht es um die
881800	888080	eine Person. Oft wird zum Beispiel auch die Geschichte vom Herr der Ringe so interpretiert,
888080	891040	auch wenn man da jetzt schon wieder überlegen kann, geht es wirklich nur um Frodo oder sind da nicht
891040	895800	andere Figuren, die auch massiv eine andere Bedeutung haben, eine eigenständige Bedeutung,
895800	902360	auch die eigentliche Hauptfigur vielleicht sogar sein könnten. Aber in diesen klassischen
902360	907200	Heldenreisen geht es halt um die eine Person und alle anderen Figuren um sie herum,
907200	912080	die im Grunde nur dazu, diese Geschichte zu strukturieren, sie zu ermöglichen und irgendwie
912080	919480	eine Funktion in ihr zu erfüllen. So, so viel vielleicht noch mal kurz zur Heldenreise vorne
919480	924200	weg, weil dieses Motiv des Helden, des Individuums, das irgendwie die Welt verändert,
924280	928920	das wird uns nachher, wenn wir uns konkrete Narrative angucken, wird uns das wieder über
928920	936840	den Weg laufen. Drehen wir noch mal einen Schritt zurück. Gehen wir mal ins theoretische, warum
936840	942160	gibt es sowas wie Geschichten überhaupt und was haben wir davon? Das ist jetzt immer so ein
942160	946400	bisschen spekulativ, wenn man irgendwie über Frühzeit und die Wertung des Menschen als Menschen
946400	952120	irgendwie redet. Das ist bei den beiden Autorinnen nicht anders, aber ich finde es durchaus hilfreich,
952120	956880	so darüber nachzudenken oder mit den Perspektiven, wie sie das tun. Sie sagen erst mal,
956880	961720	dass es Geschichten sind, die es uns ermöglichen, eine chaotische Welt in Abfolgen zu bringen.
961720	966840	Die es uns ermöglichen, irgendwie Ordnung zu schaffen und wenn wir diese Abfolgen und diese
966840	972760	Ordnung dann sogar als Kausalität begreifen, also das passiert A, passiert, weil B, dann erlaubt
972760	979240	es uns eventuell sogar eine aktive Kontrolle über den Ablauf der Welt. Weil wir irgendwie diesen
979240	988840	Ablauf und diese Kausalität, diese Zeitlichkeit, oft verwechselt oder vertauscht sehen und dann
988840	993640	sagen, wenn A, dann B und das ist natürlich ein Wissen, was ich später nutzen kann und was ich
993640	998440	vor allen Dingen auch als Wissen oder als Erfahrung unabhängig von Zeit und Situation kommunizieren
998440	1003360	kann. Also was ich anderen vermitteln kann, ohne dass die diese Erfahrung unbedingt selbst machen
1003360	1008520	müssen. Wer jetzt irgendwie Kinder erzieht oder irgendwie unterrichtet, weiß, dass selbst die
1008520	1013160	Erfahrung machen, immer noch der beste Lehrmeister ist. Aber über Geschichten und das Erzählen können
1013160	1017160	wir es zumindest vorbereiten oder wenn wir Glück haben, trifft das trotzdem auf offene Ohren.
1017160	1024600	Also, Entschuldigung, dann kann man das auch nutzen, um Aufmerksamkeit zu erlangen?
1024600	1030000	Zum Beispiel, ja. Um auf bestimmte Dinge hinzuweisen, also sie gehen dann so weit und
1030000	1037520	beziehen das irgendwie auf Jagdberichte von Frühzeitmenschen, wie auch immer man sie nennt,
1037520	1044080	von Frühzeitmenschen, die halt von der Jagd zurückkehren und berichten, wie sie einem Tier
1044080	1051040	nachgesetzt sind und dabei über den zugefrorenen See gelaufen sind. Dass dieser Bericht stattfindet,
1051040	1056320	heißt halt, diese Person war bei der Jagd wohl erfolgreich oder hat die Flucht überlebt und der
1056360	1061000	See ist zugefroren, über den kann ich laufen. Sprich, da steckt ganz viel Information drin über die
1061000	1065320	Welt, die ich dann vielleicht später, wenn ich selber in eine ähnliche Situation gerate, nutzen kann.
1065320	1074080	Also ist dann sozusagen die Idee, dass sich das der Geschichtenerzählen rausgebildet hat bei den
1074080	1081320	Menschen, weil es ein guter Weg ist, Informationen weiterzugeben und jetzt eine Gruppe, die Geschichten
1081320	1085520	erzählt hat, hatte dann einfach einen Überlebensvorteil gegenüber einer, die keine erzählt hat.
1086000	1090080	Ich weiß nicht, ob sie es so explizit so evolutionär wenden, aber im Grunde genauso.
1090080	1097320	Das ist der erste Punkt. Der zweite Punkt, den Sie noch machen, den ich auch ganz spannend finde,
1097320	1102680	ist jetzt weniger auf die Wertung des Menschen als Menschen, sondern eher was das Thema unsere
1102680	1109320	Identität, also jetzt auch wieder der individuellen Identität angeht. Da sagt sie eben, dass wir ja
1109320	1113200	auch sowas haben wie ein Erzähler in unserem Kopf, der kontinuierlich unser Handeln kommentiert.
1113200	1122040	Also der irgendwie sagt, da hast du jetzt aber Mist gebaut oder ach, wie konntest du nur und das
1122040	1126160	merkt man ja alleine schon, ich will das ja eigentlich nicht, aber ich habe es trotzdem gemacht,
1126160	1130280	aber wenn ich das nicht will, wer ist denn dieses Ich, das das nicht will und wer ist dieses Ich,
1130280	1135080	das gemacht hat. Also da ist ja auch so eine Erzählerstruktur irgendwie mit dabei und dieser
1135080	1139000	Erzähler gibt uns so ein bisschen das Gefühl einer kohärenten Lebensgeschichte. Das heißt der
1139000	1142880	Blick zurück auf das, was wir getan haben und versucht daraus irgendwie eine kausale
1142880	1149240	Struktur zu bauen, die zu dem führt, was gerade ist. Und das ist im Grunde eine Hauptfigur einer
1149240	1152920	Geschichte, wie alle anderen Hauptfiguren von Geschichten auch, aber mit der können wir uns
1152920	1158400	natürlich besonders gut identifizieren und das, wenn man jetzt ins Extrem in der Interpretation
1158400	1162720	geht, führt dann dazu, dass wir uns überhaupt erst als Individuen wahrnehmen, so als etwas mit
1162720	1168600	einer Identität. Diese Identität muss dann vor widersprüchlichen Informationen, vor Dissonanzen
1168600	1173520	geschützt werden, damit die Geschichte irgendwie hält, damit sie nicht auseinander bricht und wir
1173520	1180600	dann irgendwie kognitiven Problemen kriegen. All diese Narrative, gerade auch die Narrative,
