start	end	text
0	24400	Herzlich willkommen zur 69. Ausgabe von Zwischen zwei Deckeln. Heute stellt uns Nils ein Buch vor.
24400	33640	Hallo zusammen. Und ich, also Holger, höre ihm dabei zu. Wie geht es dir, Nils?
33640	39360	Ja, danke. Ich habe die letzten zwei Wochen im Krankenlager verbracht. Insofern bin ich froh,
39360	44160	gerade rechtzeitig wieder fit geworden zu sein, um euch jetzt in dieser Episode ein neues Buch
44160	47960	vorstellen zu können. Und entsprechend ist bei mir auch relativ wenig passiert, außer irgendwie
47960	54000	auf dem Sofa liegen, meine Xbox bedienen und ein bisschen mich durch die einfacher strukturierten
54000	58600	Romane zu lesen. Genau das Komplexe, was bei mir in den letzten Wochen passiert ist. Das ist das
58600	62120	Buch, was ich euch jetzt gleich vorstellen werde. Wie sieht es bei dir aus?
62120	68240	Also da bin ich ja fast neidisch auf dich. Also einfach mal so ein bisschen rumliegen ist ja an
68240	74800	sich gar nicht so schlecht, wobei ich das zwischen den Jahren durchaus auch ein bisschen gemacht habe.
74800	85400	Aber jetzt auch schon wieder seit Anfang Januar auch wieder im Arbeitsleben drin bin. Im Großen und
85400	90280	Ganzen kann ich mich nicht beklagen. Für mich persönlich ist mein Arbeit noch relativ ruhig,
90280	99760	das ändert sich jetzt gerade langsam, dass es wieder ein bisschen anzieht. Genau, also wie das
99760	107920	Leben so ist. Ja, muss. Genau, genau. Und was mich sozusagen mental ein bisschen beschäftigt im
107920	115960	Moment. Ich hatte da, das habe ich glaube ich sogar zwischen den Jahren gefunden, zwei Bücher,
115960	125920	die von Gerd Gigerenzer und Thomas Bauer geschrieben sind. Und zwar gehören die auch zu einer Gruppe,
125960	131800	die die Unstatistik des Monats macht. Das kann man also, wenn man das Google, kann man das finden.
131800	136960	Das ist glaube ich auf irgendeiner Universitäts Homepage letzten Endes gehostet, wo sie immer,
136960	145880	ja genau, also wie der Name sagt, sie kritisieren dann jeden Monat irgendeine Zahlenaussage,
145880	155080	die so in den Medien gemacht wird und erklären aber auch, warum diese Aussage denn nicht gut ist,
155080	159960	sagen wir mal. Also warum es teilweise total falsch ist oder warum es irgendwie nicht
159960	166520	aussagekräftig ist. Und haben also basierend auf dieser Seite zwei Bücher auch verfasst,
166520	171960	in denen sie noch mal teilweise auch dieselben Beispiele haben und die dann noch ein bisschen
171960	179880	ausführlicher erklären. Und es ist ein bisschen so eine, ich sag mal, Anweisung, wie gehe ich
179880	185320	denn mit den Zahlen, die ich sehe, um? Und wie denke ich auch kritisch über diese Zahlen nach?
185320	191480	Nehmt das nicht einfach alles so hin? Also ein Beispiel, was mir sehr im Kopf geblieben ist,
191480	199440	war, dass es irgendwie mal die Meldung gab, dass der Gardasee ja austrocknet wegen dem warmen Sommer.
199440	205800	Und dann haben die mal erklärt, naja, also irgendwie wird da ein Pegel beschrieben. Der
205800	209320	wird aber nicht vom Grund des Sees ausgemessen, der irgendwie, ich weiß nicht, glaube ich,
209320	214000	über 200 Meter tief ist, sondern von irgendwie so einer Nulllinie, die man irgendwann mal festgelegt
214000	221440	hat. Na ja. Und dann war er sozusagen nicht so weit über dieser Nulllinie oder vielleicht auch ein
221440	226800	bisschen unter dieser Nulllinie, aber nicht so weit wie sonst um die Jahreszeit. Aber natürlich ist
226800	233880	der nicht annähernd nahe daran auszutrocknen, weil da halt noch sehr viel Wasser da drunter
233960	239640	dieser Nulllinie ist. Und auch wenn man das prozentual auf die gesamte Wassermenge betrachtet,
239640	243320	das natürlich nicht viel ist, aber wenn man nur auf diesen Pegel guckt, dann ist es halt
243320	250120	eine große Meldung. Also solche Dinge sind das. Genau, also die heißen, falls es jemand
250120	255920	interessiert, warum Dick nicht doof macht und G meist nicht tötet und Grüne fahren SUV und
255920	262600	Drogen macht uns sterblich. Ah ja, gut zu wissen. Genau. Nicht, dass ich dogen würde, aber. Ja,
262600	268200	also ich fand sie ganz, ganz spannend und amüsant und vielleicht geht es anderen ja auch so. Oder
268200	275160	sonst einfach mal die Unstatistik des Monats sich angucken. Das kostet dann auch gar nichts im
275160	282040	Internet. Genau. Und kann man auch in denen von den letzten Jahren rumstöbern, was es da so gab.
282040	287480	Ah, sehr schön. Was beschäftigt dich denn, nachdem ich jetzt so viel erzählt habe?
287480	291320	Was mich, wie gesagt, bei mir ist nicht so unglaublich viel passiert. Ich habe vor
291320	294520	allen Dingen das Buch hier von Lisa Feldman Barrett, was ich euch heute vorstellen möchte,
294520	299960	gelesen und sonst versuche ich jetzt gerade wieder ein bisschen in meinen täglichen
299960	304240	Blogging-Rhythmus reinzukommen, nachdem ich jetzt wirklich irgendwie mit Weihnachten und
304240	308760	zwischen den Jahren und krank oder fast einen Monat nicht geschrieben habe. Ist das jetzt mal
308760	312760	wieder dran und da wird es dann auch, ja ich glaube, wenn die Folge veröffentlicht wird,
312760	318320	werden auch so langsam die Notizen zum Buch in meinem Blog dann auch erscheinen. Die kann
318320	328920	ich dann gerne in den Show Notes verlinken. Genau. Oh, sehr schön. Gut, dann können wir uns auch
328920	336240	direkt dem Buch widmen, das du uns vorstellen willst. Richtig? Ja, ich denke. Sehr schön.
336240	344760	Also das Buch ist Wie Gefühle Entstehen von Lisa Feldman Barrett. Lisa Feldman Barrett ist
344960	350640	Forscherin im Bereich Psychologie und Neurowissenschaften. Sie ist auch
350640	359000	Professorin für Psychologie an der Northeastern University in den USA. Im englischen Original ist
359000	367560	das Buch 2017 erschienen und die deutsche Übersetzung ist letztes Jahr im Sommer,
367760	381480	also im Juni 2023 erschienen und zwar bei Rowoldt Taschenbuch. Genau. Möchtest du uns
381480	392800	ein kurzes TLDR geben? Ja, herzlich gerne doch. In ihrem Buch How Emotions Are Made oder auf
392800	397200	Deutsch Wie Gefühle Entstehen entwirft Lisa Feldman Barrett einen vollkommen neuen Blick
397200	402840	auf die Entstehung und Bedeutung von Emotionen. Ihrzufolge sind diese keine universellen genetisch
402840	408160	vorgegebenen Reaktionen auf externe Impulse, sondern individuelle und kulturell erlernte
408160	412760	Konzepte, die uns helfen, unsere eigene Körperwahrnehmung einen Sinn zu verleihen.
412760	423600	Genau, das war der ganz kurze Abriss. Okay, das klingt spannend. Auch ein bisschen anders als
423600	436000	das, was ich zumindest bisher immer gedacht habe. Ist der Untertitel eine neue Sicht auf unsere
436000	441080	Emotionen dann wohl auch richtig? Ja, definitiv. Ich bin gespannt, was diese neue Sicht ist.
441080	446040	Genau, ich möchte erst mal mit der klassischen Sicht anfangen, weil ich glaube, das Neue der
446040	451840	neuen Sicht prägt sich natürlich immer besonders gut ein, wenn man es im Kontrast zu Alten sieht,
451840	456840	und weil die Alte wahrscheinlich auch das ist, was auch ich im Grunde lange über Emotionen
456840	461280	gedacht habe und fast auch so das vermittelte und etablierte Bild irgendwie zu dem Thema ist.
461280	467320	Und so der klassische Blick auf Emotionen ist ja, dass das irgendwie so universelle Muster sind und
467320	471960	dass wir die abgespeichert haben und wenn irgendwie aus unserer Umwelt bestimmte Impulse auf uns
471960	475840	einkommen, weil wir irgendwas sehen, weil wir irgendwas hören, weil irgendwas passiert,
475840	481240	dass die dann sozusagen ausgelöst werden. Also der klassische klischehaftes Beispiel ist schon,
481240	487080	ich sehe einen Tiger, mein Gehirn sagt, ich kriege jetzt Angst, schaltet den Angstmodus an und ich
487080	491080	reiße die Augen auf und mein Blutdruck geht hoch und mein Puls steigt und so weiter und so fort.
491080	498120	So aus diesem Blick, aus diesem Bild aus Emotionen ergibt sich ein klassischer Forschungsauftrag,
498120	502640	den es auch eben in der Emotionsforschung seit Jahrzehnten gibt, auf dem Feldman Barrett auch
502640	508680	ganz viel eingeht. Das ist im Grunde die Suche nach Fingerabdrücken von Emotionen. Das heißt,
508680	515040	ich versuche irgendwie im Körper der Person auf verschiedenen Ebenen etwas zu erkennen,
515040	520600	was dieser Emotion entspricht. Also ich verlasse mich nicht darauf, dass die Person sagt, ich habe
520600	525080	Angst, sondern ich nehme irgendwelche Messungen oder Beobachtungen vor und glaube sozusagen,
525080	533680	da irgendwie einen Katalog machen zu können, wenn dieser Gesichtsausdruck oder wenn diese körperliche
533680	540480	Reaktion oder wenn dieses Aktivierungsmuster im Gehirn, dann liegt Angst vor. Das ist so
540480	545880	eine klassische Perspektive. Das Problem, was man nur hat, ist, dass solche Fingerabdrücke
546840	553120	weder im Gesicht, wenn es so um das Thema Gesichtsausdruck geht, was da oft auch so ein bisschen in der
553120	560040	Küchenpsychologie diskutiert wird, noch wenn es um irgendwelche Hormonlevel im Körper geht
560040	567040	oder irgendwelche Muskelanspannungen, Feuchtigkeit, Leitfähigkeit der Haut, solche Messungen. Also
567040	572480	auch bei solchen Ebenen ist das im Grunde nicht gefunden worden und auch wenn man sich Gehirnmuster
572480	579440	anguckt, findet man diese Fingerabdrücke im Grunde nicht. Okay, das heißt dann aber auch,
579440	585360	dass ich sage mal all das, was es an irgendwelchen Selbsthilfebüchern gibt, die einem erklären,
585360	590560	wie man andere Personen liest, zumindest wenn es um Emotionen geht, ziemlich nutzlos sind. Ich
590560	594800	würde nicht sagen komplett nutzlos, da kommen wir gleich noch zu, aber sicherlich nicht so
594800	601560	universell wie sie behaupten, weil es eine sehr stark kulturelle Komponente in dem Thema gibt
601600	605400	und wenn man in ähnlichem Kulturraum aufgewachsen ist, dann ist es zumindest nicht völlig
605400	608840	unschlüssig oder nicht völlig unwahrscheinlich zu sagen, dass es auch ähnliche Ausdrücke von
608840	612840	ähnlichen Emotionen gibt. Also ich würde nicht sagen, sie sind völlig nutzlos, aber sie sind
612840	617040	halt nicht so, dann ist das bei allen Menschen so. Da komme ich auch gleich noch ganz kurz zu.
617040	618040	Ja, okay, verstehe.
618040	622560	Also denn es ist tatsächlich so, dass man beobachten kann, dass sowohl bei Gesicht als auch bei Körper
622560	626760	als auch bei Gehirn sehr unterschiedliche Konstellationen mit derselben Emotion einhergehen.
626760	634160	Es gibt sehr viele unterschiedlich körperliche Ausdrücke sozusagen einer Emotion. Was man machen
634160	638440	kann, was auch gemacht wird und was jetzt auch nicht völlig ohne Wert ist, ist, dass man so ein
638440	644880	bisschen statistische Muster erkennen kann. Also man kann schon sagen, wenn ich irgendwie
644880	649560	Gehirnaktivierungsmuster einer bestimmten Emotion übereinander liege, dann erkenne ich da schon
649560	655800	gewisse Ähnlichkeiten, Strukturen, statistische Muster, aber das heißt nicht, wie wir das immer
655840	659040	haben, denn wenn ich was statistisch habe, sagt mir das im Grunde nichts über den Einzelfall.
659040	666000	Zumindest nicht jenseits von irgendwelchen Wahrscheinlichkeiten. Und vor allen Dingen ist
666000	669800	es halt nicht so, dass man eine Kausalität annehmen könnte. Sondern dass man sagen könnte,
669800	673400	es ist dieses Muster und das löst diese Emotion aus oder andersrum, das ist diese Emotion,
673400	678480	die löst dieses Muster aus. Sondern es sind halt irgendwie Korrelationen, aber eben auch
678480	684840	unzuverlässige und unvollständige Korrelationen. Das heißt, wir haben diese Fingerabdrücke nicht
684880	689280	und das klassische, was du jetzt gerade lesen gesagt hast, funktioniert zumindest auch nicht
689280	695640	als universellmenschliches Muster. Es gibt in dem Zusammenhang, gibt es diese Studien,
695640	699880	die immer mal wieder zitiert werden, auch gerade wieder so im Küchen- und Problempsychologischen
699880	707440	Bereich, wo man irgendwie Probanden Fotos vorlegt. Das sind so Standardfotos, die irgendwie von
707440	712920	meistwestlichen SchauspielerInnen, wo bestimmte Emotionen ausgedrückt werden und dann bekommen
713000	717880	die Probanden eben sechs von diesen Fotos oder ein Foto vorgelegt und sechs mögliche Emotionen
717880	724640	müssen dann irgendwie anhaken, welche Emotionen das Foto ausdrückt. Und während diese Art von
724640	730280	Studie noch relativ zuverlässig produziert, dass das tatsächlich irgendwie lesbar ist,
730280	736120	dass man es erkennt, wird das bei genauem Hinschauen schon schwieriger. Denn das Erste,
736120	742320	was man sieht, je weniger geschlossen man die Auswahl der Emotionen macht, desto schlechter
742320	748320	werden die Zuordnungen. Also wenn ich jetzt sage, ist das hier Angst oder Freude, dann können sich
748320	754200	Personen relativ gut entscheiden, ist das jetzt Angst oder Freude. Aber wenn ich frage, welche
754200	761040	Emotionen ist das, dann geben manche Angst an, manche Überraschungen, manche vielleicht auch
761040	768480	irgendwie erschrecken, andere wiederum Trauer, was auch immer. Also dann verschwindet diese starke
