start	end	text
0	5640	Atlas zuckte mit den Schultern und die Welt stürzte in den Abgrund.
5640	9680	Erst war er erleichtert, doch dann sank er zusammen.
9680	16600	Er starte der Welt nach, er starte in das Dunkle des Abgrunds.
16600	20400	Er starte zu lange, aus dem Abgrund starte ein Rabe zurück.
20400	25000	Warum warfst du die Welt in den Abgrund, krähte der Rabe.
25000	27560	Hielt sie nicht auch dich, so wie du sie hieltst?
27560	33000	Stille. Atlas zuckte mit den Schultern.
33000	42480	Ja, hier könnte ihr Intro laufen. Ich habe mir ein paar Gedanken bezüglich des Podcasts gemacht
42480	48600	zur zehnten Episode und wollte ein wenig was strukturell umbauen, aber ich habe leider noch
48600	54320	kein nettes kleines Intro. Da bin ich noch am suchen, falls hier jemand von euch,
54320	60400	werte Zuschauer schafft, zufällig irgendwas mit Musik zu tun hat, dann könnt ihr euch gerne bei
60400	67000	mir melden. Willkommen zur zehnten Episode und wenn alles geklappt hat, darf ich diesmal nicht nur
67000	75240	Zuschauer auf YouTube begrüßen, sondern auch Zuhörer auf der Website anchor.fm und wenn bei
75240	80360	denen alles geklappt hat, dann darf ich jetzt sogar Zuschauer bei Spotify beziehungsweise
80360	87920	Zuhörer bei Spotify begrüßen. Das wäre natürlich sehr schön, weil dann könnten Leute auch mal hier
87920	92200	den Podcast hören, ohne die YouTube App offenzu haben, weil ich weiß, wie nervig das ist. Ich
92200	96480	habe nur bis jetzt keine bessere Website gefunden gehabt als YouTube. Jetzt besteht vielleicht die
96480	101680	Möglichkeit, dass doch etwas da ist, was besser ist. Ich entschuldige mich, falls man im Hintergrund
101680	108600	sowohl Hundegeschnaube, Gitter als auch ein Ventilator hört. Inzwischen sind es zwei Hunde,
108600	114520	nicht nur einer. Ein 11 Wochen alter Welp ist jetzt noch dabei und bei den Temperaturen,
114520	119480	die heute sind, muss einfach der Ventilator sein. Anders geht es nicht. Ja, ich habe mir Gedanken
119480	123640	über den Podcast gemacht. Die letzten paar Episoden haben mir nicht ganz so gefallen im Rückblick und
123640	131440	ich denke, das liegt vor allem daran, dass die letzten Episoden viele Themen beinhaltet haben und
131440	138520	ich das Gefühl hatte, dass deswegen ein paar Themen ein wenig zu kurz gekommen sind und ich möchte mich
138520	144240	ja eigentlich schon etwas intensiver mit bestimmten Themen beschäftigen hier in dem Podcast,
144240	149440	weil sonst ist es für alle Anwesenden eigentlich Zeitverschwendung. Wenn ich zum Beispiel denke an
149440	155320	die Episode, ich weiß nicht welches war, wo es um Artikel 13 und Eigentum ging, das fand ich ganz
155320	162360	schön. Das ist so eine meiner Lieblingsszenen bis jetzt in den ganzen Podcastfolgen und das habe
162360	167320	ich ein bisschen vermisst so in letzter Zeit. Deswegen geht es heute nur um ein einziges Thema
167480	175880	eigentlich bzw. eine Person und jetzt spielen die beiden wieder. Es geht nur um eine Person
175880	189360	und um mehrere Themen und diese eine Person ist ein Rant. Oh man, ich werde versuchen möglichst
189360	196720	fair zu sein bei der Darstellung und Behandlung ihrer Philosophie, aber ich bin kein großer Fan.
197120	204440	Aber fangen wir mal mit dem kleinen Vorspiel an, so grob zum Reißen. Wer ist das und was sind so
204440	208880	grob die Ideen und danach gehen wir ein bisschen mehr ins Detail und danach gehen wir ein wenig
208880	215760	durch ein paar Kritikpunkte, die so genannt werden und dann zum Abschluss, weil ich denke allein das
215760	220560	wird alles schon einiges an Zeit auffressen. Möchte ich noch auf ein paar Sachen verweisen,
220560	224880	wo man noch ein bisschen nachlesen kann, falls man noch mehr Informationen gerne hätte oder sich
224880	232400	kritisch damit auseinandersetzen möchte. Denn ein Rant ist tatsächlich, also die Ideen,
232400	241680	die sie produziert hat, sind sehr einflussreich und ich denke, wenn ich euch gleich erzähle,
241680	245920	wie ihre Philosophie aussieht und so weiter, dann wird sie euch sehr bekannt vorkommen. Entweder,
245920	252400	weil ihr selber Teile davon in euren Weltanschauungen drin habt oder weil ihr bereits
252400	258880	auf viele andere getroffen seid, die diese Ansichten teilen. Ach ja und das Getränk des
258880	268240	Tages ist übrigens ein Blueberry White Tea, weil er im Angebot war und ich es mir zur Aufgabe
268240	271880	gemacht habe, in jeder Episode ein anderes Getränk zu trinken. Mal gucken, wie lange ich das schaffe.
271880	278720	Also, wer ist es eigentlich? Ein Rant heißt eigentlich und ich bitte jeden, der Russisch
278720	284000	sprechen kann, hier um Verzeihung, denn ich werde den Namen auf jeden Fall falsch aussprechen.
284000	293040	Okay, die beiden am Spaß sein. Ihr Name ist eigentlich Alisa Zinovievna Rosenbaum und ich
293040	299920	wette gerade den zweiten Namen, der wird sicher ganz anders ausgesprochen, aber damit müsst ihr
299920	306560	jetzt leben. Geboren ist sie 1905 in Russland und sie ist quasi die Begründerin der geistigen
306560	313600	Strömung namens Objektivismus. Ein Begriff, den viele sehr wissenschaftlich denkende Menschen,
313600	321720	sowohl hier als auch in Übersee, sehr mögen. Sie immigrierte mit 20 ohne ihre Familie nach Amerika.
321720	335480	Sie hat in Russland quasi, also die Familie hat unter dem dortigen System, wenn man es so sagen
335480	342920	möchte, gelitten. Also, wenn ich mich richtig erinnere, war es quasi eine Mittelschichtfamilie
342920	350880	und dem Vater wurde dann das Unternehmen oder ähnliches weggenommen, weil es verstaatlicht
350880	354800	wurde und das war dann ganz schlimm und dann kam sie nach Amerika und hat gesehen, wie großartig
354800	358560	der Kapitalismus ist und hat, und ich glaube, da erinnere ich mich sogar richtig dran an die
358560	364640	Biografie, dass sie angefangen hat zu weinen. So schön war der Kapitalismus für sie in Amerika.
366160	376480	In ihrem prosagen Werk Anthem beschreibt sie die Furcht vor dem radikalen Egalitarismus,
376480	382280	in dem man nicht mehr ich, sondern nur noch wir sagen darf und so weiter und so fort. Hier finden
382280	386800	wir das, was in jeder ihrer Geschichten ein wichtiger Teil wird und zwar einen männlichen
386800	396400	Helden, der dem der egalitaristischen totalitären Gesellschaft entkommt, in die Natur und seinen
396400	402800	Egoismus wieder gewinnt. Die individuelle Kraft und der individuelle Wille sind zentral für ihren
402800	409760	quasi übermenschen. Ja, sie wurde und wird akademisch nicht wirklich ernst genommen,
409760	416800	obwohl sie bei Nichtakademikern sehr beliebt ist, was mit unter anderem daran liegen könnte,
416800	423520	dass sie eine größtenteils literarische und keine analytische Herangehensweise wählte. Ein anderer
423520	428320	Grund könnte sein, dass es sich bei ein random eine Frau handelt, auch wenn es zu jener Zeit
428320	435400	auch Frauen gab, welche akademisch ernst genommen wurden, galt das noch lange nicht für alle. Ein
435520	442120	dritter Grund wäre, dass sie bei vielen Punkten sehr falsch liegt. Da Letzteres jedoch auch bei
442120	446840	vielen Männern bis heute kein Grund ist, sie nicht akademisch ernst zu nehmen, denke ich,
446840	452360	dass die ersten beiden Gründe die Wahrscheinlichen sind. Dass es an ihrer Weiblichkeit liegen könnte,
452360	458920	hat natürlich auch einen gewissen ironischen Beigeschmack. Der eine Rand durchaus sehr
458920	464080	problematische Ansichten bezüglich der Metaphysik des Geschlechts und Geschlechterrollen hatte. So
464080	467960	war sie zum Beispiel der Ansicht, dass es die Essenz der Frau sei, Helden zu verehren,
467960	474000	ein Verlangen zu haben, einem Mann zu dienen. Sie ist gerade deswegen aber auch interessant.
474000	478000	Es ist nicht so, als würde sie einfach falsch liegen, sondern sie liegt auf interessante
478000	484640	Art und Weise falsch. Sie war bis zu ihrem Tod sehr antireligiös, war pro Abtreibungsrechte gegen den
484640	490800	Vietnamkrieg, rassistisch gegenüber allen Nicht-Europäern, fand Homosexualität moralisch
490800	496880	verwerflich und ekelhaft, aber wollte es nicht verboten sehen. Staatsrechte sollen sich von
496880	502960	privaten Besitz fernhalten und so weiter und so fort, dazu dann nachher mehr. Sie war gegen die
502960	511440	Idee, andere auszubeuten, was gerade in Angesicht ihres Fandoms, was Kapitalismus angeht, sehr
511440	519840	interessant ist. Wobei dieses Nicht-Ausbeuten bei allen gilt, außer bei den Ländern der
519840	526400	Ureinwohnern, welche es aufgrund ihres, in Anführungszeichen, Versagens eine hochentwickelte
526400	533600	Gesellschaft aufzubauen, laut Einrennt nicht verdient haben, dieses Land zu besitzen. In New
533600	539040	York gründete sie eine intellektuelle Gruppe unter dem bereits angeführten Titel Objektivismus
539040	544000	zusammen mit Alan Greenspan. Greenspan ist ein Name, der auch im Kontext der Wirtschaftskrise
544000	549760	2008 auftaucht. Als er gefragt wurde, warum die Wirtschaft zusammenbrach, sagte er, dass sie
549760	554760	falscherweise annahmen, dass Menschen aus Selbstinteresse handeln, was eine interessante
554760	563840	Aussage ist, gerade im späteren Kontext. Aufgrund ihres Kettenrauchens leidete sie dann später an
563840	568640	Krebs und musste sich auf die finanzielle Stütze des Staats zum Überleben verlassen,
568640	576520	was auch wieder interessant ist. Also Rens grundsätzliche These lässt sich eigentlich
576520	584360	größtenteils so auffassen, dass aus Rationalität Egoismus folgt und dass aus Egoismus Kapitalismus
584360	590280	folgt. Das ist quasi die wirklich maximal heruntergebrochene Version, wenn man ihre
590280	597440	Erkenntnistheorie und die Metaphysik außen vor lässt. Einer ihrer Vorbilder war Aristoteles,
597440	603880	was relativ witzig ist, da sich beide an vielen Stellen widersprechen würden. Die Ausnahmen sind
603880	609040	wahrscheinlich die Tugendethik und das Heldentum, auch wenn in der Tugendethik nicht unbedingt dann
609040	617520	alles übereinstimmt wäre. Sie ist derweil auch bekannt dafür, dass sie Kant nicht verstanden
617520	621960	hat und überzeugt davon war, dass Kant die Rationalität aus der Philosophie entfernen
621960	628240	wollte. Jeder, der sich schon mal mit Kant beschäftigt hat, wird gleich dann bei Einrend auch Sachen
628240	635680	finden, die nach Kant sehr merkwürdig sind. Einrends Philosophie ist ihr zufolge ein Versuch,
635680	640440	eine perfekte Welt zu schaffen. Diese Philosophie umfasste dann am Ende einen Metaphysischen
640440	648080	Realismus, Rationalität als zentrales menschliches Ding, ethischen Egoismus, also rationales
648080	654480	Selbstinteresse, individualistische Rechte und ein laissez faire Kapitalismus. Kapitalismus ist
654480	659560	ihr zufolge die beste sozio-politische Ordnung, da sie so rent den Menschen als einziges,
659560	665120	als Ende in sich selbst behandelt. Das einzige raison d'être des Staates ist derweil der Schutz
665120	672080	individueller Rechte. Ja, ihre meist nicht-fiktionale Arbeit entstand aus Antworten an Fragen der Fans
672080	678040	ihres Buches Atlas Shrugged. Diese Texte sind bei Nicht-Akademikern sehr beliebt,
678040	683640	bei Akademikern jedoch unbeliebt, da Rend nie auf mögliche Probleme, kontra von anderen oder
683640	688320	selbstkritisch an ihre Arbeit herangeht. Des Weiteren ist sie keine analytische Philosophin,
688320	693640	was dem einen oder anderen eventuell auch übel aufstoßen mag. Selbst einige Akademiker,
693640	697560	welche ihre Ansichten teilen, erwähnen sie entweder nur nebenbei oder gar nicht,
697560	704800	da ihre Prämissen ihre Konklusion nur seltenst stützen. Man muss sich übrigens keine Sorge
704800	713960	bezüglich der Hunde machen, die spielen grad ganz lustig miteinander. Ja, kommen wir zur
713960	722160	Epistemologie und Metaphysik von ein Rend, denn hier ist eigentlich der Anfang. Rend lässt sich
722160	727440	eigentlich als Empirikerin lesen, auch wenn sie dieses Label ablehnen würde, da sie der Ansicht
727440	733240	ist, dass die Rationalismus-Empirismus-Dichotomie auf einer falschen Annahme fußt. Dabei ist ihr
733240	737800	Verständnis von Rationalismus und Empirismus eines, welches sowohl einige Rationalisten als auch
737800	743120	einige Empiristen entweder nicht teilen würden oder es bei weitem weiter ausführen würden.
743120	748040	Rend zufolge beginnt die Erkenntnis bei der Wahrnehmung, und das Urteil über das
748040	753200	Wahrgenommene kann validiert werden, indem man jenes auf das Fundament in der wahrgenommenen
753200	758680	Realität zurückverfolgt. Wissen wird dabei durch einen Prozess der Differenzierung und
758680	764360	Integration gewonnen. Zuerst wird etwas wahrgenommen, dann von dessen Umgebung getrennt,
764360	769400	das ist der Prozess der Differenzierung, und dann in das vereinheitliche Ganze eingefügt.
769400	775000	Sie hat zwar auch ein Konzept einer präperzeptuellen Form des Bewusstseins,
775000	782000	aber schreibt ihr keine konkrete Rolle in diesem Prozess zu. Das zentrale Objekt ihrer Ontologie
782200	787680	sind Entitäten. Attribute und Aktionen sind sekundär, jedoch nicht akzidentiell,
787680	793400	da eine Entität, Rend zufolge, nur das Totale, also die Ansammlung seiner Attribute ist.
793400	800640	Entitäten im engeren Sinne sind das, was wir unabhängig von unserem Bewusstsein als distinct
800640	806640	betrachten. Entitäten im weiten Sinne haben ihren epistemologischen Status nur durch ihre
806720	812320	Relation zu unserem Bewusstsein. Insofern sie die Daten der Außenwelt, welche wir wahrnehmen
812320	816800	und als Fundament unseres Wissens benutzen, nicht als subjektive Daten, sondern einfach
816800	822840	als Daten extra mentaler Einheiten und ihre Attribute versteht, haben wir es bei Rends
822840	829840	Wahrnehmungstheorie mit einem direkten Realismus zu tun. Wir leiten also nicht aus unserer
829840	835840	subjektiven Erfahrung die Entitäten als kausale Ursache ab, sondern haben einen direkten
835840	842840	Zugriff auf die Außenwelt durch unsere Wahrnehmung. Ich habe mir natürlich ein paar Notizen gemacht,
842880	848880	damit ich nichts vergesse, was wichtig ist, bei ein, zwei Notizen ca. 700 Ausrufezeichen
848880	855880	hintergepackt, dies hier ist eine mit sieben Ausrufezeichen. Ich habe mir also ein paar
855880	862880	mit sieben Ausrufezeichen hintergepackt. Hier sind wir dann bei dem Punkt, was ich vorhin
862880	869080	mitkannt meinte. Das bedeutet, dass die Gültigkeit der Sinneswahrnehmung nicht bewiesen werden
869080	874240	kann und als bewiesen vorausgesetzt werden muss. Demnach wären also verschiedene Phänomene
874240	879240	wie zum Beispiel Illusion oder Halluzination nicht möglich oder falsch interpretierte
879240	884680	Sinneswahrnehmungen. Und hier stehen dann auch noch ein paar Ausrufezeichen. Konzepte
884680	890240	hingegen können fehlbar sein, da das Gegebene, in diesem Fall die extramentalen Entitäten,
890240	895280	keine Urteile über sich beinhalten. Diese sind nämlich Produkte unserer willkürlichen
895280	901680	Bewusstseinsebene. Da kommt dann die Rationalität ins Spiel. Die Qualitäten der wahrgenommenen
901680	907640	Objekte werden nicht wie desgelegentlich der Falle sind primäre und sekundäre aufgeteilt,
907640	913160	sondern ist unsere Wahrnehmung jener Qualitäten ein Produkt der Relation zwischen der Entität
913200	918800	und unserer Wahrnehmung. Deshalb sind die Eigenschaften weder intrinsisch noch subjektiv,
918800	928240	sondern relational und objektiv. Sie geht von einem fundamentalistischen Ansatz aus,
928240	933760	der den Wahrnehmungsprozess der Urteilsbildung mit dem Begründungsprozess in Einklang bringt
933760	939920	und unklar lässt, wie Aussagen mit Aussagenstrukturen durch sensorische Daten ohne eine
939920	946000	dementsprechende Struktur validiert werden können. Differenzierung und Integration werden auch auf
946000	951440	konzeptueller Ebene angewendet, indem wir Entitäten in verschiedene Gruppen aufgrund ihrer
951440	957760	vorhandenen oder fehlenden Attribute einordnen. Die Objekte besitzen keine bewusstseinsunabhängige
957760	962440	Eigenschaften, durch die Verbindungen bzw. Einordnungen in andere Gruppen möglich werden.
962440	970760	Rends Axiome, also das von dem sie quasi anfängt als Fundament, was unumstößlich ist,
970760	976320	sind Existenz, Identität und Bewusstsein. Diese können weder weiter definiert werden,
976320	981840	noch benötigen sie Beweise, da sie notwendig sind, um diese Beweise überhaupt erst zu ermöglichen,
981840	987840	zumindest laut Rand. Mit Ersteren ist gemeint, dass man nicht nach dem Grund für das Sein
987840	992400	einfragen sollte, da diese Frage den Begriff der Existenz und seinen Platz in der Hierarchie der
