start	end	text
0	7240	In der heutigen Episode des Corvus Corax Podcasts spreche ich über Slavoj Zizek's Ideologiebegriff,
7240	13160	leite diesen her und zeige, wie man ihn in der Analyse als Mittel verwenden kann.
13160	18760	Falls ihr diesen Podcast unterstützen wollt oder euch die Folge gefallen hat, dann schaut doch in
18760	24480	die Beschreibung, um herauszufinden, wie ihr diesen Podcast unterstützen könnt. Viel Spaß mit der Episode.
30000	57000	Ja, hallo und herzlich willkommen zur 18. Episode des Corvus Corax Podcasts. Heute,
57000	64880	wie gesagt, mit Slavoj Zizek's Ideologiebegriff und auf Deutsch wieder. Erst einmal, ich habe
64880	69560	gerade eben zufällig gesehen, dass wir die 500 Abonnenten auf YouTube geschafft haben und
69560	78240	Anker hat sich erst vorgestern bei mir gemeldet, dass wir ein neues Level an Durchschnitts aufrufen
78240	82800	über die verschiedenen anderen Plattformen, Spotify und so weiter, geschafft haben und das
82800	87760	freut mich sehr. Das bedeutet für mich natürlich, dass in gewisser Art und Weise auch der Podcast
87760	92160	für euch interessant ist und dass es auch eine leicht anwachsende Zuschausschaft gibt,
92160	99080	die Interesse an Philosophie und mitunter auch Politik hat. Alles sehr erfreulich.
99080	104880	Bevor wir über Slavoj Zizek's Ideologiebegriff sprechen, möchte ich erst einmal das Getränk
104880	113560	des Tages nennen. Es ist ein Rockstar-Energiegetränk, Passionsfrucht. Ja, man nimmt, was man kriegen kann
113560	123280	bzw. was gerade im Angebot ist. Und ich möchte nebenbei auch noch erwähnen, dass es zwar vielleicht
123280	130640	eine etwas kürzere Folge wird, es allerdings jetzt auch nicht unbedingt einfach wird. Deswegen werde
130640	137720	ich am Ende auch noch versuchen, möglichst einfach ein Beispiel zu verwenden, anhand dessen man
137720	144800	sehen kann, wie das funktioniert. Es liegt daran, und ich möchte das eben in Anführungszeichen so
144800	151280	kompliziert machen, dass es auf YouTube, gerade auch im englischsprachigen Raum, viele Videos
151280	157680	über Slavoj Zizek's Ideologiebegriff gibt, mitunter von ihm selbst. Und meiner Ansicht nach sind
157680	165240	die alle nicht so gut. Selbst seine eigenen, was mitunter daran liegt, dass Zizek keine Person ist,
165240	170600	die sehr systematisch vorgeht, die alles klar durchplant, Schritt für Schritt, sondern wo
170600	175880	immer ein bisschen Chaos mit dabei ist und wo auch viel Spontanität mit dabei ist, gerade bei seinen
175880	183880	Vorträgen. Deswegen glaube ich, ist das hier das erste Video, das tatsächlich versucht,
183880	190760	oder beziehungsweise auch natürlich die erste Audiospur, die versucht, den Ideologiebegriff Slavoj
190760	196720	Zizek ein wenig zu rekonstruieren. Ich werde natürlich nicht alles erklären können. Hier
196720	202480	werden einige Begriffe fallen, die vorausgesetzt werden, einfach auch mitunter aus Zeitgründen,
202480	212080	weil ich ansonsten zum Beispiel den Begriff des Libidinösen bei Freud noch mit erklären müsste,
212080	219680	oder die verschiedenen Ebenen bei Lacan, also das Imaginäre, die symbolische Ordnung und das Reale.
219680	229760	Und das und ein paar weitere wären einfach zu viel, um das jetzt hier alles auszuführen. Natürlich
229760	238240	werde ich in der Beschreibung, wie immer, Literatur verlinken und eventuell auch einfach
238240	244560	Links auf Websites, von denen ich weiß, dass sie brauchbar sind, um eventuell diese Lücken,
244560	250120	falls man sie hat, füllen zu können. Ich werde zumindest versuchen, etwas zu finden, was brauchbar
250120	263880	ist. Also fangen wir an. Für Zizek besteht Ideologie aus einer relativ fluiden Sammlung
263880	270240	von Repräsentationen, die das soziale Subjekt mitsamt eines Kerns aus kommunalen Praxen,
270240	279040	ist das Plural von Praxis? Ja, die das unbewusste libidinale Investment des Subjekts in seiner
279040	287080	politischen Gemeinschaft konstituieren. Dieses libidinale Investment ist strukturiert durch
287080	293480	unbewusste soziale Fantasien und den Ballast des Subjekts in Form politischer Treue basierend auf
293480	299040	einem Kern an Genuss, welcher wiederum die Loyalität gegenüber institutionalisierten
299040	308160	Ritualen der politischen Gemeinschaft errichtet. Das erstmal quasi zur Einführung als erste
308160	314240	Worte darüber, was Zizeks Ideologiebegriff von einigen anderen unterscheidet, ist unter anderem,
314240	321040	dass er einen Wandel im Überich des modernen Subjekts sieht, ungefähr ab den 1960ern,
321040	328920	welcher den Befehl, den Imperativ Enjoy setzt, aus welchem unter anderem Konsumerismus,
328920	335920	Nationalismus und andere exploitative und oppressive kollektive Praxen aus der
