start	end	text
0	7800	In der 20. Episode des Corvus Corax Podcast geht es um ein Thema in Bezug zu Covid-19,
7800	14700	das meiner Ansicht nach medial bei einer Flächendeckung zu wenig behandelt wird und zwar der Virus
14700	16680	und die psychische Gesundheit.
16680	22100	Falls euch die Folge gefällt und ihr denkt, dass vielleicht der Inhalt dieser Folge der
22100	27320	ein oder anderen Person helfen könnte, dann bitte ich euch darum, was ich normalerweise
27320	32320	nicht am Anfang tue, dieses Video weiter zu leiten an diejenigen Personen.
32320	37320	Ansonsten, insofern man das hier sagen kann, wünsche ich viel Spaß. Bis gleich.
57320	68520	Ja, hallo und herzlich willkommen in der 20. Episode. Ursprünglich wollte ich in dieser
68520	74600	Episode, wie, wenn ich mich richtig erinnere, ich in der letzten angekündigt habe, eine
74600	79040	kleine Einführung in die Erkenntnistheorie bieten. Allerdings ist wie bereits vermutlich
79040	85360	bekannt seitdem etwas passiert. Dieses etwas nennt sich SARS-CoV-2, ein neu entdeckter
85360	91400	Virus, der die Erkrankung Covid-19 hervorruft. Bei diesem Virus handelt es sich um ein internationales
91400	97080	Ereignis mit weitreichenden Folgen für Politik, Wirtschaft und jeden einzelnen von uns. Deshalb
97080	101840	hatte ich eigentlich nach einem Themenwechsel vor, etwas über die politischen und wirtschaftlichen
101840	112520	Folgen zu sprechen und ein wenig über Ethik und Erkenntnistheorie mit ins Spiel zu bringen.
112520	117800	Allerdings gibt es ein Thema im Bezug zu Covid-19, das, soweit ich sehen kann, nicht
117800	124320	ausreichend Beachtung findet. Die psychische Gesundheit. Aus diesem Grund möchte ich kurz
124320	129480	darüber sprechen, was hier die Gefahr ist und was wir tun können. Für die Themen Wirtschaft
129480	134160	und Politik verlinke ich in der Beschreibung andere Podcasts, die es sich dazu zu hören
134160	141000	lohnen könnte. Die Leitfrage, die ich mir stellen muss, ist, was sollen wir in dieser
141000	147400	Situation tun? Dafür müsste man erst einmal zumindest ein grobes Verständnis davon haben,
147400	152120	was die Situation ist. Und hier spreche ich nicht über eine wirtschaftliche, politische
152120	159560	oder gar medizinische Einschätzung. Ich spreche davon, wo wir uns als erlebende Subjekte jetzt
159560	164600	momentan wiederfinden. In einem Zeitalter der Entfremdung, Lohnsklaverei und dem sich
164600	170760	ausbreitenden Faschismus leben viele tagtäglich mit vielen Unsicherheiten. Covid-19 fügt dem
170760	176680	Ganzen noch eine weitere Dimension hinzu. In Situationen wie diesen wird einem jedem
176680	181520	geraten, den Sozialkontakt auf ein Minimum zu reduzieren. Das bedeutet für manche nur,
181520	187720	mit der eigenen Familie zusammen zu sein. Das bedeutet für andere, komplett allein zu sein.
187720	193040	Die Einschränkung sozialer Kontakte bedeutet natürlich auch eine Einschränkung der sozialen
193040	199680	Aktivitäten. Das muss allerdings nicht bedeuten, dass wir vor einer grauenhaften, kalten Leere
199760	204560	stehen. Gerade heute haben wir die Möglichkeit, über viele verschiedene Wege im Kontakt zu
204560	209560	bleiben. Auch wenn diese Art von Kontakt den somatischen Aspekt des Sozialen vernachlässigen
209560	214160	muss. Zu Hause bleiben ist für manche gut ertragbar, für andere bedeutet es vielleicht
214160	219840	Langeweile und Zickerei oder nervige Kinder. Das ist alles etwas, was man überstehen kann.
219840	227200	Was man aber nicht vergessen sollte, ist, dass Daheim bleiben zu müssen für Teile
227200	234320	unserer Gesellschaft eine reale Gefahr darstellt. Das gilt für LGBTQIA Personen in konservativen
234320	239760	oder rechtsextremen Familien, Nichtgläubige in stark religiösen Familien, Frauen, Kinder und ja
