start	end	text
0	6000	In der heutigen Episode des Corvus Corax Podcast geht es um eine Auseinandersetzung mit dem Transhumanismus.
6000	9000	Falls euch die Episode gefällt, dann schaut doch in die Beschreibung.
9000	11000	Ansonsten viel Spaß!
30000	42000	Ja, damit herzlich willkommen zur 21. Episode des Corvus Corax Podcasts. Heute geht es um den Transhumanismus.
42000	51000	Was vielleicht für den einen oder anderen überraschend sein könnte, weil ursprünglich war geplant, eine Episode über Slavoj Zizek's Buch The Sublime Object of Ideology zu machen.
51000	54000	Dagegen habe ich mich dann entschieden.
55000	63000	Bei einer Umfrage waren Zizek und Hegel gleich auf, deswegen hätte ich auch fast ein Video über Hegel's Auseinandersetzung mit Spinoza gemacht.
63000	67000	Aber dann fiel mir spontan ein Transhumanismus. Warum nicht?
67000	76000	Das ist doch mal ein Thema, wo viele eine sehr ähnliche Meinung haben und du deine Zuhörerschaft aktiv reduzieren kannst.
76000	78000	Also werde ich das jetzt auch tun.
78000	85000	Ich werde mir heute ein paar Ideen von TranshumanistInnen geben und zuvor mal kurz auf etwas Geschichte eingehen.
85000	101000	Dabei möchte ich jetzt erst einmal zwischen dem Transhumanismus unterscheiden, der auf Human Enhancement zum Beispiel abzielt, auf Kohlenstoffbasis und dem sogenannten Silikontranshumanismus, um den es uns gehen wird.
102000	104000	Kleine Notiz am Rande.
104000	111000	Heutiges Getränk ist eine Mischung aus Sprudelwasser und dem der Gelbe von Pfanner.
111000	114000	Das ist dieser Zitronenfysales Tee.
115000	128000	Ich habe versucht meine Notizen mal etwas anders anzulegen, allerdings hat das zumindest für den Zweck eines Podcasts mehr schlecht als recht geklappt, weshalb es eventuell ein paar Sprünge geben wird.
129000	140000	Transhumanismus ist an sich auch ein sehr sehr sehr umfangreiches Thema inzwischen, dem ich hier weder vollkommen gerecht werden kann noch möchte.
140000	144000	Ich will hier nur ein paar Gedanken äußern, die hoffentlich zu weiterem Denken anregen können.
144000	152000	Für jeden mit Neugier empfehle ich für den Start zwei meiner Quellen, die anderen bzw. alle Quellen findet man in der Beschreibung.
152000	163000	Diese beiden sind zum einen The Transhumanist Reader von Moore & Vitamore, das sind die beiden Editor, und zum anderen Max Schnettgers Transhumanistische Mythologie.
163000	165000	Eine sehr gute Arbeit.
166000	172000	Blicken wir zuerst einmal in die Geschichte und verfolgen die Elektrifizierung des Lebens zu seinem Ursprung zurück.
172000	191000	Eine Anekdote besagt, dass der italienische Arzt und Forscher Luigi Galvani in den 1790ern gerade dabei war einen Frosch zu sezieren und mitten beim Froschenkel drin war, als seine Elektrisiermaschine am anderen Ende des Raumes plötzlich Funken erzeugte.
191000	203000	Eine kurze Zwischeninfo für alle, die keine Elektrisiermaschine kennen. Eine Elektrisiermaschine war eine recht große Maschine, die durch Reibung elektrische Kräfte in Form von Funkenschlägen freisetzen konnte.
203000	216000	Trotz der qualitativen ontologischen Differenz zwischen Frosch-Schenkel und Elektrisiermaschine reagierte der Frosch-Schenkel auf die Elektrizität und fing ganz zum Überraschen Galvinis an zu zucken.
216000	226000	Für uns heute natürlich selbstverständlich, aber man überlege im 18. Jahrhundert, wo das Naturverständnis noch vollkommen anders war, ein erschreckendes Erlebnis.
226000	233000	Dies lässt sich als Beginn der Lebenswissenschaften unter dem meditativen Paradigma der Elektrizität feststellen.
233000	244000	Dadurch wurde quasi die kathäsianische Fleischmaschine abgelöst und die philosophisch-materialistische Naturvorstellung rückte immer weiter an den Mittelpunkt.
244000	255000	Springen wir ein wenig in der Zeit. 200 Jahre später, in den 1990ern, brachte ein australischer Künstler namens Stellak diese ursprüngliche Zufallszugung in die Welt des Menschlichen,
255000	264000	in dem er verkabelt und halbnackt auf eine Bühne trat und zur Überraschung und zum Schock seines Publikums seine Arme von einer fremden Macht kontrollieren ließ.
264000	270000	Der Mensch des 20. Jahrhunderts wurde zum Frosch des 18.
271000	277000	Doch wollen wir mal schauen, ob wir auch wieder Frosch im warmen Wasser sind, denn ich bemerke, dass er langsam lebendig gekocht wird.
277000	284000	Ich meine, gut, bezüglich des Klimas sind wir das zum Teil, aber in einem anderen Kontext jetzt.
284000	292000	Auch heutzutage werden solche Experimente durchgeführt und das Unheimliche daran, die Teilnehmerschaft fühlte sich nicht ferngesteuert.
292000	298000	Hier ist unheimlich im wortwörtlichen Sinne gemeint, wir fühlen uns nicht daheim im eigenen Körper.
298000	304000	Behalten wir diesen Punkt und legen ihn erst einmal beiseite, stecken wir einen Pin rein und fahren fort.
304000	312000	In der Zeit vom Ende des 18. Jahrhunderts bis heute hat sich in der Physik und in den anderen Naturwissenschaften einiges getan.
312000	318000	Das, was damals funktionell die Elektrizität sein sollte, wurde teilweise von anderen Konzepten abgelöst.
318000	321000	Eines dieser Konzepte ist das der Information.
321000	326000	An dieser Stelle möchte ich einige zentrale Elemente des Transhumanismus rekonstruieren.
326000	335000	Primär soll der Blick aufgrund der Größe und des Einflusses auf den Leiter des Institute of Human Risk und offenen Eugeniker Bostrom,
335000	342000	den Leiter des Machine Intelligence Research Institute Judkowski und Ray Kurzweil fallen.
342000	349000	Dabei bediene ich mich der ausgezeichneten Arbeit Max Schnittgas, der die Argumentation auf die folgenden vier Punkte herunterbricht.
349000	356000	Erstens. Zunächst wird postuliert, eine komplexe Entität X, zum Beispiel der Mensch oder das Bewusstsein,
356000	363000	ließe sich auf eine simpelere Entität Y, zum Beispiel neurale Formationen oder noch abstrakter Informationen, reduzieren.
363000	369000	Zweitens. Wenn nun Y technisch manipulierbar ist, dann ist es auch X.
369000	379000	Wenn X gegenwärtig nicht technisch verstanden und manipulierbar ist und wird, ist dies auf den zu niedrigen Stand der momentanen Technik zurückzuführen.
379000	389000	Drittens. Da Technik als exponentiell wachsende Kapazität betrachtet wird, werden sich X und Y funktionell in ihrer Wandelbarkeit identisch werden.
389000	398000	Viertens. Durch die Gestaltbarkeit Xs lassen wir den Menschen zurück und erreichen die technologische Differenz.
398000	403000	Bostrom und andere rechnen mit einer Intelligenzexplosion.
403000	416000	Diese soll es ermöglichen, das menschliche Gehirn vollkommen als Computersimulation darzustellen, was in diesem materialistischen Mystizismus des Transhumanismus bedeutet, dass beide dasselbe, heißt identisch, sind.
416000	428000	Der simulierten Neuronenverbindung wird eine Essenz verliehen und somit schleicht sich heimlich der christlich-kathäusianische Leib-Seelen-Dualismus getarnt unter dem Deckmantel der Information erneut ein.
428000	438000	So schreibt auch O'Connell, Zitat, wenn wir nach dieser, Einfügung von mir, der transhumanistischen, Sicht überhaupt existieren, dann als Information.
438000	455000	Und Informationen sind inzwischen zu körperlosen Abstraktionen geworden, sodass Materie über die Information übertragen wird, gegenüber dem Inhalt der Information, die unendlich oft und weit übertragen, dupliziert und konserviert werden kann, zweitrangig ist.
455000	457000	Zitat Ende.
457000	461000	Nun bleiben zwei Wege, die sich beschreiten lassen.
461000	477000	Entweder man attackiert den offengelegten Dualismus, welcher auf einer Vertauschung zwischen imaginär-symbolischen mit dem realen beruht, was jedoch für diejenigen durch den Entzug der Subjektkonstitutionen der Ideologie ohne Supplement eher kontraproduktiv wäre,
477000	494000	oder, und das ist der Weg, den ich wählen werde, den therapeutischen Weg, indem ich in Anlehnung an Watimu und Zizek mich quasi in diese Welt begeben werde, anstatt sie von außen zu kritisieren und sie mit ihrer eigenen Realität konfrontieren werde.
494000	505000	Watimu war es wichtig, einen philosophiegeschichtlichen Rahmen zu setzen, der die Öffnung des Seins durch die Moderne verständlich macht.
505000	518000	Dabei bediente er sich bei Adorno und Heidegger, mit denen sich sagen lässt, dass die Technologisierung der Welt auf eine grundlegende Umwandlung des Verhältnisses der Menschheit zum Seinden und zur Welt als Ganzes hindeutet.
518000	525000	Der Dualismus von Subjekt und Objekt wird dadurch aufgelöst, oder in anderen Worten, der Mensch wird zum Frosch.
525000	530000	Hierbei wiederholt Heidegger Hölderlins Worte, wo aber Gefahr ist, wächst das Rettende auch.
530000	540000	Damit ist in diesem Kontext gemeint, dass wir erst durch diese Auflösung der Subjekt-Objekt-Beziehung dazu in der Lage sind, die verborgene Wahrheit der Technik zu bedenken.
540000	547000	Watimu will nun dieses Rettende im Geh-Stell, also der Kultur der Technik, verorten.
547000	554000	Gerade in dieser Kultur und völliger Manipulation sehe Heidegger die Überwindung der Entfremdung.
555000	562000	Gehen wir noch mal kurz einen Schritt zurück und bringen auch noch Mimlon Musk mit ein, der von dem Wired Brain spricht.
562000	564000	Dabei gibt es zwei Spielarten.
