start	end	text
0	6000	In der heutigen Episode des Corvus Corax Podcast geht es um eine kleine Einführung in den Strukturalismus,
6000	11000	vor allem mit Bezug auf Ferdinand de Césure und Roland Barthès.
12000	13000	Ich wünsche viel Spaß!
30000	44000	Ja, hallo und herzlich willkommen zur 23. Episode des Corvus Corax Podcast inzwischen.
44000	49000	Die letzte Episode ist ein wenig länger her als der Monat, den ich immer als Abstand plane.
49000	55000	Aber gut, es ist in meinem privaten Leben einiges passiert und deswegen bin ich nicht früher dazu gekommen,
55000	62000	diese Folge zu strukturieren und aufzunehmen, was ich jetzt gerade tue.
62000	66000	Wie geht's euch? Habt ihr die Zeit gut überstanden?
66000	69000	Ich hoffe, ihr habt euch jetzt mit dem eventuellen Anfang der zweiten Welle,
69000	73000	falls wir nicht schon drin sind, nicht angesteckt oder ähnliches.
73000	77000	Ja, heute geht es um Strukturalismus, wie bereits angesprochen.
77000	83000	Es soll eine kleine Einführung sein und vor allem einen ersten Einblick geben.
83000	89000	Ich werde keinen der hier genannten Autoren vollends ausschöpfen.
89000	92000	Da lohnt sich dann doch noch die Lektüre.
92000	97000	Aber ich denke, für einen ersten Einblick wird das ganz nett sein.
103000	110000	Fangen wir erstmal ein wenig damit an, was der Kontext ist,
110000	117000	in dem der Strukturalismus entstanden ist und wie er quasi gewirkt hat, als er entstanden ist.
117000	121000	Also, jetzt gehen wir erstmal ein klein wenig zurück,
121000	127000	denn man müsste dafür eine Unterscheidung in der Philosophie kennen,
127000	132000	die vielleicht die oder der ein oder andere kennt, aber nicht unbedingt jeder.
132000	138000	Und zwar ist das die Unterscheidung zwischen der kontinentalen und der analytischen Philosophie.
138000	143000	Und die Frage, die jetzt zentral ist, warum gibt es diese Unterscheidung?
143000	148000	Es gibt verschiedene Ansätze, die den Ursprung dieser Unterscheidung erklären sollen.
148000	154000	Die meisten sind sich aber einig, dass es was mit Kant zu tun hat bzw. mit dem Wirken Kants.
154000	158000	Dabei geht es vor allem um zwei Dinge bei Kant.
158000	164000	Zum einen den Vorschlag einer synthetisch-apriorischen Wahrheit und der Unterscheidung.
