start	end	text
0	8000	Und wir schauen uns des Weiteren darüber hinaus an, wie oder welche ideologische Funktion
8000	10920	Transphobie für TERFs erfüllt.
10920	16280	Deswegen setze ich hier zum ersten Mal, soweit ich mich erinnern kann, in diesem Podcast
16280	22240	eine Contentwarnung für Personen, die Probleme mit Transphobie haben.
30000	54000	Hallo und herzlich willkommen zur 25. Episode des Podcasts.
54000	62000	Heute geht es um ein interessantes Thema mit einem Gast diesmal, mit mir dabei ist Anruly
62000	69000	Iuli und wir werden heute über das Positionspapier von Terre de Femme sprechen.
69000	70000	Terre de Femme.
70000	72000	Femme, es tut mir leid.
72000	74000	Ah, nicht cool.
74000	76000	Meine Aussprache ist wie bekannt schrecklich.
76000	79000	Vorab noch einmal, erst einmal, hast du eigentlich dir irgendein Getränk besorgt?
79000	81000	Das hatte ich dich vorhin gar nicht gefragt.
82000	85000	Ich habe die schreckliche Angewohnheit beim Aufnehmen immer zu trinken.
85000	93000	Ja, also ich habe Wasser hier stehen und ich habe gerade tatsächlich ein bisschen Sake getrunken,
93000	99000	aber nichts, was mich beeinflussen würde in meiner Zurechnungsfähigkeit, denke ich.
99000	103000	Ich habe wie letztes Mal den günstigen Club Mate-Mate dabei.
103000	106000	Ich glaube, das ist das erste Mal, dass ich ein Getränk wiederholt, aber ich war zu faul,
106000	108000	jetzt aus Neues zu kaufen für die Aufnahme.
108000	110000	Ja, okay.
110000	111000	Ja, gut.
111000	117000	Ansonsten, bevor wir anfangen, wollte ich noch eine Buchempfehlung machen, allgemein zu dem kompletten Thema,
117000	122000	weil es meiner Ansicht nach, gerade was das angeht, ein sehr gutes Buch ist.
122000	126000	Und das haben wir beide gelesen, und zwar ist es von Hanna Engelmann,
126000	132000	Anti-Queere Ideologie, die Suche nach identitärer Sicherheit und was politische Bildung dagegen ausrichten kann.
132000	138000	Es bietet natürlich keine kompletten Antworten für alle Probleme in dem Bereich,
138000	143000	aber es bietet vor allem auch neben einer recht guten Analyse,
143000	147000	wo die Ideologie überall herkommt und wo die wie mitspielt,
147000	152000	auch einiges an Quellenmaterial beziehungsweise Material für weitere Recherche.
152000	155000	Deswegen ist das ein Buch, was mir sehr gut gefallen hat.
155000	160000	Gut, ja, dann willst du noch irgendwas sagen?
160000	163000	Ja, ich würde mich noch ein bisschen vorstellen, was ich so mache.
163000	165000	Ach so, natürlich, es tut mir leid.
165000	173000	Ja, also ich bin Juliana und habe den YouTube-Kanal Anruly Juli,
173000	180000	auf dem ich mir recht allgemein aus einer linken Perspektive über Politik rede,
180000	189000	aber doch mit einem ziemlich starken Fokus auf Transwächte, ja, bin selber eine Transfrau.
189000	196000	Und genau, ich spreche, wie gesagt, über breitgefächerte Themen,
196000	203000	aber jetzt in letzter Zeit sind halt so ein paar Sachen passiert in die transfeindliche Richtung,
203000	209000	von der Taz, von der Vaz und zum Beispiel jetzt auch von Therese Pham.
209000	218000	Die, auf die ich das dann immer mal wieder notwendig, es heißt notwendig ansehe, zu reagieren,
218000	225000	mich dazu zu verhalten, das Ganze zu analysieren, Lücken an Informationen zu schließen
225000	234000	oder Fehldarstellungen mit Fakten zu widerlegen und genau, das ist so mein Kanal.
234000	240000	Ich rede viel über Rhetorik im Spezifischen, fokussiere mich viel auf Sprache
240000	246000	und wie genau Sachen ausgedrückt werden, gerade in konservativen und reaktionären Kreisen
246000	254000	und bestimmte Gefühle und Effekte anzustrechen, ja, und genau, das erwartet euch dort.
254000	260000	Ja, in der Beschreibung wird natürlich ein Link zu finden sein für jede Person, die daran Interesse hat.
260000	264000	Ich würde es empfehlen. Zum Leid, dass ich das jetzt gerade zu übergangen habe.
264000	268000	In meinem Kopf bist du die größere Person, also die bekanntere, deswegen dachte ich irgendwie,
268000	271000	dass man eher dich als mich kennt in meinem eigenen Podcast.
271000	282000	Ja, die Überschneidungen sind sicherlich auch da zwischen unseren Publiken, aber sicherlich nicht 100%,
282000	284000	manche kennen mich bestimmt noch nicht.
284000	286000	Ja, hast recht.
286000	293000	Genau, bevor wir jetzt erstmal zu dem Positionspapier kommen, was wir vorlesen werden,
293000	297000	also keine Sorge an all jene, die es nicht kennen oder nicht gelesen haben,
297000	303000	also, wem es interessiert, wird dazu auch ein Link in der Beschreibung sein, damit wir hier keinen Blödsinn verzappeln.
303000	313000	Möchte ich bzw. fände ich es ganz nett, wenn wir ein wenig mehr über diese Organisation erfahren
313000	320000	und du kannst uns da ein bisschen Hintergrundinformation geben, was früher schon so passiert ist.
320000	326000	Genau, genau, also ich habe da keinen Anspruch auf Vollständigkeit bei dem, was ich jetzt sage.
326000	336000	Ein paar Sachen, die halt auffällig waren bei Terre de femme und die ich schon mal mir angeguckt habe
336000	347000	in Bezug auf Trans-Menschen, die Inklusion von Trans-Menschen, ob Trans-Menschen oder nicht speziell,
347000	353000	weil natürlich Trans-Frauen in deren Frauenbild gehören.
353000	360000	Und genau, ich bin auf einige Informationen gestoßen, schon vor diesem Positionspapier,
360000	372000	die darauf gewiesen haben, dass sie eher nicht oder ziemlich entschieden Trans-Frauen eben als nicht Frauen betrachten
372000	383000	und sie dementsprechend ausschließen von ihrem Feminismus und von ihrem Angebot an Hilfsorganisationen
383000	391000	und den ganzen Sachen, die sie machen, die ja sicherlich auch natürlich gut sind teilweise.
391000	397000	Sie bewirken sicherlich in Teilen gute Sachen nur durch dieses jetzt, und das sage ich nicht nur,
397000	404000	wobei ich davon selber betroffen bin, sondern aus einem universellen Standpunkt heraus höre ich jetzt mal.
404000	411000	Es führt das auf jeden Fall zu sehr viel Schlechtem, was sie da jetzt machen, genau.
411000	419000	Und hier habe ich zum Beispiel, da gab es eine Online-Umfrage zur Mehrfachdiskriminierung von,
419000	429000	und die Formulierung ist ja auffällig, lesbischen, queerstrich bisexuellen Frauen und trans, groß geschrieben und mit Sternchen,
429000	438000	was ja schon mal klar ausdrückt, dass ja Frauen eben getrennt werden von trans,
438000	447000	was dann an sich wohl eine Bezeichnung für Menschen sein soll, was es ja nicht ist, sondern adjektiv, aber genau.
447000	453000	Also da wurde das auf jeden Fall schon, ja, so klar.
453000	459000	Ja, und natürlich, dass es ja auf eine sexuelle Ebene gehoben wird in dieser Umfrage.
459000	463000	Ja.
463000	469000	Also wenn es ja um lesben, bisexuelle und trans geht, dann geht es ja.
469000	482000	Ach so, ich glaube, ich hatte das so verstanden, dass lesbisch und bisexuell hier auch auf die sogenannten trans bezogen wird.
482000	488000	Ja, genau, aber ich weiß nicht, das könnte auch sein, dass das so ist, wie du sagst.
488000	494000	Ja, kann man nicht genau sagen, jedenfalls exklusiv, trans-exklusiv, ganz klar.
494000	504000	Genau, dann gab es auch noch eine Äußerung von Inge Bell und das ist die stellvertretende Vorstandsvorsitzende von Teer de Fam.
504000	508000	Hier kann ich jetzt auch ein Datum mitgeben, was ich gerade leider nicht konnte,
508000	515000	aber ich schicke gleich nachher Corvus noch den Link auch zu diesem Statement, was ich gerade zitiert habe.
515000	525000	Genau, hier hat Inge Bell, wie gesagt, die stellvertretende Vorsitzende, am 21.12.2019 geschrieben,
525000	534000	bin bei Rowling meine persönliche Überzeugung, trans Frauen sind nicht Frauen, trans Männer sind nicht Männer.
534000	542000	Sie haben ihre Geschichte, die sie zu etwas Besonderem macht, eben zu Migranten, nichts Natives,
542000	548000	also zu Einwandern in das entsprechende Geschlecht, nicht zu Eingeborenen.
548000	558000	Und das ist natürlich eine harte Nummer, was sie da von sich gegeben hat.
558000	572000	Und das geht ja schon über einen Ethnonationalismus, auch etwas, wozu wir oder ich gleich noch eine Stelle rausgesucht hatte,
572000	581000	aus dem Buch Antiquare Ideologie, der diesen Übergang eben recht gut aufzeigt und das das durchaus miteinander zu tun hat,
581000	590000	insofern, dass es einfach Parallelen dafür gibt, wie das so gefühlsmäßig und ideologisch begründet wird.
590000	594000	Ja, dazu kommen wir dann ja nachher noch.
594000	599000	Ich denke, es wird dann auch Sinn machen, dass quasi, wenn wir bei dem Teil sind, ich dann anfange und du dann daran anschließt,
599000	601000	weil die sich sehr gut ergänzen meiner Ansicht nach.
601000	620000	Ja, genau. Und dann gab es eben noch etwas, und da hatte nämlich eben genannte Inge Bell einen offenen Brief unterschrieben an die Bundesregierung,
620000	630000	in dem es um Konversionstherapien ging, um das Verbot von Konversionstherapien.
630000	642000	Das hatte Inge Bell und Gundula Corsac, das ist die Vorstandsvorsitzende von Telefarm, hatten das beide unterschrieben.
642000	649000	Also hier nicht die ganze Organisation, sondern eben diese beiden höchsten Tiere darin immerhin.
649000	662000	Und da steht, also erstmal richtet sich dieser Brief dagegen, dass in dem Verbot von Konversionstherapien,
662000	669000	dass da auch trans Menschen drinstehen, also auch trans Geschlechtlichkeit aufgeführt ist,
669000	681000	dass also auch trans Jugendliche nicht so therapiert werden dürfen, dass explizit das Ziel ist, sie davon abzubringen, trans sein.
681000	690000	Das ist natürlich sowieso unmöglich, aber sie sozusagen davon zu überzeugen, dass sie es doch nicht sind.
690000	700000	Genau, und da sind ein paar recht interessante Zitate drin, die habe ich mal rausgepickt,
700000	712000	aber das ganze Dokument ist schon sehr, sehr explizit transfeindlich, also da habe ich jetzt nicht selektiv irgendwie Sachen aus was ganz Anderem rausgefischt.
712000	719000	Auf jeden Fall ein interessantes Zitat, es gibt allerdings keine naturwissenschaftlichen Belege dafür,
719000	733000	dass es möglich ist, in einem falschen Körper geboren zu sein oder sein, ihr Geschlecht auf der Ebene der Chromosomen zu wechseln.
733000	743000	Genau, und dass nun ausübende, helfende Berufe und Eltern infolge des oben genannten Gesetzesentwurfs kriminalisiert werden sollen,
743000	751000	wenn sie solch fragwürdige Annahmen in Zweifel ziehen und ihre Haltung zusätzlich als Resultat eines Wissensmalers dargestellt wird,
751000	757000	halten wir nicht nur für absurd, sondern auch für gefährlich.
758000	771000	Was ich jetzt wiederum für absolut absolut halte, was mein Lachen dabei ausgedrückt hat, denn das sind mal wieder absolute Strohmänner natürlich,
771000	780000	niemand hat jemals behauptet, dass du deine Chromosom auswechseln kannst, das ist ja gerade auch eine Sache,
780000	788000	die dein Terps immer wieder heranziehen, egal welche körperlichen Maßnahmen du machst, Hormontherapie, Operation,
788000	797000	du wirst immer diese Chromosome haben, die dann irgendwie für die so eine Art magische Geschlechtswahrheitsessenz darstellen,
797000	806000	wobei sie ja eigentlich nur so die genetische Anlage sind, wie der Körper sozusagen geplant ist, sich zu entwickeln,
806000	812000	was ja auch nicht wahrnehmbar ist.
812000	819000	Wie man natürlich auch weiß, es ist ja historisch sehr interessant, dass man quasi, bevor wir wussten, welche Chromosome das sind,
819000	822000	die Menschheit einfach keine Geschlechter hatte.
822000	834000	Ja, genau, viel verpasst, aber ja, Daten war bis so ins 20. Jahrhundert hinein, dadurch ja eine ganz egalitäre Gesellschaft.
834000	839000	Dann kam plötzlich aus dem Nichts das Patriarchat mit der Biologie an, oder eher andersrum.
839000	852000	Genau, und dieses im falschen Körper geboren zu sein, das ja eh nur eine Metapher ist, um was auszudrücken,
852000	863000	was auch besser ausgedrückt werden kann und sollte, aber dass man das nicht nachweisen kann, ja, das bedeutet halt nichts.
863000	866000	Das ist ja recht offensichtlich.
866000	877000	Und dann geht es halt zu, ja, das Gesetz forciert den affirmativen Ansatz.
877000	886000	Das heißt, dass Kinder und Jugendliche daran bestätigt werden, daran unterstützt werden in ihrer Transition.
886000	898000	Also eigentlich ist bezeichnet, dass wenn jemand zu dir kommt und sagt, ich habe diese Empfindungen,
898000	904000	werden erstmal die konkreten Empfindungen so angenommen und dem wird nicht widersprochen.
904000	914000	Und es wird ja immer so suggeriert, dann würden die Leute, die Ärztinnen, Therapeutinnen zu den Jugendlichen sagen, du bist trans.
914000	920000	Wir haben jetzt schon mal einen Termin für dich festgemacht. In einer Stunde geht es damit der OP los.
920000	932000	Ja, genau. Und dann kommt noch, wir sehen es als Aufgabe von Eltern, Therapeutinnen und Gesellschaft an,
932000	936000	Kinder und Jugendliche daran zu bestärken, ihren Körper anzunehmen und wertzuschätzen.
936000	946000	Und dann wird darauf so aufgebaut, dass das Transitionieren eben eine Abweichung von dem eigentlich richtigen ist
946000	958000	und dass sie Rollenklischees zementieren, was ja auch wieder zu dem Punkt werden wir, denke ich, gleich nochmal intensiver ein bisschen kommen,
958000	964000	wenn wir das eigentliche Positionspapier lesen werden.
964000	976000	Genau. Und zu diesem offenen Brief wiederum gab es dann ein paar Stellungnahmen von ein paar Terefam mit Frauen.
976000	987000	Gab es eine ganz OP-Stellungnahme, wo immerhin gesagt wurde, dass sie die strikte Trennung von
987000	997000	in Anführungsstrichen Frauen und Transfrauen für falsche achten, denn allerdings auch merkwürdige Sachen drin waren,
997000	1004000	wie das behauptet wurde, alle Transpersonen befinden sich außerhalb der binären Geschlechter, was ja auch nicht der Fall ist.
1004000	1009000	Ich zum Beispiel bin innerhalb des binären Geschlechts weiblich.
1009000	1019000	Naja, aber genau, solche Sachen waren schon noch drin, aber allgemein in der Grundaussage dann das am wenigsten Schlimmste von den Sachen,
1019000	1030000	die ich hier präsentiere. Und dann gab es noch eine Stellungnahme von Terefam als Verein.
1030000	1040000	Die ist interessant, die bietet eine super Überleitung zu dem jetzigen Positionspapier.
1040000	1063000	Und zwar wird darin halt gesagt, also die Grundaussage dieser Stellungnahme ist, dass Terefam alle Personen weiblichen Geschlechts ungeachtet ihrer Geschlechtsidentität schützen will.
1063000	1070000	Und hier steht aktuell beschäftigt sich Terefam mit Fragen rund um die Belange und Bedürfnisse transidenter Menschen.
1070000	1078000	Um eine fundierte Meinung unter dem Blickwinkel von Mädchen und Frauenschutz zu erlangen, ist Terefam im Austausch mit verschiedenen Vereinen und Akteuren,
1078000	1085000	die sich für die Rechte von Transpersonen einsetzen. Und das klingt ja erstmal nicht schlecht.
1085000	1094000	Hier wird aber auch nicht gesagt, was genau damit gemeint sind und konkret welche Transpersonen denn hier gemeint sind.
1094000	1109000	Denn in der großzügigsten und die Interpretation, die man sich hätte erhoffen sollen davon, ist es halt so, dass trans Mädchen und Frauen vor Mobbing,
1109000	1116000	in Diskriminierung staatlicher und medizinischer Gänge, Lungen und Gewalt geschützt werden, was natürlich mehr als notwendig wäre.
1116000	1125000	Aber angesichts dieser gerade genannten Aussagen auch von verschiedenen Mitgliedern der Organisation und von der Organisation selbst,
1125000	1140000	es liegt die Vermutung näher, dass die Organisation sich dafür einsetzt, dass erstens CIS-Frauen vor der Präsenz von trans Frauen in Frauenräumen
1140000	1149000	in Anführungsstrichen geschützt werden sollen und dass trans Männer davor bewahrt werden sollen, zu transitionieren.
1149000	1159000	Genau. Und das wird sich halt genau bestätigen in diesem Positionspapier, was wir gleich lesen werden.
1167000	1174000	Ja, ich denke es ist sinnvoll jetzt quasi von hier aus als kleines Vorspiel auf das Positionspapier überzugehen.
1174000	1193000	Genau, genau. Das Positionspapier ist von vor jetzt knapp zwei Wochen, anderthalb Wochen, von Samstag dem zwölften, zwölfter, zwölfter neunter.
1193000	1201000	Ja, genau. Und ja, soll ich es einfach mal vorlesen?
1201000	1209000	Ja, genau. Also du liest es jetzt einmal vor und danach gehen wir mal da ein paar, ich sag jetzt mal auffälligeren Punkte durch.
1209000	1221000	Okay. Ja, die Überschrift ist Positionspapier von Teer de Fam, Menschenrechte für die Frauen zu Transgender, Selbstbestimmung und Geschlecht.
1221000	1233000	Unter Überschrift ist, als Frauenrechtsorganisation stets strebt Teer de Fam grundsätzlich eine Welt an, in der kein Mensch von Gewalt oder Diskriminierung betroffen ist.
1233000	1239000	Das Kernanliegen von Teer de Fam ist, die Gleichberechtigung der Geschlechter zu verwirklichen.
1239000	1249000	Teer de Fam arbeitet seit der Gründung an der Abschaffung patriarchaler Strukturen und damit von geschlechtsbasierter Diskriminierung und Gewalt an Mädchen und Frauen.
1249000	1258000	Wir haben die Gleichheit, Gleichwertigkeit und Erfahrungen von Mädchen und Frauen im Blick. Soweit wirklich alles wunderbar.
1258000	1268000	Gleichheit, Gleichwertigkeit und Erfahrungen von Mädchen und Frauen könnt ihr auch auf Transfrauen und Cisfrauen bezogen sein.
1268000	1286000	Und dass die Erfahrung teilweise unterschiedlich ist, was auch niemand bestreitet, aber dass sie trotzdem gleichwertig sind und sich in ihrer Weiblichkeit jetzt nicht unterscheiden oder in ihrem, ja, dem weiblichen Geschlecht zugehörig sein sozusagen.
1286000	1290000	Dann geht es erstmal los im tatsächlichen Text.
1290000	1303000	Als Frauen, Rechtsorganisation Frauen FED, wendet sich Teer de Fam gegen jede Form von Menschenrechtsverletzungen,
1303000	1318000	den Mädchen und Frauen aufgrund ihrer Zugehörigkeit zum weiblichen Geschlecht ausgesetzt sind, ungeachtet ihrer konfessionellen, politischen, ethnischen und nationalen Zugehörigkeit sowie ihrer sexuellen Identität.
1318000	1332000	Dieser Zweck ist in unserer Satzung verankert und dort ebenso wie in unserem feministischen Leitbild definieren wir Frauen in Übereinstimmung mit der Definition internationaler Konvention.
1332000	1347000	Zum Beispiel CEDAW und Istanbul-Konvention und des Deutschen Duden als Personen des weiblichen Geschlechts.
1349000	1358000	Ja, auch das lässt natürlich noch verschiedene Interpretationsmöglichkeiten offen.
1358000	1361000	Ja, da ist ja noch durchaus Spielraum.
1361000	1370000	Vor allem, wenn man auch die Definition nimmt, weiblichen Geschlecht, die Weiblichkeit wird da ja nicht als Substanz verwendet, also als Substantiv, sondern als Eigenschaft.
1370000	1372000	Da hat man ja noch Hoffnung.
1372000	1377000	Genau, und die wird dann zerschmettert im nächsten Absatz.
1377000	1392000	Als Menschenrechtsorganisation solidarisieren wir uns mit allen Menschen, die sich aufgrund ihrer Ausgrenzungserfahrung in der LGBTQI-Plus-Community politisch zusammengeschlossen haben.
1392000	1404000	Auch wenn die Kernanliegen von Terefam nicht explizit die, in Klammern Gewalt, Erfahrungen dieser Menschen umfassen, stehen wir an ihrer Seite und unterstützen ihre Bestrebungen,
1404000	1410000	sich gegen Diskriminierung zu wehren und für ihre gesellschaftliche Akzeptanz zu kämpfen.
1410000	1415000	Auch hier liegt unser Augenmerk auf den Frauen und Mädchen.
1415000	1425000	Für die patriarchale Geschlechterordnung ist das biologische Geschlecht, Sex, der Anlass für die Unterdrückung von Mädchen und Frauen.
1425000	1435000	Patriarchale, duale Logik trennt und hierarchisiert Menschen entlang des biologischen Körpers von männlich und weiblich.
1435000	1446000	Aus biologischen Unterschieden, biologisch Geschlecht querstrich Sex, werden soziale Geschlechter, Gender konstruiert, die Eis in Anführungsstrichen natürlich vermittelt
1446000	1451000	und dann so wahrgenommen und systemkonform erlebt und gelebt werden.
1451000	1461000	Und da haben wir dann halt die Essentialisierung auf den Körper und den, ja.
1461000	1472000	Es ist ein klarer Biologismus und was hier interessant ist, man stellt sich vor, dass ein soziales Konstrukt aus einem biologischen entstanden ist.
1472000	1482000	Wobei dann die Frage ist, wie ist quasi diese biologische Unterscheidung, es ist eine Unterscheidung, die Menschen treffen, heißt, die muss von irgendwoher kommen.
1482000	1489000	Spoiler Alarm, es ist eine menschliche Unterscheidung, deswegen ist die Chance hoch, dass sie vom Menschen kommt.
1489000	1497000	Das hatten wir für alle in der Episode mit Philipp zu der zweiten Natur.
1497000	1507000	Wer sich das gerne nochmal das längere Gespräch anhören möchte, da haben wir alles über dieses Thema besprochen, wo eben auch die diskursive Natur des Körpers mit vorkommt.
1507000	1513000	Ja. Ja, ich gehe mal weiter.
1513000	1526000	Die Arbeit von Terefam fokussiert sich auf jene, die aufgrund ihres gegebenen weiblichen Geschlechts, in Klammern Körpers, diskriminiert und mit patriarchalen Erwartungen eingeschränkt werden.
1526000	1532000	Sie hinterfragt jede Zuweisung von Eigenschaften auf Grundlage des weiblichen Geschlechts.
1532000	1536000	Beispiel Frauen sind emotionaler, weil sie Frauen sind.
1536000	1542000	Frauen müssen Kinder kriegen und für sie sorgen, weil sie biologisch dazu befähigt wurden, etc.
1542000	1553000	Deswegen setzen wir uns dafür ein, dass Mädchen und Frauen eigene Schutz und Freiheitsräume erhalten, die ihnen eine Freienfaltung weit weg von patriarchalen Vorstellungen ermöglichen.
1554000	1567000	Das Patriarchat wird seiner Wirkmacht beraubt, indem immer mehr Menschen mutig aus dem engen Korsett der Geschlechterstereotype ausbrechen, sich nach eigener Weise bewegen,
1567000	1575000	Kleiden, lieben, ohne das biologische Geschlecht zu verlassen.
1575000	1591000	Da haben wir ein sehr typisches Motiv der Terf Ideologie, nämlich die Transition als Unterwerfung unter die patriarchale Ordnung.
1591000	1607000	Man wäre sonst einfach ein geschlechtsnonkonformer Mensch seines sogenannten, wie sie es nennen, biologischen Geschlechts, aber man verrät, kann man fast schon sagen,
1607000	1627000	sein biologisches Geschlecht an das Patriarchat und seine Erwartungen, weil man sonst als eine untypische Vertreterin seines, ihres Geschlechts fungieren würde.
1627000	1640000	Und macht dann das, was sie ihm verhindern wollen. Transitioniert. Und das wird ja auch so dargestellt, als wäre das eine Wahl so richtig eigentlich.
1640000	1656000	Dabei ist ja auch natürlich lustig, dass sie ja quasi genau das tun, wovor sie her waren, also diese Geschlechterstereotype reproduzieren und so weiter.
1656000	1670000	Genau. Und dann kommt der nächste Absatz. Wir stellen fest, dass insbesondere lesbische Mädchen und Frauen und alle, die sich geschlechtsspezifischen Erwartungen verweigern,
1670000	1684000	unter patriarchalen Rollenvorstellungen leiden. Als Telefam setzen wir uns dafür ein, dass eine Vielfalt von Lebensentwürfen von Frauen unabhängig von patriarchalen Vorstellungen in der Gesellschaft Akzeptanz finden.
1684000	1697000	Unser Ziel ist es, dass patriarchale Rollenverständnisse und Körperbilder verschwinden, also wieder das, man macht die Transition sozusagen, um dem zu entsprechen, was das Patriarchat erwartet.
1697000	1712000	Die Struktur patriarchaler Macht kann jedoch nicht bekämpft werden, wenn der Anlass der patriarchalen Geschlechterordnung, die Biologie Sex mit Gender gleichgesetzt wird.
1712000	1718000	Und da muss ich sagen, das fand ich war ein sehr interessanter Satz, weil er eigentlich das beschreibt, was sie machen.
1718000	1727000	Ich frage mich, wie ist der da reingekommen? Das ist in dem ganzen Text eigentlich der einzige grüne Satz für mich, also der einzige, den ich grün markiert habe.
1727000	1737000	Ja, das stimmt. Aber sie behaupten ja natürlich, dass für sie Gender halt nicht existiert.
1737000	1749000	Wobei sie es hier natürlich mit einer Bedeutung versehen benutzen, also einen Nichtbegriff aus eigener Perspektive sozusagen nutzen, was man ja vielleicht dann nicht machen sollte,
1749000	1765000	wenn man seine Existenz nicht will und nicht anerkennt, dass er was bedeutet. Naja, genau. Und jetzt als nächstes kommt ein ziemlicher Hammer.
1765000	1767000	Da kommt wieder ein sehr guter Abschnitt.
1796000	1809000	Sorry, dass ich gerade ein bisschen lachen musste. Aber es fällt mir echt schwer, da nicht zu lachen bei dem Teil mit der Willenserklärung.
1809000	1824000	Ich frage mich wirklich, wie die Person oder Personen, ich weiß gar nicht, ob da jetzt mehrere letztendlich mit drüber geschaut haben, wie die sich das vorstellen, dass das läuft.
1824000	1838000	Aber das ist ja der Punkt vieler transfeindlicher Rhetorik, dass das so dargestellt wird, dass es für die Leute am absurdesten und unverstehbarsten erscheint.
1838000	1848000	Und dieses per Willenserklärung, das ist ja genau das, worauf auch so diese Attack-Helicopter-Memes beruhen.
1848000	1861000	Das I identify as und dann ist das sofort so. Und das wird hier angegriffen, dass das eine reine Willenserklärung wäre und darauf beruhe,
1862000	1874000	auch alle Erwartungen, wie man erwartet, behandelt zu werden und in welchen Positionen man erwartet zu stehen in der Gesellschaft.
1874000	1877000	Genau, weil wer möchte nicht unterdrückt werden?
1877000	1878000	Ja.
1878000	1882000	Gut, aber da habe ich eine lustige Antwort drauf, auf die wir nachher kommen.
1882000	1894000	Okay, okay. Ja, und dann kommt der Beruf Transgender, benutzt als wäre er eine Bezeichnung jetzt für eine Gruppe.
1894000	1902000	Also Transgender, jemand ist Transgender, würde ich sagen, aber nicht die Transgender, das ist ein bisschen entmenschlichend.
1902000	1911000	Transgender bilden eine vulnerable Gruppe, weil auch sie nicht den patriarchalen Vorstellungen entsprechen.
1911000	1920000	Per Defam unterstützt Transgender in ihrem Recht, ihr empfundenes Geschlecht selbstbestimmt ausdrücken zu können.
1920000	1930000	Und hier wird ja sozusagen der Begriff Gender Expression gleichgesetzt mit Gender eben oder Gender Identity.
1930000	1944000	Das Recht von Transpersonen ist, dass sie das, was sie fühlen, innerlich auch durch bestimmte, bestimmt kodierte Geschlechtsausdrücke eben ausdrücken können.
1944000	1951000	Aber es wird halt nirgends eine Anerkennung gemacht, dass da irgendwas Tatsächliches hinterstecken würde,
1951000	1961000	außer einem Bedürfnis, irgendwas was Inneres jetzt nach außen zu kehren und eine bestimmte Gender Expression zu haben.
1961000	1965000	Und ich würde da auch nicht sagen, dass sie von einem Können sprechen.
1965000	1970000	Ich denke schon, dass sie da eigentlich sogar recht explizit von einem Müssen sprechen.
1970000	1975000	Also du musst dich, wie du dein Geschlecht empfindest, selbst ausdrücken.
1976000	1984000	Und das ist ja vor allem auch so interessant, die selbstbestimmt an der Stelle.
1984000	1988000	Natürlich gibt es Leute, für die das etwas ist, was sie selbst wollen.
1988000	1996000	Aber für andere ist das einfach etwas, was sie fühlen, als müssten sie es tatsächlich machen, eben damit sie in ihrer geschlechtlichen Identität überhaupt erst anerkannt werden.
1996000	2006000	Ja, ja, richtig. Und dieses Selbstbestimmt, also Telefarm ist natürlich ganz klar gegen sowas wie eine Abschaffung des transsexuellen Gesetzes,
2006000	2014000	was das Gatekeeping halt beseitigen würde, größtenteils zumindest für den rechtlichen Part.
2014000	2020000	Und vom transsexuellen Gesetz, da zähle ich viel auf meinem Kanal auf jeden Fall.
2020000	2028000	Es ist ein extrem entwürdigendes und entmündigendes Verfahren, bei dem man sich zwei Gutachten unterziehen muss.
2028000	2034000	Und darin können die Gutachterinnen einen eigentlich zu allem zwingen, was sie wollen.
2034000	2043000	Und dafür bezahlst du dann so 1500 bis 3000 Euro selber für etwas,
