start	end	text
0	7360	Willkommen beim Vorwort. Dies ist die vierte Episode, eine Reihe über postmoderna Medientheorien.
7360	14480	Falls ihr Folge 3 über Paul Virilio oder die auf diese folgende Episode hören wollt,
14480	19720	dann schaut doch in die Beschreibung. Dort findet ihr eine Playlist. In dieser Episode
19720	25280	sprechen wir über Medienarchäologie und die Austreibung des Geistes aus den Geisteswissenschaften.
25280	31760	Für diese Episode empfehle ich Die Wahrheit der technischen Welt – Essais zur Genealogie der
31760	38680	Gegenwart von Friedrich Kittler. Wenn ihr diesen Podcast und speziell diese Episode unterstützen
38680	44680	wollt, dann nutzt doch bitte die gegebenen Optionen der Plattform, die ihr nutzt. Ob ihr nun auf Apple
44680	51680	Podcasts eine gute Bewertung da lasst, auf YouTube liked und kommentiert oder den Spotify-Link teilt.
51680	58120	Jede Form von Interaktion ist eine Unterstützung. Mit diesen Worten wünsche ich euch jetzt viel
58120	69560	Spaß bei der Episode. Nach Kant, Freud, Benjamin und Foucault bietet Friedrich
69560	77280	Kittler als letztes eine Form der Archäologie. Ihm geht es jedoch weder um Metaphysik, die Seele,
77280	82960	die Moderne oder das Wissen, sondern um die Medien. Knut Ebeling schreibt im Wille der
82960	89240	Archäologien eins, Zitat Die Archäologie der Medien präsentiert ein zeitgenössisches Denken
89240	94840	der Medien, das mittlerweile so geläufig geworden ist, dass dieser Titel Ausstellungen von Computer
94840	101080	Kunst ziert. Doch die Harmonie allgemeiner Anerkennung trügt. Die Archäologie der Medien
101080	106360	stellt die aktuellste und zugleich umstrittenste Variante eines archäologischen Ansatzes dar.
106360	113320	Hatte die Position Foucaults bereits Kulturkämpfe ausgelöst, so polarisiert heute Friedrich Kittler
113320	121360	die Scientific Community. Zweifellos bedeutet seine Archäologie der Medien eine heftige Reaktion
121360	128640	auf die hermeneutig-lastige bundesdeutsche Nachkriegswissenschaft. Kittlers Programmschlager
128640	135560	von 1980 schrieb sich die Austreibung des Geistes aus der Geisteswissenschaft auf die Fahne. Zitat Ende
136360	141320	Wenn man einen Text zu Kittler oder allgemein der Archäologie lesen will, kann ich das Buch
141320	148000	nur wärmstens empfehlen. Worum es nun zuerst gehen soll, ist eine Unterscheidung zu treffen. Denn das
148000	153520	Wort Medienarchäologie hat einen verwandten Begriff, die Mediengeschichte, den wir auch schon ein paar
153520	158880	mal gehört haben, welcher gelegentlich mit ersterem Synonym verwendet wird. Dabei bietet
158880	164720	eine Archäologie etwas vollkommen anderes als eine Geschichte. Die Archäologie stellt die Geschichte
164720	172600	der Medien radikal infrage. Sie betrachtet den unausgesprochenen Grund und Hintergrund,
172600	178000	die a priorische Annahme einer jeden Mediengeschichte. Es geht hier nicht um
178000	182120	particuläre Erscheinungen in Form von verschiedenen Techniken, sondern um die
182120	190880	Gesamtheit des Wissens in Bezug zur Medialität. Kittler, auch wenn er Foucaults Arbeit sehr schätzt,
190880	196320	kritisiert Foucaults Verständnis der Medialität als Zusammenspiel von Struktur und Funktion der
196320	202120	Medien hinsichtlich ihrer kognitiven, kulturellen und sozialen Aspekte. Der Grund dafür ist,
202120	207680	dass diesem die Materialität fehlt. Sowohl Datenspeicherung wie auch Datenübertragung
207680	214280	und Datenberechnung müssen in den technischen Mediendiskurs aufgenommen werden. Zentral ist
214280	221880	dem System Kittlers somit die Veränderung des Aufschreibesystems ein Netzwerk von Technik und
221880	227000	Institutionen, die einer gegebenen Kultur die Adressierung, Speicherung und Verarbeitung von
227000	235720	Daten erlauben. Da es vor dem 18. Jahrhundert kein Medium gab, welches unter die Kriterien
235720	240400	des Aufschreibesystems fällt, beginnt für Kittler die Mediengeschichte im 18. Jahrhundert.
240400	246400	Das Aufschreibesystem des 18. Jahrhunderts konstituiert sich durch die Alphabetisierung,
246400	250480	die Etablierung eines sowohl universitären wie auch staatlichen Bildungswesens,
250480	256360	die massenhafte Produktion und Rezeption von Druckerzeugnissen wie Büchern und Zeitungen.
256360	263200	Mit diesem einher ging ein Zugewinn der Bedeutung des Bürgertums. Auch bei Kittler verliert das
263200	269360	optische an Bedeutung, dadurch unter anderem die Lautiermethode, die Methode durch laute die
269360	274840	Sprache zu erlernen, anstelle des Auswendiglernens von Buchstabenkombinationen, Buchstaben nun mit
274840	280840	lauten identisch. Die vier relevanten gesellschaftlichen Aspekte, die also dieses
280840	286080	erste Aufschreibesystem in die Welt bringen, sind Familie, Dichtung, Universität und Staat.
286080	291800	Des Weiteren kommt Kittler zufolge in dieser Zeit eine Philosophie des Geistes zur Welt,
291800	296680	welcher zufolge der Geist Sinn- und Bedeutungskategorien in individuellen
296680	304360	Gedanken ausdrückt, woraus auf materieller Ebene Ideen wie das Eigentum bzw. Urheberecht
304360	312680	und das Genie entstanden. Ab ca. dem 19. Jahrhundert erreichen wir das zweite Aufschreibesystem.
312680	319600	Dieses kommt durch die Entwicklung technischer Analogmedien in die Welt, wie etwa das Grammophon,
319600	326520	der Film oder die Schreibmaschine. Nun werden die Sinne adäquat angesprochen, da auch Bilder
326520	332840	und Klänge aufgezeichnet werden können. Die sprachliche Kodierung von Informationen wird eine
332840	337880	von vielen, weshalb sich unser Verhältnis zur Wirklichkeit verändert. Auch die Philosophie
337880	344960	des Geistes verändert sich, so schreibt Kittler. Im Aufschreibesystem 1900 sind Diskurse Outputs
344960	352120	von Zufallsgeneratoren. Die Konstruktion solcher Rauschquellen fällt der Psychophysik zu, ihre
352120	358720	Speicherung neuen technischen Medien, die psychophysische Messwerte als Apparate implementieren.
358720	366040	Die Untersuchung der Funktion des Gehirns tritt nun in den Vordergrund, da der Geist
366040	371760	sich weigert, materiell quantifizierbar zu sein. Das Ansammeln und Speichern von Datenmaterial
371760	378880	wird zur neuartigen Diskurspraxis. Mit dem Jahr 2000 kommt die letzte Stufe der Medienentwicklung,
379280	385760	das Aufschreibesystem 2000. Die Digitalmedien bringen den Vorteil mit sich, dass sie nicht
385760	391080	nur die Datenspeicherung und Datenübertragung vereinfachen, sondern dass zusätzlich die
391080	396400	Informationsverarbeitung mittels Algorithmus gesteuert werden kann. Der Computer wird zum
396400	401480	Universalmedium. Mit dem Computer kann sowohl Bild wie auch Schrift und Ton in binäre Codes
401480	407760	gefasst werden. So wie der Mensch als autonomes Objekt im 18. Jahrhundert als naturwissenschaftlich
407760	412600	bestimmbarer Körper im 19. Jahrhundert oder nun als digitalisierbares Informationskonglomerat
412600	417040	im 20. Jahrhundert wahrgenommen wird. Der Mensch wurde schon immer von den Medien,
417040	424280	die er schuf, unterworfen. Deshalb sieht Kittler es nüchtern, wenn er prognostiziert, dass das
424280	430960	Menschliche hinter die Technik tritt und durch diese standardisiert, normiert, automatisiert,
430960	437240	alles in allem gleichgeschaltet werden wird. Auf einer gesellschaftlichen Ebene wird es zu
437240	442600	einem größeren sozialen Gefälle kommen zwischen denjenigen, welche Computer-Analphabeten sind und
442600	449160	denjenigen, die elektronisch mündig sind. Kittler zufolge muss eine adäquate Theorie
449160	455480	der Macht für das 21. Jahrhundert die inherenten Machtstrukturen der Hardware verstehen. Die
455480	460160	Nutzerschaft einer Software macht sich vom System dieser abhängig und wird durch dieses
460160	465880	eingeschränkt. Hinzu kommt der Vorschlag, die bisherige Medientheorie durch eine materialistische
465880	472520	auszutauschen, welche die Medien als materiell konstitutive Elemente des Selbst, der Gesellschaft
472520	476860	und der Kultur erachtet und von diesem technikorientierten Standpunkt aus die
476860	483000	Forschung aufnimmt. Aber nicht nur die Medientheorie, die gesamte Geisteswissenschaft braucht diese
483000	489720	technizistische Überholung. Die unmenschlichen Systeme müssen in die Sozialstruktur hineingedacht
489720	496600	werden. Dieses neue Paradigma soll sich dadurch auszeichnen, dass nicht der Inhalt, sondern die
496600	502400	medialmateriellen Bedingungen Objekt der Analyse sind, die militärische Herkunft medialer
502400	507440	Entwicklungen in die Betrachtung einfließt und die hermeneutische Methode der Sinn- und
507440	513400	Bedeutungsanalyse durch eine mathematisch und naturwissenschaftliche Technikanalyse ausgetauscht
513400	523400	wird. Nun was haltet ihr von Friedrich Kittlers Theorie und seinen Vorschlägen? Bitte lasst es
523400	523800	mich doch wissen.
