start	end	text
0	6200	In einer Welt, in der, so pathetisch wie es vielleicht klingen mag, in einem gewissen
6200	10920	Sinne das Chaos herrscht, braucht es eine Vielzahl an Perspektiven und damit zusammenhängende
10920	14440	Konzepte, um den Kern dieses Chaos ausmachen zu können.
14440	20640	Aufgrund einer Vielzahl verschiedener Faktoren wird unsere Welt politisch, wirtschaftlich
20640	24520	und sozial immer weiter auf eine gewisse Art und Weise dezentralisiert.
24520	30280	Deshalb müssen wir, um etwas Universales erreichen zu können, einen Umweg über das
30280	31280	Partikulare nehmen.
31280	36480	Eines dieser Partikularen Phänomene ist etwas, das sich Biopolitik nennt.
36480	39960	Das Wort selbst verrät schon, um was es geht.
39960	43080	Bio stammt von dem altgriechischen Wort für Leben.
43080	45480	Es geht um eine Politik, die das Leben bestimmt.
45480	52120	Das ist jedoch so vage, dass selbst im Rahmen dieser Biopolitik, welche dieses eine Partikulare
52120	58440	Phänomen untersuchen soll, viele verschiedene Teilgebiete gibt, die es zu untersuchen gilt.
58440	63160	Es kann zum Beispiel um Rassismus, Überbevölkerung, Eugenik und weiteres gehen.
63160	68200	Oder es geht um das Gesundheitswesen und die Gesundheit, um die Umwelt, welche Hürden
68200	71560	Transpersonen überwinden müssen, bis sie sein dürfen, wie sie sind.
71560	78280	Oder etwas, das vollkommen woanders ist, solange es sich auf der symbolischen Grenze
78280	80840	zwischen Natur und Kultur ereignet.
80840	88360	Diese Reihe soll dazu dienen, einen grundlegenden Überblick über die relevante Literatur im
88360	90200	Bezug zur Biopolitik zu verschaffen.
90200	97080	Damit alle, die Interesse daran haben, eine neue Methode, einen neuen Blickwinkel gewinnen
97080	102040	können, anhand dessen sie die Politik, welche ihr Leben bestimmt, verstehen können.
102040	107120	Etwas, das wir natürlich gerade in einer Zeit wie unseren mit der weltweiten Corona-Pandemie
107120	108680	gut gebrauchen können.
108760	114200	Es sei jedoch direkt darauf hingewiesen, wer glaubt, man könnte sich mit einer einfachen
114200	119720	Referenz auf diesen Begriff, sowohl die generelle Idee hinter Maßnahmen im Bezug auf diese
119720	125520	Pandemie, oder aber die Realität des Virus als biopolitische Verschwörung verkaufen,
125520	129840	der sollte entweder abschalten und ignorant bleiben oder dringend zuhören und dazulernen.
129840	136640	Der Rahmen, in dem im folgenden Politik gedacht und gemeint wird, ist jener wie in Markus
136640	140960	Steinweg in Inkonsistenzen eigentlich bereits gesetzt hat.
140960	142560	Dort schreibt er, Zitat,
153920	158840	In diesem Zusammenhang stellt die Biopolitik in ihrer politischen Praxis grundsätzlich
158840	161160	eine konservative Politik dar.
161160	166000	Oder wie Steinweg vielleicht sagen würde, es stellt eine Nichtpolitik dar.
166000	167160	Denn, Zitat,
187160	192720	Politik widerspricht den Tatsachen, indem sie auf deren Inkonsistenz und Arbitrarität
192720	193720	verweist.
193960	196360	Tatsachen sind nichts als Tatsachen.
196360	199760	Mit dieser Gewissheit beginnt Politik.
199760	202040	Politik ist Tatsachenresistenz.
202040	205760	Daher gibt es sie nur als progressive oder linke Politik.
205760	210400	Rechte Politik ist keine Politik, sie ist konservative Verwaltung der Tatsachenordnung
210400	214680	unter Umgehung der Einsicht in ihre Apolitizität.
214680	219840	Und es spricht so in etwa dem, was Jacques Rassier Polizei nennt.
219840	224680	Es gibt kein rechtes Denken, was sich als rechtes Denken missversteht, ist das aktive
224680	231120	Nichtdenken einer entpolitisierten Akzeptanz der sozioökonomischen Aktualität, gleichzusetzen
231120	235000	mit politischer Stagnation, Zitat, Ende.
235000	242160	Was anderes als jene konservative Verwaltung der Tatsachenordnung soll eine Politik sein,
242160	246800	die auf die Kontrolle und Ordnung des Lebens aus ist.
246800	251320	Demnach gibt es sowohl die einen, die sich positiv auf Biopolitik beziehen und diese
251320	257040	optimieren wollen, was dann zum Beispiel in der Nazi-Ideologie oder einem Ökofaschismus
257040	258040	der Fall sein könnte.
258040	264240	Auf der anderen Seite gibt es jene, welche die Biopolitik kritisch untersuchen und darüber
264240	266720	hinaus Wege des Umgangs mit dieser finden wollen.
266720	273560	Der erste für uns kein wirklich produktives Material liefern, werden wir uns nur mit Letzteren
273560	274560	auseinandersetzen.
274560	281080	Da die Idee der Biopolitik als kritischer Begriff noch recht jung ist, gibt es noch
281080	285800	keinen wirklichen Kanon, weshalb meine Auswahl selbstverständlich kritisiert werden kann
