start	end	text
0	4440	In der letzten Episode haben wir einen Blick auf die Entwicklung der Biopolitik bei Foucault
4440	10680	geworfen. Dabei standen vor allem die Vorlesungen zwischen 1975 und 1979 im Zentrum der Aufmerksamkeit.
10680	16600	Aus diesem Grund halte ich es für einen der bestmöglichen Momente, um hier unsere Aufmerksamkeit
16600	23760	auf eine polemische Replik von 1977 zu richten. Dabei handelt es sich um Jean Baudrillard's
23760	29400	kleines Büchlein Oblée à Foucault. Was dabei interessant ist, ist, dass Baudrillard in seinen
29400	36000	früheren Werken Foucault positiv hervorgehoben hat und auch recht gut mit ihm persönlich auskam.
36000	42720	Nach diesem kleinen Büchlein wurde er jedoch aus einigen Büchergeschäften verbannt. Er hat sich
42720	46760	immerhin mit einer der zentralen Personen der französischen linken Intelligenz seiner Zeit
46760	52440	angelegt. Eine weitere interessante Sache, die aus Baudrillard's Polemik resultierte,
52440	57480	war die Bildung einer Studiengruppe, bestehend aus Baudrillard, Foucault, Lyotard, Deleuze und
57480	63960	Guattari und anderen. In dieser Gruppe präsentierte Baudrillard jedoch ein solch aggressiv-kritisches
63960	68480	Positionspapier, das sich nach einer hitzigen Debatte über das Prinzip der Differenz die
68480	75400	Gruppe schnell wieder auflöste. Welch eine Schande. In Oblée à Foucault greift Baudrillard sowohl
75400	81640	Foucaults Theorie von Macht wie auch Sexualität an, auf der einen Seite, und den Freudomaxismus,
81640	85960	wie man ihn zu jener Zeit bei Deleuze und Guattari, aber auch bei Lyotard findet,
85960	92680	auf der anderen Seite. Die ersten Sätze zeigen schon sowohl wie sehr Baudrillard Foucault schätzt,
92680	99120	wie auch die Schärfe mit der ihn kritisieren will. Er schreibt, Zitat, Foucaults Schreibweise ist
99120	104720	vollkommen, da der Text schon in seiner Bewegung bewundernswert, das nachzeichnet wovon er spricht.
104720	111560	Von jenem gewundenen Weg, auf dem die Macht entsteht. Ein Weg, der nicht mehr despotisch
111560	116680	wie eine Befestigung gebaut ist, sondern eher einem Fluss gleicht, dessen Quellen
116680	122840	unzugänglich bleiben. Einem Lied ohne Anfang, dessen Strophen doch in keine Katastrophe münden,
122840	128840	in eine Entwicklung, die immer weitere Bereiche immer nachhaltiger fasst. Auf der einen Seite
128840	134120	jene Flüssigkeit und Flüssigkeit der Macht, die das ganze poröse Geflecht des gesellschaftlichen,
134120	140200	des geistigen und körperlichen durchdrängt, eine unendlich feine Modulation der Machttechnologien,
140200	147160	in denen Gewalt und Nachgiebigkeit, Unentwirber, Beziehungen miteinander eingehen. Das alles
147160	151200	lässt sich dem Diskurs Foucault unmittelbar ablesen, der auch ein Diskurs der Macht ist.
151200	159560	Er durchströmt, er besetzt und erfüllt den Raum, den er eröffnet. Er lässt keine Leerstellen,
159560	165880	keine Phantasmen und auch keine neu entfachte Flamme zu. Die Analyse ist von einer geschmeidigen
165880	172680	Objektivität nicht linear, stets auch gleich erhöhekreisend, makellos. Kurz, der Diskurs
172680	179000	Foucault ist ein Spiegel der Mächte, die er beschreibt. Eben darin liegt seine verführerische
179000	183840	Kraft und nicht etwa in seinem Wahrheitswert. Zwar sind die Prozeduren der Wahrheit sein
183840	189520	Leitmotiv, aber das ist ohne Bedeutung, da sein Diskurs nicht wahrer als irgendein anderes.
189520	196200	Vor allem ist es die Perfektion dieser analytischen Chronik der Macht, die beunruhigt. Wie ein
196200	200320	Wasserzeichen zeichnet sich hinter dieser Schrift, die zu schön ist um wahr zu sein,
200320	205280	die Erkenntnis ab, dass dieses Zeitalter insgesamt schon auf der Kippe stehen muss,
205280	210840	wenn es möglich ist derart endgültige Einsichten über die Macht, die Sexualität, den Körper und
210840	216760	die Disziplin bis hin zu deren äußersten Metamorphosen auszusprechen. Irgendwie muss
216760	222040	es mit alledem schon vorbei sein. Anders gesagt, Foucault kann ein so wunderbares
222040	227920	Tableau nur darum entfalten, weil er an den Grenzen einer schon von Grund auf erschütterten
227920	234560	Epoche operiert. Ich belasse es beim Zitat mit diesem Teil, da ich am liebsten den gesamten
234560	239960	Text zitieren würde, alleine weil der Schreibstil mir persönlich so sehr zusagt. Was Baudrillard
239960	244880	hier beschreiben will, ist der Umstand, dass Foucaults Stil die Art und Weise der Macht in
244880	250120	der modernen Gesellschaft nachzeichnet. Der Grund, warum Foucault dazu in der Lage ist,
250120	255520	etwas zu rekonstruieren, das noch nicht vollends beendet sein soll, ist der, dass wir es schon
255520	260080	hinter uns haben. Wir können die Art und Weise, wie Macht heutzutage wirklich funktioniert,
260080	265040	nicht verstehen, da diese sich durch Umkehrung, durch Streichung, Simulation und Hyperrealität
265040	271560	vor uns zu verstecken mag. Wie sollen Foucault vergessen, da seine Analyse moderner Macht in
271560	276440	unserer postmodernen Zeit anachronistisch ist. Diskurs über Macht und Sexualität haben sich
276440	283480	radikal verändert. Macht sitzt heute in Codes, Simulationen, Medien und demgleichen und nicht
283480	288520	in tatsächlichen Institutionen und deren Beziehungen. Foucault ist nicht in der Lage dazu,
288520	295080	anhand seinem Machtverständnis zu verstehen, wie Macht simuliert, angetäuscht oder maskiert wird,
295080	300960	oder wie Zeichenbeziehungen häufig reale Beziehungen der Macht ersetzen. Wie Pornografie
300960	307040	auf der einen Seite Sex, wie er wirklich ist, durch ein obszönes Zeichen des Sexes austauscht,
307040	311040	welches das Simulacrum eines natürlichen, wirklichen Sexes als Gegenstück erzeugt,
311040	316680	so wird reale Macht durch Zeichen der Macht ausgetauscht, wie man an Ronald Reagan erkennen
316680	321800	konnte, der eher mit Simulationen und Zeichen der Macht regiert hat, als mit politischem Wissen
321800	327120	und Expertise. Weder es Macht etwas, das so organisiert ist, wie die Theorien über sie
327320	333120	scheinen lassen, noch lässt sie sich unendlich ansammeln. Baudrillard schreibt hier, Zitat,
333120	338560	auf dem Grund jeden Produktionssystems widersetzt sich irgendetwas der Grenzenlosigkeit der
338560	344120	Produktion, sonst hätte sie uns schon längst unter sich begraben. Irgendetwas in der Macht
344120	350200	widersetzt sich und zwar sowohl bei denen, die sie ausüben, wie auch bei denen, die sie ertragen.
350200	356280	Eine solche Unterscheidung wäre sinnlos, nicht wegen der Austauschbarkeit der Rollen,
356280	361760	sondern weil die Macht in ihrer Form umkehrbar ist, weil von beiden Seiten aus etwas ihrer
361760	368840	einseitigen Ausübung widerspricht, der Maßlosigkeit der Produktion. Dieses etwas ist kein Wunsch,
368840	374160	sondern etwas, was bewirkt, dass die Macht genau in dem Maße zerfällt, wie sie sich
374160	382920	unwiderruflich ausweitet. Und das ist heute allerorts der Fall. Zitat Ende. Der Natur der
382920	389200	Macht ist ihre Umkehrbarkeit innewohnt. Alle Unterdrückten können Unterdrückende werden,
389200	394920	womit sich Machtbeziehungen regelmäßig neu organisieren, verändern und umkehren. Aus diesem
