start	end	text
0	4360	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts.
4360	13260	Mein Name ist Corvus, Pronomen CS or Day und ich komme frisch aus einem Anti Ödipus
13260	18000	Lesekreis, den ich in größter Art und Weise leite, auch ein Leiten nicht ursprünglich
18000	21960	der Plan war, den ich hatte, aber so endet es immer bei den Lesekreisen, die ich
21960	30840	starte. Und passend zu dem Thema sprechen wir heute über das Buch von Gilles Deleuze,
30840	38720	Differenz und Wiederholung. Das was wir heute hier besprechen ist auch das Ergebnis eines
38720	43200	Lesekreises, die sind immer für mich ganz angenehm, weil wenn ich die Sachen lese,
43200	51160	bereite ich die meistens nicht ansatzweise didaktisch auf, sondern mache immer nur
51160	56400	grobe Notizen, bei denen ich hoffe, dass sie in Zukunft für mich verständlich sind. Hier
56400	62560	habe ich etwas mehr Notizen gehabt, als wenn ich es für mich alleine lesen würde. Deswegen hoffe
62560	69840	ich, dass es hier ansatzweise verständlich wird. Genau, ich hatte angekündigt heute Deleuze,
69840	77080	also nur Deleuze, Differenz und Wiederholung zu besprechen. Allerdings wäre ich nicht ich,
77080	81400	wenn ich dabei nicht auch auf eine gewisse Art und Weise enttäuschen würde. Ich werde hier
81400	89120	primär über das dritte Kapitel zum gesunden Menschenverstand sprechen und das mit euch
89120	94440	zusammen gründen, warum die Art und Weise, wie die meisten von uns denken oder denken
94440	103600	gelehrt bekommen, eventuell vielleicht, kann sein, fundamental fehlerhaft ist. Wir werden
103600	108280	ein anderes Mal noch über die zentralen Themen Differenz und Wiederholung sprechen, aber nicht
108280	112520	heute. Das ist zum einen noch komplizierter als das, worüber wir gleich sprechen. Deutlich
112520	118760	komplizierter und es ist spät und ich bin müde und ich muss noch viel aufnehmen und morgen muss
118760	126520	wieder arbeiten. Ich komme jetzt von acht Tagen, bei denen ich nur abends hier war quasi. Ich habe
126520	130920	nicht viel Zeit, das muss eingeteilt werden. Aber es ist ein interessantes Thema und es ist ein
130920	137960	Kapitel, das quasi komplett aus dem Rahmen fällt. Und witzigerweise auch mein Lieblingskapitel des
137960	144120	Buchs. Wenn man Differenz und Wiederholung anfängt zu lesen, würde ich sogar dazu raten,
144120	150920	dieses dritte Kapitel zuerst zu lesen, da hier einige der zentralen Konzepte vereinfacht vorgestellt
150920	155560	werden. Man sollte die Konzepte natürlich auf keinen Fall auf dieses Kapitel reduzieren,
155560	166840	aber man kann es dennoch gut als erste Einführung benutzen. Also was geht ab mit dem Denken? Unser
166840	174760	alltägliches Konzept des Denkens wird durch eine Identität von Anerkennung und Repräsentation
174760	180720	definiert und ich empfehle diese Folge vielleicht mehrfach zu hören oder Notizen zu machen,
180720	189240	weil es wird kompliziert und es würde viel Zeit dauern, manche Sachen noch weiter zu entfalten.
189240	196920	Unser alltägliches Konzept des Denkens wird durch Identität von Anerkennung und Repräsentation
196920	202920	definiert. Ich wiederhole das nochmal, damit wir alle auf unserem Stand sind. Was das bedeutet und
202920	209400	warum das so ist, erkläre ich später. Erst einmal sollte darauf hingewiesen sein, dass unsere
209400	215440	Fähigkeit zu denken bereits dadurch stark limitiert wird, dass wir dazu angehalten werden,
215440	224520	in Bildern zu denken. Das Bild als Leitmotiv stellt sich unter den gesunden Menschenverstand. Viele
224520	230760	Menschen und auch leider einige Philosophinnen stellen sich auf die Seite des gesunden Menschenverstandes,
230760	236160	auch wenn es die Idiotie der Verweigerung des Denkens an sich ist, aber das ist nur ein Side-Jab
236160	247680	von mir. Womit es sich mehr zu beschäftigen lohnt, als die Selbstverständlichkeiten oder
247680	254440	Binsenweisheiten, die der gesunde Menschenverstand uns bietet, sind Konzepte. Konzepte versuchen,
254440	260640	die transcendentalen Bedingungen der Genese von Intensitäten zu begreifen. Hier sind schon mal
260640	266640	ein, zwei Begriffe gewesen, die waren schon mal Thema bei dem Video Everybody Wants to be a
266640	271320	Fascist. Wer das noch nicht gesehen hat, dem kann ich das empfehlen, weil es in gewisser Art
271320	279080	Weise auch eine angenehme Einführung in einige Begriffe von Deleuze und Guattaris ist. Ideen
279080	290360	sind nichts, was im Verstand ist, also vom Ort her. Ideen sind Relation zwischen den virtuellen
290360	298440	Menschen. Eine kurze, grobe Begriffe-Erklärung ist die Bedingung für die Entwicklung aktueller
298440	304600	Dinge. Um das kurz verständlich zu machen, ein Beispiel Hans und Peter, nehmen wir jetzt mal an,
304600	312680	dass es beides Menschen sind, sind beide aktuelle Erscheinungen oder Manifestierungen des virtuellen
312680	317920	Konzeptes Menschheit. Aber sie erschöpfen das Konzept der Menschheit nicht, sondern nehmen an
318000	323120	ihm unterschiedliche Teile. Sonst müssen sie exakt identisch sein, aber das sind sie offensichtlich
323120	331800	nicht. Diese virtuellen Ideen und Konzepte sind deshalb Bedingungen des Wandels in unseren
331800	338560	aktuellen Ideen und sollten deshalb nicht mit ihnen verwechselt werden. Die Idee kann nicht
338560	346960	gewusst, sondern nur geahnt und ausgedrückt werden. Die Deleuze Dialektik funktioniert über eine
346960	354680	zerstörerische Kreation, eine Suche nach Ganzheit und einer nach Bedingungen. Keine der Teile sollte
354680	360440	einzeln betrachtet oder für die gesamte Dialektik gehalten werden. Deshalb gibt es für Deleuze zum
360440	367560	Beispiel auch keine negative Kritik, also eine rein verneinende Kritik. Kommen wir zurück zum
367560	375680	eingangs erwähnten Bild als Leitmotiv des Denkens. Deleuze Untersuchung beginnt hier mit Decat. Dieser
375680	383480	unterscheidet zwischen objektiven Voraussetzungen, das sind explizite oder Konzepte, Präpositionen,
383480	388400	die als Voraussetzungen gesetzt werden, und subjektiven Voraussetzungen, das sind implizite
388400	395520	Voraussetzungen oder Gefühle oder Sensationen, also Sinneswahrnehmung. Decat verwirft durch seine
395520	403200	Methodik alle dubiosen objektiven Voraussetzungen, also alle zweifelhaften. In der objektiv klingenden
403200	412120	Aussage, alle wissen das, stecken zwei moralische Gefühle versteckt. Erstens, das Denkende, das
412120	419000	Suchen, was alle wissen, und zweitens, dass das, was gewusst wird, allen zugänglich sein soll.
419000	428080	Diese Gefühle setzen darauf, dass Denkende und ihre Gedanken unabhängig voneinander existieren
428080	433840	und die Wahrheit suchen wollen, also einem guten Willen folgen. Dieser Gedanke setzt sich im
