start	end	text
0	6040	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Quarks Podcast. Ihr könnt
6040	15600	mich Corvus nennen, Pronomen ist yes oder they. Und heute geht es um das Kapitel aus
15600	21360	dem Buch Weniger als Nichts von Slavoj Zizek mit dem Namen Den Schein ins Wanken bringen.
21360	25960	Das ist das Ergebnis einer Wahl, die ich gestellt habe, bei der ich, um ehrlich zu sein, dachte,
25960	30880	das ist ein anderes Thema und zwar die Wunschproduktion, gerade nachdem das Video
30880	36280	über Guattari und auch das Video über Deleuze recht beliebt waren, haushoch gewinnt. Aber,
36280	41680	wie so häufig, sind Wahlen einfach nur eine Enttäuschung und wir müssen jetzt alle damit
41680	48880	leben. Wo wir gerade beim Thema Wahlen sind, wir haben uns jetzt eine Weile nicht mehr gehört,
48880	53640	es sind inzwischen Wahlen passiert und wie ich es bis jetzt jedes Mal gesagt habe,
53640	58160	als ich gefragt wurde, wie meine Ansicht zu den Wahlen ist, ganz kurz, es gab an dem Tag zwei
58160	66520	positive Wahlergebnisse. Eins, das war in Graz oder wie das heißt, der Ort in Österreich, wo die
66520	74240	kommunistische Partei und auch die grüne Partei sozusagen gewonnen haben und das andere war die
74240	78280	Wahl in der Schweiz, die am selben Tag wie die Wahlen hier in Deutschland waren, nur war das eine
78280	88360	andere Wahl und zwar ging es dabei darum, ob die Ehe für alle endlich gelten soll, also eine
88360	98160	Möglichkeit sein soll und alle Kantone haben ja gestimmt, zwei erfreuliche Ergebnisse. Gut,
98160	106680	verlassen wir nun das Wahlthema und richten unseren Blick auf die Zukunft. Auf dieses wunderbare
106680	121480	Kapitel, das wir jetzt bearbeiten werden. Also, den Schein ins Wanken bringen. Das fängt thematisch
121480	127480	damit an, dass wir uns erst einmal an das Symbolische annähern müssen. Wir müssen erst
127480	132480	mal verstehen, was der Schein ist, bevor wir ihn ins Wanken bringen und warum er bedeutet ist und so
132480	136920	weiter und so fort. Also gehen wir, wie man erwarten würde, wenn es um den Schein geht,
136920	149440	zuerst zum Fakt. Wenn man sagt, dass die Wahrheit ein Fakt ist, dann ist das insuffizient. Das
149440	154400	erkennen wir in verschiedenen Situationen, zum Beispiel wenn es um Trauma geht. Die Form und
154400	161840	nicht der Inhalt macht die Wahrhaftigkeit aus. So werden zum Beispiel Inkonsistenzen in einen
161840	168600	Bericht traumatisierter Personen den Bericht eine Wahrhaftigkeit verleihen, die eine einfache,
168600	176600	lückenlose, reine, immergleiche Erzählung der Fakten nicht haben könnte. Das Trauma
176600	187560	ist eine fragmentarische oder hat eine fragmentarische Form, weil das Trauma immer
187560	197200	ein realer Moment ist und das Reale immer mit dem imaginär-symbolischen bricht, es zerbricht und
197200	205960	deswegen ist es nun mal eine Sache des Traumas, dass es eben niemals ein gerades Ding ist. Leider,
205960	211040	auch wenn man das weiß und auch wenn man das auch in der Praxis weiß, ich sage jetzt nicht
211040	216320	nur in der psychoanalytischen Theorie, sondern in der evidenzbasierten Praxis, wenn man zu nennen
216320	225640	möchte, gibt es doch häufig Fälle, in denen zum Beispiel Gerichtsurteile entschieden werden,
225640	232800	auf der Basis dessen, dass eben ein Bericht einer traumatischen Person nicht immer eins zu eins
232800	241280	gleichgezählt wurde. Was eben dieser Idee folgt von die Wahrheit ist ein Fakt, also nur der Inhalt
241600	249320	und die Form kann man ignorieren. Dabei ist dem nicht so. Und weil das so ist, muss man auch
249320	255840	Wittgensteins Sentenz, man solle von dem Schweigen, von dem man nicht sprechen kann, um einen weiteren
255840	263520	Sentenz Wittgensteins erweitern. Was nicht gesagt werden kann, muss gezeigt werden. Das ist ja das,
263520	267120	worum es quasi beim Realen geht, das Real ist etwas, was sich nicht symbolisieren lässt.
267120	278920	Das Medium des Sprechakts droht sein Inhalt zu untergraben. Ein Beispiel wäre die Toleranz. Wer
278920	285080	nach ihr ruft, muss die Störung durch den anderen als Bedingungen voraussetzen, weshalb dem Ruf nach
285080	294560	Toleranz die Intoleranz inhärent ist. Die Fiktion, die Form, der Schein, die Erscheinung, das ist das
294560	302080	Reale. Das, was dahinter liegt, ist nicht die Wirklichkeit, sondern die Flucht vor jener. Die
302080	307880	christliche Strategie, sich den Körper der Frau in ihrem Verfall vorzustellen, um nicht von ihrer
307880	315320	Schönheit verführt zu werden, ist eine Flucht vor der Jouissance des Realen, die einen droht mitzureißen.
315320	324200	Hier könnte man, wenn man wollte, einen Clip aus Melke mittendrin einspielen, denn dort gibt es
324200	333400	recht früh eine Szene, in der der sicherlich ohne weiteren Grund sogenannte Oberstkommandant Spengler
333400	341200	ein Seminar zur sexuellen Aufklärung gibt, in dem er quasi diese augustinische Strategie
341200	349000	verfolgt und den Leuten vor Sex Angst macht, indem er ihnen durch Sex übertragbare Krankheiten zeigt
349000	355720	oder alte Menschen, verstellte Menschen und so weiter und so fort. Das ist typisch augustinische,
355720	360280	du musst dir unter der schönen Haut Fleisch und Knochen vorstellen und du kannst dir vorstellen,
360280	366160	diese Menschen werden alt und in deren Körper ist Urin drin und so weiter und so fort. Das soll
366160	372400	abstrecken, aber das berührt halt nicht das Feld der Schönheit. Das, was uns anzieht, ist die
372400	379880	platonische Idee, das lacanische Reale oder das stylösische Virtuelle des Körpers. So ist auch
379880	385600	das Durchbrechen der vierten Wand im Kino oder das Bühnenspiel, das sich selbst als Spiel auf der
385600	407200	Bühne darstellt. Das sind alles Versuche, vor dem Realen der Illusion zu fliehen. Es ist das
407200	413800	Absolute, welches auftritt, so auch im Fall der Liebe. Sie sorgt für eine Suspension des Ethischen.
413800	423040	Man lebt seinen Alltag weiter, aber mehr in einem mechanischen Als-ob-Zustand. Es gibt keine
423040	429080	Veränderung in der Wertehierarchie, sondern etwas Neues etabliert sich und nimmt seinen eigenen Raum
429080	436480	ein, sobald die Liebe auftritt. Und hier kommen wir, weil wir gerade von der platonischen Idee
436480	444160	gesprochen haben, zu dem Fehler Plathons, beziehungsweise der Platon-Auslegung,
444160	450640	je nachdem. Weil häufig sind die Fehler mehr in der Auslegung Plathons als bei Platon selbst.
450640	456560	Zum Beispiel beim Ideenhimmel, das war kein wortwörtlicher Ort, wie manches komischerweise
456560	464200	auslegen. Egal. Plathons Fehler war die Ontologisierung der Idee. Ideen bilden keine
464200	476400	eigenen Substanzen. Sie sind das virtuelle, welches aus materiellen, raumzeitlichen Prozessen
476400	483160	erzeugt wird. Der dialektische Prozess wird dadurch in Gang gesetzt, dass es bei jeder
483160	491320	Gattung etwas gibt, was sich in keine seiner Arten unterteilen lässt. Der Anteil der Anteilosen,
491320	500080	so nennt zum Beispiel Jacques Rocher das Proletariat, diese positive Negativität ist
500080	507240	der Startpunkt. Deshalb braucht es auch heute eine Wiederholung Plathons. Prädominant in der,
507240	513320	in Anführungszeichen postmoderne, also als kultureller Zustand, ist der demokratische
513320	524720	Materialismus, der alles historisiert. Diesem muss man eine materialistische Interpretation
524720	531280	von Plathons Idee der Wahrheit hinzufügen, um aus ihm einen dialektischen Materialismus zu machen.
531280	540320	Es gibt einen Unterschied zwischen Fiktion und Schein. Die Fiktion, mit Bentham gesprochen,
540320	548960	ist ein symbolisches, das auf das Reale gerichtet ist. Bentham beobachtete, wie das Recht alleine
548960	554880	durch die Fiktion eines Wortes im menschlichen Körper betrifft. Die Fiktion setzt sich dem
554880	563640	Realen der Jouissance entgegen. Auf der anderen Seite steht der Schein. Es ist das So-Tun-Als-Ob
563640	569800	und das Unheimliche. Der Grund, warum eine Vogelscheuche uns zum Beispiel erschrecken kann,
569800	575720	ist, dass sie als Simulacrum des Menschen fungiert und ihre Differenz zu Menschen uns
575720	584920	unheimlich ist. Sie scheint menschlich, ohne Mensch zu sein. Was unterscheidet nun ein So-Tun-Als-Ob von
584920	592160	einem So-Tun-Als-Ob-Man-So-Tut-Als-Ob? Unter dem Deckmantel der Wahrheit-Lügen können wir nur im
592160	598160	symbolischen Raum. Der Schein verschleiert nichts. Er soll nur die Illusion erzeugen,
598160	605360	dass etwas dahinter wäre, wie es beim Fetischismus der Fall ist. Beim Fetischismus,
605360	610400	beziehungsweise beim Fetisch-Objekt, wirkt es so, als ob hinter dem erzeugten Effekt,
610400	618560	mit dem Fetisch die Lust, die er hervorbringt, oder was für ein Effekt auch immer, dass sich
618560	622560	dahinter noch etwas verbirgt. Aber dahinter verbirgt sich nichts mehr. Es gibt nichts,
622560	632280	was hinter diesem Fetisch liegt. Das Objekt selbst ist leer. Aber es gibt nicht nur die
632280	638960	Erscheinungen, sondern auch noch das Reale. Dieses Reale ist jedoch nicht einfach nur das
638960	646040	Ding an sich, sondern die Lücke, welches uns den Zugang zum Ding verwehrt. Es gibt eine Wahrheit,
646360	653160	aber diese Wahrheit ist, dass es keinen nicht verzerrten Blickwinkel auf das Ding geben kann,
653160	665120	dass es keinen neutralen Standpunkt gibt. Selbst in dem Wissenschaften nicht. Die
665120	672680	materialistische Antwort auf die minimalsten Quanten des Seins ist das Wenige als Nichts,
672680	681000	welches bereits Demokrit in seinem Wortspiel Den ausdrückte. Meden ist im Altgriechischen
681000	688680	dasjenige, welches grundsätzlich nicht sein kann, ein Nicht-Eins oder Nicht-Seindes. Am
688680	694720	minimalsten Punkt des Seins kollabieren Zeichen und Genuss und ergeben einen irreduziblen Rest.
694720	702280	Dieser lässt sich analog zum Objet PTA verstehen, welcher der Rest ist, der aus dem Zusammenbruch
702280	709200	der Mängel des Selbst und des Anderen entsteht. Da sowohl das Den, also der letzte Teil des Meden,
709200	719440	wie auch verlorene Objekte aus einer Subtraktion der Negation entstehen, lassen sie sich nicht durch
719440	726240	die klassische hegelianische Dialektik aufheben. Die Grundlage des Materialismus ist nicht der
726240	731760	Parmenides, über den haben wir schon mal in der Folge zum Identitätsgesetz gesprochen, falls der
731760	737880	Name einem nichts sagt, der durch den Mangel an Leere im Etwas die Bewegung gefährdet sieht,
737880	744520	sondern der Demokrit, der von dem Punkt der Möglichkeit der Bewegung ausgeht und deshalb
744520	753880	die Leere, in die sich etwas hineinbewegen kann, als Prä-Existent setzt. Die Leere ist realer als
753880	761080	dasjenige, was sie füllt. Darüber kann nur das Wenige als Nichts, das Den, das verlorene Objekt
761080	770200	stehen, welches die Positivität des Nichts verkörpert. Eines der drei Gesetze des Denkens
770200	777800	seit der Antike ist das Gesetz des ausgeschlossenen Dritten. Gegen dieses argumentierte Parmenides
777800	784440	anhand der Zeit. Auf die Frage hin, wie das eine sich verändern können soll, wird die Zeit als
784440	791120	eigene Dimension, welche Stillstand und Bewegung ermöglichen soll, evoziert. Parmenides fragt sich
791120	796720	nun, wo denn hier die Veränderung passieren soll? Wo ist dieser Augenblick, den wir Veränderung
796720	803640	nennen? Wenn etwas ruht, dann hat es sich bereits verändert und wenn es in Bewegung ist, dann hat
803640	811400	es sich noch nicht verändert und umgekehrt eben auch. Dieser Augenblick ist das Reale der reinen
811400	819320	Virtualität, des Unkörperlichen. Er gilt genauso für den Übergang von Sein und Nichtsein. Es gibt
819320	826200	somit das Eine nur als Multiplizität der Multiplizitäten, Vielheiten unter Vielheiten.
826200	834440	Was sich hinter diesen Erscheinungen verbirgt, ist ein Nichts, eine Leere. Diese ist jedoch nicht
834440	840720	die Null des Messens, sondern die ironische Null des verlorenen Objekts. Wenn diese Null als
840720	847400	neutrale Positivität den Raum betritt, entsubjektiviert und transsubstanziert sie
847400	854040	das Objekt. Sie macht alle Erscheinungen zunichte und hinterlässt nur noch den Überschuss,
854320	864440	das Objet PTA. Diese Rolle nimmt unter anderem die analysierende Person ein. Durch ihre alleinige
864440	872280	Anwesenheit und ihren aktiven Entzug in der neutralen Position, wird die Rede der Analyseanten,
872280	880040	so geschickt sie auch formuliert sein mag, in einen Raum der freien Assoziation absorbiert. Die
880040	886720	Null des verlorenen Objekts wird mit den Erscheinungen multipliziert und über bleibt
886720	896520	nur das verlorene Objekt. Das ist quasi die Begründung dafür, warum die Psychoanalyse
896520	909760	im psychoanalytischen Setting funktionieren soll. Weitere positivierte
909760	916280	Negative, die sich unterscheiden sind nichts, zum Beispiel ist nichts räumlich und Leere,
916280	922600	Leere ist grenzenlos. Dies unterscheidet dann zum Beispiel Hysterie, Hysterie ist die
922600	932440	der lokalisierbare Mangel und Paranoia, Paranoia ist der depersonalisierte allgemeine Mangel. Die
932440	939320	Behandlung des psychotischen Subjekts muss mit der Hysterisierung seines Mangels beginnen. Die
939320	945640	umgekehrte Entwicklung von der Hysterie zur Psychose besteht in einem Verlust des Namen des
945640	951720	Vaters, also ein konkreter Mangel wird zu einem allgemeinen Mangel. Dieser erfüllt die Funktion
951720	958760	als Signifikant den Signifikationsrahmen zu bilden, bedeutet ohne diesen Signifikanten
958760	968520	bricht das gesamte Feld zusammen. Der Definitionsprozess die Hyresis verläuft,
968520	978160	indem die Realität in immer kleiner werdende binäre Teile, Binaritäten geteilt wird. Das heißt,
978160	981680	wenn wir seien des und nicht seien des, dann haben wir das Lebende und das Nichtlebende und so
981680	988040	weiter und so fort. Enthält die Teilung einen Antagonismus, wie zum Beispiel Gut und Böse,
988040	993880	dann scheint es zwei Optionen zu geben, die Wahl der guten Seite oder die Suche nach einer
993880	1002000	goldenen Mitte. Hegel und Lacan gehen jedoch einen dritten Weg, die Wahl des Schlechten. Man
1002000	1007840	steht nie vor der Wahl zwischen Terrorakt und Vernunftsstaat. Am Vorabend der Revolution
1008240	1016040	steht man zwischen der Wahl des Bestehenden und dem Terror und nur jener Terror kann die
1016040	1022680	Möglichkeit für den Vernunftsstaat öffnen, aber er ist nicht garantiert und somit nicht Teil der
1022680	1029760	Wahl. Was den Ausschlag gibt, ist die Erkenntnis, dass das Bestehende selbst Ausdruck einer Gewalt
1029760	1039520	ist und auch nur durch diese überhaupt erst entstehen konnte. Das ist nämlich dasselbe,
1039520	1049080	wie wir heute quasi auch erleben, dass heutzutage der Revolutionsgedanke per se von allen als
1049080	1054320	unhaltbar verworfen wird oder von den Allermeisten. Gleichzeitig sehen sie jedoch die
1054320	1060120	französische Revolution oder die amerikanische Revolution oder die haitianische Revolution als
1060120	1067400	etwas Gutes an, weil sie sehen wohin es geführt hat. Das haben aber nicht die Leute gesehen,
1067400	1074200	die Teil dieser Revolution waren. Für sie war es ein reiner Terrorakt. Es geht nur um die Öffnung
1074200	1081320	von Möglichkeiten zu räumen. Ich sage nicht, dass das jetzt irgendwas mit dem Klima zu tun haben
1081320	1086520	könnte, warum das heute wieder relevant wäre oder so. Da will ich natürlich niemanden zu
1086520	1095440	irgendwas anstacheln. An Stalins Verwendung des Begriffs des Subkulaks erkennt man schnell,
1095440	1103240	warum die klassische Die Hiresis zu scheitern vorurteilt ist. Ihr fehlt der Blick auf die
1103240	1110560	ideologische Naht, welche den Antagonismus erst ermöglicht und zusammenhält. Während
1110560	1118440	ein Kulak eine Bäuerin war, welche andere für sich arbeiten lassen konnte, also eine
1118440	1124480	kapitalistische Bäuerin, ging es bei dem Subkulak nicht länger um eine materielle,
1124480	1132680	sondern eine gesinnungsbezogene Differenz. Alle die schienen, als würden sie eventuell
1132680	1138880	eine antistalinistische Politik präferieren, mussten zu Subkulaken erklärt und bestraft werden.
1138880	1145200	Die Die Hiresis scheitert dann, wenn es keine Unterteilung in zwei unterschiedliche Arten
1145200	1151240	mehr gibt, sondern nur noch ein Ding und seinen exkrementellen Rest. Es gibt entweder die Leute,
