start	end	text
0	6600	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts.
6600	14400	Mein Name ist Corvus und heute geht es um das Thema Schulden.
14400	22000	Ich werde versuchen ein paar Dinge anzusprechen, ohne mich jetzt auf eine bestimmte Person oder
22000	26520	einen bestimmten Text zu beziehen, sondern einfach mal generell ein bisschen in ein paar
26520	29960	verschiedene Richtungen gucken, was das Thema Schulden angeht.
29960	40680	Das Ganze wurde angestoßen durch einen Artikel von John Greenaway, vielleicht kennt man ihn
40680	47760	auch eher als den Litcrit Guy, der hat einen Artikel geschrieben, The Horror of Capitalism,
47760	57120	Squid Game and the Gothic Trap of Death am 27. Oktober 2021, falls man das hier irgendwann in
57120	63920	anderen Jahren hören sollte. Und ich werde ihn in der Beschreibung verlinken, für alle die
63920	67680	interessiert sind. Ich habe aber kein großes Interesse daran, über Squid Game zu sprechen,
67680	74000	auch wenn es sich natürlich anbietet, von Squid Game aus auf das Thema Death einzugehen.
74000	87080	Für mich ist Squid Game einfach ein übertriebenes, aber nicht ganz so pervers ausgeklügeltes
87080	96880	Kaiji, auf Englisch die Ultimate Survivor. Wenn einem Squid Game gefallen hat und man
96880	101720	Animationen, also im Sinne von Anime, gezeichnete Animationen mag, ist Kaiji vielleicht etwas,
101720	112680	was man schauen könnte, sollte, wie auch immer. Da sind Schulden auch ein zentrales Thema und das
112680	119360	Ganze möchte ich noch in einen anderen Kontext setzen, als ich schon den Titel des Artikels
119360	130160	gelesen habe, musste ich an ein Interview denken, inwiefern das gleich Sinn macht und zusammenhängt,
130160	137120	da kommen wir gleich drauf, von Paul Virilio, dieses Interviewbuch, das heißt der reine Krieg,
137120	146280	und an einer Stelle wird Virilio gefragt, ich weiß gar nicht, ob er direkt gefragt wurde,
146280	156880	aber es ging an einem bestimmten Punkt darum, was eigentlich der Grund dafür war, dass Staaten
156880	163960	entstanden sind und persistierten, also bestehen blieben, und da lag das eigentlich eine sehr
163960	169120	interessante Frage, und wir wissen ja, in der Anthropologie wissen wir heute Bescheid,
169120	176600	dass die meisten Menschengruppierungen eigentlich keine Fans vom Staat waren, eigentlich war es
176600	183440	sogar eher so, dass man aktiv versucht hat, wenn Staaten aufgebaut wurden dagegen vorzugehen,
183440	188080	deswegen haben sich die ersten Versuche, grundsätzlich so etwas zu bauen, nicht wirklich gut gehalten,
188080	194960	bis sich etwas Zentrales verändert hat, jetzt die Frage, was hat sich verändert, und Virilio spricht
194960	203520	davon drei Dinge, die quasi im Allgemeinen so als Hypothesen über die Staatsbildung erzählt werden,
203520	209200	die eine, die kennt man natürlich, das ist quasi heutzutage würde ich sagen, die bekannteste,
209200	215040	dass man angefangen hat einfach sesshaft zu werden, weil man Sachen angepflanzt hat,
215040	223400	was dann wiederum natürlich eher suboptimal war für den Menschen, weil der menschliche Körper
223400	227840	nicht unbedingt dafür ausgerichtet ist, acht bis zwölf Stunden am Tag in einem gebückten Zustand
227840	238680	sich zu befinden, auch wenn man meint, das in einem übertragenen Sinne heutzutage durchaus
238680	247080	zu tun, leider nicht, um dabei Spaß zu empfinden, hat man damals ja auch nicht, es ging mir ums
247080	251640	Überleben und tatsächlich hat es mir dafür gesorgt, dass Menschen mehr gestorben sind,
251640	259000	das ist die erste Hypothese, also die Menschen sind sesshaft geworden wegen den Pflanzen und
259000	263360	wir haben dann Tiere gezüchtet und so weiter und so fort und dann haben wir quasi Territorien dadurch
