start	end	text
0	5000	Hallo und herzlich willkommen zu einer neuen Folge des Corvus Corax Podcasts.
5000	14000	Mein Name ist Corvus und heute sprechen wir über ein Thema, das man wohl kaum umgehen kann,
14000	22000	wenn man nur ein wenig Zeit im Internet verbringt oder andere Medien ausgesetzt wird,
22000	24000	wo Sarah Wagen echt auftritt.
24000	32000	Es geht um Identitätspolitik und zwar besonders um die Frage,
32000	38000	wie das Ökonomische gegen das Soziokulturelle aufgewiegelt wird
38000	45000	und inwiefern genau das etwas ist, was eigentlich zu vermeiden ist.
48000	51000	Um dieses Gespräch zu führen, weil ich denke immer,
51000	54000	dass ich mehr Folgen gemacht habe, als ich das gemacht habe,
54000	58000	müssen wir vielleicht erstmal ein paar Grundlagen besprechen.
58000	65000	Es gab ja schon mal eine Folge zur Identität und Identitätspolitik im Rahmen des Identitätsgesetzes,
65000	72000	aber ich denke, es schadet nicht, wenn wir jetzt nochmal ein bisschen gründlicher
72000	78000	über die Anfänge der Identitätspolitik sprechen und von da dann übergehen
78000	88000	dazu, wie Identitätspolitik geführt werden kann bzw. Anti-Identitätspolitik,
88000	93000	denn meiner Ansicht nach wäre das der passendere Begriff gewesen, aber gut.
96000	101000	Also Identitätspolitik an sich hat es schon sehr lange gegeben.
101000	105000	Ich meine, konservative Politik war schon immer Identitätspolitik,
105000	116000	nur hat diese Partikulare Identitäten bevorzugt und eine Vormachtstellung anderen gegenüber postuliert.
119000	129000	Der Begriff an sich tauchte zum ersten Mal programmatisch bei dem Combahee River Collective 1977 auf.
130000	136000	Das Kollektiv, bestehend aus schwarzen lesbischen Frauen, sah sich in dem Kampf
136000	143000	für den weiße heterosexuellen Industriearbeiter nicht repräsentiert.
143000	149000	Sie erlebten andere und weitere Formen der Ausbeutung und Diskriminierung,
149000	156000	die aufgrund eines verengten Blickwinkels auf unterschiedliche Lebensrealitäten im Kampf verdrängt wurden.
156000	163000	Das ist der Grund, warum einige heute z.B. auch sagen, dass gerade für linke Intersektionalität wichtig ist,
163000	170000	weil es eben verschiedene Formen von Unterdrückung, Diskriminierung usw. usf. gibt,
170000	178000	die Menschen aufgrund der ihnen zugeschriebenen oder zugewiesenen Identität erfahren.
179000	189000	Was man sich dabei bewusst machen sollte, ist, dass es nicht um individuelle Identitäten geht, sondern um das Kollektive.
189000	197000	Bei der Identität handelt es sich um eine Ansammlung von sozialpolitischen Markierungen,
197000	202000	anhand derer eine Gesellschaft organisiert wird.
202000	211000	Der Rassismus hat z.B. historisch betrachtet erst das Konzept der Rasse in die Welt gebracht, um die Gesellschaft zu ordnen,
211000	218000	erst durch Stände und schließlich durch biologisierte, akzidentielle Differenzen.
218000	226000	Ohne, dass das Individuum also eine Wahl hat, wird es als ein Repräsentant
226000	233000	in eines der ihr zugewiesenen Identität entsprechenden Kollektivs angesprochen und entsprechend behandelt.
233000	240000	Man kennt es im Alltag, man erlebt, dass jemand, der in Anführungszeichen so aussieht,
240000	248000	als wäre aus der Türkei irgendetwas tut, mit dem man nicht übereinstimmt, und plötzlich sind es dann die Türken.
248000	253000	Ich denke, das ist etwas, was alle aus ihrer Schulzeit zumindest kennen.
256000	262000	Die einzelnen Jüdinnen, die vergast wurden, um jetzt auf ein historisches Beispiel einzugehen,
262000	271000	die einzelnen in Anführungszeichen Hexen, die verbrannt wurden, die einzelnen Schwarzen, die versklavt wurden,
271000	275000	die einzelnen Queers, die zwangskastriert oder hingerichtet wurden,
275000	283000	erfuhren dieses Leid nicht aufgrund individuellen Versagens oder schlechter persönlicher Entscheidungen.
283000	291000	Sie alle mussten leiden, weil sie als Verkörperung einer kollektiven Identität gesehen angesprochen und behandelt wurden.
291000	297000	Dasselbe gilt für die heutige Erfahrung von Diskriminierung.
297000	306000	Und man muss jetzt natürlich dazu sagen, die Formen der Diskriminierung, die man heute erfährt,
306000	312000	sind natürlich nicht unbedingt dieselben wie in den Situationen, die ich gerade besprochen habe.
312000	318000	Wobei natürlich auch Sachen wie zum Beispiel Zwangskastrierungen auch hier in Deutschland immer noch existieren.
318000	326000	Frag mal Intersex-Personen, zum Beispiel natürlich auch Trans-Personen,
326000	340000	wenn sie sich in die politisch-medizinische Ordnung einordnen lassen wollen bzw. müssen, um ihre Dysphorie zum Beispiel anzugehen.
342000	354000	Aber das ist ein anderes Thema bzw. das würde jetzt etwas mich vom Kurs erbringen, wenn ich jetzt darüber ein Rant anfange.
354000	364000	Was hier wichtig ist, ist, dass wir eine Veränderung in der Art und Weise haben momentan gesellschaftlich, wie wir Identität verstehen.
365000	373000	Und das ist auch der Grund, warum zum Beispiel ein Slavoj Zizek Probleme mit Identitätspolitik hat,
373000	378000	aber nichtsdestotrotz hinter Trans-Menschen und so weiter und so fort.
378000	383000	Also er steht hinter den politischen Kämpfen, lehnt aber die Identitätspolitik ab.
383000	391000	Der Grund dafür ist, dass eben im klassischen Modell Identität etwas war, was von außen niemandem aufgezwungen wurde.
391000	398000	Du hattest keine wirkliche Wahl und wenn du von der gegebenen Identität abgewichen bist, wurdest du entsprechend bestraft.
398000	400000	Das ist heute immer noch der Fall.
400000	408000	Aber, und das ist der Unterschied, heute versucht man, sich quasi Kontrolle über die Identität zurückzugewinnen.
408000	411000	Das ist natürlich auch mit Risikos verbunden.
411000	416000	Zum Beispiel wissen wir, dass heutzutage, wie Macht häufig funktioniert,
416000	425000	so ist, dass man nicht die Körper dressiert, wie es in der Disziplinargesellschaft der Fall war,
425000	430000	sondern das ist etwas, was Byung-Chul Han Psychopolitik nennt,
430000	435000	wobei man das selber auch schon in den 70ern, 80ern bei Boltril ja gelesen hat.
435000	444000	Das gibt es auch bei Deleuze in der Kontrollgesellschaft, in der Postkriptung.
444000	456000	Die Macht tut so, als würde das, wo sie uns unterdrückt, unsere Freiheit sein.
456000	459000	Wir werden sozusagen mit Freiheit erpresst.
460000	465000	Klassisches Beispiel, ich nehme ein Beispiel, wo wir uns nicht angesprochen fühlen,
465000	470000	weil wir hier, wir haben etwas Wassermasse dazwischen in Amerika.
470000	478000	Da wirkt man damit, dass man die Freiheit hätte, die Versicherung zu nehmen für die eigene Gesundheit, die man möchte.
478000	483000	Man hat noch nicht mal einen Zwang, irgendetwas für seine Gesundheit zu tun, auch nicht zur Sicherheit.
483000	486000	Das ist alles egal, du hast die Freiheit.
487000	490000	Das Ding ist nur, dass viele diese Freiheit gar nicht wollen.
490000	496000	Und der Grund dafür, dass sie diese Freiheit nicht wollen, ist nicht einfach, dass sie gegen Freiheit an sich sind,
496000	503000	sondern, dass eben diese medizinische Versorgung etwas ist, was sehr teuer ist, wirklich sehr teuer,
503000	510000	und es nicht so teuer sein müsste, und einem hier die freie Wahl zu lassen,
510000	519000	bzw. dass der Staat sich komplett aus der medizinischen Grundlage des menschlichen Lebens heraushält und nicht unterstützt,
519000	524000	dazu führt, dass viele Menschen, die es sich nicht leisten können, gar keinen haben,
524000	530000	und wenn ihnen mal was passiert, was sie nicht verstecken können bzw. mit dem sie nicht weiterleben können,
530000	535000	selbst wenn sie das dann überleben, das rechtliche Leben verschuldet sind.
535000	545000	Das ist doch etwas, was aktiv gegen die Freiheit der Menschen wirkt oder nicht.
546000	549000	Und das ist nur ein Beispiel.
549000	556000	Diese Situation kennen wir an vielen Stellen der heutigen Gesellschaft.
558000	563000	Und ich denke, deswegen ist es ganz wichtig, das zu betonen, dass es eben wichtig ist, dass man,
563000	570000	wenn man selbst die Kontrolle über die Identität gewinnen möchte, wie man es heute versucht,
571000	577000	dass man darauf achtet, dass man quasi nicht Opfer einer neuen Psychopolitik wird.
577000	580000	Das ist wichtig.
582000	592000	Also, unsere heutigen Erfahrungen von Diskriminierung sind genauso wie damals basierend auf einer Ansprechweise,
592000	596000	die die Kollektivität hinter der Identität zieht.
599000	605000	Wenn die Bestrafung kollektiv ist, warum sollte man sich da nicht auch kollektiv wehren?
605000	609000	Warum sollte man keine kollektive Solidarität errichten?
609000	614000	Dies war der Ausgangspunkt des Combahee River Collectives.
615000	620000	Die Identitätspolitik kann von diesem Punkt aus in zwei Richtungen verlaufen.
621000	623000	Affirmation oder Ablehnung.
624000	631000	Die Bemühungen der Affirmation sind darauf ausgerichtet, dass Bilder der Identität verändert werden.
632000	639000	Frauen sind nicht länger das schwache Geschlecht, sondern Girlbosse aus dem aus der Zeit der Hexenverfolgung stammenden Schimpfwort Schwuchtel,
640000	645000	das war das Brennholz, wird Gay Pride und so weiter und so fort.
645000	651000	Die Affirmation hat den Vorteil, dass es für jene, denen die Identität zugewiesen wird,
651000	654000	und jene, die sich mit diesen Markierungen identifizieren,
654000	659000	gibt ja auch Leute, die sich mit den Markierungen identifizieren möchten,
659000	662000	leichter wird zu überleben.
662000	665000	Es ist nicht nur einfach, das leichtere zu leben, sondern vor allem zu überleben.
666000	674000	Denn, das wollen einige häufig nicht wahrhaben, in so ziemlich allen Ländern der Welt, auch in Deutschland,
674000	678000	werden genügend Menschen aufgrund ihrer Identität jährlich ermordet,
679000	684000	werden anderweitig sanktioniert, sowohl von der Gesellschaft, wie auch von der Polizei,
685000	688000	also hier Polizei sowohl im Sinne der Leute mit den Knüppeln als auch dem Staatswesen.
689000	691000	Und das darf nicht vergessen werden.
692000	697000	Steigende Akzeptanz führt zu geringer individueller Diskriminierung.
698000	702000	Das ist an sich ja etwas, was für Affirmation spricht.
703000	708000	Jedoch sind systematische Veränderungen über reine Affirmation schwer zu gewinnen.
709000	714000	Des Weiteren bringt die Affirmation das Problem der Essenzialisierung mit sich.
715000	721000	Die Gefahr der Essenzialisierung besteht darin, dass bestimmte charakterliche oder körperliche Akzidenzen
721000	730000	als Essenz der Identität gesetzt und somit künstlich Wesensunterschiede und normative Hierarchien erzeugt werden,
730000	734000	die dazu dienen, andere ohne realen Grund abzuwerten.
735000	739000	Sich der unterschiedlichen Intersektion verschiedener Unterdrückungsmechanismen bewusst seint,
740000	747000	setzte das Combahee River Collective auf die Gemeinsamkeiten der verschiedenen Identitäten in ihrer Unterdrückung.
748000	755000	Es wird derweil behauptet, dass der Kampf für ethnische, geschlechtliche, sexuelle und so weiter Minderheiten
756000	760000	im Widerspruch zu einem Kampf gegen die kapitalistische Ausbeutung stehen würde.
761000	768000	Und das ist unter anderem ein Symptom dessen, wenn man rein auf Affirmation setzt
769000	777000	und diese Affirmation natürlich sehr leicht durch den Kapitalismus absorbiert werden kann.
778000	783000	So wird beispielsweise Hillary Clintons Niederlage gegen Trump damit begründet,
783000	788000	dass sie mit Frauen und homosexuellen Rechten die Identitätspolitik bedienen wollte.
789000	793000	Die Kritik wird von Rechten, Liberalen wie auch Linken geteilt.
794000	799000	Sie ist jedoch vollkommen deplatziert und erlaubt es dem rechten Framing des Diskurses freien Lauf zu lassen.
800000	804000	In Wahrheit wüssten selbst halbwegs intelligente Maoistinnen,
805000	809000	dass gelegentlich ein Nebenwiderspruch den Platz des Hauptwiderspruchs einnehmen muss,
809000	814000	wenn die Spannungen jener den Kampf gegen den Primären verhindern.
815000	821000	Wenn beispielsweise alle BIPOCs und Transpersonen getötet oder ins Fängnis gesteckt werden,
822000	828000	wenn durch konservative Propaganda und liberale Toleranz diese Kämpfe gegen Minderheiten organisiert und gestattet werden,
829000	835000	dann stehen diese offensichtlicherweise dem Kampf aller gegen den Hauptwiderspruch im Weg.
835000	843000	Ich persönlich, und jetzt weiche ich ein bisschen vom Hauptthema ab, das Thema Hauptwiderspruch.
844000	849000	Hauptwiderspruch taucht häufiger auf als man es denken sollte, in linken Kreisen leider.
850000	853000	Und ich habe da so meine Probleme, weil es halt an sich etwas ist,
854000	858000	was immanente Widersprüche externalisiert.
859000	863000	So, und das ist nämlich das Problem, das haben sowohl die Maoistinnen, das hatte die RAF,
863000	873000	viele Gruppierungen, es geht nicht darum einen externen Feind zu konstruieren und zu attackieren,
874000	884000	sondern es geht darum einen immanenten Widerspruch zu überwinden im Marxismus.
