start	end	text
0	5200	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts. Mein Name ist Corvus,
5200	13520	Bruno Musias oder Dey und heute geht es um ein Buch. Es ist nicht unbedingt das Hauptwerk,
13520	20760	würde ich jetzt mal sagen, von dieser Gruppe von Autoren, von Ticu, aber ich denke gerade im
20760	25840	aktuellen Diskurs, sagen wir jetzt meistens, ist es sicherlich interessant, denn das Buch heißt
25840	34960	Kybernetik und Revolte. Und gerade da sich jetzt wieder auch viel in bestimmten Teilen der politischen
34960	40920	Linken über das Thema Planwirtschaft und damit natürlich auch zwangsweise über Kybernetik
40920	47280	unterhalten wird, dachte ich eine kritische Position von einer Gruppe, die eigentlich im
47280	55040	deutschen oder deutschsprachigen Diskurs momentan eher selten bis gar nicht angesprochen wird.
55040	58240	Wäre vielleicht ganz interessant, die mal ein bisschen mit einzubeziehen. Ursprünglich
58240	63520	sollte es heute eine Einführung in das erste Kapitel von Antiödipus geben, aber dafür konnte
63520	69400	ich leider wenig Interesse generieren, deswegen gibt es jetzt das hier als Alternative. Falls
69400	73920	ihr Antiödipus haben wollt, könnt ihr mir das natürlich gerne schreiben. Ich werde mich dann
73920	81840	rasch daransetzen, denn ein Großteil davon ist schon vorbereitet. Nun gut, steigen wir direkt mal
81840	92040	in Kybernetik und Revolte ein. Und zwar starten wir mit dem Postulat, dass diejenigen, die in
92040	99600	unserer Zeit die Kontrolle haben, die quasi unsere Zeit kontrollieren, keine einheitliche Gruppe sind.
99600	106640	Und das ist schon mal ein wichtiger Punkt, denn häufig hat man das Problem, gerade ich sage jetzt
106640	112880	mal auch in linken Kreisen, die sowohl Theorie ferner wie auch Theorie nahe sind, dass man ein
112880	117200	gewisses Bild von einer einheitlichen, feinen Gruppe versucht zu konstruieren. Das hatte man
117200	122160	zum Beispiel mit der RAF, das hatte man mit dem Maoistinnen und so weiter. Da wird immer eine
122160	128240	externalisierte Opposition konstruiert. Und das ist ein Problem, auf das wir zu sprechen kommen.
128240	135560	Diese Personen, nennen wir sie KybernetikerInnen, sind Personen, die durch ein und dieselbe Fabel
135560	142640	angetrieben werden. Es handelt sich um eine disparate Konstellation, geblendeter. Es gibt zwar
142640	148280	dieses, ich sage jetzt mal, postmoderne Motiv, dass die großen Erzählungen tot sind und so weiter und
148280	155880	so fort, aber es gibt immer noch eine Meisterfiktion, die da drüber steht, die dahinter steht. Die ganzen
155880	161560	KritikerInnen unserer Zeit, die einzelne Phänomene kritisch hervorheben und als Repräsentation des
161560	167760	Fehlers des Systems unterstreichen, machen den Fehler, dass sie diese ganzen Einzelfenomene nicht
167760	174360	unter einem Namen versammeln. Mit den Einzelfenomenen sind zum Beispiel Sachen gemeint wie der kognitive
174360	183480	Kapitalismus, der von der post-operaistischen Theorie oder auch zum Beispiel von Franco Bifo
183480	190200	Berardi kritisiert werden, die polizeiliche Ordnung, die Jacques Rocher ausgearbeitet hat,
190200	198560	Biopolitik und Neoliberalismus wie Foucault, Bembe und so weiter und so fort ausgearbeitet haben. Nein,
198560	205120	das alles, diese einzelnen Repräsentationen, lassen sich unter dem Begriff der Kybernetik versammeln.
205120	211800	Die Kybernetik versammelt all jene Erscheinungen und macht daraus eine Herrschaftstechnologie.
211800	218520	Zitat, das heißt, dass die Kybernetik nicht, wie man sie ausschließlich verstehen wollte,
218520	224320	die abgetrennte Sphäre der Informationsproduktion und der Kommunikation ist, also ein virtueller
224320	230320	Bereich, der die reale Welt überlagert. Vielmehr ist sie eine autonome Welt von Dispositiven,
230320	236920	die mit dem kapitalistischen Projekt, insofern es ein politisches Projekt ist, eine Einheit bilden,
236920	242760	eine gigantische abstrakte Maschine, die aus binären Maschinen besteht, welche vom Empire,
242760	248760	der neuen Form der politischen Souveränität, betrieben werden. Man muss sie eigentlich als
248760	253280	abstrakte Maschine bezeichnen, die zur Kriegsmaschine geworden ist. Zitat Ende.
253280	259400	Deleuze und Guattari erkennen, dass die Kriegsmaschine sich nach dem Zweiten Weltkrieg
259400	266720	gewandelt hat. Nun ist die Politik die Fortsetzung des Krieges geworden. Die Atomwaffen sind zu
266720	271880	mächtig, um den Zweck einer Kriegswaffe zu erfüllen. Demnach ist der Frieden, der durch die
271880	280000	Atomwaffen in die Welt gekommen ist, die Reterritorialisierung des Krieges in der Politik.
280000	287680	Die liberale Hypothese hat die Ende gefunden. Nun haben wir die kybernetische Hypothese. Das
287680	295160	gibt übrigens im Buch im Englischen den Titel kybernetische Hypothese. Diese zufolge ist jedes
295160	301080	Verhalten programmierbar und dient dem Erhalt und der Reproduktion des Systems, welches das
301080	308800	Verhalten programmiert hat. Hier könnte man zum Beispiel die Kritik am Phallozentrismus beziehungsweise
308800	315680	am Ödipus, je nachdem ob man von Derrida oder von Deleuze und Guattari ausschaut, anschließen.
315680	323160	Demnach wird sie vorangetrieben von einem aktiven Wunsch nach Totalität, also dem Wunsch,
323160	329600	alles einzuschließen in die eigene Logik und entsprechend zu kontrollieren. Sie nimmt deshalb
329840	337400	dieselbe Form an wie andere Formen des ganzheitlichen Denkens. Die kybernetik ist das Paradigma des
337400	346800	Steuerns. Sie integriert das polizeiliche Denken in eine Individualisierung als Normalisierung und
346800	353480	Totalisierung, als Regulierung wie im Falle der Biopolitik. Zitat, die kybernetik ist der
353480	362040	Krieg, der gegen alles geführt wird, was lebt und eine Dauer hat. Zitat Ende. Wenn jemand versucht
362040	366880	den emanzipatorischen Charakter des Internets zu betonen, was ja gerade zu am Beginn des
366880	371120	Internets und in den ersten Jahrzehnten viel gemacht wurde und jetzt so langsam wieder ein
371120	377560	bisschen mehr wiederkommt, lohnt es sich auf den Ursprung des Internets zu blicken. Das Internet
377560	383760	war zu Beginn als Dispositiv des amerikanischen Militärs gedacht, um im Ernstfall besser
383760	390000	kommunizieren zu können. Zitat, das Internet ist somit das Resultat einer nomadischen Transformation
390000	396200	der militärischen Strategie. Zitat Ende. Zwischen den beiden Weltkriegen gab es einen Umbruch in
396200	405320	den Wissenschaften. Dieser Umbruch hat das vorher weitverbreitete deterministische Universum
405320	413080	erschüttert und aus dem Konzept der Sicherheit Wahrscheinlichkeit gemacht. Etwas worunter wir
413080	417840	heute noch leiden, wenn man zum Beispiel die Diskussion um das Thema Impfen alleine bedenkt,
417840	423480	wenn Leute sich deshalb nicht impfen, weil eine Impfung keine hundertprozentige Sicherheit bietet,
423480	431880	sondern nur eine Wahrscheinlichkeit. Dass jedoch Wahrscheinlichkeiten die grundlegende Situation
432640	440880	ist, also wie immer Kontingenz ausgesetzt sind, ist etwas, wo viele Menschen noch Probleme haben mit,
440880	449640	das in ihr Leben einzubauen. Daraus resultierte, also aus dieser Erschütterung der Sicherheit,
