start	end	text
0	6600	Es war ein heißer Sommertag, als der Rabe auf dem Rücken einer Parkbank neben einem jungen Mann landete.
6600	10360	Dieser warf sich soeben kleine Zuckerkügelchen ein.
10360	13680	Der Rabe krähte, was nehmen Sie da zu sich?
13680	20840	Der junge Mann antwortete, ein paar homeopathische Mittel zum Schutz vor dem kommenden Sonnenbrand.
20840	29000	Vor Sonnenbrand krähte der Rabe zurück, so ein Spürküss, mein guter Mann, Sie sind einem Pseudowissenschaftler auf den Leim gegangen.
29120	31000	Wieso, fragt der junge Mann.
31000	37120	Der Rabe antwortet, wissen Sie denn nicht, dass homeopathische Mittel nicht über den Placeboeffekt hinauswirken?
37120	45120	Der junge Mann setzt ein, verächtliches Grinsen auf und antwortet, also sagen Sie, die Mittel haben eine Wirkung, ja?
45120	46600	Ich sehe da kein Problem.
46600	53160	Hören Sie, mein Hauschamane sagt immer, dass Leute wie Sie mit ihrer Theorie beladenen Verarbeitung empirischer Daten schon ihr blaues Wunder erfahren werden,
53160	59160	sobald der kommende Paradigma wechselt, die Kraftquanteninformationsübertragung von Heimittel durch den Potenzierungsprozess als wahr erklären wird.
61160	66160	Ach ja, rechts der Rabe verbittert und flog davon.
83160	104160	Ja, hallo und herzlich willkommen zur dreizehnten Episode des Corvus Corax Podcasts.
104160	110160	Tatsächlich dreizehnte Episode, eine Glückszahl, je nachdem, in welcher Kultur man sich zumindest befindet.
111160	126160	Ich merke, dass, so wie ich die kleine Anfangsszene geschrieben habe, bis zum gewissen Punkt man das auch wunderbar hätte nehmen können für Zizek's Verständnis von einer Ideologie,
126160	131160	aber dann habe ich es vielleicht doch noch auf das aktuelle Thema umwenden können.
131160	134160	Das heutige Thema ist die Wissenschaftsphilosophie.
134160	137160	Es wird vor allem um Karl Popper gehen.
137160	149160	Da kann man sich auf Tüter Philosophie heute bedanken, der sich vor geraumer Zeit darüber aufgeregt hat, dass das Wissen der Leute bei der Wissenschaftsphilosophie bei Popper meistens endet.
149160	161160	Was natürlich daran liegt im Abitur, hat man Popper als Fest im Lehrplan drin und, wenn man es schafft, auch noch Thomas Kuhn, über den wir auch reden werden.
161160	174160	Und im Studium im ersten Semester habe ich zumindest von einigen gehört, dass bei denen das erste Semester mit Popper geendet hat und deswegen Popper quasi dann dort das Zentrale ist.
174160	181160	Außerdem ist er natürlich in den Wissenschaften beliebt, aber da kommen wir eventuell auch noch dazu, welchen Grund das Ganze hat.
181160	189160	Ja, eigentlich sollte die heutige Episode ja über Jordan Peterson gehen, aber ich habe am Ende nur eine Einführung in den Postmodernismus geschrieben
189160	196160	und das war dann nicht das, ich meine es wäre auch interessant natürlich, aber das war nicht das, was ich eigentlich wollte.
196160	208160	Und es gibt genug Videos und Texte, ich habe ja mal eine Playlist mit über 100 Videos geteilt, die ihn kritisieren, die das Ganze wahrscheinlich besser ausgeführt haben als ich.
208160	222160	Letztlich wurde noch eine Kollaboration über die Fehler bezüglich des Marxismus auf, ich glaube, den Kanal von Kack-Philosophie hochgeladen, wenn ich dran denke, werde ich das verlinken.
222160	231160	Ansonsten, wie vielleicht der ein oder andere mitbekommen hat, auch Jordan Peterson ist ja jetzt in Rehab.
231160	241160	Ich finde, das ist tatsächlich wahrscheinlich die ehrlichste Aktion, die er seit langem gemacht hat und das für ihn auch in gewissem Sinne meinen Respekt, dass er das getan hat,
241160	254160	weil er damit ja quasi auch offiziell eingestanden hat, dass seine Methoden, seine 12 Rules nicht ausreichen für ein vollkommen gesundes psychologisches Leben
254160	268160	und dass es durchaus Dinge gibt, die außerhalb vom Individuum liegen, ich meine, gut, das ist jetzt nichts Neues, dafür könnte man sich auch zum Beispiel als Lebenshilfe einfach in die Texte der Stoica einlesen, aber gut.
268160	277160	Es gibt Sachen, ich meine, gut, die Stoica gehen dann ja auch individualistisch herum, egal, kommen wir zurück zu Peterson.
277160	287160	Es gibt Sachen, die einfach komplett außerhalb von einem liegen und die man nicht so gut beeinflussen kann, wie man es gerne würde.
287160	300160	Und ich hoffe auch, dass dieses Ereignis dafür sorgt, dass er vielleicht etwas umdenkt und sein Vorhaben,
300160	306160	wenn es um die Heilung und die Handlungsweise geht, wie Menschen handeln sollen, um eine gesunde Psyche zu erlangen.
306160	315160	Ich hoffe, dass er das modifiziert und vom Individuum etwas entfernt und da vielleicht dann auch sich nochmal überlegt,
315160	322160	was zum Beispiel Zizek als Kritiker an ihn geäußert hat, weil das ist ja einer der zentralen Kritikpunkte, die er genannt hat.
322160	327160	Also Clean Up Your Room ist ja ganz nett, aber sagt das mal zu jemandem in Nordkorea.
327160	331160	Für den wird das nicht reichen. Der wird da drüber lachen.
331160	340160	Ja, jedenfalls durch unter anderem die Tweets von Philosophie Heute bin ich dazu gekommen und habe gesagt,
340160	346160	komm, lass mal ein wenig über Popper reden und Popper kritisieren, denn dort endet es nicht.
346160	354160	Um zu zeigen, was danach kommt, und zwar nur einen kleinen Ausschnitt natürlich, schauen wir neben Popper auch noch,
354160	363160	den habe ich mir hier notiert, genau Thomas Kuhn an, dann, ich hoffe, ich spreche den Namen richtig aus, Imre Lakatosch
363160	369160	und zuletzt, um etwas ganz anderes nochmal zu schauen, Bas van Frassen oder Frasen.
369160	372160	Ich bin mir gerade nicht sicher, ich meine, das ist ein Holländer.
372160	380160	Ja, wobei wir bei Popper mehr Zeit verbringen werden als bei den anderen, der Rest wird mehr skizziert dargestellt,
380160	390160	aber ich denke, es soll vor allem, diese Episode soll vor allem dazu führen, dass Leute sich vielleicht ein wenig von Popper trennen
390160	402160	und dazu motiviert werden, auch mal in die Wissenschaftsphilosophie nach 1960, 1970 zu schauen und zu gucken, was ist in der Zwischenzeit passiert.
402160	408160	Nicht unbedingt auch nur, also nicht nur in der abendländischen, sondern zum Beispiel in der japanischen Wissenschaftsphilosophie,
408160	411160	die auch tatsächlich einige interessante Sachen gemacht hat.
411160	419160	Dann habe ich noch eine kleine Ankündigung zu machen, und zwar wird es in Zukunft nicht mehr nur den Corvus Corax Podcast geben,
419160	428160	sondern ich arbeite an verschiedenen Reihen, in denen ich Schlüsselkonzepte von verschiedenen Philosophen versuche, verständlich zu erklären,
428160	438160	in denen ich einzelne, das ist eine Reihe, eine andere Reihe wäre, in denen ich ganze Bücher entschlüssel, da quasi Schritt für Schritt durchgehe
438160	446160	und die Ideen, wie die sich entwickeln, zusammengefasst und eventuell auch kommentiert wiedergebe,
446160	451160	für Leute, die vielleicht nicht Zeit haben, das zu lesen oder die Probleme beim Verständnis haben.
451160	461160	Und das letzte war quasi eine Redaction, also eine Reaction to Read gemischt.
461160	470160	Häufig inzwischen benutze ich, wenn ich lese, nebenbei, in Zukunft wird es ein Diktiergerät sein, hoffe ich, momentan noch eine Diktier-App,
470160	478160	und dort spreche ich immer ein, wenn ich irgendwas Interessantes finde, und meinen Kommentar dazu.
478160	484160	Und ich dachte mir, vielleicht wäre das auch ganz lustig für andere, dass es quasi eine Reaction zu einem Buch ist.
484160	492160	Ich dachte mir, das kann man mal probieren, und da ich mir sowieso in Zukunft ein digitales Diktiergerät zulegen möchte,
492160	497160	würde sich das dann ja quasi anbieten. Ich meine, dann werdet ihr natürlich auch einen Einblick in meine Arbeit bekommen,
497160	504160	deswegen muss ich gucken, ob ich das bei allen Büchern machen kann, weil eventuell, man weiß ja nicht, wie jeder Verlag drauf ist,
504160	509160	wenn die dann wissen, ach guck mal, diese Ideen hat er hier schon mal formuliert, und dann waren die da im Internet zu hören, vorher schon,
509160	516160	weil eventuell verändern sich bei den einen oder anderen Aussagen die Formulierung und der Inhalt und so weiter nicht wirklich sehr stark,
516160	525160	je nachdem, wie weit durchdacht die Redaction dann schon ist. Aber mal schauen, ich denke mal, das war eine lustige Idee, dachte ich, das kann man mal machen.
526160	532160	Wir werden in Zukunft sehen, wie das Ganze läuft. Hier im Podcast wird es dann weniger um einzelne Konzepte von einzelnen Denkern gehen,
532160	539160	wie jetzt in dieser Episode noch zum Beispiel, sondern würde es dann einfach um ein breiteres Feld an Themen gehen,
539160	543160	die nicht unbedingt auf einen Autor oder eine Autorengruppe bezogen ist.
543160	552160	Da werden da einfach ein paar interessante Fragen besprochen oder Ideen, dass das Ganze so ein bisschen aufgeteilt wird.
552160	560160	Ich denke mal, das ist für mich gut und auch für euch gut, vor allem, weil die anderen Sachen teilweise wahrscheinlich weniger Zeit konsumieren werden als das hier.
561160	573160	Bevor wir nun dazu kommen, das Getränk des Tages. In der letzten Episode habe ich zwar gesagt, ich muss weg von dem Zuckerzeug, aber wie der Zufall so will,
573160	582160	habe ich hier, was ist das? Das war im Angebot Rockstar Energy Mixed Berries, 5% Fruchtgalt, Covino ist natürlicher Quelle.
583160	588160	Ich frage mich, welche Quelle das ist und wo man die findet, wie stark die fließt und so weiter.
589160	600160	Ich mache das übrigens mit dem Getränk des Tages. Zum einen, das muss jedes Mal ein anderes Getränk sein, zum anderen, falls zufällig jemand zuhört, der in einer Getränkefirma arbeitet oder jemanden kennt.
600160	612160	Und sich denkt, hey, da könnte man ein bisschen Werbung machen. Ich wollte jetzt, ich hatte auch zum Beispiel die Option bekommen, Werbung in den Podcast einzubauen, damit Geld zu verdienen, habe ich jetzt vorerst noch gelassen,
613160	621160	weil ich hatte das hier ursprünglich gesagt, wenn ich Unterstützung halte und so weiter, wobei das nicht viel ist inzwischen, aber ich denke, ich könnte mit Werbung inzwischen sogar mehr verdienen.
622160	636160	Aber trotzdem, ich möchte mich noch daran halten, erst wenn es wirklich zu einem Punkt kommt, wo ich wirklich sage, oh, das ist jetzt so viel, dann muss ich wirklich überlegen, also wenn es dann wirklich darum geht, dass das hier quasi mein Hauptberuf werden könnte, dann muss ich es mir wirklich überlegen.
637160	639160	Also dann werde ich aber mit euch auch nochmal ein Gespräch darüber führen.
640160	656160	Ja, jedenfalls zufällig, wie heißt das, wir hatten letztens zufällig ein Getränk gefunden bei einem kleinen unabhängigen Geschäft, wie heißt das, Vostok oder so, das ist ein, wie war das, Waldkiefer oder irgendwie sowas, ein verrücktes Getränk.
658160	663160	Wenn die zufällig, es war ein super Getränk, ich hätte es gerne für die Episode aufgehoben, aber ich habe es leider vorher schon getrunken gehabt.
663160	670160	Falls da zufällig jemand arbeitet oder jemanden kennt und ich denke, hey, hier könnte man Werbung machen, schreibt mich einfach an, ich bin offen.
671160	676160	So Getränkesponsoring ist glaube ich auch noch eher akzeptiert als andere Formen von Sponsoring.
677160	684160	Gut, nachdem wir jetzt 10 Minuten nichts Sinnvolles gemacht haben, kommen wir zu Karl Popper.
684160	704160	Popper versuchte, wenn ich das jetzt mal so gemein sagen darf, im Gegensatz zu den logischen Empiristen, logischen Positivisten, hat er das Induktionsproblem ernst genommen und versucht es zu überwinden.
705160	720160	Und er wollte das nicht dadurch machen, dass er über Verifikation spricht, also das Verifikationsprinzip aufnimmt, das war das Prinzip der Bestätigung, sondern über Falsifikation, also über die Wiederlegung einer Hypothese.
