start	end	text
0	4960	Hallo und herzlich willkommen zu einer neuen Episode des CorvusCorax Podcasts. Mein Name ist Corvus,
4960	11920	Pronomen Sie ist so the day und heute sprechen wir wie eine Umfrage auf Twitter quasi bestimmt hat
11920	19640	darüber was Vernunft bei Hegel bedeutet. Zu ausverstanden Fetisch, Libido und Vernunft
19640	23400	bei Hegel und überraschenderweise hat tatsächlich Hegel gewonnen. Hätte ich nicht erwartet,
23400	28880	um ehrlich zu sein, aber es schadet sicher nichts auch mal hier einen Blick in Hegel zu werfen und
28880	33280	ein vielleicht besseres Verständnis für Hegel zu bekommen. Vor allem damit ich auch nicht mehr
33280	40040	immer wenn ich irgendwas mit Hegel poste Kommentare bekomme, dass man ihn nicht versteht oder Kommentare
40040	45280	deren Witz darauf besteht, dass man ihn nicht versteht. Denn um ehrlich zu sein nach den paar
45280	49920	tausend mal wo man sowas liest finde ich das nicht mehr lustig. Vor allem weil die gefühlt
49920	54880	die meisten Leute die das machen nie versucht haben Hegel zu verstehen und naja man greift
54880	60880	das Meme auf und setzt es für das letztes damit quasi Realität werden lassen. Gibt einfach Hegel
60880	65280	auf, was ich schade finde, weil wie ich heute versuchen werde zu zeigen, es doch einiges
65280	69800	interessantes bei Hegel gibt und es wird auch nicht allzu lange dauern. Deswegen lehnt euch zurück
69800	80160	und wir gehen ganz geschmeidig quasi als Einführung den Begriff der Vernunft bei Hegel durch. So,
80160	85560	das ist die zweite Aufnahme, die ich damit mache. Die erste da habe ich aufgenommen und das hat mich
85560	89960	dann geärgert, weil die Soundqualität war schrecklich. Ich habe das Mikro falsch eingestellt
89960	96880	gehabt. Egal, hoffen wir das diesmal besser ist. Also fangen wir damit an ein Missverständnis aus dem
96880	100080	Weg zu räumen beziehungsweise dass es eigentlich das hauptsächliche worum es heute gehen wird.
100080	106920	Hegel etwas verständlicher machen und Missverständnis aus der Welt räumen. Also
106920	113040	der womöglich am meisten missverstandene Satz Hegels oder zumindest einer den Top Ten ist,
113040	119480	ist jener wo er etwas tut was er sonst selten tut. Aforistisch sein. Wo man sonst die Bücher
119480	124200	von Anfang bis Ende durcharbeiten muss, das ist auch das worum es zum Beispiel in dem Beispiel
124200	130680	der Knospen und der Blume im Vorwort der Phänomenologie geht, um die Konklusion begreifen
130680	135160	zu können, versucht Hegel im Vorwort zur Philosophie des Rechts seine Philosophie in
135160	140280	einem Satz zusammenzufassen. Was vernünftig ist, das ist wirklich, und was wirklich ist,
140280	146680	das ist vernünftig. Die meisten lesen diesen Satz als Rationalisierung des Status quo. Dabei soll
146680	150720	es im Rahmen des spekulativen Denkens auf die Identität und Differenz zwischen Vernunft und
150720	156720	Wirklichkeit gehen. Sie soll unterstrichen werden. Um den Satz jedoch zu verstehen,
156720	162400	muss man zuerst verstehen, wie Hegel Vernunft und Wirklichkeit verwendet. Immerhin sind das
162400	168000	die zwei wichtigsten Begriffe in diesem Satz. Um diesen beiden Begriffen eine
