start	end	text
0	4160	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts. Mein Name
4160	11200	ist Corvus, Pronomen sie As for the Day und heute geht es um Kojev. Wie es in der letzten
11200	17360	Folge angekündigt war, hatte ich ja Kojev versprochen. Ich hatte eventuell noch was
17360	22160	anderes vorgeschlagen, was dazwischen geschoben werden konnte, aber ich bin mit Kojev soweit
22160	27240	ich ihn behandeln möchte, auch soweit fertig geworden, weswegen er jetzt halt dran ist.
27240	36280	Ich hatte erst überlegt, noch ein Kapitel hier für die Folge mit seiner Biografie zu füllen und
36280	41280	so Sachen zu erzählen, wie das er aus der UdSSR geflohen ist, wie er dann in Europa gelebt hat,
41280	46360	wie er Seminare gehalten hat, nicht nur an der Uni, sondern auch Privatseminare, bei denen
46360	56160	unter anderem Lacan zu Besuch war. Die beiden waren befreundet. Wie er für Frankreich als
56160	61560	Repräsentant quasi für die Beziehung zwischen Frankreich und Japan politisch mitverantwortlich
61560	68400	war, wie er den internationalen Markt mitgeprägt hat, wie er mit höchster Wahrscheinlichkeit neben
68400	74240	seiner Tätigkeit für die französische Regierung auch gleichzeitig noch Spion für die UdSSR war
74240	80720	und so weiter und so fort. Interessantes Leben, aber ich glaube es ist interessanter, wenn ich jetzt
80720	85080	gerade einfach nur diese einzelnen Sachen so runter erzähle, anstatt dass ich sehr ins Detail
85080	89800	gehe zu seiner Biografie, weil so interessant wie diese einzelnen Stationen klingen, muss das halt
89800	97680	nicht sein. Eine Einschränkung hat diese Episode auf jeden Fall. Wir werden uns mit zwei Sachen
97680	104040	beschäftigen, die ich besonders wichtig finde bei Kojev, die auch besonders folgenreich waren für
104040	111120	die Philosophie in Frankreich und danach eben auch im englischsprachigen Raum. Deutschland eher
111120	123880	weniger. Und zwar ist das Problem, dass seine Einführungen in Hegel, die Vorlesungen, in der
123880	131760	englischen und deutschen Fassung gekürzt sind. Das bedeutet, damit ich den ganzen Umfang erfassen
131760	138640	konnte, weil mein französisch nicht gut genug dafür ist, musste ich mich auf die interpretative
138640	144160	Arbeit von anderen verlassen. Ich habe das deutsche Buch gelesen, allerdings das auch schon
144160	152280	wieder ein bisschen her und habe jetzt eben quasi mit ein wenig sekundär Literatur versucht,
152280	156960	das alles aufzufrischen und eben ein bisschen Lücken zu stopfen, die durch den Mangel an
156960	166120	Übersetzung einfach zustande gekommen sind. Ein weiteres Problem ist natürlich, es gibt Schriften
166120	172520	von Kojev, die immer noch nicht veröffentlicht sind überhaupt. Unter anderem eine Schrift,
