start	end	text
0	5480	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts. Mein Name ist
5480	14240	Corvus, Freundinnen nennen mich auch Cro, Pronomen bleiben wir von WM S. Heute sprechen wir über etwas,
14240	25200	das ich schon länger vorhatte, wo ich mich dann letzten Endes nie daran gesetzt habe es wirklich
25200	33360	auszuformulieren und zwar geht es um Michel Foucault beziehungsweise geht es um das Subjekt
33360	46440	bei Foucault und ich finde das eigentlich recht interessant, weil häufig Foucault gerade eben
46440	50400	wegen den früheren Schriften von ihm, also jetzt zum Beispiel die Ordnung der Dinge oder ähnliches,
50400	54560	als jemand gesehen wird, der nicht viel über das Subjekt zu sagen hat, vor allem nicht viel
54560	60560	Positives. Ich finde da ein sprachliches kleines Spielchen, das man machen kann,
60560	68240	geht im Englischen ganz gut um den Unterschied klar zu machen und zwar zwischen Subjection und
68240	75000	Subjectivation, also zwischen der Unterwerfung und der Subjektivierung. Funktioniert halt in
75000	81360	Deutsch nicht so gut. Ich weiß gerade nicht, ob man Subjektion oder ähnliches im Deutschen sagen
81360	86560	kann, also ob man das sinnvoll sagen kann. Ich denke, man würde verstehen, was man meint,
86560	92600	aber ich glaube, das ist nichts, was im Sprachgebrauch allgemein auftaucht, aber deswegen,
92600	96600	weil das eben so ein spezielles Thema ist, werden wir heute mal darüber reden und wir werden uns
96600	103520	vor allem anschauen, wie der späte Foucault dahingehend arbeitet. Eine der wichtigsten
103520	115840	Schriften hierfür wird sein etwas, wo der englische Text heißt Why Study Power und wer
115840	121120	diesen Text finden will, weil er in der Sekundärliteratur auch ab und an genannt wird,
121120	126280	der wird wahrscheinlich genauso leiden wie ich, deshalb gebe ich euch jetzt den Tipp. Der Text
126280	132720	heißt nicht so. Das ist der Name des Kapitels, des ersten Kapitels von dem Text. Der Text heißt
132720	140400	Subjekt und Macht. Wenn ich mich recht erinnere, findet man ihn in den Schriften im dritten Band.
140400	148160	Surkamp hat ja vier bändrige Sammlungen von Foucault Schriften, also Interviews, Vorträge und so
148160	159800	weiter, kurze Texte rausgebracht und ich glaube, im dritten war das drin. Also gut, füllen wir mal
159800	168040	die Lücke, die ich bisher mit Foucault hinterlassen habe und fang an. Es gibt ein Bild des Menschen
168040	174560	bei Foucault, an dem er nicht unschuldig ist. Es ist ein Bild des Menschen, in welchem sich der
174560	180200	Mensch in der modernen Episteme mit einem philosophischen Lachen konfrontiert sieht und mit
180200	186880	einer in den Sand am Rande des Meeres gezeichneten Figur verglichen wird. Das Ende von die Ordnung
186880	193720	der Dinge. Um sowohl humanistische wie auch strukturalistische Invariablen zu umgehen,
193720	198800	wählte Foucault für seine Analysen eine archäologisch-genealogische Herangehensweise.
198800	207000	Diese sollten die Konfiguration des Wissens und der Macht nachzeichnen. Der Mensch taucht hier
207000	213840	zwar auf, jedoch sind es diese Konfigurationen, also Wissen und Macht, die den Menschen seinen
213920	219960	Platz zuweisen. Es wirkt so, als würde das praktische Subjekt, das sich selbst im Akt
219960	228400	unter anderen Akteuren konstituiert, hier nicht gut abschneiden. Wir kommen aus einer Geschichte,
228400	233760	die, um sich schreiben zu können, im 19. Jahrhundert eine Obsession mit dem souveränen
