start	end	text
0	3960	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts.
3960	9360	Mein Name ist Cro Pronomes und wir sprechen heute, bzw. nicht nur heute,
9360	14580	sondern in den kommenden Wochen, ich versuche es im Pride Month fertig zu
14580	22400	bekommen, über Judith Butler's Das Unbehagen der Geschlechter. Das Buch,
22400	27880	wahrscheinlich über das in den letzten knapp 30 Jahren ist es glaube ich in
27880	35880	zwischen so viel geredet wurde, wie kaum ein anderes Buch, das im Vergleich nicht
35880	40480	gelesen wurde. Die allermeisten, die sich darauf beziehen, haben weniger als
40480	46680	einen Blick reingeworfen und ich möchte dafür sorgen, dass wir ein etwas
46680	51200	besseres Verständnis davon haben, was Butler eigentlich möchte, damit wir alle
51200	59080	zum einen natürlich eine bessere Kritik an sie bzw. die entwickelte Theorie
59080	66040	richten können, wie aber auch falsche Erzählungen über ihre Arbeit, ihre
66040	71080	theoretische Arbeit, entkräften können, bzw. wissen, wann uns jemand Blödsinn
71080	75040	erzählt und wann nicht. Das wird natürlich etwas simplifiziert werden.
75040	78480	Butler macht zum Beispiel im ersten Kapitel viele Bezüge auf Beauvoir,
78480	84400	Irigaray und Wittig und wir werden hier nur in sehr kleinen Abschnitten darauf
84400	90800	eingehen. Ich werde nicht alle drei versuchen noch zu erklären und zu
90800	94360	kontextualisieren, das wäre ein bisschen viel. Also es werden Diskussionen im
94360	98080	Buch ausgehandelt, die wir hier auslassen werden, weil ich versuchen
98080	103000	möchte die Kernargumentation nachzuverfolgen.
103000	107000	Man muss über den Text sagen, dass er Stärken und Schwächen hat.
107000	112880	Es gibt ja die Idee, die kursiert, dass es das schlechteste Buch aller Zeiten
112880	118480	wäre, was den Schreibstil angeht. Diese Idee entstammt einem rechtsradikalen
118480	125960	Think Tank, nur damit man es etwas kontextualisieren kann. Natürlich, weil es
125960	131600	ein Fachbuch ist, ist es sprachlich nicht das aller zugänglichste. Heißt man muss
131600	134840	sich konzentrieren und eventuell, wenn man Wörter nicht kennt, sie googeln und
134840	140920	wie gesagt, gibt es Stellen, deren Kontext sich nur erschließen lässt, wenn man
140920	146480	halt weiß, worauf sich bezogen wird. Aber diese Stellen sind meiner Ansicht
146480	151520	nach nicht wichtig, um die Kernargumentation zu verstehen.
153040	158040	Der Nachteil ist also vielleicht sprachlich, je nachdem mit wie viel
158040	163520	Wissen, Erfahrung oder einfach Konzentration und gutem Wille man an den
163560	168320	Texten angeht. Was gut ist an dem Text, ist, wie er strukturiert ist, denn die
168320	175480	Struktur verläuft anhand von Fragen, die sich aus dem Ermittlten ergeben. Das heißt,
175480	180200	wird eine Frage gestellt, wir versuchen eine Antwort zu finden und die Antwort,
180200	186400	auf die wir uns hingearbeitet haben, führt zu einer neuen Frage. Und so
186400	191360	erschließen wir immer weiter, nuassieren immer weiter, bis wir zu einem Punkt
191360	195840	kommen, an dem wir zufrieden sein können. Ich denke, das ist strukturell etwas sehr
195840	200560	gutes, sehr angenehmes, weil man dem gut folgen kann und etwas, was ich selbst nicht
200560	205600	genug kann, wie man weiß, wenn man diesen Podcast schon mal gehört hat.
205600	210760	Also gut, fangen wir direkt mal mit dem ersten Kapitel an. Das lautet Die Subjekte
210760	217840	von Geschlecht, Geschlechtsidentität und Begehren. Kurze Anmerkung, Geschlecht ist
217920	224360	das, was im Englischen Sex bedeutet, also das anatomische Geschlechtsidentität, das
224360	231280	was im Englischen Gender ist und Begehren ist Begehren, also Desire. Nur für den
231280	237840	Kontext. Ich werde Geschlechtsidentität und Gender abwechselnd irgendwie
237840	243840	verwenden. Gender hat sich anzwischen eingedeutscht als Begriff, aber vorher
243840	249240	war Geschlechtsidentität die Übersetzung dafür. Deswegen, weil es so im Text
249240	253280	verwendet wird, werde ich das halt eben nicht konsistent nur einen Begriff
253280	257080	davon verwenden, nur damit man Bescheid weiß, worüber ich rede, wenn ich darüber
257080	263760	rede. Das Buch fängt mit der Frage danach an, wer oder was eigentlich diese
263760	270520	Frauen sein sollen, die das Subjekt des Feminismus sind. Das ist eine wichtige
270520	274720	Frage. Schließlich sollte diese Identität sowohl das Interesse und die
274720	279160	Zielsetzung des feministischen Diskurses anleiten, wie auch das Subjekt sein,
279160	283840	welches durch den Feminismus repräsentiert werden soll. Innerhalb des
283840	288800	Feminismus selbst gibt es jedoch keine Einigkeit darüber, was dieses Subjekt
288800	294720	konstituiert oder konstituieren sollte. Das Problem dabei ist das, Zitat, die
294720	299080	Bereiche der politischen und sprachlichen Repräsentation, nämlich vorab die
299080	304120	Kriterien festlegen, nach denen die Subjekte selbst gebildet werden, sodass
304120	309800	nur das repräsentiert werden kann, was als Subjekt gelten kann. Zitat Ende.
309800	314640	Das bedeutet, dass nur diejenigen repräsentiert werden können, die die
314640	317600	Bedingungen erfüllen, um als Subjekt zu gelten.
317600	323120	Mit Rückgriff auf Michel Foucault merkt Battlain, dass es die juridischen
323120	326920	Machtregime sind, die das Subjekt und damit auch dessen Repräsentation
326920	331640	produzieren. Zitat, die politische Konstruktion des Subjekts ist mit
