start	end	text
0	4360	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts. Mein Name
4360	11200	ist Crowe, Pronomen S und wir sind bei der zweiten Episode zu Judith Butler's Das Unbehagen
11200	16760	der Geschlechter. Die zweite Episode heißt auch zweites Kapitel mit dem Titel Das Verbot,
16760	23640	die Psychoanalyse und die Produktion der heterosexuellen Matrix. Demnach werden wir heute ein gutes
23640	31000	Stück über Psychoanalyse reden, auch wenn ich versuchen werde es basic genug zu halten,
31000	39480	dass es quasi zugänglich ist. Zumindest hoffe ich das. Und eben entsprechend über das Verbot im
39480	44360	Rahmen der Psychoanalyse eben und die heterosexuelle Matrix. Ja, wo kommt die
44360	52480	Heterosexualität her? Wie wird sie produziert? Wird hier die Frage sein. Was ja ganz gut passt,
52480	61680	denn momentan haben wir dank den Reaktionären in Nordamerika vor allem wieder einen tollen
61680	67200	Diskurs zum Thema Grooming und dass die einzig natürliche Sexualität die Heterosexualität ist.
67200	74720	Und da passt es wirklich perfekt, dass wir heute genau auf dieses Thema zu sprechen kommen werden.
74720	81640	Ich werde das Tempo wahrscheinlich ein bisschen anziehen, weil es hier in diesem Raum sehr warm
81640	86760	ist und ich beim Aufnehmen zumindest meistens das Fenster zu habe, wegen den Störgeräuschen
86760	95200	von draußen. Und ja, ich brauche Luft. Vor allem jetzt die kühle Luft. Nun gut, dann würde ich
95200	100160	mal sagen, steigen wir eigentlich schon fast direkt ein. Ich wollte mich erstmal noch bedanken. Es hat
100160	104000	mich gefreut, dass die erste Episode so gut rangekommen ist. Ich weiß, wir sind jetzt mit
104000	112480	einem kleinen Verzug. Für mich sind ein, zwei Tage quasi ausgefallen aufgrund externer Umstände,
112480	117720	die meine Planung etwas verzogen haben. Ich werde trotzdem versuchen, noch die dritte und
117720	124280	damit letzte Episode in den nächsten Tagen fertig zu bekommen. Dann lade ich zwar mehr hoch, als man
124280	128280	von mir in einem bestimmten Zeitrahmen gewohnt ist, aber ich denke, da wird es wahrscheinlich
128280	132600	eher weniger Beschwerden darüber geben. Ich werde versuchen natürlich die Qualität entsprechend zu
132600	137600	halten, wie sie jetzt auch schon ist, wenn das eine Qualität ist, mit der man zufrieden sein kann.
137600	145920	Das stelle ich jetzt einfach mal so hier in den Raum. Nun gut, also fangen wir an. Teile des
145920	151960	Feminismus versuchen seit einer Weile eine Zeit zu finden und zu diskutieren, in der die Gesellschaft
151960	156320	noch nicht patriarchal geordnet war. Das sehen wir mal wieder. Vor kurzem ist noch ein Buch zu
156320	161160	diesem Thema erschienen. Den Titel habe ich jetzt leider vergessen, das ist aber auch erst dieses
