start	end	text
0	4080	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts. Mein Name
4080	9520	ist Crow, Pronomen S und wir schauen uns heute den zweiten Teil zu Rainer Schürmanns Reading
9520	16600	Marks Seminar oder Seminaren an. Ja, das letzte Mal, ich habe natürlich die Kommentare gelesen,
16600	21120	habe auch soweit es möglich oder erwünscht, war auch interagiert. Das letzte Mal war vielleicht
21120	26280	nicht ganz so einfach zu verstehen, da gebe ich recht. Es ist nicht so einfaches Thema,
26280	31640	an das man sich wirklich heransetzen muss. Da muss man vielleicht die Episode mal stoppen und
31640	36680	zurückspulen oder eventuell mehrfach hören, um sich sicher zu gehen, dass man alles nachvollziehen
36680	42720	kann. Es hätten vielleicht auch ein, zwei mehr Beispiele reingekonnt, das gebe ich durchaus zu,
42720	47680	aber es musste halt eine gewisse Grundlage geschaffen werden, vor allem in einem bestimmten
47680	54280	Zeitrahmen. Damit wir heute vielleicht ein bisschen quasi mit der Basis, zumindest,
54280	57240	dass man grobes Verständnis von dem hat, was beim letzten Mal besprochen wurde,
57240	66880	dass heutige Thema bzw. die Themen gut durchgehen kann. Beim nächsten Mal, für die nächste Episode
66880	70840	überlege ich mir was, was vielleicht wieder ein bisschen einfacher ist bzw. wo der Zugang
70840	80080	ein bisschen weniger an Vorkenntnissen oder Voraussetzungen hat. Gut, aber dann steigen wir
80080	86040	doch jetzt mal direkt in den Rest des Texts ein. Also, in der deutschen Ideologie bekommen wir ein
86040	91560	neues Vokabular. Phrasen, die an Hegel und Feuerbach erinnern, wie das generische Sein,
91560	96320	die Menschheit oder die Anschauung, werden zurückgelassen und dafür das handelnde
96320	101880	Individuum aufgenommen. Hiermit wird auch die idealistische Anthropologie zurückgelassen.
101880	109440	Der Marxismus hat sich jedoch größtenteils ohne dieses Buch entwickelt. Erstmals erschien es erst
109440	118440	1932. Längere Schriften waren für Marx immer eine Arbeit primär, um sich selbst klar zu machen,
118440	124160	heißt die eigenen Gedanken zu verstehen, zu strukturieren und so weiter. Und einige dieser
124160	129160	Texte haben es zu seinen Lebzeiten eben nicht in einen Verlag geschafft, entweder weil es nicht
129160	134400	angenommen wurde oder weil es halt nicht gewollt war. Hinzu kommt, dass Engels die deutsche Ideologie
134400	145240	1888 für ungültig erklärt hat oder zumindest wollte, was mitunter daran liegen kann, dass das
145240	151920	dort entwickelte Verständnis von Materialismus dem von Engels neu-hegelianischen Entwurf radikal
151920	159240	widerspricht. Dann möchte man das Buch vielleicht nicht unbedingt im eigenen Kanon wissen. Der
