start	end	text
0	4600	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts.
4600	10200	Mein Name ist Crowe, Pronome SIr und wir beschäftigen uns heute mit einem
10200	15600	Kapitel aus den 1000 Plateaus von Gilles Deleuze und Felix Guattari und zwar der
15600	19080	Geologie der Moral. Nicht zu verwechseln mit Nietzsche's
19080	24440	Genealogie der Moral. Nah dran, aber doch nicht dasselbe.
24760	32360	Ja, ich dachte mir, es gibt verschiedene Kapitel, die in diesem Wälzer bestimmte
32360	36280	Konzepte von Deleuze und Guattari ausarbeiten und dies ist eines der
36280	41680	Kapitel, das meiner Ansicht nach es wert ist, hier sozusagen zusammengefasst
41680	48240	vermittelt zu werden, weil ich denke, dass das ganze drumherum um die Schichten
48840	54960	doch recht interessant ist. Erst einmal zu dem Kapitel. Es besteht zur
54960	59880	Hälfte aus einer Fiktion, einer Erzählung zwischen einem fiktionalen
59880	66240	Professor und echten Professoren. Unser fiktionaler Professor heißt
66240	72160	Challenger, Professor Challenger und der stammt aus Arthur Conan Doyle's Lost
72160	76800	World. Allerdings kenne ich das nicht, deswegen kann ich nicht beurteilen, in
76800	84440	wiefern er oder welche Funktion er in Lost World hat, deswegen kann ich das
84440	88760	nicht vergleichen. Aber ich kann über eine Funktion sprechen, die er in diesem
88760	96000	Text hat und zwar ist es Verwirrung. Es ist die Frage, wer spricht in diesem
96000	100640	Text. Die Argumentation wird zu großen Teilen oder vor allem auch die Stichelein
100640	106040	von Professor Challenger gemacht oder doch von Deleuze und Guattari.
106040	110520	Benutzen Deleuze und Guattari Professor Challenger, um ihre eigenen Ansichten
110520	116520	auszudrücken oder ist er eine fiktionale Figur, die eigene Ansichten
116520	120520	vertreten soll? Wie ist das Verhältnis zwischen diesem
120520	126440	Charakter und den Autoren? Das ist nicht ganz klar und das ist vielleicht auch
126440	132880	ein beziehungsweise ihn zu verwenden. Der Grund dafür mag vielleicht sein, dass
132880	139120	in diesem Buch der Philosophie es auch sehr stark vor allem mit diesem Kapitel
139120	146200	um Naturwissenschaften, also Geologie, Chemie, Biologie, Mineralogie auch geht
146200	149480	und dass diese auf eine interessante Art und Weise verquickt werden.
149480	155880	Es wird eine Welt maximaler Plastizität konstruiert, in welcher ihre Konzepte
155880	161640	allein durch ihre pragmatische Validität bewertet werden. Und ich denke für diese
161640	167440	Mischung kann man auch diese ja Fiction Theory, wie sich das später nennt, auch
167440	173400	durchaus verwenden. Also in diesem Kapitel werden Schichten,
173400	178480	die Stratifizierung und die Endstratifizierung, also das Bilden von
178480	182840	Schichten und der Zerfall von Schichten in den Mittelpunkt gerückt.
182960	187960	Gefüge und ich werde versuchen von nun an anstatt Assemblage das deutsche Wort
187960	191080	Gefüge zu verwenden, weil ich denke, dass die Einheitlichkeit bei Übersetzung
191080	198960	sinnvoll ist. Gefüge und Milieus werden dabei als Komponente konkreter Schichten
198960	203480	betrachtet, wobei sowohl Stratifizierung wie auch Endstratifizierung in den
203480	208520	entsprechenden Schichten durch ihre abstrakten Maschinen angetrieben werden.
208800	213000	Über das Thema Assemblage bzw. Gefüge haben wir bereits im Antiödipus
213000	217640	gesprochen. Ein Begriff, der hier neu ist, ist der des Milieus. Was ist ein Milieu?
