start	end	text
0	4160	Hallo und herzlich willkommen zu einer neuen Episode des Corvus Corax Podcasts. Mein Name
4160	9320	ist Cro, Pronomen ist ihr und wir sprechen wieder über eines der Plateaus aus Deleuze
9320	14640	and Quaterry's 1000 Plateaus. Diesmal aber in einem ganz bestimmten Kontext und zwar
14640	20480	wollte ich eigentlich darüber reden, wie häufig diese Sprachdiskussion keine Diskussion
20480	26960	über Sprache sind, sondern es eigentlich um reaktionäres Begehren und rechte Agitationsmittel
26960	31120	geht bei diesen Sprachdiskussionen und ich werde gleich ein paar Beispiele nennen damit man weiß
31120	37600	worum es geht, aber ich denke das wird sehr gut verständlich gemacht durch die Art und Weise wie
37600	42720	Deleuze und Quaterry an Linguistik herangehen. Deswegen werden wir uns gleich nachdem ich diese
42720	48920	zwei drei Beispiele genannt habe damit klar ist worum es geht, wir uns angucken wie die beiden
48920	56280	Linguistik verstehen, wie sie es erklären und wie sie es begründen, damit es für uns vielleicht
56400	62080	ein bisschen leichter zugänglich wird die Art und Weise wie ich hier zum Beispiel Sprache sehe zu
62080	67680	betrachten und vielleicht auch zu verstehen warum es sinnvoll ist Sprache so zu betrachten. Worum geht
67680	74920	es mir? Mir geht es darum dass häufig diese Sprachdiskussionen geführt werden ob man jetzt
74920	80600	das Endwort sagen darf oder sonst was oder warum entgendern der Untergang des Westens ist und ich
80600	87000	sage entgendern das merke ich hier noch einmal an nicht gendern weil es dabei darum geht dass man
87000	93920	quasi wenn man über das Allgemeine spricht ein spezifisches Gender aus dem Fokus rausnimmt sondern
93920	100840	quasi alle gleichmäßig betrachtet deswegen das Gender rausnimmt entgendert das ist natürlich
100840	105320	das optimale es gibt Situationen in denen es sinnvoll ist über bestimmte Geschlechter zu
105320	111080	sprechen zum Beispiel wenn wir über das Thema Grooming reden die meisten Groomer sind Cis hetero
111080	117320	Männer kann man klar benennen dann kann man gucken was die Gründe dafür sind in solchen Kontexten ist
117320	122200	das natürlich sinnvoll aber wenn wir über das Allgemeine sprechen dann ist es eher sinnvoll
122200	127520	nicht über ein bestimmtes Geschlecht sondern über alle Menschen zu sprechen wenn wir über etwas
128120	136000	betrifft worum es mir geht ist dass diese Diskussionen über Sprache vermeintlich im Namen
136000	141600	der Sprache geführt werden aber es nicht um Sprache geht sondern nur um Begehren und Politik
141600	146200	es geht um reaktionäres Begehren und es geht um politische Agitation und Faschisierung
148840	154600	ein wichtiges Element hier ist die fetischistische Verleugnung die möchte ich kurz erklären damit
154600	161920	man weiß wo wir sind fetischistische Verleugnung bedeutet dass jemand die Verleugnung braucht um
161920	167640	sozusagen genießen zu können das heißt zum Beispiel wenn ich sage ich bin kein Rassist aber
167640	173040	kennen wir alle aber bedeutet dass man natürlich ich bin kein Rassist aber ich bin eigentlich schon
173040	181120	Rassist so das ist aber etwas was man psychologisch braucht um seinen Rassismus genießen zu können
181120	187040	weil man sich selbst eben nicht als Rassist betrachtet das heißt du schiebst das vor die
187040	192360	Verleugnung um das was danach kommt genießen zu können obwohl es eigentlich dem entspricht was
192360	198080	du vorgesagt hast zum beispiel genauso gibt es ja auch viele leute die sagen ja ich habe ja nichts
198080	204200	gegen leute die hier wegen dem klimawandel aktivistisch unterwegs sind aber die sekreter tunberg
204200	213240	man sieht hier auch wieder die fetischistische Verleugnung das aber dient dem zweck dass man
213240	217840	was auch immer danach kommt genießen kann ohne quasi sich bewusst zu sein dass man eigentlich
217840	224800	genau die person ist von der man behauptet dass man sie nicht sein möchte so und wir gucken uns
224800	229640	jetzt die sprache selber an und wie sie verwendet wird wie man einen blick auf sprache haben muss
229640	235720	um zu verstehen dass diskussionen über die reinheit der sprache und ähnliches in wirklichkeit
235720	245120	ja reaktionäre politik und begehren sind und dafür schauen wir uns das plateau zur zum postulat
245120	252200	der linguistik an die ausgangsfrage die hier behandelt wird lautet wie schafft es der mensch
252200	258920	sich in der alloplastischen schicht zum symbolischen oder in der technosemiotischen schicht breit zu
258920	265040	machen und wie hängt diese schicht mit der selbstorganisation des menschen zusammen wem
265040	270200	das nichts sagt sollte die letzte episode hören dort ging es speziell um das thema schichten
270200	276480	haben wir darüber gesprochen was das ist das näher ja beschrieben erklärt und so weiter und
276480	284200	so fort also das plateau beginnt mit der korrektur von vier kerntesen der linguistik die erste von
284200	291040	denen lautet der primäre zweck von sprache ist informierend oder kommunikativ der zweite
291040	298440	sprache sollte von äußeren umständen getrennt werden und dritte sprache hat konstanten und
298440	305040	universalien deshalb ist sie ein homogenes system viertens linguistik als fach studiert nur die
305040	312280	majoritäre sprache also die hegemoniale sprache oder die standardsprache wie auch immer man es
312280	320440	nennen möchte so von austin kennen wir oder kennen zumindest einige sicherlich den begriff
320440	327040	performativität der wird ja auch noch mal näher gebracht bei performativität geht es quasi darum
327040	332880	dass ein sprachakt einen zustand verändern kann zum beispiel also wir nehmen jetzt manchmal ein
332880	339320	ritual wie die e-schließung anhand der juristischen sprache können wir erkennen was die primäre
339320	348600	funktion der sprache ist geht nicht um information oder kommunikation sondern um befehle der richter
348600	356680	der ja informiert ja nicht ein paar also mann und frau zum beispiel darüber dass sie in einer
356680	363200	beziehung sind das sollten sie wissen wenn sie zur e-schließung kommen sondern gibt er ihnen den
363200	367880	offiziellen titel eines ehepaars beziehungsweise im fall des richters eventuell eher dass sie eben
367880	376640	kein ehepaar mehr sind es geht jedenfalls darum dass dieser informations teil von diesem ganzen
376640	386040	austausch nur ein notwendiges minimum ist zur äußerung übertragung und beobachtung von befehlen
388720	395560	aber die lösungen gehen eben weiter als das was wir klassisch von der performativität kennen sie
395560	401720	gehen so weit und sagen dass selbst tatsachen aussagen befehle sind von der funktion her weil
401720	409240	sie die welt ordnen sie schreiben nicht nur vor wie die welt zu sein hat sondern wie du sie zu
409240	415080	sehen hast und es geht dabei nicht darum dass du davon überzeugt bist oder so sondern es geht
415080	422120	einfach darum dass du gehorcht und hier bringen sie das beispiel von der schule ein paar mal unter
422120	429000	anderem zum beispiel dass eben den schüler in stift und papier gegeben wird wie minenarbeitern
429000	435240	werkzeug und spitzhacke sie sollen funktionieren sie sollen sozusagen die befehle ausführen und
435240	440920	es geht nicht ums lernen sondern über das erfüllen von aufgaben durchs durchführen von aufgaben die
440920	449280	einem aufgetragen werden ein weiterer punkt ist dass sprache primär indirekt ist das sollte
449280	452880	menschen die sich mit psychoanalyse beschäftigt haben zum beispiel jetzt nicht wirklich viel
452880	459280	überraschen oder strukturalismus sie geht hauptsächlich um das was ein dritter gehört gesagt
459280	465680	oder gemacht hat eine psychoanalyse zum beispiel der große andere wir haben es jedoch nicht einfach
465680	470360	mit der klassisch strukturalistischen losung zu tun dass nicht wir die sprache sprechen sondern
470360	476920	von ihr gesprochen werden wer sich mit strukturalismus ein bisschen beschäftigen will bei einer ganzen
476920	482160	weile gab es dazu eine episode ihr könnt euch gerne noch mal anhören das womit wir es hier zu
482160	488680	tun haben sind kollektive gefüge der äußerungen sie befinden sich immer an einem bestimmten
488680	495240	zeitpunkt und punkt im raum und befinden sich immer in einem kontext maschineller gefüge des
495240	502240	begehrens oder der praxis jemand wildfremdes ich zum beispiel kann die mobilisierung des militärs
502240	507760	gerne erklären das bleibt jedoch solange folgenfreier nonsens wie die person nicht
507760	516480	die nichtdiskursiven voraussetzungen erfüllt also eben zeitpunkt punkt im raum und der
516480	523360	kontext von praxis und begehren zum beispiel dass ein bestimmter sozialer status damit verbunden ist
523360	529120	um sozusagen diese aussage sinnvoll zu machen genauso wie ein bestimmter politischer kontext
529120	533040	in dem man sein muss um diese aussage zu rechtfertigen und so weiter und so fort
535400	543320	der direkte diskurs ist das abgeleitete ergebnis einer deduktion oder spezifizierung des nicht
543320	549840	zugeschriebenen indirekten diskurses wenn aussagen der kollektiven äußerung subjektivierten
549840	555600	subjekten zugeordnet werden die kollektive äußerung ist in jedem fall die grundlegende
555600	560360	instanz der sprache die immer einen bestimmten sozialen kontext mit sich bringt
563360	569120	wir kennen dieses beispiel zuletzt hatte ich das in einem gespräch über j.k.
569120	576840	rowling wo es um den antisemitismus bei ihr ging wo mir klar wurde dass einige menschen so etwas
576840	586000	anders verstehen als ich zum beispiel eben durch die theorie gewohnt bin die meisten menschen
586000	591040	verstehen wertungen immer noch als subjektivierung zum beispiel wenn ich sage dass jemand eine
591040	596160	antisemitische aussage trifft oder eine rassistische aussage dann ist das primär eine aussage über die
596160	602640	aussage das ist noch nicht etwas was irgendein kern der person beschreiben soll sondern nur dass
602640	612320	das was diese person sagt ob sie es weiß oder nicht in einem kontext besteht der eben diese
612320	620400	wertung ja zulässt zum beispiel wenn ich über irgendeine was weiß ich ich sage es gibt eine
620400	627240	geheime gruppe die sich heimlich organisiert um den westen zum fall zu bringen oder ich sage es
627240	632920	gibt eine geheime gruppe die hinter bank und politik steht und alles kontrolliert dann sind
632920	641080	das aussagen die ich vielleicht nicht irgendwie antisemitisch gemeint habe aber sie entsprechen
641080	647440	eben bestimmten antisemitischen bildern stereotypen und greifen eben auf die zurück ob ich das will
647440	652560	oder nicht genauso ist es auch mit anderen sachen wie zum beispiel dem n-wort oder sonst was das sind
652560	658480	alles sachen die greifen auf einen bestimmten kontext zurück es gibt keinen kontext von dem aus
658480	664800	ich sprechen könnte der eben nicht rassistisch wäre wenn ich zum beispiel das n-wort einfach
664800	665280	sagen würde
669800	678800	jetzt ist die frage wie wird aus einem oder mehreren worten ein befehl und das passiert durch
678800	685120	redundanz so redundanz besteht für die lösen gotterie aus zwei teilen frequenz und resonanz
685120	691240	frequenz ist wie häufig etwas gesagt wird nicht nur von einer personen sondern im allgemeinen es
691240	699720	muss ich natürlich als kollektiv sozusagen verfangen resonanz bedeutet verweist auf die auf
699720	704920	das verhältnis zwischen mir und meiner vorstellung von der welt es geht also hier quasi um das
704920	713160	objekt dadurch dass man diese beiden ins zentrum rückt wird linguistik zu pragmatik man kann
713160	719960	keiner externalien einfach wegwischen dass sie die faktoren sind die die sprache zu dem macht was
719960	727120	sie ist und umgekehrt der sprache erlaubt zu machen wozu sie befähigen kann also ich kann zum
727120	733400	beispiel nicht ignorieren ob jetzt zwei personen ein paar sind oder nicht wenn ich jemanden zum
733720	741280	ehepaar erkläre genauso wenig kann ich so tun als würde meine rolle als was weiß ich militärischer
741280	747760	führer oder so unwichtig sein in meiner fähigkeit durch meine sprache diese aktionen in gang zu
747760	754240	setzen was wichtig ist zu betonen ist das lösen gotterie natürlich nicht sagen dass sprache
754240	759880	realität schafft umgekehrt das realitätssprache einfach einseitig schafft so funktioniert das
759880	768440	nicht es gibt eine gewisse korrelation es gibt ein ja ein ein doppeltes passieren die dinge
768440	776800	passieren eben im befehl und im befehl ist die aktion beinhaltet so deswegen ist es wichtig bei
776800	782720	der sprache zu gucken was passiert wenn wir sprechen wir können sprache nicht sozusagen
782720	787280	durchspielen wie man heute so schön sagt nehmen wir zum beispiel ein duden aufschlagen oder ähnliches
787280	793760	und gucken was steht da drin was ist die definition von diesem in jedem wort wer eine sprache verstehen
793760	800080	will muss immer gucken wie sie verwendet wird und das gilt natürlich für sprachen im allgemeinen aber
800080	811160	eben auch für bestimmte kontexte in denen gesprochen wird so wie wirkt denn nun ein befehl um das zu
811160	817800	verstehen greifende lösen gotterie auf die historiker zurück die hatten ein konzept das
817800	824600	nannte sich körperlose transformation bei einer körperlosen transformation wird zum beispiel aus
824600	830800	einem unschuldigen menschen durch den befehl eines richters ein verurteilter die transformation ist
830800	837080	körperlos weil sie keinen direkten effekt auf den körper hat bis auf vielleicht die schallwellen
837080	842640	damit man das hört und so weiter aber nur weil jemand das sagt zum beispiel weil der richter
842640	849080	sagt du bist jetzt verurteilt oder du bist jetzt ein verurteilter du bist schuldig bin ich noch
849080	859640	nicht im gefängnis aber dieser befehl affiziert meine person auf der symbolischen ebene und das
859640	861480	wiederum hat körperliche folgen
865480	873280	sprechakte stellen keine wahrheitsbeziehung zur welt her oder da oder teilen sie mit oder
873280	880480	kommunizieren sie sondern sich stellen den sinn dessen her oder verändern ihn was über die welt
880480	887040	gesagt werden muss oder kann und entsprechend dann wenn es eben zum beispiel körperliche folgen hat
887040	890240	was man selbst in der welt tun kann und werden kann
896240	901920	die folgen der pragmatik als ja zentrum für die linguistik erkennt man zum beispiel auch an der
901920	906120	debatte zwischen labov und chomsky aber darauf gehen wir jetzt nicht so viel ein es geht bei
906120	911800	der sprache nicht um den standard und seine abweichung das eine lässt sich nicht auf das
911800	917120	andere reduzieren es geht um die variablen des ausdrucks als beispiel nehmen sie hier eine
917120	922280	geschichte von kafka bei der dreimal ich schwöre geäußert wird in unterschiedlichen kontexten
922280	928000	einmal sagt sein sohn zum vater einmal ein partner zu partnerin einmal ein zeuge zum richter die
928000	935440	bedeutung jedoch variiert ohne dass man eine ursprüngliche oder korrekte bedeutung feststellen
935440	941520	könnte das zeigt dass es quasi keine richtige bedeutung von ich schwöre gibt sondern die
941520	947120	funktion sich in den kontexten ändert und es gibt keine die besser oder schlechter ist für das
947120	955880	wort als die andere es gibt keine standard oder muttersprache nur sprachen die sich über politische
955880	962480	macht etablieren konnten wodurch die standardisierung der sprache ein inherent politisches projekt ist
963360	967720	jetzt kann man sagen gut das ist in deutschland natürlich nicht ganz so schlimm wie in frankreich
967720	973400	frankreich hat ein institut das dazu da ist quasi eine standardsprache staatlich wirklich zu
973400	979880	etablieren und sie reinzuhalten aber wir haben immer noch zum einen natürlichen duden ja aber
979880	988080	auch eben eine schul grammatik in die wir uns halten müssen oder zumindest sollen die majoritäre
988080	993960	sprache die die linguistik etablieren will schließt alle menschen aus da niemand das
993960	998080	gebrauch der sprache identisch mit dem der idealen befohlenen sprache ist
1002640	1008840	somit wird im falle der sprache die minoritäre sprache universell und das ist eben auch ein
1008840	1013400	beispiel für diese ganzen sprache puristen die sagen nein sprache muss so bleiben wie sie ist
1013400	1018040	wir können nicht entgendern wir müssen das n wort behalten und so weiter und so fort
1021960	1029640	weil es ihnen eben nicht darum gehen kann denn die sprache hat so ein standard der nichts mit der
1029640	1035800	realgesprochenen verwendeten sprache zu tun hat weißt du ob du jedes wort richtig verwendest
1035800	1041280	bist du immer grammatikalisch korrekt weil wenn du einmal ein fehler machst müsstest du mit dem
1041320	1047120	selben selbsthass reagieren mit dem has mit dem du reagierst wenn andere versuchen die
1047120	1053920	sprache inklusiv zu machen also sie verändern aber das tun sie nicht sie haben nicht diesen
1053920	1058080	selbsthass keiner ist ins messer gesprungen weil man selbst ein kommer vergessen hat oder
1058080	1065760	falsch gesetzt hat keiner von denen demnach kann es eben nicht um eine ideelle sprache gehen oder
1065760	1075360	eine ideale sprache so nachdem sie das alles dargestellt haben ging es in dem text noch
1075360	1082440	ein wenig darum dass man eben auch die möglichkeit hat eben befehle anders zu sehen oder zu verwenden
1082440	1087960	und zwar nicht nur so dass sie einem etwas aufzwingen sondern es gibt eben eine verborgene
1087960	1094000	seite dieser ordnungswörter dieser befehle und zwar das passwort oder passwörter das ist ein
1094000	1099600	sprachgebrauch der transformativ ist und der sprache selbst in einer kriegsmaschine verwandelt
1099600	1104240	die man besser auch zum beispiel metamorphose maschine nennen könnte oder so aber darauf gehen
1104240	1108000	wir jetzt gerade nicht ein weil kriegsmaschine besprechen wir wenn überhaupt von anders
1110000	1118200	ja aber ich denke es ist jetzt klar an diesem punkt warum diskussion über elemente der sprache
1118200	1125040	nie diskussion über elemente der sprache sind sondern immer politische und gehern gesteuerte
1125040	1132160	also reaktionäre gespräche vor allem wenn es eben um die reinhaltung der sprache geht denn
1132160	1141680	diese reine sprache die gibt es nicht die hält niemand ein nun gut ich hoffe ich konnte zum einen
1141680	1146280	gut genug erklären worum es mir gehen um einen punkt machen und zum anderen auch natürlich eine
1146280	1151880	nette einführung in dieses plateau von der lösung quateries 1000 platos geben wenn euch das video
1151880	1155920	gefallen hat natürlich gerne eine positive bewertung dalassen ein abo auf youtube falls
1155920	1159720	ihr da seid und wenn nicht aber ihr trotz mein youtube abo habt könnt ihr das gerne machen
1159720	1165360	ich wünsche euch noch einen schönen tag und man hört sich beim nächsten mal wieder
