start	end	text
0	6000	In der 15. Episode des Corvus Corax Podcasts beschäftigen wir uns mit Friedrich August von Hayek.
6000	9000	Zuerst werfen wir einen Blick auf sein Marktverständnis,
9000	12000	darauf hingehen wir über zu seiner Kritik an der Planwirtschaft,
12000	17000	um den Abschnitt Hayek mit der Auseinandersetzung mit seinem Gerechtigkeitskonzept zu beenden.
17000	23000	Im Rahmen dieser Auseinandersetzung treffen wir auf eine Kritik des Konzepts der negativen Freiheit
23000	26000	und Markskonzeption der Gerechtigkeit.
27000	32000	Wenn du den Podcast unterstützen möchtest, dann werf doch bitte einen Blick in die Beschreibung.
32000	35000	Viel Spaß mit dieser Episode.
56000	66000	Hallo und herzlich willkommen zu einer neuen Episode.
66000	68000	Ich wollte es mal mit einem anderen Intro probieren.
68000	73000	Wir haben jetzt mal ein paar Episoden, ein etwas experimentelleres, absurderes Intro gehabt.
73000	76000	Jetzt hatten wir mal ein etwas informativeres Intro.
76000	78000	Wir sind ja noch in der ersten Staffel des Podcasts.
78000	83000	Das ist ja noch die Zeit, in der wir versuchen bzw. ich versuche herauszufinden,
83000	89000	wie ich diesen Podcast am besten und angenehmsten für mich und euch gestalten kann.
89000	92000	Das war ja auch zum Beispiel bei der letzten Episode der Versuch,
92000	96000	die Episoden sowohl in Englisch als auch in Deutsch herauszubringen.
96000	102000	Was ich jetzt erstmal lassen werde, da auch wenn sie nicht schlecht aufgenommen wurde,
102000	105000	sie nicht so aufgenommen wurde, wie ich es mir erhofft hätte,
105000	112000	sodass sie meiner Ansicht nach hätte sowohl in Deutsch als auch in Englisch erscheinen können weiterhin.
112000	125000	Ich denke, es wäre von hier an besser, zu schauen, ob es Gäste gibt, die interessant wären im Rahmen eines Gesprächs,
125000	134000	anstelle von dem ursprünglichen Weg, den dieser Podcast gehen wollte und sollte abzuweichen.
134000	140000	Also Wurzeln im englischsprachigen Raum zu schlagen.
140000	149000	Heute geht es um Hayek. Die primäre Literatur hierfür war hauptsächlich The Road to Serfdom und The Constitution of Liberty.
149000	156000	Das erste war mehr so sein polemisches Erstwerk, das ihn relativ berühmt gemacht hat.
156000	162000	Und das letzte ist mehr etwas, was er etwas älter in einem etwas älteren Zustand geschrieben hat,
162000	171000	als er versucht hat, etwas weg von der Polemik zu kommen und etwas mehr in die Welt der Theorie eingetaucht ist und mehr Nuancen in sein Werk bringen wollte.
171000	177000	Ja, Sekundärliteratur ist einiges. Das ist eigentlich nicht so viel.
177000	182000	Das sind, glaube ich, drei oder vier Bücher gewesen, die könnt ihr in der Beschreibung natürlich finden.
182000	191000	Getränk des Tages. Wer es gesehen hat von der Kürbissuppe, ich habe da ein wenig Orangensaft mit reingemacht.
191000	197000	Es ist noch was übrig geblieben und das ist jetzt halt heute das Getränk des Tages heißt von Valensina.
197000	204000	Genau so heißt das Valensina Frühstücksorange. Gemischt natürlich mit Wasser, weil inzwischen ist sie auch nicht mehr ganz so voll.
204000	208000	Also habe ich daraus eine Schale gemacht und das wird heute getrunken.
211000	216000	Das ist ein Aspekt dieser Show, der voraussichtlich bleiben wird.
217000	219000	Kurz mal das Mikro ein bisschen bewegen.
219000	225000	Okay, dann wollen wir mit Hayek beginnen.
225000	231000	Also, ja, und es kann sein, dass diesmal nicht ganz so gut strukturiert ist, wie manche andere Male.
231000	234000	Es liegt daran, ich hatte jetzt mehrere Tage kein Internet.
234000	238000	Heißt, ich hatte keinen richtigen Zugriff auf meine Notizen und Notizen nehmen.
238000	244000	Übers Handy wäre unfassbar unnötig kompliziert gewesen, weshalb ich einige Notizen auf Papier gemacht habe.
244000	248000	Und heute, wo ich wieder Internet hatte, habe ich sie dann versucht zu übertragen.
248000	252000	Aber das kann sein, dass das ein bisschen die Struktur durcheinander gebracht hat.
252000	254000	Wir werden es sehen.
254000	258000	Also fangen wir mit Hayeks Markt an.
258000	264000	Oder anders gesagt, mit seiner Werttheorie und der spontanen Ordnung.
264000	271000	Und Hayek fängt hier mit einer Frage an, die einen Ökonom überraschen könnte.
272000	278000	Er fragt eigentlich, wieso herrscht solch eine Ordnung in der Natur?
281000	290000	Diese Frage hat bei Hayek für das Einsetzen eines hinterfragenden Denkprozesses gesorgt.
290000	297000	Jedoch lehnt er klassische Designargumente, wie man sie zum Beispiel von Kreationisten kennt, ab.
297000	303000	Und zwar auf der Basis, dass sie fehlerhafte Argumente sind.
303000	309000	Er geht jedoch von dieser Ordnung in der Natur aus und entwickelt das Ganze weiter.
309000	318000	Und sagt, genauso wie die Ordnung in der Natur spontan entsteht und sich durch gegenseitige Raffinierung verbessert, also evolutionär,
318000	322000	so ist auch die menschliche Sprache entstanden und hat sich verbessert.
322000	327000	Dasselbe gilt auch für die Gesellschaft, in der wir natürlich leben, wie es sich für eine Gesellschaft gehört.
327000	332000	Sie ist das Ergebnis eines Prozesses, in welchen viele involviert waren.
332000	336000	Niemand hat sie erfunden oder designt, um so zu sein, wie sie ist.
336000	342000	Da steckt kein Mastermind hinter, keine jüdische Kaballe oder was man auch immer noch hat,
342000	349000	die das Ganze so konstruiert und instruiert hat, wie es nun mal so inzwischen ist.
349000	355000	Genauso wie die Evolution über unvorhersehbare Mutationen verläuft,
355000	362000	verläuft auch die Entwicklung des Sozialen, der Kultur und des Marktes in Detail unvorhersehbar.
362000	372000	Innovation, Mode und verschiedene Formen des Schocks können die Entwicklung wieder erwarten, in eine andere Richtung laufen lassen.
372000	377000	Grobe, sehr allgemeine Aussagen sind jedoch dennoch deterministisch.
377000	382000	Was interessant ist, wir sehen hier eine Mischung auf der großen Ebene von Determinismus
382000	388000	und auf der kleinen Ebene Mikrokosmos frei bzw. spontan eher nicht frei.
388000	393000	Zum Beispiel kann man immer noch mit Sicherheit sagen, was mit der Währung passiert,
393000	398000	erhöht man die Menge des Geldes, das zirkuliert und so weiter, also solche festen Regeln.
400000	404000	Wer es vielleicht nicht wusste oder wem es noch nicht aufgefallen ist,
404000	409000	wobei ich denke, dass es einige gibt, das ist ungefähr so das gesamte Verständnis
409000	414000	und auch die Grenze von dem, was Lindner vom und unter dem Markt versteht.
416000	421000	Wo wir gerade über Geld sprechen. Was ist eigentlich der Sinn des Geldes und wie entsteht dessen Wert?
422000	429000	Hayek's Antwort hierauf ist, dass Geld wie eine Art Sprache ist, deswegen vorne auch die Erwähnung der Entstehung der Sprache,
429000	433000	die es uns erlaubt, untereinander und miteinander zu vermitteln,
433000	439000	welcher Wert welchem Gegenstand oder welcher Handlung, also welcher Wert was zukommt.
439000	443000	Woraus gefolgert wird, dass das Geld das Kommunikationsmittel ist,
443000	449000	um zwischen Produzent und Konsument zu vermitteln, was und wie viel von was produziert werden soll.
451000	456000	Würde nun eine Autorität hingehen, außerhalb dieses bilateralen Austausches
456000	461000	und versuchen wollen zu diktieren, was zum Beispiel ein Kilogramm Kartoffeln oder einen Liter Benzinwert ist,
461000	469000	so wäre es, als würde sie bestimmen wollen, welcher Signifikant dem Signifikat Kartoffel oder Benzin entsprechen soll.
470000	476000	Und hier sieht man auch, und das ist etwas, was man zum Beispiel auch im Denken von Jordan Peterson findet,
476000	486000	wie diese Idee der Kontrolle über den Markt mit der Kontrolle über die Sprache verbunden ist.
