start	end	text
0	6000	In der sechzehnten Episode des Corvus Corax Podcasts spreche ich mit einem Gast, Gunnar Kaiser,
6000	14000	über das Buch von Michel Foucault, Die Ordnung der Dinge, eine Archäologie der Humanwissenschaften, erschienen 1966.
14000	20000	Nach einer kurzen Rekonstruktion beschäftigen wir uns mit einer kritischen Betrachtung des Werkes.
20000	23000	Danach folgt ein kleines Spiel, viel Spaß.
30000	53000	Ja, hallo und herzlich willkommen zur sechzehnten Episode ist es inzwischen.
53000	57000	Heute haben wir einen Gast da, der kann sich auch gerne selber mal vorstellen.
57000	64000	Ja hallo, mein Name ist Gunnar Kaiser, ich habe den YouTube Kanal Kaiser TV und bin besonders froh jetzt hier bei dir Gast sein zu dürfen.
64000	70000	Bei mir mache ich normalerweise philosophische Themen, literarische Themen und auch ein bisschen Gesellschaft und Politik.
70000	79000	Und ich bin ja auch auf deinen Podcast gestoßen, weil es da einige thematische Überschneidungen auch gegenüber sich super interessant fand und auch schön dargestellt.
79000	82000	Und deswegen freue ich mich, dass wir zusammen sitzen.
82000	84000	Ja gut, dann kann ich den Punkt ja auch schon streichen.
84000	89000	Eigentlich wollte ich fragen, wie es dazu gekommen ist, dass wir hier zusammensitzen, aber dann hat sich das ja schon erledigt.
89000	99000	Aber tatsächlich fand ich es wirklich interessant, weil ich nach Karl Schmidt gesucht habe, um meine Kritik an der identitären Bewegung noch ein bisschen philosophisch zu unterfüttern,
99000	102000	die sich ja immer auf Karl Schmidt bezieht oder die neuen Rechten.
102000	112000	Und da fand ich deinen Podcast eben sehr hilfreich, weil er eben auch sachlich, aber ja auch von der Ausrichtung her klar sich mit Karl Schmidt auseinandersetzt.
112000	114000	Und so das war mein erster Kopf.
114000	117000	Und das hat sie mir ja schon mal erzählt.
117000	119000	Du hast sie damals über Spotify gefunden, richtig?
119000	123000	Ja, das nämlich für alle, die meinten, dass Spotify sich nicht gelohnt hat.
123000	126000	Bitte, nun sitze ich hier.
126000	134000	Ja, erst mal, bevor wir anfangen, groß in die Themen reinzukommen, wie schon bereits erwähnt.
134000	136000	Die Ordnung der Dinge wird heute besprochen.
136000	151000	Wir möchten der Plan war es quasi uns mit einem sogenannten Postmodernisten zu beschäftigen und ihn fair darzustellen, weil häufig ist da liegen da einige Vorurteile vor oder Missverständnisse.
151000	160000	Deswegen werde ich gleich vorab noch ein paar Vorurteile schon mal aus dem Weg schaffen, die jetzt nicht explizit relevant für dieses Werk sind, aber für Foucault im Allgemeinen.
160000	163000	Ansonsten gibt es wieder ein Getränk des Tages.
