start	end	text
0	4600	In dieser Episode des Podcasts spreche ich mit Aaron Rabinovitz mit meinem schlechten
4600	9440	Englisch über das Phänomen des ganz stupide übersetzt moralischen Glücks.
9440	14400	Eine deutsche Zusammenfassung für alle, die entweder kein Englisch können oder sich mein
14400	17960	Englisch nicht antun wollen, würde es am Ende noch zusätzlich geben.
17960	22920	Wenn ihr diesen Podcast unterstützen wollt oder bei dem Gast vorbeischauen wollt, dann
22920	24480	schaut doch mal in die Beschreibung.
24480	26560	Mit diesen Worten viel Spaß.
30000	55640	Welcome back, everyone.
55640	61920	Today in the 17th Episode of the Podcast, we have a very special guest.
61920	68880	He's the person or entity behind one of my favorite podcasts.
68880	74760	And I think he can introduce himself a bit, if that's okay for you.
74760	75760	Sure.
75760	77040	My name is Aaron Rabinovitz.
77040	85080	I teach at Rutgers University and do Embrace the Void Podcast and the Philosophers in Space
85080	91840	Podcast and generally hang around social medias, trying to get people to argue about
91840	92840	philosophy.
92840	93840	Great.
93840	98920	So today's topic will be moral luck because a lot of the viewers wanted me to talk about
98920	104320	it and that's not really my specialty.
104320	109800	But as far as I'm aware, you have thought quite a bit about the topic.
109800	110800	Am I correct?
110800	111800	Yeah.
111800	112800	I'm certainly obsessed with the topic.
112800	116760	I don't know if I have anything particularly insightful or useful to say about it, but
116760	119600	I can certainly explain why I'm obsessed with it.
119600	120600	Great.
120600	130120	I think that would be even better than just saying something very important.
130120	131120	Fair enough.
131120	132120	Yeah.
132120	137040	No, no, because I think if you're able to motivate some viewers to think about the topic,
137040	145600	I think that will have a more positive outcome than if you just say something that would
145600	150240	finish the whole topic for the viewer.
150240	155320	So just before we really get into the topic, I have to do something that I always do.
155320	158240	I always have a different drink in the show.
158240	161760	It's a really boring drink as always.
161760	169280	Today I have the star drink, orange zero sugar, just so that everyone knows and can
169280	174320	be aware of me annoying them with the sounds of me drinking.
174320	177360	Do you have anything to drink on your end?
177360	183040	So over here it's 11 a.m., so I'm sticking with water at the moment, depending on what
183040	187640	particular podcast I'm recording and what the content is that that can scale up in various
187640	189760	ways towards whiskey.
190760	192240	Okay, great.
192240	195480	So I guess we could just start.
195480	204240	So the first question would be what moral luck is or what moral luck means.
204240	205760	What are we talking about?
205760	213400	Yeah, so moral luck refers to situations where a person is held morally responsible for
213400	216640	something that is beyond their control.
216640	225000	So in contexts where, you know, someone is seen as guilty of a crime and punished for
225000	231600	doing that crime, even though it seems like the fact that they did that crime was beyond
231600	238080	their control in some important way, would be the sort of classic examples of moral
238080	240280	luck.
240280	245760	And the view that I hold is that pretty much all moral judgments are cases of moral luck
245800	249000	because everything is entirely the result of luck.
249320	251160	Everything is just luck all the way down.
251880	258480	And so that raises real problems for someone like me, who also believes that moral judgments
258480	264240	are real and true and apply objectively and that we should care about them.
264440	269080	So how one reconciles those two things, that's that's really tricky dance.
269960	271040	But I think it's good.
271520	276640	Yeah, on that note, I just have a question on your definition of luck.
277080	280920	So what would you define as luck?
281560	286080	Yeah, and so this gets a little tricky to avoid kind of circularities here.
286080	292360	But I think luck refers to things that are beyond our control.
293320	298840	So the sort of textbook examples that we can think of are, you know, if you're playing a
298840	303280	video game or something that has a random number generator in it, right, it rolls a
303280	305440	number that you have no control over.
305640	311320	And that element of luck, you know, shapes the way that the game is played or how how
311320	312880	these kind of games work.
312880	319480	Right. So, you know, other examples of, you know, really cases of really good or really
319480	320640	bad luck. Right.
320640	326000	You happen to be born into a family where you inherit massive amounts of wealth versus
326000	328880	being born into an abusive household, for example.
329840	335160	Right. These are things that I think there's lots of things that we can reasonably say
335160	337440	are beyond people's control.
337840	343120	Those are the things that I think of as, you know, the features of the world that are luck
