start	end	text
0	4840	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von
4840	10560	Zukunft. Mein Name ist Jan Groß und ich freue mich sehr, euch hier zur ersten Folge begrüßen zu
10560	16280	dürfen. Wer etwas mehr über den Podcast erfahren möchte, dem sei die Folge 0 ans Herz gelegt, in
16280	21360	der ich dem Podcast etwas vorstelle. Heute zu Gast bei Future Histories ist Benjamin Seibel,
21360	27560	Leiter des Ideation and Prototyping Labs der Technologie Stiftung Berlin und Autor des Buches
27560	35400	Cybernetic Government, Informationstechnologie und Regierungsrationalität von 1943 bis 1970. Ich
35400	40800	habe das Buch mit wirklich sehr großem Interesse gelesen, denn die Kybernetik scheint mir essentiell,
40800	45600	wenn es um Fragen der Zeitgenössischen und vor allem auch der zukünftigen Machtausübung geht.
45600	50640	Wer nicht weiß, was Kybernetik ist, der soll nicht länger warten. Wir springen direkt ins Gespräch
50640	61520	mit Benjamin Seibel. Herzlich willkommen Benjamin. Hallo Jan. Also es ist ja so,
61520	66160	ich habe es in einleitenden Worten zu dieser Folge schon gesagt, mir scheint die Kybernetik
66160	71640	ein sehr zentrales Element zum Verständnis zeitgenössischer und zukünftiger Machtausübung
71640	75520	zu sein, aber gleichzeitig ist der Begriff heutzutage eigentlich nicht mehr wirklich geläufig
75520	79200	und ich würde mal sagen, die meisten Leute können sich da eigentlich wirklich gar nichts
79200	84560	darunter vorstellen. Also zunächst mal die Frage, was ist Kybernetik? Das ist tatsächlich gar nicht
84560	90080	so leicht zu beantworten. Kybernetik ist zunächst mal eine wissenschaftliche Disziplin,
90080	97000	deren Entstehung sich relativ gut datieren lässt auf das Buch mit dem gleichen Titel Cybernetics
97000	103440	von Norbert Wiener 1948 erschienen. Und ja, wenn jemand noch nie davon gehört hat, sage ich
103440	108280	manchmal so etwas salopp, das ist eine Vorläuferwissenschaft der Informatik. Das ist nicht ganz
108280	112320	richtig, aber es ist zumindest auch nicht ganz falsch. Also im Kern ist es eigentlich eine
112320	118120	Theorie von informationsverarbeitenden Maschinen. Das ist damals dann wirklich noch etwas sehr
118120	126240	Neues. Zugleich steht die Kybernetik aber auch für eine Art technologischer Epochenschwelle,
126240	131640	also wirklich für eine technologische Revolution und auch für den Anbruch eines neuen Zeitalters.
131640	136520	So wird das verkauft von den Protagonisten und so wird das in der Öffentlichkeit damals auch
136520	142160	durchaus wahrgenommen. Also in den 50er und 60er Jahren ist die Kybernetik eben durchaus auch
142160	148280	ein populäres Thema. Das ist auch insofern, also dieser Eindruck der Epochenschwelle ist auch in
148280	152960	sofern nicht ganz unberechtigt, als dass die Kybernetik eigentlich zum ersten Mal bestimmte
152960	158920	Entwicklungen zusammenführt, die wir heute unter dem ja auch etwas wagen Begriff Digitalisierung
158920	164680	fassen würden. Von Digitalisierung spricht man damals eben noch nicht, sondern man spricht von
164680	172600	Kybernetik. Der Grund für diesen Erfolg dieses Buches oder auch gewissermaßen die Pointe von
172600	178800	Norbert Wieners Buch ist, dass er einerseits eine Theorie informationsverarbeitender Maschinen
178800	184720	schreibt, dass er aber gleichzeitig behauptet oder davon ausgeht, dass diese Theorie übertragbar
184720	192640	ist auf alles Mögliche. Dass also man im Grunde auch Lebewesen als informationsverarbeitende
192640	197880	Maschinen begreifen kann, die mit ähnlichen Mechanismen funktionieren, die also über ihre
197880	205800	Sinne Informationen aufnehmen, die Feedback-Mechanismen wirken, haben in sich und dann immer wieder sich
205800	210600	adaptiv auch an Umwelt anpassen. Und auf dieser Grundlage, dass man eigentlich alles als
210600	215840	Informationssystem betrachten kann, kann die Kybernetik sich dann auch ausbreiten und auch
215840	221080	andere wissenschaftliche Disziplinen anfangen zu verändern. Und das passiert auch. Also man sieht
221080	225800	in den 1950er, 60er Jahren dann wirklich die Entstehung von kybernetischer Biologie, von
225800	230360	kybernetischer Psychologie, von kybernetischer Linguistik und so weiter. Also da gibt es einen
230360	235680	riesigen Hype zu dieser Zeit. Du hast jetzt wiederum in deinem Buch Cybernetic Government
235680	240120	einen spezifischen Ort des Hineinwirkens des kybernetischen Gedankens dir angeschaut,
240120	244720	die Frage des Regierens. Da wurde also quasi dann diese Art und Weise, wie die Kybernetik auf die
244720	249160	Welt geblickt hat, also wie du es jetzt gerade auch gesagt hast, diese Einbindung in eine
249160	255000	eigentlich verallgemeinerbare Funktionslogik, die wurde eben dann auch auf die Frage nach der guten
255000	260240	Form des Regierens übertragen. Wie ging das vonstatten? Was waren so die Probleme, die man
260240	264680	auch gemeint hat, damit lösen zu können? Was waren die Hoffnungen und Zukunftsbilder, die damit
264680	269680	verbunden waren? Ja, also wie gesagt, diese kybernetischen Modelle schwärmen in alle
269680	273800	möglichen Richtungen aus, nicht nur in die Ingenieurs- und Naturwissenschaften, sondern
273800	278720	eben auch in die Wissenschaften vom Menschen und von der Gesellschaft und somit eben auch in die
278720	284800	politische Theorie und in die Regierungswissenschaft. Es gibt grundsätzlich im politischen Wissen eine
284800	292880	sehr lange bis in die Antike zurückreichende Tradition, Politik und Technik zusammenzudenken.
292880	299400	Das heißt, man vergleicht den Staat dann je nachdem mit den vorherrschenden Technologien der Epoche,
299400	304240	in der Antike dann vielleicht mit einem Schiff, in der frühen Neuzeit gerne mit Urwerken zum
304240	311360	Beispiel. Und was ich in meiner Arbeit zeigen wollte, war, dass das nicht einfach nur metaphorisch
311360	316600	gemeint ist, sondern dass sich in diesen Modellierungen des Staates als Technik ganz
316600	322760	bestimmte Vorstellungen verbergen davon, was Regieren bedeutet, wer regiert, wie regiert wird,
322760	328240	zu welchem Zweck regiert wird und so weiter. So und die kybernetik sagt jetzt eben gut, wenn
328240	333960	Menschen informationsverarbeitende Systeme sind und auch Gesellschaften informationsverarbeitende
333960	338640	Systeme sind, die wir uns so ähnlich vorstellen können wie zum Beispiel ein Computernetzwerk.
338640	343560	Was bedeutet das dann für unser Verständnis von Gesellschaft und wie können wir dieses Wissen
343560	348480	oder diese Perspektive benutzen, um auch besser zu verstehen, wie sich Gesellschaften steuern
348480	355560	oder koordinieren lassen. Und so entsteht eben in den 50er und 60er Jahren eine Strömung der
355560	360480	politischen Kybernetik. Einer der Protagonisten ist Karl Wolfgang Deutsch, der auch ein Buch
360480	365520	geschrieben hat, das im Deutschen politische Kybernetik heißt und man kann eigentlich eine
365520	371920	ganz interessante Rückübersetzung beobachten. Das heißt zuerst geht man davon aus, Menschen
371920	376040	funktionieren wie Maschinen und dann kommt man zu dem Schluss, na wenn Menschen wie Maschinen
376040	380640	funktionieren, dann können sie auch von Maschinen regiert werden. Das heißt man fängt an, sich zu
380640	385240	überlegen, könnte nicht die Aufgabe eines Staates, könnte die nicht auch ein Informationssystem
385240	389240	übernehmen. Also könnten wir uns vorstellen, dass die Gesellschaft durch einen Computer
389240	396400	regiert wird. Und das wird dann eben von den Vertretern dieser Strömung durchgespielt und das
396400	402320	Ganze passiert zu einer Zeit, also eigentlich unmittelbar nach dem Zweiten Weltkrieg, viele
402320	408520	dieser Informationstechnologien sind ja ursprünglich auch militärische Technologien. Das passiert zu
408520	415320	einer Zeit, in der man in Amerika und das ist der Kontext, den ich mir angeschaut habe, in dem man
415320	421200	in Amerika überzeugt ist, dass der Liberalismus die beste Form sozialer Organisation ist. Da
421200	427400	gibt es einen breiten Konsens in der Gesellschaft darüber. Aber gleichzeitig man den Liberalismus
427400	432320	auch als gefährdet betrachtet. Nicht zuletzt vor dem Hintergrund der Blockkonfrontation mit
432320	437040	der Sowjetunion ist man der Ansicht, oh, da drüben gibt es irgendwie Sozialismus, das ist
437040	441760	das konkurrierte System und das funktioniert auch ziemlich gut. Das ist ja in den 50er Jahren
441760	447080	durchaus so, dass man den Eindruck hat, die Sowjets sind wirklich gut unterwegs, die schießen
447080	452360	Satelliten ins All, die machen auch Atombomben-Tests und so weiter. Sprich, man hat ein bisschen Sorge,
452360	459360	dass der Liberalismus, wenn er ungesteuert ist, ins Hintertreffen geraten könnte. Folglich glaubt
459360	466600	man, dass man den Liberalismus auch technisch verbessern und unterstützen muss und da kommt
466600	471840	dann gewissermaßen die Kybernetik ins Spiel. Weil ich sagte ja eben schon, dass es durchaus
471840	477520	auch ältere Modelle gibt, den Staat technisch zu denken. Aber diese Modelle wurden früher
477520	486240	oder später verworfen, weil sie als zu starr wahrgenommen wurden und sozusagen die Freiheit
486240	491080	des Individuums nicht berücksichtigt haben. Also dieses absolutistische Modell, der Staat
491080	496680	ist ein Uhrwerk, der Fürst ist irgendwie die Feder und alle anderen Menschen sind nur Zahnräder. Das
496680	500080	war dann spätestens mit der französischen Revolution irgendwie so ein bisschen überholt,
500080	506880	weil man gesagt hat, Moment, individuelle Freiheit und genau der Liberalismus setzt ja ganz stark
506880	511960	auf die Freiheit des Individuums. Nicht nur aus humanistischen Gründen, sondern vor allem aus
511960	517480	ökonomischen Gründen. Und diese Freiheit des Individuums, so glaubte man, war nicht mit
517480	522560	technischen Modellen vereinbar, bis die Kybernetik kam, die nämlich gesagt hat, hey, wir haben hier
522560	528880	eine ganz neue Art von Technologie, von flexibler, von adaptiver Technologie, die sich immer wieder
528880	534320	anpassen kann, auch an andere Umstände. Und diese Technik, so glaubte man dann, sei durchaus
534320	539920	vereinbar mit dem Liberalismus und mit der Freiheit. Es sei also quasi eine Technologie der
539920	545600	Freiheit. Das ist auch wörtlich so von Stafford Beer, einem führenden Kybernetiker, beschrieben
545600	551240	worden. Die Kybernetik als freiheitliche Technologie und damit eben auch kompatibel mit dem
551240	560480	Liberalismus der Amerikaner. Also da waren jetzt unglaublich viele Dinge drinnen, bei denen ich
560480	566840	einfach das Gefühl habe, dass man da ganz viel auf auch eine zeitgenössische Situation umlegen
566840	571480	kann als Fragestellungen, also zeitgenössische Fragestellungen. Also ich zumindest habe das
571480	579320	Gefühl, dass auch heutzutage quasi der Liberalismus nochmal anders in Frage gestellt wird. In dem
579320	584320	Fall quasi nicht über diesen klassischen Blockkonflikt des Kalten Krieges. Aber ich
584320	590320	habe genauso auch heutzutage das Gefühl, dass da die bisherigen Rechtfertigungsmechanismen nicht
590320	596360	mehr in der Lage sind, wirklich zu überzeugen. Und auch hier springt wieder die Kybernetik oder
596360	606120	die Digitalisierung in Depresse und gibt zumindest vor, alternative Lösungsmöglichkeiten zu haben
606120	610880	oder zumindest irgendwie entwickeln zu können oder so. Aber vielleicht geht das jetzt gerade noch
610880	615160	zu weit. Ich würde gerne noch kurz einmal zurückgehen zu der Art und Weise, wie du selbst
615160	622280	auf die Frage der Technologie schaust. Wenn ich das mal polemisch so ein bisschen zuspitzen könnte,
622280	626720	würde ich sagen, es gibt irgendwie so drei Lager und das eine Lager hat eben eigentlich vor
626720	633200	allem Angst und empfindet eine technologische Veränderung als überfordernd oder vielleicht
633200	637400	auch falsch. Da geht es dann oft darum, dass sie glauben, dass da etwas verloren ginge,
637400	643560	etwas schützenswertes, etwas eigentliches, ursprüngliches verloren ginge durch. Das ist
