start	end	text
0	4640	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung
4640	5640	von Zukunft.
5640	10920	Mein Name ist Jan Groß und ich freue mich sehr, heute Samia Mohammed begrüßen zu dürfen.
10920	17080	Sie forscht im Rahmen des graduierten Kollegen Contradictions Studies und ist Autorin des
17080	22920	kürzlich erschienen Buches Zukunft Jenseits des Marktes – Demokratie und gesellschaftliche
22920	29120	Naturverhältnisse in sozialistischen Utopien, das ich mit größtem Interesse gelesen habe
29120	31240	und ich kann es euch sehr ans Herz legen.
31240	37880	Die Folge steht in einem sehr schönen Wechselverhältnis zur Episode mit Thomas Lembke zum Regieren
37880	38880	der Dinge.
38880	43240	In beiden Folgen wird nämlich zum Beispiel die Frage des Naturverhältnisses thematisiert
43240	48360	und ich hatte mich auch damals im Gespräch mit Thomas Lembke gefragt, wie man wohl einen
48360	53760	Brückenschlag zwischen den von ihm aus den neuen Materialismen heraus entwickelten Fragen
53760	58680	rund um post-anthropozentrische Politiken, wie man die wohl gut in die Debatte rund
58680	64640	um Fragen demokratischer Planung einspeisen kann und da war ich natürlich extrem begeistert
64640	70800	zu sehen, dass Samia an solchen Fragestellungen arbeitet und der wirklich ganz wichtige kritische
70800	72400	Arbeit auch leistet.
72400	77120	Bevor es jetzt losgeht, dann möchte ich noch Dennis, Jonas und Scott in der Gemeinschaft
77120	82680	der Patreon-UnterstützerInnen begrüßen und Fabian, Lukas und Wilfried für ihre Spenden
82680	83680	danken.
83680	90600	Und jetzt viel Freude mit der heutigen Episode Future Histories mit Samia Mohamed zur Zukunft
90600	98440	jenseits des Marktes.
98440	100200	Herzlich willkommen, Samia.
100200	103160	Ja, hallo Jan, vielen Dank für die Einladung.
103160	105120	Ich freue mich sehr.
105120	106120	Ich mich auch.
106120	111680	Was mir an deinem Buch wirklich besonders gut gefallen hat, ist, wie du bestimmte Lehrstellen
111680	115840	und auch bisher uneingelöste Potenziale in der Debatte rund um demokratische Planung
115840	116840	ausweist.
116840	120920	Dieser Aspekt deiner Arbeit, der wird auch heute in unserem Gespräch im Mittelpunkt
120920	121920	stehen.
121920	126920	Aber lass uns, bevor wir uns diesen Lehrstellen und Potenzialen zuwenden, zum Einstieg vielleicht
126920	132320	auch darauf eingehen, warum es sich überhaupt deiner Meinung nach lohnt, sich mit der Planungsdebatte
132320	133680	auseinanderzusetzen.
133680	139320	Du sprichst dich ja durchaus für ein Utopisieren aus und trotz aller Kritik eben auch für ein
139400	141920	Utopisieren mit der Planungsdebatte.
141920	143880	Ja, genau, auf jeden Fall.
143880	146360	Ja, also super Einstiegsfrage.
146360	153120	Ich habe das Buch auf jeden Fall in der Absicht geschrieben, das Interesse auch an der Debatte
153120	156560	weiter zu wecken und auch vielleicht bestimmte Dialoge damit anzustoßen.
156560	163920	Und erst mal glaube ich, ist es ein wichtiger Einstieg, dass die diversen Krisen, die wir
163920	168800	derzeit beobachten, es fast schon unausweichlich erscheinen lassen, aus meiner Sicht, sich
168840	173920	auch mit alternativen Zukünften zu beschäftigen, neben der natürlich auch notwendigen Kritik am
173920	179440	Bestehenden, aber eben auch über konkrete Formen des anderen Zusammenlebens und des anderen
179440	183520	Wirtschaftens nachzudenken, jenseits eben von Kapitalismus und Marktwirtschaft.
184360	192120	Und zwei der Krisenfelder, die aktuell ja besonders brennend sind, würde ich sagen, sind
192120	198120	sowohl Demokratiedefizite in eigentlich formal liberalen Demokratien, wiedererstarkender
198120	204320	Authoritarismus und andererseits eben gesellschaftliche Naturverhältnisse, die Klimakatastrophe.
205000	211200	Und da denke ich, dass sich auch als gemeinsame Ursache oder als eine der gemeinsamen Ursachen
211200	214080	die kapitalistische Produktionsweise identifizieren lässt.
214520	221600	Und gleichzeitig würde ich aber sagen, dass gerade so in der Demokratie Theorie es jetzt
221600	226680	länger keine so intensive Auseinandersetzung mit ökonomischen Fragen gab und das jetzt
226680	227560	erst wieder losgeht.
227560	235200	Und ich da eben sagen würde, dass die Planwirtschaftsdebatte vielleicht ja ganz interessanter Dialogpartner
235200	241680	sein könnte, weil sich aus beiden Perspektiven, also aus einer politökonomischen, aber auch
241680	246400	aus einer demokratietheoretischen Perspektive Fragen an diese Debatte stellen lassen.
246400	250200	Und das ist ja auch schon eine relativ alte Debatte, also die kommt hier ja in deinem
250200	251760	Podcast öfter vor.
251760	256560	Es gibt da irgendwie alte und neue Vorschläge und da ist einfach viel Potenzial, was man
256560	257400	diskutieren kann.
258920	265880	Und ich glaube, es gibt aber dann auch systematische Gründe dafür, sich gerade mit Planwirtschaft
266280	271080	im Gegensatz zum Beispiel auch zu marktsozialistischen Vorschlägen zu beschäftigen, wenn man nach
271120	275640	Lösungsvorschlägen sucht, auf diese Krisen, die ich skizziert habe.
276960	281600	Und die werden ja auch in den Planwirtschaftsentwürfen immer wieder benannt.
281600	288960	Und das wäre zum einen die sehr starke Koordinationskapazität von einer planwirtschaftlichen
288960	292760	Organisationsweise der Ökonomie im Gegensatz zu einer marktwirtschaftlichen.
293640	299360	Das zeigt sich ja auch darin, dass auch heute in Krisen schon verstärkt geplant wird und
300080	304440	in der Planwirtschaftsdebatte finde ich es relativ stark, dass so darauf hingewiesen wird, dass
304440	310520	auch diese Dichotomie, die sozusagen uns heute gegenüber tritt als Markt, als irgendwie freie
310520	315000	Form der Wirtschaft und Plan als Autoritäre, dass die da versucht wird, zu dekonstruieren und
315000	315920	auch aufgezeigt wird.
315920	321000	Und das wäre auch schon der zweite Punkt, dass auch heute umfassend geplant wird, aber
321000	325840	eben innerhalb von Unternehmen unter der Maßgabe der Profitmaximierung.
326840	329560	Und das gelte es dann zu demokratisieren.
330160	336880	Und ein weiterer Punkt, der sich daran anschließt und systematischer Natur ist, würde ich sagen,
336880	342000	ist, dass die Machbarkeit von Planung heute nochmal ganz anders im Raum steht durch die
342000	348440	Weiterentwicklung von Informationstechnologie, aber auch von anderen Produktivkräften, die
348440	352680	sozusagen in Aussicht stellen, dass wir heute auch eine sozialistische Planwirtschaft, die
352840	357920	sich nicht mehr durch Knappheit auszeichnet, sondern im Gegensatz eigentlich durch Fülle und
357920	363360	durch auch eine Fülle für alle, dass das in Aussicht gestellt werden kann durch so eine
363920	365960	Weiterentwicklung der Produktivkräfte.
366720	371600	Genau, das finde ich, sind alles gute Argumente und starke Gründe, sich damit zu befassen.
372400	376840	Und ich finde die Debatte eben auch so interessant, weil sie auf so vielen Ebenen eine
376840	381040	Überlegenheit gegenüber der Marktwirtschaft behauptet und da irgendwie auch recht selbstbewusst
381120	387640	auftritt und sagt, wir können, wir sind funktionaler, wenn wir planen.
388200	392120	Also die Wirtschaft funktioniert sozusagen besser, was ja eigentlich ein altes Argument auch gegen
392120	393400	den Sozialismus immer war.
394120	397960	Und auf dieser Ebene überhaupt sich zu trauen, sozusagen einen Gegenentwurf zu machen, das finde
397960	402280	ich stark. Und ja, es ist spannend, sich damit auseinanderzusetzen.
402800	409160	Und gleichzeitig habe ich aber auch, wenn ich Planwirtschaftsentwürfe lese, noch ganz viele
409160	413200	offene Fragen. Und ich glaube, das ist ja auch immer ein guter Anlass, um sich mit etwas
413760	415400	dezidierter auseinanderzusetzen.
415680	421080	Ja. Bevor wir zu den Positionen kommen, die du wieder angeguckt hast, vielleicht magst du auch noch
421080	425480	kurz was sagen zum Utopisieren, weil das fand ich nämlich eigentlich auch sehr schön, wie du dich
425480	429720	eigentlich für das Utopisieren ausgesprochen hast und da eigentlich sehr gute Argumente angeführt
429720	435160	hast, warum das durchaus neben der Kritik und zusätzlich zur Kritik eben auch durchaus ein
435160	438920	wichtiges Element sein sollte, den wir uns zuwenden.
439880	450400	Ja, genau, also ich glaube, dieses Bedürfnis, sich dazu zu äußern oder der Anschein, sich dazu auch
450400	456960	äußern zu müssen, wenn man sich mit utopischen Entwürfen beschäftigt, kommt aus dieser Tradition,
