start	end	text
0	5800	Welcome to Future Histories, my name is Jan Gross and it is my great pleasure to welcome
5800	8920	Yevgeny Matosov in today's episode.
8920	16120	He is a researcher and writer as well as founder of the knowledge curation platform The Syllabus.
16120	20060	Regular listeners will know that I highly appreciate his work.
20060	25960	Time and time again, Yevgeny succeeds in pushing our thoughts further through his very thorough
25960	28400	research and sharp thinking.
28400	34640	So you can imagine that I was and still am quite excited to have the chance to welcome
34640	36960	him as a guest in Future Histories.
36960	40640	In many ways, this couldn't be more fitting.
40640	46960	And there is an exciting announcement to make related to me and Yevgeny recording this episode
46960	52560	because a transcript of this episode will be featured in an upcoming book I co-edit
52560	55240	together with Christoph Sorg.
55240	61840	It's an edited volume called Creative Construction, Plant Economies in the 21st Century and Beyond
61840	65280	and it will be published with Bristol University Press.
65280	70440	I am absolutely thrilled about the fantastic group of people that are coming together for
70440	72440	this edited volume.
72440	78800	There are contributions by Laura Horn, Jakob Heyer, Samia Mohamed, Nick Dyer-Witherford,
78800	100120	There will be a chapter by Elena Hoferbeth, Matthias Schmelzer and Cedric Durand.
100120	104440	Christoph Sorg will of course provide the chapter as will I myself.
104440	110160	And there will be transcripts of two conversations, one between Nancy Fraser and Christoph Sorg
110160	116000	and one, you guessed it, between Yevgeny Morozov and myself.
116000	121560	I can promise you that this is not the last time you'll hear me be absolutely excited
121560	123100	about this book.
123100	129640	Right now the release is scheduled for May 2024 and be assured I'll keep you updated
129640	130960	on that.
130960	136920	Now that I have so shamelessly indulged in self-promotion for the last few minutes,
136920	141800	let me be equally excited about an upcoming project by Yevgeny.
141800	147880	It's a podcast series written and presented by Yevgeny himself and it's called The Santiago
147880	154660	Boys and it's described as a wild tale of how Salvador Allende's engineers dared to
154660	161820	challenge corporations and spy agencies and almost won a battle for the very soul of
161820	164220	information technology.
164220	170680	You'll find a link to the very stylish website of the Santiago Boys podcast in the show notes.
170680	175740	On the website you'll find a trailer and in order to stay updated until it's released
175740	179540	this summer, you can subscribe to newsletter.
179540	184980	Yevgeny has worked on this podcast series for quite a while now and has already been
184980	191940	an expert on the topic before that so we can all look forward to a surely exciting approach
191940	192940	to the topic.
192940	200260	I for once am thrilled and looking forward to listening to this podcast this summer.
200260	206220	Before we finally start, I would like to welcome Saskia as a patron of future histories and
206220	213660	I'd like to thank Urs, Lukas, Wilfried, Fabian, Georg and Karl for their kind donations.
213660	226540	And now please enjoy today's episode with Yevgeny Matosov on Discovery Beyond Competition.
226540	227540	Welcome Yevgeny.
227540	229500	Glad to be here.
229500	234860	There's a lecture you gave at Berkeley titled Beyond Competition, Alternative Discovery
234860	240700	Procedures and the Post-Capitalist Public Sphere and you start the lecture by hinting
240700	246500	towards the, and I quote you here, inability of the left to make sense of digital technologies
246500	252000	and what to do with them and then you continue that in your view the left has a problem with
252000	257280	making sense of its own project and related to that you ask, and I quote you again, what
257280	261820	should their future be other than just defending the welfare state and insisting that they
261820	265200	can humanize capitalism, end quote.
265200	271020	So I'm of course very much interested in both of these tasks, making sense of a possible
271020	276020	broader project of the left as well as making sense of the role of digital technologies
276020	277820	for such a project.
277820	283180	What are the main challenges surrounding both of these tasks and how are they related to
283180	284420	each other?
284420	291180	Well, it's a lot to bite, so I'm not sure how we're going to tackle it.
291180	297260	So probably these issues will pop up as we speak, but so that lecture I think was almost
297260	298940	two years ago that I gave it.
298940	304460	So I think, you know, my thinking always evolves and it probably has evolved since then.
304460	310620	I haven't gotten back to celebrating the left as the kind of the source of forward progressive
310620	314300	thinking on matters of technology, so that hasn't changed.
314300	320040	But to answer your question, I think let's try to tackle them separately.
320040	324640	Let's first tackle some of the problems of the left and then we can talk about technology
324640	331640	because I think ultimately the reason why the left has not been able to come up with
331640	338960	a more exciting plan for how to use technology and technologies is because it kind of got
338960	347900	stuck in a certain intellectual, political trap, if you will.
347900	352140	So before we get it out of that trap, I don't think that any forward thinking about technology
352140	353260	would emerge.
353260	359400	So do you want me to, I mean, like I can go on.
359400	360400	Yes, of course.
360400	362600	You know, like do you really want me to try to lay it out?
362600	363760	Yes, of course.
363760	364760	That's why I'm asking.
364760	368400	No, no, because it's a huge question.
368400	372540	I mean, it's a question about which you can borrow the right 10 books and you can have
372540	377440	an entire book imprint of Verso books dedicated just to that question.
377440	386020	So fine, let me start because it's so abstract that I feel like I might not land if I jump
386020	387020	off that plane.
387020	388020	You can try.
388020	389020	Fine.
389020	393100	So let me try to outline it.
393100	400340	So traditionally, I think the left has inherited this idea, or at least the radical left that's
401120	410280	liberal Keynesian left has inherited this idea that somehow its task is to figure out
410280	421120	how to deploy the tools of planning and all the associated knowledge techniques and repertoires
421260	431940	in order to show that the market does a suboptimal job at allocating resources.
431940	432940	Right.
432940	438740	So the project of the left has been essentially, and again, I'm not talking about Keynesians.
438740	442500	I'm talking about kind of hardcore left.
442500	448340	The project has been to show that you can build alternative rationalities of allocating
448400	454800	goods and resources that would beat the rationality of the market.
454800	462360	And to some extent, you know, it has been done with various success in places like the
462360	470320	Soviet Union, partially, of course, by relying on all sorts of techniques like input output
470320	472680	methods and whatnot.
473660	482820	The temptation within that tradition, of course, is to think that now that we have more tools
482820	490340	and techniques of organizing knowledge, including those of big data and artificial intelligence,
490340	499100	we should essentially try to recover that focus on allocating goods and resources and
499160	506040	turbocharge it essentially with these new techniques and to show and prove to the liberal,
506040	513400	to the neoliberals, if you will, who have shifted this debate into this knowledge-intensive
513400	518760	dimension thanks to people like Hayek and before he meets us.
518760	523960	And the objective is to show them that essentially they got it wrong, that market is suboptimal
524140	526180	and that there is a better way to do it.
526180	534260	And we can have a better allocative rationality if you want to put it that way.
534260	545460	This is what I think is what some of the most tech-friendly leftists imagine the task of
545460	548620	the left to be.
548620	563200	I, for one, remain skeptical that this task should retain the focus that it has retained
563200	565960	within that cohort.
565960	569200	I don't even think that it's a mainstream focus of the left, to be honest.
569200	578440	I think that the left that has not opted for Keynesianism has opted for some kind of Hayekian
578440	582640	view that markets are better at organizing knowledge and that maybe we should just focus
582640	585640	on somehow cleaning up afterwards.
585640	591560	And the left that is still thinking about something that goes beyond the market or some
591560	602520	kind of Keynesian multiplier is trying to recover and improve and turbocharge the toolkit
602520	603960	of Soviet planning.
604960	609840	Me, I've been thinking about these issues for quite a few years now and the conclusion
609840	613880	I've reached, which I don't think I'm going to lay out in full in this conversation because
613880	619320	I'm still working on finishing a book, I've started on this, so it's kind of thinking
619320	620720	in progress.
620720	626920	Even though I know the answer, I will keep the suspense and not give you what I really
626920	628400	think about all of these issues.
628840	633680	Ultimately, the conclusion I've reached is that there is so much more for the left to
633680	642360	do with this technologist if only it slightly tweaks the initial question with which it
642360	644480	starts this operation.
644480	649240	And the question with which it starts this operation now, I think, is still primarily
649240	655160	focused on how do we satisfy human needs and the needs that are basic.
655160	657060	How do we make sure that people get fat?
657060	660740	How do we make sure that people get enough adequate housing?
660740	664580	How do we make sure that all of these basic needs are satisfied?
664580	668100	There is, of course, a huge debate on the left.
668100	669660	How do you count needs?
669660	671500	How do you quantify them?
671500	672860	How do you qualify them?
672860	673860	Are they trans-historical?
673860	674860	Are they permanent?
674860	677060	Do they change?
677060	680900	That's a whole debate of its own and I don't want to take any position in that debate in
