start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	11000	Mein Name ist Jan Groß und ich freue mich sehr, heute Christian Fuchs begrüßen zu dürfen.
11000	17000	Er ist Professor für Mediensysteme und Medienorganisation an der Universität Paderborn,
17000	21000	hat umfangreich im Bereich der Critical Media Studies publiziert
21000	27000	und ist Herausgeber des Journals CCC – Communication, Capitalism and Critique.
27000	31000	Das Interview mit Christian, das ist während eines Aufenthalts in Paderborn entstanden,
31000	37000	wo ich dankenswerterweise kürzlich im Rahmen einer Ringvorlesung des Instituts für Medienwissenschaften
37000	42000	eingeladen war, über das Podcasten als Forschungspraxis zu sprechen.
42000	45000	An dieser Stelle herzliche Grüße an die VeranstalterInnen.
45000	47000	Vielen Dank, dass ich bei euch sein durfte.
47000	50000	Das war wirklich eine sehr schöne Veranstaltung und es hat mich sehr gefreut.
50000	52000	Eine kleine Anmerkung gibt es noch.
52000	56000	Ich habe Christian erst kurz vor dem Gespräch persönlich kennengelernt.
56000	61000	Vorher hatten wir nur E-Mail Kontakt und wir sind dann eigentlich direkt beim Du gelandet.
61000	66000	Meine Notizen hatte ich wiederum aber so formuliert, dass darin noch das Sie verwendet worden ist.
66000	70000	Und das hat zu der Situation geführt, dass ich jetzt in dem Interview,
70000	74000	was ihr gleich hören werdet, zwischen Du und Sie hin- und herspringe.
74000	79000	Am Anfang dud sich Christian eben, weil wir gerade beim Du angelangt waren
79000	85000	und weil ich später mich dann aber auf Basis meiner Notizen der vorher entworfenen Fragen bediene,
85000	87000	bis darin noch das Sie enthalten.
87000	93000	Und so gibt es da so einen komischen Mix, bei dem ich offensichtlich es nicht gut genug geschafft habe,
93000	97000	in der Situation dann die Fragen auf das Du um zu formulieren.
97000	99000	Insofern wundert euch nicht.
99000	104000	Es gibt da jetzt so ein bisschen ein leichtes Hin und Her zwischen Du und Sie.
104000	111000	Bevor es jetzt losgeht, da möchte ich noch Laurin und Saskia als UnterstützerInnen auf Patreon begrüßen
111000	114000	und Karl, Georg und Fabian für ihre Spenden danken.
114000	122000	Und jetzt viel Freude mit der heutigen Folge Future Histories mit Christian Fuchs zu digitalem Kapitalismus.
127000	129000	Herzlich willkommen, Christian.
129000	130000	Hallo.
130000	133000	Christian, Du beschäftigst Dich viel mit digitalem Kapitalismus.
133000	137000	Vielleicht können wir zum Einstieg mal klären, was darunter überhaupt zu verstehen ist.
137000	142000	Was zeichnet den digitalen Kapitalismus gegenüber anderen Kapitalismen aus,
142000	146000	sodass dieses Präfix digital auch analytisch Sinn macht?
146000	150000	Und in welchem Verhältnis steht der digitale Kapitalismus wiederum zu anderen Kapitalismen
150000	154000	bzw. dann auch zum Kapitalismus als Ganzen?
154000	158000	Ja, also wenn wir von digitalem Kapitalismus sprechen, dann hat das ja zwei Aspekte,
158000	160000	digital und Kapitalismus.
160000	163000	Ich denke, das nächste Mal digital.
163000	169000	In der Literatur gibt es das und in der Theorie-Debatte gibt es natürlich viele Ansichten dazu,
169000	174000	was jetzt das Digitale auszeichnet, die digitale Kommunikation und Interaktion.
174000	179000	Meiner Meinung nach sind zwei Eigenschaften der Digitalisierung zentral.
179000	185000	Das erste ist, dass der Computer eine Universalmaschine ist.
185000	190000	Und das zweite ist, dass der Computer und der vernetzte Computer
190000	196000	zur Konvergenz von sozialen Beziehungen und Rollen in der Gesellschaft führen.
196000	203000	Der Computer als Universalmaschine ist eben nicht nur Informations- und Kommunikationstechnologie,
203000	207000	das ist er auch, aber er ist auch ein Produktionsmittel
207000	216000	zur Produktion, nicht nur von Bedeutungen und Inhalten wie bei der Kommunikation,
216000	227000	sondern er ist auch ein Arbeitsmittel zur Produktion von Information, digitalen Inhalten usw.
227000	231000	Also wenn Raymond Williams davon spricht,
231000	235000	Means of Communication as Means of Production,
235000	239000	dann weist es eigentlich darauf hin, wenn ich das auf den Computer anwende,
239000	243000	dass der Computer nicht nur Kommunikationsmittel ist,
243000	249000	sondern Kommunikationsmittel und Produktionsmittel zugleich.
249000	253000	Und daher, wenn wir jetzt das Internet betrachten,
253000	257000	haben wir es halt nicht nur zu tun mit dem Konsum von Information,
257000	260000	sondern auch mit der Produktion von Information.
260000	265000	Und dadurch ist ja auch diese Figur des Prosumenten entstanden,
265000	270000	also Konsumentinnen von Information als Produzentinnen von Information,
270000	276000	was wieder zu Diskussionen über digitale Arbeit usw. geführt hat.
276000	280000	Und Arbeit findet immer in Klassenverhältnissen statt.
280000	284000	Das heißt, es kommt innerhalb des digitalen Kapitalismus
284000	288000	auch zu einer Veränderung der Klassenverhältnisse.
288000	294000	Es sind neue Formen der Ausbautung digitaler Arbeit entstanden usw.
294000	297000	Zweite Eigenschaft, die Konvergenz.
297000	300000	Also ich denke, dass der vernetzte Computer und das Internet
300000	304000	zu einer Konvergenz von Phänomenen geführt haben,
304000	308000	die traditionell eher getrennt waren.
308000	310000	Und das eine habe ich ja schon erwähnt,
310000	314000	das Verhältnis von Produktion und Konsum verschwimmt stärker.
314000	317000	Also es ist so etwas entstanden wie Prosumption,
317000	321000	aber auch das Verhältnis zwischen Arbeit und Spiel.
321000	325000	Also es ist Spielarbeit entstanden, Play-Labor.
325000	328000	Auf Englisch kann man das ein bisschen besser ausdrücken.
328000	332000	Das Verhältnis zwischen öffentlich und privat ist verschwommen.
332000	336000	Das Verhältnis zwischen dem Zuhause und dem Büro.
336000	338000	Also jetzt gerade während der Corona-Pandemie
338000	342000	haben wir sehr viel vom Homeoffice gesprochen
342000	345000	und viele andere traditionelle Kategorien.
345000	349000	Also ich denke, da gibt es Veränderungen,
349000	352000	die durch die Digitalisierung vermittelt sind.
352000	354000	Also nicht verursacht, aber vermittelt.
354000	357000	Also all diese Veränderungen, wie sich die Arbeitswelt usw. verändert,
357000	362000	hat natürlich schon mit den Veränderungen von Wirtschaft und Gesellschaft zu tun.
362000	367000	Und auch mit Krisen des Kapitalismus seit den 70er Jahren.
367000	372000	Und die Digitalisierung hat sich halt nicht zufällig dann durchgesetzt,
372000	376000	sondern auch als ein Mittel, mit dem versucht wurde,
376000	380000	diese Krise zu überwinden, indem der Kapitalismus globaler wurde,
380000	383000	indem das entstanden ist, was David Harvey,
383000	388000	ein flexibles Akkumulationsregime des Kapitalismus nennt usw.
388000	391000	Da tut sich jetzt aber die Frage auf, was ist überhaupt Kapitalismus?
391000	395000	Also wollen wir digitalen Kapitalismus definieren und verstehen?
395000	399000	Da brauchen wir ja auch einen Begriff davon, was Kapitalismus ist.
399000	405000	Und hier sehe ich in der Literatur eigentlich drei Ansätze und ich vertrete einen davon.
405000	411000	Es gibt einen kulturalistischen Ansatz im Verständnis des Kapitalismus,
411000	416000	einen ökonomistischen und einen gesellschaftswissenschaftlichen.
416000	422000	Also der kulturalistische Ansatz versteht Kapitalismus als eine Form der Kultur.
422000	425000	Also es sind halt teilweise so postnoterne Ansätze,
425000	430000	zum Beispiel um die Zeitschrift Theory, Culture and Society herum.
430000	434000	Autoren wie Emin Esch oder Nigel Thrift,
434000	438000	der das Buch Knowing Capitalism geschrieben hat.
438000	442000	Also eigentlich versteht man da den Kapitalismus als Kultur.
442000	450000	Es hat mit Lebensformen zu tun, es hat mit Weltanschauungen zu tun.
450000	455000	Und man sagt jetzt nicht nur, dass es kulturelle Aspekte des Kapitalismus gibt,
455000	459000	so wie Ideologie als einen Aspekt des Kapitalismus,
459000	464000	sondern eigentlich reduziert man fast den Kapitalismus auf Kultur irgendwie
464000	468000	und sagt Kapitalismus ist immer ziemlich vollständig Kultur.
468000	471000	Und das ist nicht mein Ansatz, also den sehe ich kritisch.
471000	474000	Der zweite Ansatz ist ein ökonomistischer,
474000	479000	wo der Kapitalismus als Wirtschaftsform verstanden wird.
479000	483000	Also in meinem Buch über den digitalen Kapitalismus
483000	489000	gibt es einen Einleitungskapitel, da setze ich mich mit so einigen Definitionen auseinander.
489000	492000	Und drei Beispiele sind jetzt die Definitionen,
492000	498000	also für einen ökonomistischen Ansatz, sind die Definitionen des Kapitalismus von Max Weber,
498000	502000	von Werner Sombat und von Josef Schumpeter.
502000	507000	Und wir haben eigentlich gemeinsam, dass sie sagen, Kapitalismus ist ein Wirtschaftssystem,
507000	512000	in dem es um Profitmaximierung einerseits geht,
512000	520000	bei Schumpeter auch um die kreative Zerstörung durch das Entrepreneurship
520000	527000	und bei Max Weber, der betont, dass eine rationale Kosten-Nutzen-Kalkulation
527000	529000	durch kapitalistische Unternehmen stattfindet.
529000	533000	Das ist natürlich nicht falsch irgendwie, aber ich denke,
533000	536000	es gibt eben einen Zusammenhang von Wirtschaft und Gesellschaft.
536000	541000	Und der dritte Ansatz geht über den Kulturalismus und Ökonomismus hinaus
541000	545000	und versteht den Kapitalismus als Gesellschaftsformation.
545000	549000	Und dieser Begriff der Gesellschaftsformation wurde halt von Marx geprägt.
549000	555000	Und manche würden jetzt meinen, Marx hat den Kapitalismus rein ökonomisch verstanden,
555000	561000	aber ich denke, dass er eben Kapitalismus einerseits als Wirtschaftsform versteht,
561000	563000	also als ökonomische Formation,
563000	568000	andererseits aber darüber hinausgehend auch als Gesellschaftsformation,
568000	576000	wodurch sich natürlich die Frage stellt, wie sind Wirtschaft und das Nichtwirtschaftliche miteinander verbunden.
576000	581000	Aber ein gesellschaftswissenschaftlicher Ansatz sieht eben den Kapitalismus
581000	588000	nicht nur als Wirtschaftsform, nicht nur als Kulturform, sondern als Gesellschaftsformation.
588000	592000	So wie ich das, und das ist jetzt mein eigener Ansatz, Kapitalismus als Gesellschaftsformation,
592000	599000	da denke ich jetzt, solche Ansätze gibt es auch in der heutigen Gesellschaftstheorie,
599000	602000	zum Beispiel Wolfgang Streck und Nancy Fraser betonen auch,
602000	606000	den Kapitalismus sollte man als Gesellschaftsform verstehen.
606000	611000	Und bei Nancy Fraser ist das eigentlich ganz gut jetzt dargestellt in ihrem neuesten Buch
611000	618000	über den Allesfresserkapitalismus, wo sie sagt, Kapitalismus ist mehr als Wirtschaft,
618000	623000	hat Aspekte von Wirtschaft und Gesellschaft.
623000	626000	Bei ihr ist das aber eher so eine Multifaktorenanalyse,
626000	629000	da gibt es viele Phänomene, die nebeneinander zu existieren,
629000	632000	und sie sagt, all das Gemeinsam ist Kapitalismus.
632000	637000	Ich denke, die Wirtschaft hat schon einen speziellen Aspekt im Kapitalismus,
637000	643000	einerseits in der Form von, oder in der Gesellschaft, einerseits in der Form von sozialer Produktion,
643000	647000	denke ich, ist ein Phänomen, das wir in der Wirtschaft und außerhalb der Wirtschaft finden,
647000	651000	also es werden ständig Strukturen produziert und reproduziert.
651000	657000	Und was aber die Logik des Kapitalismus betrifft, denke ich, die Akkumulationslogik ist ganz zentral,
657000	665000	also das Anhäufen von immer mehr Geld in der Wirtschaft und Macht in anderen Verhältnissen.
665000	668000	Also wenn ich eine kurze Definition von Kapitalismus geben würde, würde ich sagen,
668000	673000	das ist eine Gesellschaftsformation, in der die Logik der Akkumulation,
674000	677000	Wirtschaft und das Nichtwirtschaftliche prägt.
677000	681000	Und diese Logik der Akkumulation kommt zunächst mal aus der Wirtschaft,
681000	686000	spielt aber auch in Politik, Kultur und anderen Sphären der Gesellschaft eine Rolle.
686000	691000	Aber dort nimmt sie sozusagen emergente Eigenschaften an, also so eine relative Autonomie.
691000	697000	Akkumulation in der Politik funktioniert anders als Akkumulation in der Wirtschaft.
697000	702000	Trotzdem geht es sozusagen um eine konkurrenzorientierte Herangehensweise,
702000	708000	die in der kapitalistischen Wirtschaft dazu führt, dass Unternehmen strukturell gezwungen sind,
708000	711000	Geldkapital akkumulieren zu müssen.
711000	718000	In der kapitalistischen Politik geht es um die Anhäufung, die Akkumulation von Entscheidungsmacht
718000	724000	und in der kapitalistischen Kultur um die Akkumulation von sowas wie Reputation,
724000	731000	Sichtbarkeit, Aufmerksamkeit und so weiter.
731000	735000	Also man spricht ja auch jetzt, zum Beispiel im Bezug auf Internet und soziale Medien,
735000	738000	von der Aufmerksamkeitsökonomie.
738000	744000	Also was machen wir auf sozialen Medien, TikTok, Instagram, Facebook und so weiter?
744000	747000	Die Akkumulation von Sichtbarkeit und Aufmerksamkeit.
747000	751000	Das ist eigentlich eine kapitalistische Logik der Anhäufung,
752000	757000	auch eine sehr individualistische Logik, dass es einzelne Profile gibt,
757000	763000	die immer mehr Aufmerksamkeit und Sichtbarkeit anhäufen wollen.
763000	766000	Und überall wo es Akkumulation gibt, gibt es ungleiche Verteilung.
766000	769000	Also Sichtbarkeit ist absolut ungleich verteilt.
769000	773000	Es gibt einige Influencer und Influencerinnen auf sozialen Medien,
773000	779000	die durch sogenannte Multi-Channel Networks, also das sind so eine Art Werbeagenturen,
779000	782000	finanziert werden und dadurch sehr hohe Sichtbarkeit haben.
782000	790000	Aber so der Alltagsnutzer und die Alltagsnutzerin, die haben so 1000 Follower vielleicht so im Durchschnitt oder 500
790000	794000	und haben natürlich viel geringere Sichtbarkeit.
794000	799000	Das heißt, diese Sichtbarkeit, Unsichtbarkeit ist ein kulturelles Phänomen,
799000	804000	aber irgendwie diese Logik der Akkumulation, die kommt eigentlich aus der Wirtschaft.
804000	810000	Und digitaler Kapitalismus, den verstehe ich jetzt so, dass die Digitalisierung,
810000	817000	die Akkumulationslogik in Wirtschaft, Politik und Kultur ganz stark prägt.
817000	827000	Also es gibt Akkumulationsprozesse, es gibt ungleiche Verteilung von Macht, die dadurch entsteht.
827000	835000	Es gibt sozial-gesellschaftliche Kämpfe, die um diese Akkumulationslogik herum organisiert wird.
835000	841000	Und all das wird durch digitale Technologien vermittelt.
841000	848000	Und all das gemeinsam, denke ich, ist die kapitalistische Gesellschaft.
848000	849000	Das ist jetzt interessant.
849000	856000	Interessant, im Abgang klang es mir kurz so, als ob die Akkumulation selbst
856000	859000	am digitalen Kapitalismus nicht das Neue ist.
859000	861000	Verstehe ich das richtig?
861000	868000	Im Grunde ist die Art und Weise, wie diese Akkumulation in verschiedenen Sphären des Gesellschaftlichen getragen wird,
868000	872000	im digitalen Kapitalismus anders formatiert als in den Kapitalismen davor.
872000	876000	Das ist halt die Frage, wie neu oder alt ist der digitale Kapitalismus?
876000	881000	Das stellt sich generell die Frage, wie alt oder neu ist die Gesellschaft?
881000	886000	Und wie tiefgreifend sind die Veränderungen, die in der Gesellschaft stattgefunden haben?
886000	889000	Und da gibt es wiederum zwei Extreme.
889000	895000	Einerseits gibt es die Theorien der Informationsgesellschaft, der Netzwerkesellschaft und der postindustriellen Gesellschaft.
895000	902000	Also Vertreter wie Daniel Bell oder Manuel Castells und andere, die sagen,
902000	907000	die Digitalisierung hat die Gesellschaft radikal verändert und es ist eine völlig neue Gesellschaft.
907000	909000	Alles ist ganz neu und anders.
909000	914000	Das passt eigentlich sehr gut in die neoliberale Logik, wo man auch sagen will,
914000	918000	es kommt zu einer absoluten Zerstörung von all dem, was existiert.
918000	922000	Es entstehen tolle neue Möglichkeiten und so weiter.
922000	927000	So ein Begriff wie Netzwerkesellschaft von Castells, da klingt halt so schön und positiv.
927000	929000	Jeder kann irgendwas anfangen damit.
929000	935000	Die Unternehmensverbände freuen sich, wir globalisieren, wir lagern die Produktion global aus.
935000	937000	Wir sind vernetzt irgendwie.
937000	942000	Die NGOs und die sozialen Protestbewegungen sagen auch, wir sind ja gar nicht nationalstaatlich organisiert.
942000	944000	Wir sind transnational irgendwie.
944000	949000	Also jeder findet so etwas positiv an so einem Begriff wie Netzwerkesellschaft.
949000	954000	Es ist ein positivistischer Begriff, wo eigentlich die Gesellschaftsprobleme gar nicht sichtbar sind.
954000	958000	Während dann, wenn wir von Kapitalismus sprechen, ja, also im Kapitalismus,
958000	962000	mit dem verbinden wir jetzt nicht primär positive Dinge irgendwie,
962000	967000	sondern springen einem so die Gesellschaftsprobleme sofort ins Auge.
967000	973000	Allerdings wäre es auch, man kann jetzt Theorien der Informationsgesellschaft kritisieren,
973000	979000	aber es wäre eine falsche Schlussvorgang zu sagen, es hat sich auch gar nichts verändert.
979000	983000	Also so Kritiker und Kritikerinnen der These der Informationsgesellschaft,
983000	989000	wie Frank Webster oder Nicolas Garnhem, sagen, ja, das ist eine Ideologie und die ist falsch
989000	995000	und die verdeckt, dass wir genauso im Kapitalismus leben wie schon zur Zeit von Marx.
995000	1003000	Also es haben sich sehr wohl Dinge gewandelt, aber die sind nicht auf der fundamentalsten Ebene der Gesellschaft,
1004000	1011000	sondern die Art und Weise, wie akkumuliert wird, die Art und Weise, wie Arbeit organisiert ist,
1011000	1017000	wie Produktion, wie Politik organisiert ist, die hat sich gewandelt.
1017000	1023000	Die runtergelegene Logik, dass akkumuliert wird, so wie du gesagt hast, die hat sich nicht gewandelt.
1023000	1028000	Also es gibt immer noch Klassen in der Wirtschaft, wir leben in einer Klassengesellschaft,
1028000	1035000	gleichwohl ist es aber komplexer geworden, also was die Arbeiterklasse und Arbeiterinnenklasse heute ist.
1035000	1042000	Also es gibt immer noch einen Widerspruch zwischen Kapital und Arbeit, Kapital ist aber komplex geworden
1042000	1048000	und Arbeit ist komplexer geworden. Und dadurch, dass eben durch die Digitalisierung zum Beispiel
1048000	1054000	die Grenzen zwischen Produktion und Konsum verschwommen sind, sind auch Phänomene,
1054000	1061000	die wir traditionellerweise oder in früheren Formen des Kapitalismus rein als Konsum verstanden haben,
1061000	1071000	sind auch zu Arbeit und Produktion geworden. Also in der Theorie des Internets und der sozialen Medien,
1071000	1076000	so wie ich sie versucht habe zu entwickeln, liegt eben zum Beispiel diese Auffassung zu Grunde,
1076000	1082000	dass auch Nutzung sozialer Medien, die durch digitale Werbung finanziert werden,
