start	end	text
0	7800	Welcome to Future Histories, my name is Jan Gross and it is my great pleasure to welcome Matt Huber in today's episode.
7800	13400	Matt is Professor of Geography and the Environment at Syracuse University
13400	20400	and author of Climate Change as Class War Building Socialism on a Warming Planet.
20400	24800	I recorded this episode at the The Great Transition Conference
24800	29800	where I was invited to take part in a symposium on democratic economic planning
29800	35200	and I want to send my warmest thanks to the organizers of the conference in general
35200	39600	but also to the organizers of the symposium specifically.
39600	47800	Thank you Simon Tremblay-Pépin, I'm sorry if I butcher your name, very sorry Simon, I hope it's not that bad.
47800	54600	So thank you to Simon and his team and thank you to the Democratic Planning Research Group
54600	61000	at the Research Center on Social Innovation and Transformation at St. Paul University Ottawa.
61000	67000	You'll find links to their work in the show notes and I want to particularly highlight
67000	72300	the work of their collective planning for entropy, you'll find their paper
72300	80100	Democratic Economic Planning Social Metabolism and the Environment linked in the show notes as well, please go and read it.
80100	83400	It's unfortunately behind a paywall I have to admit
83400	90600	but you know the Spiel and if you write one of the authors, for example Simon,
90600	94200	I'm quite sure that he'll be happy to send the paper to you.
94200	101000	Huge shout outs also to Ref and Gherm who presented in the session before the one that I was on.
101000	108000	It was a pleasure meeting you all and it's really inspiring to see that the debate around democratic planning
108000	112100	has so many great people from different fields working on it.
112100	115400	I'm very much looking forward to everything to come.
115400	124800	I recorded two episodes during the conference and one or two might be in the making with people I met or contacted there as well.
124800	131500	The two that I already recorded during the conference are the one with Matt Huber that you are about to hear
131500	135900	and the second one is a conversation with Elisa Long-Conn-Antileo
135900	140700	who was the first president of the Constitutional Convention in Chile
140700	144400	and I was really happy to be able to talk to her as well.
144400	147700	I recorded both of these episodes at the same day
147700	154400	and it was really interesting for me to have these two very different conversations so close to each other.
154400	157500	The episode with Elisa will be up next.
157500	165300	Before we start today's episode, I want to welcome Johannes, Grishan and Marc as patrons of Future Histories
165300	170100	and I want to thank Fabian and Lucas for their kind donations
170100	178900	and now, please enjoy today's episode with Matt Huber on building socialism, climate change and class war.
184300	185200	Welcome, Matt.
185200	186200	Thank you for having me.
186200	187700	It's a great pleasure.
187700	193800	Matt, let's start with an overview of your general argument in climate change as class war.
193800	197200	What are the main points that you wanted to bring across?
197300	206500	Well, I start the book by saying that the main problem we have is we're losing the struggle to solve climate change.
206500	209200	Emissions keep going up.
209200	213800	They reached a record in the year the book was published in 2022
213800	218700	and as long as emissions are going up, we still are losing the struggle.
218700	225400	So, you know, what I argue is that the struggle is really a power struggle
225400	231300	over a class of people that control our energy system and control it for profit
231300	238100	and that if we want to win the struggle, we're going to have to build a hugely powerful movement to take on those interests.
238100	247500	And so what I argue is that the current climate movement as it's constituted is not particularly powerful.
247500	253400	It's pretty much embedded, I argue, in the kind of what I call the professional class,
253400	262000	kind of minority of highly educated populations that work in academia or NGOs, scientists.
262000	271200	And what we have is, you know, a pretty significant group of people in these kind of micro political spaces
271200	277000	that aren't really able to build a much broader mass politics around climate.
277000	283000	And for that, I argue, so I take a pretty standard sort of Marxist approach.
283000	286700	That class is really about who controls production.
286700	292100	I critique the way in which climate change is often discussed as a problem of individual consumption
