start	end	text
0	2000	Welcome to Future Histories.
2000	6640	My name is Jan Gross, and it is my great pleasure to welcome Elisa Longcón,
6640	8440	Auntie Leo, in today's episode.
8840	12960	She's a linguist and professor in the Department of Education at the
12960	17800	University of Santiago de Chile, and she has been the first president of
17800	20080	the Constitutional Convention in Chile.
21000	25920	Just like the very recent episode with Matt Huber, I also recorded today's
25920	30600	episode at the The Great Transition Conference, where I was invited to
30600	34520	take part in a symposium on democratic planning.
34800	36680	Many thanks to everybody involved.
36680	41360	It has been a great pleasure to be able to meet so many interesting people there.
41800	43000	I really enjoyed it.
43400	46600	A little pointer to my German speaking audience.
46640	50840	I think today's episode connects really nicely to the second
50840	53320	episode I recorded with Daniel Leuch.
53720	59400	That would be episode 39 of season two of Future Histories, titled
59560	63920	Daniel Leuch zu Freiheit, Souveränität und Recht ohne Gewalt.
64640	68600	And then a little pointer to my English speaking audience as well.
68640	73120	You do have the possibility to subscribe to the English episodes only.
73400	77720	There's an RSS feed for Future Histories International, and there's
77720	82240	a homepage as well, futurehistories-international.com.
82600	84320	So go ahead and subscribe.
84360	85240	That would be great.
85720	89400	And while you're at it, if you like future histories, please tell your friends
89400	91160	about it, maybe they will like it as well.
91640	95960	But now please enjoy today's episode with Elisa Longcón Antilio.
101760	102880	Welcome, Elisa.
103400	105920	Hi, my name is Elisa Longcón Antilio.
106360	114560	Hello to everybody.
115520	118720	I'm greeting you in my mother tongue.
119160	125280	That is very important for me and for my people that you hear my
125280	131960	voice in my mother tongue, because we are a virginal nation here in Chile.
132280	135800	And our language is losing today.
136200	138560	So it's our role to recover it.
139760	144200	Thank you to invite me to attend this meeting.
144840	145760	It's a great pleasure.
145800	146920	Thank you for being here.
147560	151800	For those who don't know anything about the constitutional process that has been
151800	157480	started in Chile in 2020, could you give us an overview of the process that was
157480	161480	set up for the collective development of the new Chilean constitution?
161720	163440	What was special about it?
163800	169560	Yeah, I want to tell you that it was a very important process for
169560	171200	a lot of the Chilean people.
171840	184200	It didn't start at 2020 because it's born from the social movement.
184320	193560	Long time ago, I want to mention 2006 with a student from high school.
193640	200960	They initiate a very big demands for public education at that time.
201480	212760	So the student from university, they was also in the mobilization and call all of
212760	215000	the social Chilean movement.
215120	225480	So we had a very, very hard social situation in 2019.
225880	234040	Million of people took the streets at that time, demanding social rights for the people.
234520	244040	So the government and the parliament called for a special meeting in order to establish
244120	253080	an accord, a political accord to have a referendum to change the Pinochet constitution.
253480	254960	So they did it.
255200	265160	And then in 2021, we created the first Constituent's Assembly.
267520	277280	That included a hundred and fifty five conventional and that include also the
277360	287720	priority, also the indigenous nations and all the social movements and political parties.
288120	298080	So we started to to wrote the new constitution and in one year we got it.
298560	305600	And then we have a new referendum in order to approve or refuse the proposal.
306120	311760	That proposal included the right for nature, right for indigenous people,
312480	320960	parity in the women, equality between women and men, social rights and all of them for all of the
321280	322840	aboriginal nation too.
323240	331560	So, but we had a bigger difficult situation because the citizenship rejected the new
331560	338600	proposal. It was rejected in September 4th last year.
340200	354000	But the main topic, why it was rejected was the fake news, hate discourses, the people who are in
354000	363840	the rejection position, they create a lot of misinformation about the constituent process,
363840	371200	about the conventionals and people fear to give the votes for that new constitution.
371640	378440	Some of the fake news was they said that they will lost the house.
379240	383360	There is no right for to have a house.
383720	393760	There is no right to have, for instance, social security or they said that the indigenous people
393760	402680	want to divide Chile and the indigenous people hate the Chilean people.
403120	410360	So those were hate discourses and people have feared about that.
410400	418240	So they rejected the constitution, the new proposal that we wrote at that time.
418960	429320	So the government called for a meeting with the parliament and they decided to improve the process
429840	433680	and call for the second constitutional process.
433960	442000	We are today in the second constitutional process, but they modify the representation of the people
442440	453440	because they include a no democratic way to to vote, to elect the conventionals.
454080	463560	And they decide that half of all of the team that will wrote the constitution,
463560	468640	that they must be designated by political parties.
469800	472880	There wasn't a democracy process.
473280	480120	So they they decided to include people from political parties,
480600	483000	exclude the indigenous people.
483840	497800	And then there was we had a new referendum to to vote for the half 50, 51, a conventional again.
498040	507600	We had it just two weeks ago and but there was not a special seat for indigenous.
508400	517920	The indigenous people elected one Mapuche person to to represent the the indigenous
517920	521400	interests inside the second process.
522400	536800	But the designated conventional, they are today as assessor, political is a political teams
537920	541040	experimenting in contention in constitution.
541840	553120	They draw the the proposal and inside that proposal, there wasn't there was not people.
554240	560040	There were no there were people, indigenous people inside the design.
560680	570520	So in that second frame, there is no participation of indigenous people today.
570640	580520	The elected people from the council, they will review that proposal, the second proposal.
580920	591400	But we don't we are not agree with the misrepresentation of the indigenous people.
592280	602040	And we will have a next at the end of this year, we will have the new referendum to in order to
602040	606440	decide if we approve or we reject the new proposal.
606520	614520	The new proposal today, we don't know how that's that proposal will include indigenous
614520	619080	right or mother nature rights or women's rights.
619200	627720	Those are the more difficult topic for the conservative parties.
628080	634280	Today, the voice is for the conservative parties.
634920	641640	Were there special obstacles within the process for the Chilean constitution?
642040	647080	Because if I remember correctly, I think in Bolivia, for example, they had a constitutional
647080	650160	process, and it was different than the one in Chile.
650480	656040	And if I remember correctly, then I think in some talk that you gave you, I think you stated
656120	663800	that the way that it was set up, that there was a referendum after the process with a with
663800	670320	this certain percentage that would have to be reached, that this was a special obstacle
670320	674280	within the process for the Chilean constitution.
674560	680640	Is that right? Am I remembering this correctly, or is it was it a very regular process, the
680640	682160	way it was set up in Chile?
682640	688560	No, there is there is not a regular process in Chile.
688720	697000	The constitutional discussion is a democratic constitutional discussion is a new process
697160	704880	today in Chile, because the last constitution was written by the dictatorship regime without
705920	707640	social participation.
708280	716400	So this is the last process that we did from twenty twenty one.
716440	723720	It was a really new process because included all of the social movement.
724080	732480	It was for the first time in the history of Chilean society that a half part of the
732480	735960	conventional were women, for instance.
736520	743560	There is no constitution written by women in any in here and outside of Chile.
743880	747760	So that is was a very, very important.
748040	754640	And that is that was the difference between the Bolivian process, the Bolivian constitutional
754640	762640	process or Ecuador, a constitutional process, because here the the participation of women
762640	771440	was really were in equal relationship between women and men in that first process.
771640	780120	But today seem are very different because the this expert commission elected by political
780120	791960	party, they avoid all of the topic that we included in the first process.
793200	797320	So today is really different from the first process.
799640	808640	And one thing that is also very important is in the first process, we include the plurinationality.
809120	821000	The plurinationality is a political proposal that born in the Bolivian process, also from
821000	829240	Ecuador process, the indigenous people there, they they they speak about the plurinationality.
829280	840120	And we as we are also Chile is have a diversity of nation nation here.
840440	849280	So we included like plurinationality as the political way to resolve the conflict between
849280	860120	the state and indigenous people to overcome genocide, racism, damage, coexistence, also
860120	869320	to recover all of the collective rights, because there is no political solution from
869320	881640	the state to resolve ancestral or historical problem that that did the creation of the
881680	889880	states with aboriginal nation, aboriginal nation didn't participate in the creation of
889880	897880	the states. So for the first time, we included and we said, OK, we are different.
898280	900800	There are diversity of nation here.
900800	908200	So all together will define the framework, the constitution for all of the Chilean people.
909080	912440	So that is what's really strong and very important.
913320	921640	But in this second process, they avoid the plurinationality because they said that the
921640	928280	people rejected. But I told you that people rejected because of hate discourse.
928360	933760	It was not true that we are going we hope to divide Chile.
933760	939400	We need a relationship, equal relationship with Chilean society.
939400	940400	That's all.
941000	948520	And when it comes to plurinationality, how does that work if there are like conflicting
948560	955320	rights, since if there are different nations within the nation, so to speak, and these
955320	961000	different nations have different ideas of, for example, how the question of rights should
961000	967840	be approached? Is there a way how to address it when there are different opinions that
967840	969480	clash with each other?
969640	976800	Because I imagine it wouldn't be a good idea to simply overrule one over the other.
976840	982880	But there needs to be a process of getting to an understanding of the different forms
982880	988320	of how rights are being conceptualized within the nations in the nation.
988760	992120	I'm not sure if this was a question that can be understood.
992880	1003680	Yeah, yes, yes, yes, I understand your question because people fear about the plurinationality
1003680	1013440	when they think that the indigenous will use the rights of the non-indigenous people.
1014520	1026120	And the question they did is, does the indigenous will have more rights than non-indigenous
1026120	1037720	people? You know, but there is no problem inside if you understand a lot of problem
1037720	1041720	that we had along the history with the indigenous.
1042080	1053760	The plurinationality first supports that Chilean society must recognize the pre-existence
1054040	1063520	of the indigenous because we were first here in that territory, then came the state.
