start	end	text
0	7520	Welcome to Future Histories, my name is Jan Groß and it is my great pleasure to welcome Simon Denny in today's episode.
7520	13680	Simon is an artist and professor for time-based media at the HFBK Hamburg.
13680	24880	This episode came together as part of the extended exhibition program of the double exhibition by Simon Denny and Agnieszka Kurant at Kunstverein Hannover.
24880	36880	And I want to say thanks to Christoph Platzgalus, director of the Kunstverein, for making this possible and to Sarah Morais dos Santos-Brus for connecting me to Christoph.
36880	41880	This has been a great pleasure and I really enjoyed talking to Simon, I have to say.
41880	50880	Before we start, I want to welcome Max as a Patreon of Future Histories and now please enjoy today's episode with Simon Denny.
55880	57880	Welcome Simon.
57880	59880	Thank you very much Jan, it's a pleasure to be here.
59880	61880	Pleasure to have you.
61880	71880	Simon, in your work you often investigate different tech imaginaries and the related cultures as well, but let's start with a focus on the imaginary specifically.
72880	84880	What is it that you're investigating when looking at these tech imaginaries, which arguably are not only tech imaginaries, but also always already political imaginaries and economic imaginaries as well?
84880	86880	Well, thanks for the question.
86880	92880	And I think it's one that I think I constantly revisit.
92880	98880	I think I started working on this rather intuitively quite a long time ago.
98880	110880	So I grew up in New Zealand and I moved to Germany where I now live and work around 2007 and I went to an art school in Frankfurt there, the Städelschule, which is connected to the Städel Museum.
110880	114880	And at that time I already had a practice of sorts.
114880	116880	It was my kind of second degree.
116880	122880	I'd already started a gallery and had many peers and interests as an artist.
122880	134880	But one major thing that hit that year was the iPhone and I guess also the scaling of infrastructure like Facebook.
134880	146880	And I just found as somebody who was moving from one community to another, from one locale to another, suddenly the importance of my personal tech stack became very important to me.
146880	148880	It was a communication device, a learning device.
148880	151880	These interfaces just took over my experience.
151880	169880	And at the same time I was around artists who were looking back to the history of how contemporary artists have often, during modernism being, making work which was sort of dealing with the experience or the feeling of technologies as they hit life.
169880	186880	So even early 20th century or late 19th century artists were making work about how technology feels and often in the face of new technological consumer environments and paradigms.
186880	203880	And so I was thinking about people like working in futurism data around the First World War and I was thinking also about mid-century people encountering television and different types of broadcast environments.
203880	209880	So there were a lot of art being made trying to process what these things felt like.
209880	225880	And I guess with the onset of mobile and web to social platforms and user generated content and all of that, I realized that there was another major thing going on and a toolkit to be able to kind of process that culturally.
225880	231880	But I sort of realized that intuitively because I was just involved in all these things.
231880	250880	And I realized also that the conversations that I had among my peers were as much informed by art history and what artists were making as they were by new software and communication strategies that were being shared as a kind of a platform.
250880	264880	So yeah, long story short, I started focusing more and more on who was telling those stories and who was making those platforms because it seemed to be quite important for what they were.
264880	269880	And so I started to go to technology conferences as well as art events.
269880	285880	And I started to speak to and seek out technology founders and listen to their stories and ways of understanding the world culturally and try to kind of process that aesthetically and visually and but also politically.
285880	313880	And yeah, so I guess that's what started me on this path of looking to technological imaginaries or tech imaginaries as ease to understanding contemporary experience and then trying to place that as or process that as art experiences that made sense with the history of how artists have interfaced with these things in the past.
313880	315880	Is that your question?
315880	323880	Yeah, it does. Maybe you could give us an example of one of your works where you specifically try to aim at these imaginaries.
323880	336880	Yeah, so I think the first one that I really remember that I felt really worked was a show that I produced in Munich in 2012-13.
336880	342880	So I went to a technology conference, which is quite well known in this part of the world, the DLD, Digital Life Design.
342880	363880	It's put on by Voodoo Media and it's been going since I think about 2005 or 2006 and has often had kind of major technology founders, particularly from the US and Europe, but only also from Asia and different parts of the world as well, come through on their way to Davos.
363880	375880	It happens a few days before Davos and they come and often people that organize it were able to capture founders at the moments when their products were really scaling.
375880	383880	So Mark Zuckerberg was there at the moment when Facebook was just getting user numbers that were breaking the records and scaling.
383880	388880	And so the year that I sort of first encountered this was 2012-13.
388880	406880	And I was given a bunch of the material that recorded all of the conversations that were happening that year and Jack Dorsey was there, Jimmy Wales was there, Pavel Durov was there, among many other people, Drew Houston.
406880	414880	So founders of Twitter, Dropbox, Wikipedia, Telegram, etc.
414880	417880	Prior to Telegram, it was Vcontact back then.
417880	438880	But yeah, so a number of tech founders basically telling their peers what their vision was for the world and what they saw the world as and what their business and technological toolkit for capturing and exploiting that was going to be.
438880	442880	And I found that event really moving. I found it very affecting.
442880	445880	I was really, I'd never been in an environment like that before.
445880	452880	And I found it overwhelming and challenging and inspiring at the same time.
452880	457880	So I was sort of confused, but I had very strong actions to it.
457880	478880	And then I worked on an artwork that kind of transcribed and took quotes from that process, from those conversations and put them alongside contemporary interface design and printed a bunch of graphic panels that were sort of summaries of each talk.
478880	502880	And then made a kind of a maze in a space called the Munich Kunstverein, where, you know, viewers would walk in a sort of a 3D extension-like environment, like you would if you were stuck in iron, and then be confronted with all of these bombardments of statements and quips about the world and about where technology was going to take us.
502880	512880	So that was kind of the first time I did that, that piece then toured to the U.S. and to New Zealand and to Mini Pinale and other types of things.
512880	524880	And I think that's when I really found my way of, you know, taking really seriously the propositions of business and technology thinkers as keys to understanding culture in our world today.
524880	530880	Let's maybe dig a little bit deeper into this emotional aspect, because this is very interesting to me.
530880	545880	And I'm wondering whether one might maybe connect it to the question of aesthetics in the sense of maybe an aesthetics of imagination, because I mean, of course, aesthetics plays a huge role in all of this.
545880	548880	You know, it's on the level of technological artifacts.
548880	552880	It's on the level of the performance on the stage of these conferences.
552880	558880	It's, for example, meme culture, like being picked up in the blockchain space, stuff like that.
558880	568880	But it's also on the level of imagination as well, I would say, because these imaginations of future, they have to be kind of aesthetically coherent.
568880	571880	They have to be desirable, so to speak.
571880	579880	So there is kind of a realm of treating our imagination of alternative futures as if it was a design space, you know?
579880	583880	So, I mean, they themselves might even not be aware of that.
583880	590880	But there is this question that you have to address, because if you do not address it, people won't kind of pick up on it.
590880	599880	You know, it has to be aesthetic and it has to be desirable or it has to be aesthetic in order to become desirable.
599880	609880	So this is really interesting to me because it also points towards a certain effort that we will have to engage with if we think about alternatives as well.
609880	613880	So I would be interested in your thoughts about this.
613880	624880	Yeah, I mean, in my experience, these types of, you know, the more I looked into exactly this question of, you know, was this a design space?
624880	628880	And if it was, how deliberate a design space is it?
628880	635880	And how are those who are in charge of producing future technological consumer paradigms?
635880	647880	How much do they think about the design space of the imaginaries of their potential clients, which is everybody everywhere all at once, you know?
647880	651880	And I would say in my experience, it's quite explicit.
651880	662880	And quite, you know, I learned more and more just how rich and imaginary these people draw on.
662880	667880	I mean, it's in one way culturally specific and often quite politically specific.
667880	675880	It's often coming from a broadly speaking conservative view frame of the world.
675880	686880	And some are quite conservative, tending towards quite right wing ideas of what politics should be, but not always.
686880	690880	But it's also culturally specific, right?
691880	700880	I guess again, as somebody growing up in New Zealand, I'm very aware of the histories of colonialism and the fact that I come from a history of certainly colonialism.
700880	702880	I'm a white New Zealander.
702880	712880	And, you know, I grew up among a very awkward understanding of the fact that my forefathers had come and essentially expropriated a bunch of land
712880	724880	and, you know, exported an idea of politics and culture and resources and, you know, whatever capitalism onto a space that prior to that was governed by different people in different ways with different values.
724880	734880	And, you know, so I guess I was aware of the fact that when these imaginaries were coming from California and were framed from a bunch of people that looked like me,
734880	739880	that it was again a very culturally specific vision that was being exported and that felt familiar.
739880	751880	And, yeah, also, maybe I'm getting ahead of myself, but connected to other types of things that I've been looking at culturally in the world anyway.
751880	761880	You know, I think the art world, especially New Zealand when I grew up there, but also in many other places around the world was thinking exactly about these things about which cultural voices had scale
761880	768880	and which were important for imaginaries of culture and political imaginaries and all these other things.
768880	772880	So, yeah, I guess they all kind of connected in my mind.
772880	782880	But, yeah, I mean, even if you just look at Apple, right, you want one of the economical technology companies of the past 50 years.
783880	797880	The, you know, the design thinking thing that is centric to them is obviously understood as a huge part of why they think they themselves are successful, right?
797880	820880	The mythologizing of Johnny Ive and these types of, you know, design focused, aesthetics focused, product design, simplicity, drawing on the history of modernism, all of that is, I think, everybody in that world understands that to be one of the key things of why Apple is so hedonic.
820880	829880	So, yeah, that's one example, but I think there's other examples as well, also from different parts of the, or slightly different parts of the political spectrum.
829880	842880	You know, one of the kind of key arcs of my investigation for the last few years has also been into the political universe around PayPal, Founders Fund, Peter Thiel.
842880	848880	And that's a slightly different, I think, political imaginary than the one that surrounds Apple.
848880	857880	Obviously, there's a lot of similarities as well, but I think there's a different ideological design space there that is aesthetic in a different way, right?
857880	867880	It's not drawing on the same strands of modernism that Apple is, but it is drawing on frontier imaginaries.
867880	878880	It is drawing on, you know, IQ and, you know, race science and things like that really explicitly at different moments in its expression.
878880	899880	So, yeah, I don't know if, again, that's an answer, but I think all of the very powerful people who are at the center of those projects really think a lot about designing inventories in the heads of their clients, users, publics.
899880	904880	So you would say this is very much deliberate on their part, so you would say that somebody...
904880	906880	That's my opinion.
906880	907880	Interesting.
907880	908880	That's my experience.
908880	930880	So you would say that someone like Peter Thiel, for example, you know, not only kind of has an ideological foundation that he builds his kind of worldview upon and then tries to bring this into the world and into actually being through force by capital, so to speak.
930880	940880	But that he kind of reflects upon this aspect of narrative in a, let's say, aesthetic or design frame, so to speak.
940880	941880	That's my understanding.
941880	944880	And I don't think I'm alone in this interpretation of the project.
944880	956880	And I think it becomes more and more visible as you get kind of discourses around, you know, pathways through subculture to producing value as well, which is a more recent turn, I think, in that in that milieu,
956880	970880	whereby there's explicit projects to build publics within traditionally avant-garde cultural spaces to kind of like seed political imaginaries more explicitly.
970880	982880	And again, like, I think I don't want to come across as if I think that, you know, powerful people in California can design the world top down and that they know that that's all possible.
982880	990880	I think it's very haphazard at the same time, but I don't think that contradicts the fact that it's I think that's the part of the project.
990880	993880	I think that's an explicit part of the design space of the project, right?
993880	998880	I think there's many attempts by many companies to do many things in terms of create a culture.
998880	1005880	I mean, you hear projects a lot talk about community, producing community and community being one of the key things to seed a product, right?
1005880	1009880	If you don't have community, then you don't have a way to scale.
1009880	1021880	And I think that is a, you know, that's a common project across many kind of Silicon Valley-ish things working in that tradition, right?
1021880	1029880	I think most people who are in the space of designing those projects know that they don't always work and there's an amount of luck and haphazardness and synergy.
1029880	1043880	You know, so I don't I don't claim to have the idea that there are kind of people who even very powerful people who are able to sit at the center of thing and completely design it and sort of just press the go button on a Goldberg machine.
1043880	1045880	And suddenly there's a political paradigm or whatever.
1045880	1048880	I don't think they think that and I don't think that's possible.
1048880	1057880	But I do think that explicitly designing imaginaries is a part of producing publics that produce products that are sustained by political paradigms.
1057880	1066880	Yeah, yeah, absolutely. Well, and of course, I mean, there are also historical examples where this has been done quite successfully.
1066880	1084880	There's the Montpeleris Society where the neoliberals very early on kind of had a roadmap how to implement these types of ideas into the public sphere and kind of were quite successful in executing their plans as well.
1085880	1087880	So, of course, it's not and these people.
1087880	1092880	Yeah, no, exactly. But and these people are explicit students of those projects.
1092880	1100880	You know, like one of I mean, I've been lucky enough to see, you know, some of these really key actors play into this world a little bit.
1100880	1104880	I was I was a guest at the Montpeleris Society meet up at the Hoover Institution.
1104880	1106880	No shit.
1106880	1110880	2020 and the keynote speaker was Peter Thiel.
1110880	1127880	And, you know, there's a there's a there's a key there's a there's a real literacy, I think, in certain parts of the communities that make these incredible products and incredible politics and publics that knows what they're drawing on, you know.
1127880	1129880	And at that meeting was incredible.
1129880	1141880	There was also a kind of a show of the Hoover Institution Archive of Milton Friedman's work, which is, again, I think, another really important milestone in this cultural arc.
1141880	1145880	And and also Frigida Kayak's founding of the Montpeleris Society.
1145880	1156880	There was an incredible relic there and I'm very attracted to material relics in my work sculpture and a painter and I work a lot with making exhibitions and making objects as well as making digital things.
1156880	1164880	And there was a really compelling object at that meet up that I'll never forget that I think kind of contains some of the, you know, what we're talking about.
