start	end	text
0	5800	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5800	12000	Mein Name ist Jan Groß und ihr hört heute den zweiten Teil meines Gesprächs mit Alex Demirovic.
12000	16000	Bevor es losgeht, möchte ich noch eine Ankündigung platzieren.
16000	23000	Kommende Woche, da findet nämlich am Samstag, den 9. September, wieder ein Future Histories Live-Gespräch
23000	25800	beim Zollo-Kollektiv in Hamburg statt.
25800	29300	Regelmäßige Zuhörerinnen von Future Histories, die werden das kennen.
29300	35300	Das ist nämlich schon eine kleine, sehr feine Tradition, die es bereits seit 2020 gibt.
35300	40300	Damals war Eva von Redeker zu Gast im ersten Zollo-Live-Gespräch.
40300	42800	Im darauffolgenden Jahr dann Katharina Hoppe.
42800	47300	Und letztes Jahr, da durfte ich Binja Damtschak bei den Zollos begrüßen.
47300	49800	Das war alles wirklich ganz großartig.
49800	54800	Und dieses Jahr darf ich bei dieser ganz feinen Tradition in Hamburg bei den Zollos
54800	57800	Sheyda Kurt als Gast begrüßen.
57800	61800	Das wird sicher ganz großartig und ich freue mich schon sehr auf dieses Gespräch
61800	65800	und möchte euch hiermit alle einladen, auch zu kommen.
65800	71300	Samstag, 9. September, Bullerdeich 6 in 20537 Hamburg.
71300	77300	Die Uhrzeit, die weiß ich jetzt gerade noch nicht, aber zu dem Zeitpunkt, zu dem ihr das hier hören werdet,
77300	80800	steht sie wahrscheinlich schon in den Show Notes zusammen mit der Adresse.
80800	85300	Also kommt alle hin, Samstag, 9. September bei den Zollos.
85300	91800	Und jetzt wünsche ich euch viel Freude beim zweiten Teil des Gesprächs mit Alex Demirovic.
96800	99800	Aber lass uns doch ein bisschen in diese Richtung einbiegen.
99800	104300	Die Frage der Demokratisierung der Wirtschaft, die du jetzt eigentlich angesprochen hast.
104300	106300	Dazu hast du ja viel gearbeitet.
106300	112300	Du hattest jetzt schon die Rätetradition angesprochen als einen wichtigen Pfeiler dafür.
112300	118300	Vielleicht kannst du uns kurz skizzieren, was für dich eigentlich so die groben Umrisse sind,
118300	120800	dessen, was es anzustreben gelte.
120800	126800	Na ja, die Räte, Demokratie ist natürlich auch der Versuch, zu sagen,
126800	133800	auch die Subjekte in dem Gesamtprozess unserer Vergesellschaftung nehmen auch eine neue Rolle ein.
133800	140300	Also zunächst mal bedeutet das ja, dass wir damit das Private und das Öffentliche nicht mehr trennen,
140300	146300	sondern auch das Private als etwas Öffentliches, Allgemeines begreifen.
146300	148300	Wie bin ich privat geworden?
148300	156300	Was sind eigentlich meine privatisierten Bedürfnisse, meine Eigentumsansprüche, also der eigene Narzissmus?
156800	161800	Also das ist aus meiner Sicht wichtig, weil eben damit deutlich wird,
161800	168800	dass auch die Privatsphäre nicht privat individuell ist, sondern gesellschaftlich bestimmt ist.
168800	173800	Und die zweite große wichtige Unterscheidung der bürgerlichen Gesellschaft,
173800	179800	nämlich Wirtschaft und Politik, dass auch das so in Frage gestellt wird.
180300	188300	Und das heißt, dass damit auch Individuen, Subjekte sozusagen in ein neues Verhältnis gesetzt werden.
188300	194300	Ja, also wir haben jetzt die Situation, dass Individuen zwar als Autonome gelten
194300	199800	im Bereich der Politik oder der Kultur oder im allgemeinen Leben,
199800	204300	aber in den Betrieben sind sie eben doch untergeordnet.
204300	210800	Und dann sollen sie natürlich jetzt in neoliberalen Modellen auch in hohem Maße selbstbestimmt sein.
210800	215300	Aber das ist ja tatsächlich eigentlich eine widersprüchliche Anforderung,
215300	221800	weil sie sollen ja auch gleichzeitig die ganze Zeit betriebliche oder Unternehmensziele verwirklichen.
221800	229800	Also Effizienz, Gewinnsteigerung, die Performance des Unternehmens, die Wettbewerbsfähigkeit steigern.
230300	235800	Das sind ja alles Kriterien und Maßstäbe, über die die Einzelnen ja gar nicht wirklich selber entscheiden.
235800	240300	Die können es gut finden oder schlecht finden. Sie finden es eher gut,
240300	246300	weil wenn sie es alles schlecht finden, dann kämen sie ständig in eine kognitive Dissonanz,
246300	250800	in einen Konflikt mit den Firmen, wo sie ihren Lebensunterhalt verdienen.
250800	253300	Also finden sie es eher gut.
253300	261300	Und das kann man nicht in diesem starken Sinne als eine Form von Freiheit, Selbstbestimmung, Autonomie,
261300	264300	nicht mal in diesem Sinne so denken.
264300	269300	Aber du siehst, da kommen wir wieder in diese fragwürdigen Begriffe rein.
