start	end	text
0	5560	Welcome to Future Histories, my name is Jan Groos and it is my great pleasure to welcome
5560	8440	Kohei Saito in today's episode.
8440	12000	Kohei is professor at the University of Tokyo.
12000	19180	He writes with spectacular success about degrowth communism and very recently a German translation
19180	25200	of his book has been released by DTV under the title Systemsturz, der Sieg der Natur
25200	26960	über den Kapitalismus.
27160	36200	I was very lucky to catch Saito at the Viennese Volksstimmenfest and he was very spontaneously
36200	39840	willing to record an episode of Future Histories the next day.
39840	46080	Before we start, I would like to welcome Daniel, Jakob and Christoph as patrons of Future Histories
46080	50880	and I would like to thank Lukas and Wilfried for their kind donations.
50880	56640	And now, please enjoy today's episode with Kohei Saito on degrowth communism.
62280	63280	Welcome Kohei.
63280	64280	Thank you for invitation.
64280	66320	Well, it's an absolute pleasure.
66320	73600	Kohei, you have coined the label degrowth communism and it seems to be a very effective and kind
73600	76080	of provocative tool.
76080	79880	Maybe for those who don't know about it, what is degrowth communism?
79880	86720	Okay, so what I try to do in my book is basically if you want to really be serious about climate
86720	89280	crisis, you have to be anti-capitalist.
89280	96680	Capitalism, I don't think, can solve climate crisis by simply investing in renewable energies
96680	103840	and electric vehicles because capitalism is a system of constant expansion, constant valorization,
103840	109760	which is always accompanied by the increase of energy and resource usage.
109760	119200	So the new technology try to decouple the economic growth from usage of energy and resources,
119200	125020	but it hasn't been sufficient and it won't be because this system of constant accumulation
125020	131620	will always demand excessive production and consumption in order to keep this system going.
131620	136680	So I advocate degrowth communism and this has two aims.
136680	143280	One is basically communism or any socialists need to learn from degrowth side.
143280	147920	It's tradition, especially I come from the Marxist background, it's characterized by
147920	151840	a kind of productivism, you know, more technologies will be good.
151840	157240	It will bring many things to working class and also it will prepare the foundation for
157240	159720	new society and so on and so on.
159760	167400	But I argue that this optimism is not valid anymore, especially in the face of ecological
167400	168400	crisis.
168400	175960	So I think communists or socialists side have to accept this idea of degrowing, which actually
175960	184680	means not about going back to, you know, pre-modern, go back to nature kind of things, rather it
184680	192400	first asks to abandon GDP as a measure of progress, but at the same time, it also demands
192400	195440	to reduce what is unnecessary.
195440	199040	There are many excessive things, as I said, so why don't we reduce them?
199040	203800	Because they are not really contributing to our well-being and they also destroy the planet
203800	205160	and so on.
205160	211120	And however, degrowth side should also learn from communist side, because some degrowth
211200	218440	people are not so explicit about overcoming or criticizing capitalism.
218440	225600	But I think degrowth capitalism cannot be possible because, as I said, capitalism is
225600	227800	simply about growth, right?
227800	233720	So if we really want to have degrowth, we need to challenge the market system, the price
233720	237600	mechanism and private property and that kind of things.
237600	243080	So in the sense that the degrowth also can learn a lot from the socialists side, so I
243080	248680	just try to combine both of them and degrowth communism, which actually has been quite successful
248680	249680	in Japan.
249680	254080	Right, not only in Japan, I have to say it has been quite successful as a discursive
254080	257000	carrier far beyond Japan, I have to say.
257000	262520	So maybe let's talk about your engagement with the theory of metabolism, which is very
262520	264920	foundational for your perspective, I think.
264920	270840	So what does the theory of metabolism entail and what are the different layers to it?
270840	275000	And maybe what role does it play for your thinking about post-capitalism?
275000	281320	So when I talk about degrowth communism, this is actually coming from Karl Marx.
281320	288400	So I even argue that Marx became a degrowth socialist, a degrowth communist in the end
288400	290360	of his life.
290840	296760	In order to reach this point, I think this theory of metabolism is quite important.
296760	303680	So this also this theory and concept of metabolism, Stoffbeck says, comes from Karl Marx.
303680	306420	His point is quite simple.
306420	312000	He characterizes actually labor, the one of the fundamental category of his critical political
312000	318880	economy as the conscious mediation of human metabolic interaction with nature.
318880	323640	So human produces many things with certain aims and then they improve new technologies
323640	324640	and so on.
324640	330960	But this process is a kind of a circular process because human takes out of energy resources
330960	335880	from nature and they produce something and then they consume them.
335880	340620	And then there will be a waste of energy and resources, they go back to nature.
340620	348340	So this is a kind of circular process that is basically everywhere, anywhere in the time
348340	349340	of history.
349340	354740	So as long as humans live, this process of metabolism will continue.
354740	356140	We cannot ignore this.
356140	362420	And this is a natural law of our existence, I mean, any living being.
362420	368300	But the humans can consciously mediate this metabolism with nature.
368300	373260	But the problem is under capitalism, this metabolism is disrupted.
373980	378300	Marx called this disruption, metabolic lift.
378300	385380	And this is basically because capitalism tried to expand all the time and they tried to accelerate
385380	391500	at the same time, which creates a tension with this natural metabolism, which exists
391500	396260	independently and prior to capitalist accumulation.
396260	403140	For example, capitalism always tried to extract more resources and they tried to extract more
403460	405980	soil nutrition for the sake of food production.
405980	410500	And these kind of the process becomes much bigger and bigger for the sake of economic
410500	411500	growth.
411500	412940	But at the same time, it becomes faster.
412940	419540	They try to make many, many circuits so that they can have bigger profit.
419540	425860	And this creates a tension because the process of nature is much actually slower and it cannot
