start	end	text
0	4640	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung
4640	5640	von Zukunft.
5640	10680	Mein Name ist Jan Groß und ich freue mich sehr, heute Shader Kurt begrüßen zu dürfen.
10680	15240	Sie ist Buchautorin, Journalistin, Moderatorin und vieles mehr.
15240	20840	Diese heutige Folge, die setzt eine meiner liebsten Traditionen fort, nämlich das jährliche
20840	25640	Future Histories Live-Gespräch beim Zollo Kollektiv in Hamburg.
25640	31480	Angefangen hat diese überaus schöne Tradition 2020 mit Eva von Redeker zu Gast.
31480	36040	2021, da durfte ich dann Katharina Hoppe bei den Zollos begrüßen.
36040	43560	2022 bin ich Adamczak und dieses Jahr ist die großartige Shader Kurt zu Gast gewesen.
43560	47460	Ich freue mich wirklich jedes Mal sehr, bei den Zollos sein zu dürfen und sende hiermit
47460	49600	meine liebsten Grüße nach Hamburg.
49600	50600	Vielen Dank für alles.
50600	53800	Das ist wirklich ganz großartig, dass wir das jedes Jahr machen.
53960	60080	Und nachdem ich diese Folge hier vorproduziert habe, bleibt mir auch nichts weiteres, als
60080	65400	euch viel Freude zu wünschen mit der neuen Future Histories Live-Episode mit Shader
65400	67840	Kurt zu strategischem Hass.
73720	74720	Herzlich willkommen, Shader!
74720	78040	Hallo, es ist sehr schön, hier zu sein.
78040	79560	Wunderbar, ich freue mich sehr.
79640	83680	Shader, ich habe in der Vorbereitung beide deine Bücher gelesen, Radikale Zärtlichkeit
83680	84680	und Hass.
84680	87800	Und das sind beides wirklich tolle Bücher, muss ich sagen.
87800	90080	Ich kann es euch allen nur empfehlen, sie zu lesen.
90080	96840	Aber mir ist extrem aufgefallen, dass ich bei Hass viel unmittelbarer sofort involviert
96840	98520	war, als ich mich involviert gefühlt habe.
98520	102280	Ich habe mir nämlich auf der ersten Seite dann schon mit großen Ausrufezeichen dazu
102280	108880	geschrieben, sofort, ganz laut, Doppelpunkt, mein Privileg, nicht hassen zu müssen.
108920	112400	Es gibt bei mir schon definitiv auch einen sehr ausgeprägten Dissens mit dem Status
112400	117640	Quo, also das ist sicher so, aber das speist sich sozusagen meiner Energie, glaube ich,
117640	122400	aus einem anderen, aus einem anderen Gefühlsamalgam, wenn man so will, ja.
122400	126640	Und ich finde es ganz großartig, wie du dann im Buch so darauf eingehst, was es für unterschiedliche
126640	131840	Facetten des Hasses gibt und herausarbeitest, wie eben der Hass mitunter auch als eine notwendige
131840	135920	Kraft und als einen Selbstschutz und als eben auch ein Energiereservoir vielleicht
135920	137720	anzusehen ist, wenn man so will.
138000	141440	Ich möchte auf jeden Fall nochmal betonen, wie auffällig das für mich auch war, dass
141440	147520	ich das als ein ganz starkes Privileg empfunden habe, also vielleicht auch im Schlechten
147520	149480	eigentlich nicht hassen zu müssen.
149480	154920	Aber bevor wir vielleicht jetzt da diese Frage noch ein bisschen weiter in diese Richtung
154920	159000	ausschloten, vielleicht magst du uns erst mal vorstellen, einen Überblick darüber
159000	162880	geben, was für dich diese Auseinandersetzung mit dem Hass eigentlich bedeutet.
164000	167560	Sehr gerne. Aber ich glaube, das schließt auch unmittelbar an deine Beobachtung oder
167600	170680	an deine Erfahrung an, die du gerade mit uns geteilt hast.
173000	177240	Ich würde es gar nicht mal als Privileg bezeichnen, nicht hassen zu müssen.
178080	181560	Ich werde auch oft gefragt, ja, wie ist das denn?
181600	183120	Wer darf denn eigentlich hassen?
183160	187640	Und die Frage werfe ich ja auch schon in dem ersten Kapitel auf und erzähle das entlang
188200	194320	eben von Ordnungssystemen, Unterdrückungsstrukturen, Rassismus, Kolonialismus,
194320	195600	Patriarchat etc.
195920	199240	Aber gleichzeitig ist das Ambivalente ja am Hass, dass er eigentlich überhaupt erst
199240	200480	gar nicht existieren soll.
200520	205280	Also die Frage, wer überhaupt hassen darf, stellt sich nur auf den zweiten, dritten
205280	208960	Blick, weil eigentlich ist der Hass ja so verpönt, dass er eigentlich überhaupt niemandem
208960	211120	zur Verfügung stehen sollte.
211400	216520	Obwohl es ja auch gleichzeitig da natürlich, wenn wir uns jetzt auch nicht unbedingt
216520	221040	tagesaktuelle Entwicklungen, obwohl auch da, aber wenn wir uns zum Beispiel Pegida etc.
221080	226720	anschauen, die rechten Proteste vor einigen Jahren, wo der Hass tatsächlich einfach
226720	231560	symptomatisch, der sich auf der Straße geäußert hat, dann im Mainstream umgedeutet wurde
231560	234640	in Besorgnis, also besorgte Bürger in etc.
234960	240320	Dann sehen wir ja schon, auf welche Art und Weise Hass bei manchen eher dazu führt,
241720	248680	dass sie eher vermenschlicht werden, also dass der Hass, den sie zutage tragen, sozusagen
249400	256040	dazu führt oder dazu genutzt wird, um ihnen urmenschliche Angst, Sorge zuzusprechen und
256040	261720	wo der Hass auf der anderen Seite benutzt wird, um Menschen, die sowieso immer per se
261720	268600	qua Herkunft, qua Aussehen, qua Existenz überhaupt immer als AggressorInnen markiert
268600	272680	werden, um denen sozusagen den Hass zuzuschreiben, um sie zu entmenschlichen.
272680	276080	Und da gibt es ja auch eine lange koloniale Tradition, die ich mir auch anschaue in dem
276080	282440	Buch zum Teil, aber gleichzeitig würde ich sagen, es ist ja schön vielleicht, dass du
282440	285760	nicht hassen musst in dem Sinne, das Gefühl hast, dass du das nicht tun musst.
285760	287760	Ich würde auch nicht sagen, alle müssen hassen.
287760	289880	Das ist ja auch immer so ein Missverständnis aus dem Buch.
289880	295360	Das ist ein großes Manifest, Pamphlet ist, das den Hass sozusagen bespürt.
295360	298760	Und ich glaube, dass der Hass ja auf eine gewisse Art und Weise strategisch und sinnvoll
298760	300240	eingesetzt werden kann.
300560	306040	Aber letztendlich weiß ich auch aus persönlicher Erfahrung, wie nah der Hass auch am Trauma
306280	310720	dran ist. Und letztendlich ist es ein Buch, das sehr viel von Trauma handelt und deswegen ja
310720	316120	auch eine Form hat, auch im zweiten Kapitel eine sehr fragmentierte Form, also auch das
316120	323160	Trauma ja auch als ein Unmöglichwerden von linearen Erzählungen, von Sinnzusammenhängen,
323160	324840	die plötzlich auseinanderreißen.
325240	333720	Und meine ganze Arbeit besteht ja auch so mehr oder minder so aus dem Drang, die Fragmente
333720	339560	auch wieder in einer Beziehung zu einander zu setzen, ohne der Vorstellung anheim zu
339560	343320	fallen, dass es irgendwie wieder eine Ganzheit geben könnte, aber wieder eine Beziehung
343320	348520	herzustellen und auch aus dem ewigen Loop, aus der ewigen Wiederholung auch des Traumers,
348520	349640	was es ja im Wesen ist.
349640	353960	Also das Trauma ist ja eine zeitlose Welt, wo es auch keine Zukunft gibt am Ende.
354920	358560	Das passt ja wieder so ein bisschen zu dem Titel deines Podcasts, also Future Histories.
358760	361960	Aber wenn du die ganze Zeit im Trauma gefangen bist, auch wenn man das psychologisch
361960	366520	erklärt, ist es ja eine zeitlose Welt, in der es eigentlich nur die Vergangenheit gibt und
366520	371680	irgendwie vielleicht ein Einblick in eine Gegenwart, die aber auch eigentlich immer nur
372360	376480	unmittelbar gekoppelt ist an etwas, was du in der Vergangenheit erlebt hast.
376760	380480	In dem Sinne würde ich gar nicht sagen, alle müssen jetzt hassen und alle müssen in dem
380480	381960	Sinne traumatisiert sein.
382280	387880	Und am Ende ist das Buch auch für mich persönlich auch der Versuch, mich aus dem Trauma auch
387920	392440	herauszuarbeiten, also mich in der Bewegung des Traumers vielleicht auch zwischendurch mitreißen
392440	397880	zu lassen. Aber letztendlich geht es schon immer auch um die Frage nach der Zukunft und wo auch
397880	402200	der Hass vielleicht in der Zukunft überhaupt noch einen Platz haben kann oder sollte.
402240	407320	Und das ist dann die Frage, die sich dann anschließt und wo dann vielleicht sich der Bogen
407320	411320	schlägt zum ersten Buch der Frage nach einer radikalshertlichen Gesellschaft.
412000	416720	Ja, sehr schön. Da kommen wir in jedem Fall auch noch zu, zu dieser Frage, was nach dem Hass
416720	418400	liegen kann und auch wie man dahin kommt.
