start	end	text
0	1960	Welcome to Future Histories.
1960	6780	My name is Jan Gross, and my guest today is Richard Barbrook, who is, amongst
6820	12320	other things, known for coining the term Californian ideology as an early critique
12320	14720	of Silicon Valley techno-determinism.
15240	20300	He and Andy Cameron wrote their influential essay on the subject in 1995,
20340	22780	and the topic is as prevalent as ever.
23400	26620	I met Richard at the 10-year anniversary of the techno-politics
26620	28300	research group here in Vienna.
28700	30660	So shout outs to them as well.
31140	35820	Another person whom I was happy to meet again there is Jaya Clara Brecke,
35820	41100	my guest in episode six, which was, up until now, the one episode in this
41100	42760	podcast that I did in English.
43240	48400	So if you're not fluent in German, but indeed love future histories, then please
48400	51100	go and check out episode six with Jaya.
52020	56300	And whatever language you actually speak, if you like the show, then please
56340	62060	tell a friend, or if you can, then support it on Patreon via patreon.com
62060	63620	slash future histories.
63980	67220	Marianne and Paula recently did just that.
67260	73020	And I want to send my warmest thanks to them for doing so, but now please
73020	76340	enjoy today's episode with Richard Barbrook.
81980	84940	Richard, you have done so many different things.
84940	87540	I think it's easier if you introduce yourself.
88180	93060	Well, I teach politics at the University of Westminster in London, and I'm a
93060	99380	founder member of Class War Games, and we also run a cooperative called
99380	101460	Digital Liberties that makes games.
102060	109180	And I was sitting outside a cafe in Vienna and someone came up to talk to me,
109260	110740	who I thought might be begging for money.
110740	113740	But then I realized he actually did, because I'd never met the guy before.
113940	117180	And he said, you are the person who wrote the Californian ideology.
117620	118820	And I said, yep, that is true.
119340	121620	So that's the other thing I'm well known for.
121900	128100	That was in 1995, where we critiqued.com neoliberalism before its time.
129380	136700	And hopefully starting a process that will eventually lead into
136700	138380	different kinds of futures.
138740	139460	Ah, yes.
139500	143420	Well, it's one of the reasons I got interested in futures, like writing
143420	144380	histories of the future.
144380	148660	I wrote a book called Imaginary Futures, which is the start of the first chapter
148660	150780	that says the future is what it used to be.
151500	156900	So things like, you know, predictions of artificial intelligence or, you
156900	160420	know, fusion power or space tourism.
160460	165020	They've been around since at least the 1960s, and they come back with a
165020	167220	regularity, which is quite extraordinary.
167500	171060	And of course, the information society, we're always about to transition from
171540	175700	industrial capitalism to some sort of digital utopia.
176180	180020	And again, that goes back to at least the 1960s, or in its Russian
180020	182100	original version, the 1950s.
182900	187500	One point you're making is actually that there is this repetition of futures
187500	193020	actually, and you pledge us to invent new imaginaries of futures.
193020	196780	So why do we need these new imaginaries of future?
196980	200620	Well, I think the reason is because, I mean, I've just been to visit the
200620	205300	Red Vienna Exhibition, which everybody should go and see next to the Rathaus.
206380	207340	And that's an interest.
207340	210340	That's interesting because they had a very clear vision of the future.
211780	216620	So people in Vienna before the First World War had terrible housing and bad
216620	218980	health care and really poor education.
219380	223700	And so to raise the mass of the population up, they had a vision of a sort of social
223700	226940	democratic transition to communism.
227580	231620	And what you need to do is have a healthy, educated and well-housed proletariat.
231660	232820	And then they went and did it.
233460	235460	And it's quite extraordinary achievement.
236540	239460	And present day Vienna still benefits from that attempt.
239860	245940	And that's that's an example of if the left needs a way of thinking about a future,
246300	250780	because if you know, when you start doing things now, they're like a beta version of
250780	253660	what's going to come up, come eventually.
253700	258340	And so if you don't have that idea of an imaginary future, you're in a bit of a
258340	260980	problem because the right does have an imaginary future.
260980	265580	It has a sort of neoliberal dystopian, but in Britain, it's called Brexit.
267620	272940	You know, so you turn yourself into a sort of fantasy version of America, basically.
273020	275980	Or even worse, a native nationalism.
276620	278620	Well, that is partly America, yes, of course.
279340	280100	I can live there.
281100	285220	No, no, I went to school in America where they used to make them all pledge allegiance
285220	288940	to the flag every morning, which is a little English person I thought was very weird.
290260	295100	So, you know, they have to inculcate a nation, a multinational country and
295220	297940	homogenize them into one thing called Americans.
298940	305100	So how could these like really radically different imaginaries, imaginary futures
305260	310860	look like? Because, I mean, there's social democracy, but we kind of had that.
310860	316020	And it's at the end, I mean, at least in the way it has been done, like the
316020	324620	last 40, 50 years, it has always been a, like a compromise between a social
324620	327060	welfare state and a capital market.
328820	333620	I met an English guy who was living here on the, in the exhibition, who was
333620	337580	lecturing me about the awfulness of British politics because you don't want
337580	342140	to compromise, and I was saying, well, you can't compromise, that's the problem.
342820	348140	Yeah, you've had that advantage that the, I was told by an Austrian of the post
348140	351900	war generation who said the socialists and the Christian Democrats learned to
351900	354540	compromise in the concentration camp.
