start	end	text
0	5600	Herzlich Willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5600	9700	Mein Name ist Jan Groß und mein heutiger Gast ist Simon Schaub.
9700	17500	Simon forscht an der Universität Basel zum Verhältnis von Selbstorganisation und Kontrolle in der Industrie 4.0
17500	22700	und ist Mitglied des Z, des Zentrums für Emanzipatorische Technikforschung.
22700	26800	Ich hatte schon einmal die Freude, einen Gast vom Z begrüßen zu dürfen.
26800	32400	In Folge 10, da war Philipp Frei zu Gast und wir haben über Zukunft der Automatisierung gesprochen.
32400	35700	Ich kann euch diese Folge nur wärmstens ans Herz legen.
35700	41500	Heute geht es um Kybernetik und Wirtschaftsdemokratie. Das klingt dann zum Beispiel so.
41500	44900	Wirtschaftsdemokratie hat immer drei Elemente.
44900	54000	Das erste Element ist, dass prinzipiell davon aufgegangen wird, dass alle Menschen dieselben Anreste darauf haben,
54200	57700	ihre Bedürfnisse zu befriedigen. Das ist im Kapitalismus nicht gegeben,
57700	63900	sondern befriedigt werden prinzipiell nur kaufkräftige Bedürfnisse, seien sie auch noch so abwegig,
63900	70900	während andere existenzielle Bedürfnisse, die aber keine Kaufkraft aufweisen, sozusagen nicht befriedigt werden können.
70900	76000	Das wäre das erste Kriterium. Das zweite Kriterium wäre, dass alle Menschen,
76000	81800	dass davon ausgegangen wird, dass alle Menschen, die in Arbeit sind, das Recht darauf haben,
81800	84600	in gleicher Weise darüber mitzubestimmen, wie sie arbeiten möchten.
84600	90400	Auch das ist ja bekanntlich gegenwärtig nicht der Fall, sondern wir müssen uns eben
90400	98600	den abstrusesten Kontrollregimes unterwerfen und sozusagen es gibt immer mehr Burnouts
98600	104200	aufgrund von immer weiter wachsenden Leistungsanforderungen und so weiter.
104200	114200	Und das dritte Element wäre dann ein globales, dass alle Menschen gleichermaßen ein Anrecht darauf haben,
114200	120200	weiter in einer Welt leben zu können, die eben nicht geprägt ist von Umweltkatastrophen,
120200	125700	Seuchen und so weiter, also sozusagen ein Anrecht auf die Unversehrtheit des Planeten.
125700	131200	Wenn euch Future Histories gefällt, dann erzählt es doch mit einem Freund oder einer Freundin,
131200	135200	von dem ihr glaubt, dass ihr oder ihm Future Histories vielleicht auch gefallen könnte.
135200	139200	Viel Spaß bei der heutigen Folge mit Simon Schaub.
145200	147200	Herzlich willkommen Simon.
147200	149200	Dankeschön.
149200	154200	Einer der Themenschwerpunkte dieser Staffel von Future Histories, der lautet Herrschaft 4.0
154200	158200	und da hört man ja auch schon so eine gewisse Nähe zu deinem derzeitigen Forschungsgebiet
158200	162200	Selbstorganisation und Kontrolle in der Industrie 4.0 heraus.
162200	169200	Herrschaft 4.0 verweist aber auch noch auf ein anderes Thema, mit dem ich mich viel in diesem Podcast hier befasse.
169200	173200	Eigentlich von Anfang an kann man sagen, ein Thema, das ich auch unglaublich wichtig finde
173200	179200	für den Versuch des Verstehens unserer technopolitischen Gemengenlage, nämlich die Kybernetik.
179200	182200	In Folge 1, da ging es schon einmal explizit um die Kybernetik
