start	end	text
0	5760	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5760	12760	Mein Name ist Jan Groß und ich freue mich sehr, heute Anna Verena Nosthoff und Felix Maschewski begrüßen zu dürfen.
12760	17760	Die beiden sind die Autorinnen des Buches Die Gesellschaft der Wearables.
17760	22040	Bevor wir in die Folge einsteigen, darf ich noch Dank aussprechen.
22040	28040	Vielen, vielen Dank an Felix für deine Unterstützung bei Patreon, ebenso an Anna.
28040	35040	Vielen Dank auch dir für deine Unterstützung bei Patreon und Bernhard, vielen Dank für die erneute Spende.
35040	40040	1000 Dank Leute, das hilft mir wirklich sehr und freut mich ungemein.
40040	43040	Und ich darf zwei Termine ankündigen für die kommende Woche.
43040	50040	Am Mittwoch gibt es ein Panel, das ich organisiert habe am Weizenbaum-Institut für die vernetzte Gesellschaft in Berlin.
50040	54040	Am 26. ist das Mittwoch um 18 Uhr.
54040	56040	Das wird sicher großartig.
56040	60040	Es sind auch ehemalige Gäste von Future Histories dort.
60040	68040	Benjamin Seibel ist zu Gast auf dem Panel und Jaya Clara Brekke und Martin Köppelmann von Gnosis wird auch dabei sein.
68040	74040	Also wir vier, wir sprechen dort über das Thema Crypto Economics as an Art of Government.
74040	77040	Ich freue mich, euch dort zu sehen, wenn ihr in Berlin seid.
77040	82040	Und am nächsten Tag gibt es noch eine Veranstaltung, bei der ich die Freude habe mitwirken zu dürfen.
82040	90040	Am Donnerstag, den 27.02. moderiere ich ein Gespräch zwischen der Künstlerin Anna Witt und Florian Butollo.
90040	96040	Gast in der letzten Folge von Future Histories übrigens in der Galerie Tanja Wagner.
96040	103040	Das Ganze ist Teil von Annas Einzelausstellung in der Galerie Tanja Wagner mit dem Titel Unboxing the Future.
103040	106040	Ich freue mich, euch auch dort zu sehen.
106040	113040	Und jetzt viel Spaß bei der heutigen Episode mit Anna Verena Nostov und Felix Maschewski.
119040	124040	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
124040	130040	Mein Name ist Jan Groß und ich freue mich sehr, heute Anna Verena Nostov und Felix Maschewski begrüßen zu dürfen.
130040	134040	Anna und Felix haben das Buch Gesellschaft der Wearables geschrieben,
134040	140040	dessen Untertitel digitale Verführung und soziale Kontrolle auch die Richtung unseres heutigen Gesprächs andeutet.
140040	142040	Herzlich willkommen, Anna und Felix.
142040	143040	Hallo Jan.
143040	144040	Hallo Jan.
144040	149040	Fangen wir mal mit der Definitionsfrage an, denn der Begriff Wearables wird nicht eingeläufig sein.
149040	151040	Was sind das Wearables?
