start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	10000	Mein Name ist Jan Groß und ich hoffe, dass es euch allen gut geht.
10000	17000	Mein Gast heute ist Josef Vogel und ich habe auch dieses Mal vor dem Interview direkt eine längere Einführung gemacht.
17000	23000	Deswegen mag ich da jetzt gar nicht zu viel zu sagen, aber ich möchte euch noch darauf hinweisen,
23000	30000	dass dieses Interview hier vor dem Ausbruch der Covid-19-Pandemie im deutschsprachigen Raum aufgezeichnet worden ist.
30000	37000	Das heißt, dieses Gespräch, das sich auch bekannterweise mit einer Frage der Krise des Regierens beschäftigt,
37000	45000	tritt jetzt in eine ganz interessante Wechselwirkung mit den jüngsten Ereignissen und gerade nämlich auch der Frage,
45000	53000	wie Regieren, staatliches Regieren und auch anderes Regieren, algorithmisches Regieren, das Regieren der Märkte und so weiter,
53000	60000	wie diese verschiedenen Formen des Regierens jetzt in dieser Situation neu gelesen werden.
60000	64000	Das heißt, es gibt manche Gespräche, die altern schlecht.
64000	71000	Dieses hier in keinster Weise, denn da kommen jetzt ganz viele spannende Bezüge auf euch zu,
71000	77000	die eigentlich auch für mich und Herrn Vogel während des Gesprächs natürlich noch nicht absehbar waren.
77000	83000	Bevor es losgeht, mag ich gerne noch Jonathan danken und ihn herzlichst begrüßen
83000	89000	in der Gemeinschaft der Patreon-Unterstützerinnen von Future Histories.
89000	93000	Vielen, vielen Dank, Jonathan. Ich weiß, das sehr zu schätzen und das hilft auch ungemein.
93000	97000	Vielen Dank auch an Fabian für seine Spende. Auch das hilft ungemein.
98000	102000	Und in diesem Zusammenhang wollte ich euch alle nochmal darauf aufmerksam machen,
102000	105000	dass man eben Future Histories zum einen bei Patreon unterstützen kann,
105000	111000	dass man aber auch einmalige Spenden einfach auf das Konto von Future Histories überweisen kann
111000	115000	und dass ich euch allen für diese Unterstützung ganz unglaublich dankbar bin.
115000	121000	Und bevor es jetzt dann wirklich losgeht, mag ich euch noch auf eine Folge von Future Histories aufmerksam machen,
121000	126000	die in einem ausgezeichneten Korrespondenzverhältnis zu der heutigen Folge steht,
126000	131000	nämlich die Folge 11 mit Frieda Vogelmann zu alternativen Regierungskünsten.
131000	135000	Und ich möchte euch auf eine zukünftige Folge von Future Histories aufmerksam machen,
135000	140000	nämlich die übernächste, also die 27. Folge Future Histories.
140000	146000	In der wird nämlich Philipp Stab zu Gast sein und wir sprechen über sein ausgezeichnetes Buch
146000	152000	zum digitalen Kapitalismus, aus dem ich unter anderem den heute in dem Gespräch mit Joseph Vogel
152000	156000	auch verwendeten Ausdruck der proprietären Märkte habe.
156000	163000	So, jetzt aber wünsche ich euch viel Spaß in der heutigen für mich wirklich überaus interessanten Folge
163000	168000	mit Joseph Vogel zum Thema die Krise des Regierens.
168000	173000	Das ist ja dann auch eine schöne, stimmungsvolle Kulisse für unser Gespräch.
173000	180000	Das freut mich. Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
180000	185000	Mein Name ist Jan Groß und ich freue mich sehr, heute Joseph Vogel begrüßen zu dürfen.
185000	190000	Joseph Vogel ist Professor für neuere deutsche Literatur, Kultur und Medienkultur.
190000	194000	Herr Groß und ich freue mich sehr, heute Joseph Vogel begrüßen zu dürfen.
194000	199000	Joseph Vogel ist Professor für neuere deutsche Literatur, Kultur und Medienwissenschaften
199000	204000	und hat mehrere Bücher zu Themen geschrieben, die für diesen Podcast hier von großer Relevanz sind.
