start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	13000	Mein Name ist Jan Groß und mein heutiger Gast ist Philipp Stab und wir sprechen über digitalen Kapitalismus.
13000	20000	In der vergangenen Episode hatte ich angekündigt, dass das Gespräch mit Philipp nicht heute, sondern in der kommenden Episode erst erscheinen wird.
20000	26000	Das hat sich aufgrund von Terminkollisionen geändert und das passt sehr gut,
26000	31000	denn das Interview mit Philipp schließt ganz ausgezeichnet an die vergangene Folge mit Josef Vogel an.
31000	40000	Tatsächlich habe ich die beiden Interviews auch im Februar an aufeinanderfolgenden Tagen aufgenommen, und zwar in dieser Reihenfolge, wie ihr sie jetzt hier auch hört.
40000	52000	Und das Interview schließt auch an eine andere Folge Future Histories ausgezeichnet an, nämlich an Folge 18 mit Simon Schaub zum Thema Kybernetik und radikale Demokratie.
52000	60000	Im Gespräch mit Philipp kommen wir später zum Beispiel auf einen Text zu sprechen von Simon Schaub in Zusammenarbeit mit Georg Jochum.
60000	68000	Der trägt den Titel Die Steuerungswende zur Möglichkeit einer nachhaltigen und demokratischen Wirtschaftsplanung im digitalen Zeitalter.
68000	71000	Den kann ich euch wärmstens empfehlen.
71000	75000	Es hat mich wirklich sehr gefreut, dass das Gespräch mit Philipp zustande gekommen ist,
75000	83000	denn ich glaube, dass die von ihm betriebene Auseinandersetzung mit den Strukturen des digitalen Kapitalismus ganz ungemein wichtig ist.
83000	88000	Und ich mag mich bedanken bei Leon aus der Forschungsgruppe 17 des Weizenbaum Instituts,
88000	98000	denn der hat mich auf die Arbeit von Philipp Schaub aufmerksam gemacht und somit entscheidenden Anteil daran, dass diese Folge hier zustande gekommen ist.
98000	108000	Ich darf mich auch bedanken bei Christian und Simon, die ich hiermit hochoffiziell in der Gemeinschaft der Patreon-UnterstützerInnen begrüßen möchte.
108000	113000	Vielen herzlichen Dank, das hilft wirklich ungemein und freut mich sehr.
