start	end	text
0	6320	Welcome to Future Histories, my name is Jan Groos and my guest today is Daniel E. Sarrows,
6960	12080	with whom I will be talking about digital socialism and the abolition of capital.
12800	16560	Before we get to the interview, I'd like to say a few words on this.
17120	22640	What you are about to hear is an in-depth discussion of Daniel Sarrows' proposal of
22640	28800	a socialist political economy with its own socialist laws of motion and a socialist mode
28800	35680	of production. More than anything, this is an invitation to everybody out there longing for
35680	42400	fundamentally different political economies to please join the discussion. And if I say everybody,
42400	47680	I do mean everybody and specifically people coming from other traditions of thought and
47680	53760	political orientation. I'm really honestly interested in your opinion on that. This whole
53760	58880	thing here is meant to be an open and honest investigation of how fundamentally different
58880	64720	kinds of futures can be brought about. And I do believe that Dan's work is an important
64720	70880	contribution to this. Since he dares to do what many shy away from, he puts out a concrete
70880	77200	proposal. Such a proposal can only be seen as a starting point, of course, and I can't stress
77200	84000	this enough. This is a wholehearted invitation to engage with these ideas. I put an extra effort
84000	89360	in creating the show notes for this episode, so you'll find a lot of resources for further
89360	95920	engagement with the topic there. We will cover the proposal as well as its historical foundations
95920	102960	in great detail, so much so that I had to split the three-hour interview into two episodes.
102960	108960	The second part will be released in episode 32 of Future Histories in two weeks time.
109600	115440	Patreon supporters, however, can listen to it already starting today. So if you are super
115440	121440	fixed by what you hear today and can't stand waiting another two weeks, every support on
121440	129520	Patreon is greatly appreciated. But now please enjoy today's episode with Daniel Seros on
129520	133200	digital socialism and the abolition of capital.
139200	145840	Welcome to Future Histories. My name is Jan Gross and my guest today is Daniel E. Seros. Daniel is
145840	152000	a professor of economics at Valparaiso University and author of the book Information Technology
152000	157760	and Socialist Construction, The End of Capital and the Transition to Socialism, which we will
157760	164320	discuss at length in today's episode. Welcome, Daniel. Thank you. It's great to be here. Great
164320	170000	to have you. First of all, thank you, Daniel, not only for taking the time for this interview, but
170000	175840	also for writing this book. I think it's really of vital importance that we develop very concrete
175840	184160	proposals for alternative political economies, yet many shy away from exactly that and end up in
184160	190240	vague appeals to solidarity that might be more immune to criticism, but at the same time,
190240	196240	they do not provide answers to the crucial question of how exactly an alternative to
196240	201920	the capitalist mode of production should be organized. So I was delighted to read your
201920	207680	very concrete proposal, which addresses basic questions of political economy and its mode of
